	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
RAF1	R86231	Glycine cleavage system protein H (aminomethyl carrier)	Hs.435741	IQWD1	1	1q24.2	-	-	18.03451624	16.83086048	2.686907781	12.51742817
ATRX	N77679	Ras-related GTP binding D	Hs.485938	RRAGD	6	6q15-q16	RRAGD is a monomeric guanine nucleotide-binding protein, or G protein. By binding GTP or GDP, small G proteins act as molecular switches in numerous cell processes and signaling pathways.[supplied by OMIM]	cytoplasm - nucleus - transport	11.14476542	20.89798303	5.539745549	12.527498
HMGCR	R33062	yg63g04.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	16.08449308	15.64669017	5.898400886	12.54319471
ANAPC13	R02248	Solute carrier family 39 (zinc transporter), member 14	Hs.491232	SLC39A14	8	8p21.3	Zinc is an essential cofactor for hundreds of enzymes. It is involved in protein, nucleic acid, carbohydrate, and lipid metabolism, as well as in the control of gene transcription, growth, development, and differentiation. SLC39A14 belongs to a subfamily of proteins that show structural characteristics of zinc transporters (Taylor and Nicholson, 2003 [PubMed 12659941]).[supplied by OMIM]	integral to membrane - membrane - metal ion transport - metal ion transporter activity - transport	20.47997657	14.97489482	2.214264698	12.5563787
	T84135	yd37b12.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	12.89415106	15.61051507	9.355420675	12.62002894
GDPD3	T83823	Par-3 partitioning defective 3 homolog (C. elegans)	Hs.131489	PARD3	10	10p11.22-p11.21	PARD proteins, which were first identified in C. elegans, are essential for asymmetric cell division and polarized growth, whereas CDC42 (MIM 116952) mediates the establishment of cell polarity. The CDC42 GTPase, which is controlled by nucleotide exchange factors (GEFs; see MIM 606057) and GTPase-activating proteins (GAPs; see MIM 604980), interacts with a large set of effector proteins that typically contain a CDC42/RAC (MIM 602048)-interactive binding (CRIB) domain.[supplied by OMIM]	asymmetric cell division|axonogenesis|cell cycle|cytokinesis|establishment and/or maintenance of cell polarity|establishment and/or maintenance of cell polarity|membrane|protein binding|protein complex assembly|protein kinase C activation|tight junction|tight junction	9.684723676	16.55433082	11.65264748	12.63056733
C7orf53	R08377	yf19b04.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	11.08562169	22.20061076	4.649226453	12.64515297
PPP1R12A	N28330	Melanoma cell adhesion molecule	Hs.599039	MCAM	11	11q23.3	-	cell adhesion - integral to plasma membrane - morphogenesis - plasma membrane - protein binding	13.27330794	22.28881687	2.407172592	12.65643247
DTWD1	H51675	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_062553.1 (H.sapiens) hypothetical protein FLJ11267 [Homo sapiens]	-	-	-	-	-	-	16.66368817	17.09122906	4.244712025	12.66654309
ANK3	R52303	Adenylate kinase 5	Hs.559718	AK5	1	1p31	This gene encodes a member of the adenylate kinase family, which is involved in regulating the adenine nucleotide composition within a cell by catalyzing the reversible transfer of phosphate groups among adenine nucleotides. This member is related to the UMP/CMP kinase of several species. It is located in the cytosol and expressed exclusively in brain. Alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene.	ADP biosynthesis - ATP binding - ATP metabolism - adenylate kinase activity - adenylate kinase activity - cytoplasm - cytosol - dADP biosynthesis - kinase activity - pyrimidine ribonucleotide biosynthesis - transferase activity	13.15020564	17.49120285	7.426530162	12.68931288
FBXO33	H10916	Homo sapiens transcribed sequences	-	-	-	-	-	-	15.53599901	20.42239407	2.171463667	12.70995225
CYBB	H09208	Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:46199		-	12	-	-	-	20.38672626	14.0229857	3.75127692	12.72032963
TMF1	T70868	Zinc finger protein 169	Hs.387623	ZNF169	9	9q22.32	-	nucleic acid binding - nucleus - nucleus - regulation of transcription, DNA-dependent - regulation of transcription, DNA-dependent - transcription - transcription factor activity - zinc ion binding	6.488280029	24.20592137	7.485970213	12.72672387
DCP2	AA699540	Armadillo repeat containing 1	Hs.269542	ARMC1	8	8q13.1	-	metal ion binding - metal ion transport	5.25269482	27.96409566	4.965096433	12.72729564
TIFA	H73375	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	Hs.268787	ARIH1	15	15q24	-	enzyme binding - protein ubiquitination - ubiquitin ligase complex - ubiquitin-dependent protein catabolism - ubiquitin-like-protein ligase activity - ubiquitin-protein ligase activity - zinc ion binding	8.98316743	24.13183663	5.06895638	12.72798681
ZNF24	R36212	chromosome 14 open reading frame 83	Hs.509707	C14orf83	14	14q23.3-q24.1	-	-	18.7638365	14.58848128	4.856831553	12.73638311
SERPINB1	BG287101	Splicing factor 3b, subunit 3, 130kDa	Hs.514435	SF3B3	16	16q22.1	This gene encodes subunit 3 of the splicing factor 3b protein complex. Splicing factor 3b, together with splicing factor 3a and a 12S RNA unit, forms the U2 small nuclear ribonucleoproteins complex (U2 snRNP). The splicing factor 3b/3a complex binds pre-mRNA upstream of the introns branch site in a sequence independent manner and may anchor the U2 snRNP to the pre-mRNA. Splicing factor 3b is also a component of the minor U12-type spliceosome. Subunit 3 has also been identified as a component of the STAGA (SPT3-TAF(II)31-GCN5L acetylase) transcription coactivator-HAT (histone acetyltransferase) complex, and the TFTC (TATA-binding-protein-free TAF(II)-containing complex). These complexes may function in chromatin modification, transcription, splicing, and DNA repair.	RNA splicing - RNA splicing factor activity, transesterification mechanism - nuclear mRNA splicing, via spliceosome - nucleic acid binding - protein complex assembly - small nuclear ribonucleoprotein complex - spliceosome complex	14.7519193	15.36868838	8.155717865	12.75877518
	H83464	Homo sapiens transcribed sequence with weak similarity to protein pir:T02670 (H.sapiens) T02670 probable thromboxane A2 receptor isoform beta - human	-	-	-	-	-	-	10.07426515	25.28899679	2.931979676	12.76508054
HIC2	BG939095	Sterol-C4-methyl oxidase-like	Hs.105269	SC4MOL	4	4q32-q34	Sterol-C4-mehtyl oxidase-like protein was isolated based on its similarity to the yeast ERG25 protein.  It contains a set of putative metal binding motifs with similarity to that seen in a family of membrane desaturases-hydroxylases.  The protein is localized to the endoplasmic reticulum membrane and is believed to function in cholesterol biosynthesis.	C-4 methylsterol oxidase activity - endoplasmic reticulum - fatty acid metabolism - integral to membrane - metabolism - oxidoreductase activity - plasma membrane - sterol biosynthesis	15.30899756	19.28543685	3.769594571	12.78800966
MARS2	H71730	ys03c08.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	12.572838	14.23224897	11.66530165	12.82346287
NGLY1	T85234	Triple functional domain (PTPRF interacting)	Hs.130031	TRIO	5	5p15.1-p14	-	ATP binding|GTPase activator activity|guanyl-nucleotide exchange factor activity|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity|transmembrane receptor protein tyrosine phosphatase signaling pathway	14.59906133	16.85902223	7.027007241	12.8283636
	T74429	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_071385.1 (H.sapiens) hypothetical protein FLJ20958 [Homo sapiens]	-	-	-	-	-	-	11.47027615	24.42328217	2.614961415	12.83617325
PSRC1	H05378	Down syndrome critical region gene 3	Hs.369488	DSCR3	21	21q22.2	The region of chromosome 21 between genes CBR and ERG (CBR-ERG region), which spans 2.5 Mb on 21q22.2, has been defined by analysis of patients with partial trisomy 21. It contributes significantly to the pathogenesis of many characteristics of Down syndrome, including morphological features, hypotonia, and mental retardation. The DSCR3 (Down syndrome critical region gene 3) gene is found in this region and is predictated to contain eight exons. DSCR3 is expressed in most tissues examined.	cellular_component unknown - intracellular protein transport - molecular_function unknown	7.633892143	27.74154574	3.16480626	12.84674805
LINC00472	AA115234	Homo sapiens cDNA FLJ33106 fis, clone TRACH2000944, weakly similar to ZINC FINGER PROTEIN 91.	-	-	-	-	-	-	10.81459659	25.5590858	2.172825693	12.84883603
	T80241	CAMP responsive element binding protein 3-like 1	Hs.405961	CREB3L1	11	11p11.2	-	nucleus - regulation of transcription, DNA-dependent - transcription factor activity	8.210008548	22.93734383	7.427324921	12.85822577
REEP1	AA009810	Trinucleotide repeat containing 17	Hs.435039	CENTG2	2	2p24.3-p24.1	CENTG2 belongs to an ADP-ribosylation factor GTPase-activating (ARF-GAP) protein family involved in membrane traffic and actin cytoskeleton dynamics (Nie et al., 2002 [PubMed 12388557]).[supplied by OMIM]	-	8.366293578	22.40288687	7.821631436	12.86360396
WDR20	H62319	schlafen family member 5	Hs.14691	SLFN5	17	17q12	-	-	12.69365359	23.20833985	2.750451638	12.88414836
METTL7A	AA053898	Homo sapiens transcribed sequences	-	-	-	-	-	-	10.46885519	20.56984519	7.912881205	12.98386053
SH3GLB1	H71710	Homo sapiens transcribed sequences	-	-	-	-	-	-	12.70330066	23.73425515	2.567070801	13.0015422
COL4A1	R16031	ya51g11.r2 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:66500		-	8	-	-	-	18.8396055	17.95896462	2.320926875	13.03983233
RIC3	H48009	TAO kinase 1	Hs.631758	TAOK1	17	17q11.2	-	ATP binding - protein amino acid phosphorylation - protein serine/threonine kinase activity - transferase activity	8.915778961	25.77849945	4.425483349	13.03992059
RAPGEF3	R24750	yg43g02.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	11.3413177	18.11776554	9.755955333	13.07167952
	AA147516	Shroom family member 4	Hs.420541	SHROOM4	X	Xp11.22	-	protein binding	10.33431504	26.0277701	2.881949872	13.081345
HLA-DQB1	AI733539	MRNA; cDNA DKFZp667B1513 (from clone DKFZp667B1513)	Hs.174838	-	2	-	-	-	13.26306706	19.15953717	6.843711177	13.0887718
	W90245	Zinc finger protein 777	Hs.38512	ZNF777	7	7q36.1	-	DNA binding|nucleus|regulation of transcription, DNA-dependent|zinc ion binding	12.75984928	23.07624899	3.499628573	13.11190895
	H60520	CDC42 binding protein kinase alpha (DMPK-like)	Hs.35433	CDC42BPA	1	1q42.11	The protein encoded by this gene is a member of the Serine/Threonine protein kinase family. This kinase contains multiple functional domains. Its kinase domain is highly similar to that of the myotonic dystrophy protein kinase (DMPK). This kinase also contains a Rac interactive binding (CRIB) domain, and has been shown to bind CDC42. It may function as a CDC42 downstream effector mediating CDC42 induced peripheral actin formation, and promoting cytoskeletal reorganization. Multiple alternatively spliced transcript variants have been described, and the full-length nature of two of them has been reported.	ATP binding - intracellular signaling cascade - membrane - protein amino acid phosphorylation - protein amino acid phosphorylation - protein serine/threonine kinase activity - protein serine/threonine kinase activity - protein-tyrosine kinase activity - small GTPase regulator activity	11.28562938	25.57972559	2.528931921	13.13142896
MAP3K4	N20577	leucine rich repeat containing 57	Hs.234681	LRRC57	15	15q15.1	-	-	8.064402574	25.72661211	5.607173354	13.13272935
RAB27B	R83101	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	Hs.448520	SLC7A2	8	8p22-p21.3	-	amino acid metabolism - amino acid permease activity - amino acid transport - basic amino acid transporter activity - integral to membrane - integral to plasma membrane - membrane - membrane fraction - transport - transport	15.68599435	14.67039337	9.068260292	13.14154934
BMP8B	H52273	Phosphatidylinositol binding clathrin assembly protein	Hs.163893	PICALM	11	11q14	-	Golgi apparatus - clathrin binding - coated pit - phosphatidylinositol binding - phospholipid binding - protein complex assembly - receptor mediated endocytosis	17.18940651	18.6239068	3.614395777	13.1425697
DYNC1I2	H06758	Homo sapiens transcribed sequences	-	-	-	-	-	-	17.7102975	19.17793048	2.565779412	13.1513358
	H86004	ys92b06.r1 Soares retina N2b5HR Homo sapiens cDNA clone	-	-	-	-	-	-	8.883546255	24.41765873	6.157151731	13.15278557
FAM49A	W93023	zh80h10.r1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA	-	-	-	-	-	-	12.98406908	21.34212763	5.169369109	13.16518861
NIT2	R27511	Carbonic reductase 4	Hs.659311	CBR4	4	4q32.3	-	metabolism - oxidoreductase activity	10.22663942	26.38529613	3.023748016	13.21189452
FNBP4	T96595	Fetal Alzheimer antigen	Hs.444200	BPTF	17	17q24.3	This gene was identified by the reactivity of its encoded protein to a monoclonal antibody prepared against brain homogenates from patients with Alzheimers disease. Analysis of the original protein (fetal Alz-50 reactive clone 1, or FAC1), identified as an 810 aa protein containing a DNA-binding domain and a zinc finger motif, suggested it might play a role in the regulation of transcription. High levels of FAC1 were detected in fetal brain and in patients with neurodegenerative diseases. The protein encoded by this gene is actually much larger than originally thought, and it also contains a C-terminal bromodomain characteristic of proteins that regulate transcription during proliferation. The encoded protein is highly similar to the largest subunit of the Drosophila NURF (nucleosome remodeling factor) complex. In Drosophila, the NURF complex, which catalyzes nucleosome sliding on DNA and interacts with sequence-specific transcription factors, is necessary for the chromatin remodeling required for transcription. Two alternative transcripts encoding different isoforms have been described completely.	DNA binding|cell cycle|cytoplasm|neurogenesis|nucleus|regulation of transcription, DNA-dependent	13.84485706	23.569672	2.236445071	13.21699138
	W88903	Hypothetical protein LOC284352	Hs.285363	LOC284352	19	19q13.32	-	-	10.53642866	26.88119621	2.265952268	13.22785904
MAML2	AA010023	Adenosine kinase	Hs.656586	ADK	10	10q22	This gene encodes adenosine kinase, an abundant enzyme in mammalian tissues. The enzyme catalyzes the transfer of the gamma-phosphate from ATP to adenosine, thereby serving as a regulator of concentrations of both extracellular adenosine and intracellular adenine nucleotides. Adenosine has widespread effects on the cardiovascular, nervous, respiratory, and immune systems and inhibitors of the enzyme could play an important pharmacological role in increasing intravascular adenosine concentrations and acting as anti-inflammatory agents. Alternative splicing results in two transcript variants encoding different isoforms. Both isoforms of the enzyme phosphorylate adenosine with identical kinetics and both require Mg2+ for activity.	adenosine kinase activity - kinase activity - magnesium ion binding - purine ribonucleoside salvage - ribonucleoside monophosphate biosynthesis - transferase activity	15.16177974	21.32846837	3.236224039	13.24215738
MASTL	H75902	Complement component (3b/4b) receptor 1, including Knops blood group system	Hs.334019	CR1	1	1q32	This gene encodes a membrane glycoprotein found on peripheral blood cells, glomerular podocytes, and follicular dendritic cells. The protein is a receptor for complement components C3b and C4b and regulates the activity of the complement cascade. Variation in this protein is the basis of the Knops blood group system. The two most common alleles, F and S, differ by 8 exons and are thought to be the result of an unequal crossover event. A secreted form of the protein present in plasma has been described, but its full length nature has not been determined.	complement activation, classical pathway - complement component C3b receptor activity - integral to plasma membrane - receptor activity	13.53302465	22.08491987	4.134865449	13.25093666
KIAA1432	H17033	Sterile alpha motif and leucine zipper containing kinase AZK	Hs.444451	ZAK	2	2q24.2	-	ATP binding - DNA damage checkpoint - DNA damage checkpoint - MAP kinase kinase kinase activity - MAP kinase kinase kinase activity - activation of JNK - activation of JNK - activation of MAPKK - cell cycle arrest - cell cycle arrest - cell death - cell differentiation - cell proliferation - cellular_component unknown - protein amino acid phosphorylation - protein serine/threonine kinase activity - protein-tyrosine kinase activity - response to radiation - response to radiation - response to stress - transferase activity	14.0164122	21.01000192	4.729522219	13.25197878
MFN1	R19725	chromosome 17 open reading frame 79	Hs.462729	C17orf79	17	17q11.2	-	biological_process unknown - cellular_component unknown - molecular_function unknown	20.66132416	15.15239728	3.971191305	13.26163758
	T88760	WAS/WASL interacting protein family, member 2	Hs.421622	WIPF2	17	17q21.2	This gene encodes a WASP interacting protein (WIP)-related protein. It has been shown that this protein has a role in the WASP-mediated organization of the actin cytoskeleton and that this protein is a potential link between the activated platelet-derived growth factor receptor and the actin polymerization machinery.	actin binding	11.91827263	24.69404313	3.198206353	13.27017404
MGEA5	H61036	remodeling and spacing factor 1	Hs.420229	RSF1	11	11q13.5	HBXAP is involved in transcription repression, transcription coactivation when associated with hepatitis B virus X protein (HBX), and chromatin remodeling and spacing when associated with SNF2H (MIM 603375).[supplied by OMIM]	DNA binding - RSF complex - chromatin modification - histone binding - negative regulation of transcription, DNA-dependent - nucleosome assembly - nucleus - positive regulation of viral transcription - regulation of DNA binding - transcription - transcriptional activator activity - transcriptional repressor activity	18.85430043	16.81055693	4.169658672	13.27817201
HIST1H4J	AA009503	TSC22 domain family 1	Hs.507916	TSC22D1	13	13q14	TSC22 encodes a transcription factor and belongs to the large family of early response genes.[supplied by OMIM]	nucleus - regulation of transcription, DNA-dependent - transcription - transcription factor activity - transcription from RNA polymerase II promoter	17.03989242	15.20780638	7.615546709	13.2877485
MARS2	T08163	EST06054 Infant Brain, Bento Soares Homo sapiens cDNA clone HIBAD08	-	-	-	-	-	-	14.84223552	22.96876082	2.066946524	13.29264762
ARPC5	N43985	Ataxin 2	Hs.76253	ATXN2	12	12q24.1	The autosomal dominant cerebellar ataxias (ADCA) are a heterogeneous group of neurodegenerative disorders characterized by progressive degeneration of the cerebellum, brain stem and spinal cord. Clinically, ADCA has been divided into three groups: ADCA types I-III. ADCAI is genetically heterogeneous, with five genetic loci, designated spinocerebellar ataxia (SCA) 1, 2, 3, 4 and 6, being assigned to five different chromosomes. ADCAII, which always presents with retinal degeneration (SCA7), and ADCAIII often referred to as the pure cerebellar syndrome (SCA5), are most likely homogeneous disorders. Several SCA genes have been cloned and shown to contain CAG repeats in their coding regions. ADCA is caused by the expansion of the CAG repeats, producing an elongated polyglutamine tract in the corresponding protein. The expanded repeats are variable in size and unstable, usually increasing in size when transmitted to successive generations. The function of the ataxins is not known. This locus has been mapped to chromosome 12, and it has been determined that the diseased allele contains 36-52 CAG repeats, compared to 22-23 in the normal allele. A potential transcript variant, missing an internal coding exon, has been described; however, its full-length nature is not certain.	cytoplasm - molecular_function unknown - nucleus	10.09927717	19.93041266	9.869686034	13.29979196
	AA034075	zi06c06.r1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA	-	-	-	-	-	-	18.76970816	16.45913669	4.720908436	13.31658443
	H68270	Ubiquitin specific protease 37	Hs.166068	USP37	2	2q35	-	cysteine-type endopeptidase activity - ubiquitin cycle - ubiquitin thiolesterase activity - ubiquitin-dependent protein catabolism	17.4795996	18.78204421	3.767799965	13.34314793
RPL37	R17153	yg10c12.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	15.04358596	21.62698281	3.368337826	13.3463022
PTDSS1	R91604	Solute carrier family 38, member 2	Hs.221847	SLC38A2	12	12q	-	amino acid transport|amino acid-polyamine transporter activity|integral to membrane|membrane|oxygen transport|oxygen transporter activity|transport	21.96839944	14.78304086	3.489218877	13.41355306
NCF2	T97119	ye41e04.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	13.57122416	18.57726755	8.158066138	13.43551928
FAM189A2	T98970	Homo sapiens transcribed sequence with weak similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry	-	-	-	-	-	-	19.37446962	18.84017673	2.104063025	13.43956979
SERPINC1	R99693	zinc finger protein 43 (HTF6)	Hs.534365	ZNF43	19	19p13.1-p12	-	-	20.70977785	13.74512627	5.882186913	13.44569701
EIF1AY	H59348	Pleckstrin homology domain containing, family M (with RUN domain) member 2	Hs.646775	PLEKHM2	1	1p36.13	-	-	18.25141528	18.30627721	3.848427717	13.46870674
VSTM4	H08238	Homo sapiens transcribed sequence with weak similarity to protein sp:P11369 (M.musculus) POL2_MOUSE Retrovirus-related POL polyprotein [Contains: Reverse transcriptase ; Endonuclease]	-	-	-	-	-	-	14.86152572	22.57983107	2.968086045	13.46981428
	N98449	za28b12.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:293855		-	3	-	-	-	14.98636076	23.20252544	2.262775797	13.48388733
ST3GAL3	AI357692	Ash1 (absent, small, or homeotic)-like (Drosophila)	Hs.491060	ASH1L	1	1q22	-	DNA binding - DNA packaging - RNA polymerase II transcription factor activity - cell-cell signaling - nucleus - regulation of transcription, DNA-dependent - tight junction - transcription from RNA polymerase II promoter	16.70002631	21.45696806	2.541201234	13.5660652
	N54935	Homo sapiens transcribed sequences	-	-	-	-	-	-	17.93396987	20.73842965	2.056165343	13.57618829
SCAF11	W01688	za41g05.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	22.08225312	14.99291279	3.710531269	13.59523239
MRPS14	T84382	WD repeat domain 31	Hs.133331	WDR31	9	9q32	This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene but the biological validity of some variants has not been determined.	-	16.21989157	14.60537779	9.995340859	13.60687007
DTWD1	AW954596	Homo sapiens transcribed sequences	-	-	-	-	-	-	11.60933153	26.41340291	2.823973204	13.61556922
	AA203363	ATG10 autophagy related 10 homolog (S. cerevisiae)	Hs.693790	ATG10	5	5q14.1-q14.2	-	-	8.651514144	29.70900756	2.64427745	13.66826638
	H17770	Transcribed locus, moderately similar to XP_510104.1 similar to hypothetical protein FLJ25224 [Pan troglodytes]		-	11	-	-	-	9.773242513	27.25917346	4.030971921	13.68779596
NTPCR	W89032	Zinc finger protein 596	Hs.591388	ZNF596	8	8p23.3	-	DNA binding|nucleus|regulation of transcription, DNA-dependent|zinc ion binding	12.33355196	24.18986411	4.586448968	13.70328835
KCNB1	R20893	CD36 molecule (thrombospondin receptor)	Hs.120949	CD36	-	7q11.2	-	-	21.60719777	14.87023238	4.717996474	13.73180888
ANK1	H48343	Armadillo repeat containing 4	Hs.127530	ARMC4	10	10p12.1-p11.23	-	cell adhesion - cytoskeleton - mitotic chromosome condensation - protein binding - structural molecule activity	9.973250042	28.76000946	2.472875624	13.73537838
AMOTL1	H15520	ym29h07.r1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:49565		-	3	3q29	-	-	12.46187841	19.57014105	9.249609163	13.76054287
FAM53C	AW964500	ELOVL family member 7, elongation of long chain fatty acids (yeast)	Hs.274256	ELOVL7	5	5q12.1	-	integral to membrane	8.597541506	29.2391033	3.515241355	13.78396205
IQCG	T84751	Synuclein, alpha (non A4 component of amyloid precursor)	Hs.271771	SNCA	4	4q21	Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimers disease. Two alternatively spliced transcripts of SNCA have been identified. Additional splicing may be present but the full-length nature of these variants has not been determined.	anti-apoptosis|central nervous system development|cytoplasm	19.79024035	16.95195305	4.772670604	13.838288
AP5Z1	BE891135	Transforming growth factor beta regulator 1	Hs.436410	TBRG1	11	11q24.2	-	DNA binding - nucleus	16.03310855	19.9199987	5.600995276	13.85136751
	W88924	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	-	-	-	-	-	-	15.07027119	21.6515466	4.848981571	13.85693312
LPAR1	T83386	Transcribed locus	Hs.404031	-	10	-	-	-	14.94305169	24.60730421	2.052464658	13.86760685
DRAM2	H62176	E1A binding protein p300	Hs.517517	EP300	22	22q13.2	EP300 encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. p300 is related by sequence to CPB (CREB-binding protein [CREB: cyclic-AMP responsive element binding protein]), and like CPB can stimulate transcription through activation of CREB. This EP300 activity is specifically inhibited by the adenovirus oncoprotein E1A. EP300 has also been identified as a co-activator of HIF1A (hypoxia-inducible factor 1 alpha), and thus plays a role in the stimulation of hypoxia-induced genes such as VEGF.	apoptosis - apoptosis - cell cycle - histone acetyltransferase activity - homeostasis - homeostasis - neurogenesis - neurogenesis - nucleus - nucleus - protein C-terminus binding - protein C-terminus binding - regulation of transcription, DNA-dependent - response to hypoxia - response to hypoxia - signal transduction - signal transduction - transcription coactivator activity - transcription coactivator activity - transcription factor activity - transcription factor activity - transferase activity - zinc ion binding	13.67724217	25.99325831	2.042930444	13.90447697
ZNF516	T85248	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Hs.308480	PCMTD1	8	8q11.23	-	protein modification - protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	11.9592596	22.90193191	6.880946754	13.91404609
GSTM2	H09256	Adenylate kinase 5	Hs.559718	AK5	1	1p31	This gene encodes a member of the adenylate kinase family, which is involved in regulating the adenine nucleotide composition within a cell by catalyzing the reversible transfer of phosphate groups among adenine nucleotides. This member is related to the UMP/CMP kinase of several species. It is located in the cytosol and expressed exclusively in brain. Alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene.	ADP biosynthesis - ATP binding - ATP metabolism - adenylate kinase activity - adenylate kinase activity - cytoplasm - cytosol - dADP biosynthesis - kinase activity - pyrimidine ribonucleotide biosynthesis - transferase activity	15.54030116	19.92640431	6.294603976	13.92043648
C18orf8	R35315	AP1 gamma subunit binding protein 1	Hs.655178	AP1GBP1	17	17q12	This gene encodes a protein that interacts with the gamma subunit of AP1 clathrin-adaptor complex. The AP1 complex is located at the trans-Golgi network and associates specific proteins with clathrin-coated vesicles. This encoded protein may act to connect the AP1 complex to other proteins. Alternatively spliced transcript variants that encode different isoforms have been described for this gene.	AP-1 adaptor complex - Golgi apparatus - calcium ion binding - intracellular protein transport	14.38399962	25.42116437	2.093105319	13.96608977
YWHAZ	BM459914	Serine/threonine kinase 4	Hs.472838	STK4	20	20q11.2-q13.2	The protein encoded by this gene is a cytoplasmic kinase that is structurally similar to the yeast Ste20p kinase, which acts upstream of the stress-induced mitogen-activated protein kinase cascade. The encoded protein can phosphorylate myelin basic protein and undergoes autophosphorylation. A caspase-cleaved fragment of the encoded protein has been shown to be capable of phosphorylating histone H2B. The particular phosphorylation catalyzed by this protein has been correlated with apoptosis, and its possible that this protein induces the chromatin condensation observed in this process.	ATP binding - ATP binding - apoptosis - cell surface receptor linked signal transduction - integral to membrane - magnesium ion binding - nucleus - positive regulation of apoptosis - protein amino acid phosphorylation - protein amino acid phosphorylation - protein dimerization activity - protein kinase cascade - protein serine/threonine kinase activity - protein-tyrosine kinase activity - signal transduction - transferase activity	12.21607663	21.95984814	7.742004253	13.97264301
	H60482	Elongation protein 3 homolog (S. cerevisiae)	Hs.491336	ELP3	8	8p21.1	-	ATP synthesis coupled proton transport - N-acetyltransferase activity - catalytic activity - hydrogen-transporting ATP synthase activity, rotational mechanism - hydrogen-transporting ATPase activity, rotational mechanism - iron ion binding - proton-transporting two-sector ATPase complex	13.37796122	25.80335685	2.7414921	13.97427006
PSG3	T87964	Homo sapiens transcribed sequences	-	-	-	-	-	-	14.08137426	22.60123133	5.306424939	13.99634351
CCNA2	BF341744	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_055885.1 (H.sapiens) KIAA0853 protein [Homo sapiens]	-	-	-	-	-	-	13.63640362	26.21464405	2.214054784	14.02170082
FNDC4	N32584	5-methyltetrahydrofolate-homocysteine methyltransferase	Hs.498187	MTR	1	1q43	MTR encodes the enzyme 5-methyltetrahydrofolate-homocysteine methyltransferase. This enzyme, also known as cobalamin-dependent methionine synthase, catalyzes the final step in methionine biosynthesis. Mutations in MTR have been identified as the underlying cause of methylcobalamin deficiency complementation group G.	central nervous system development - cobalt ion binding - dihydropteroate synthase activity - folic acid and derivative biosynthesis - homocysteine S-methyltransferase activity - intracellular - methionine biosynthesis - methionine synthase activity - methyltransferase activity - transferase activity	20.07138715	18.29940918	3.847098587	14.07263164
EGLN1	H59556	Homo sapiens transcribed sequences	-	-	-	-	-	-	9.198077313	25.83131704	7.236061521	14.08848529
