Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
AHSG	AHSG	-0.49	-0.78	-0.47	NM_001622	Alpha-2-HS-glycoprotein precursor (Fetuin-A) (Alpha-2-Z-globulin) (Ba- alpha-2-glycoprotein) (PRO2743). [Source:Uniprot/SWISSPROT;Acc:P02765]
		0.67	-0.78	0.28		Hypothetical protein
CPA1	CPA1	-0.06	-0.78	-0.22	NM_001868	Carboxypeptidase A1 precursor (EC 3.4.17.1). [Source:Uniprot/SWISSPROT;Acc:P15085]
DHX30	DHX30	0.87	-0.78	-0.22	NM_138615,NM_014966	DEAH (Asp-Glu-Ala-His) box polypeptide 30 isoform 2 [Source:RefSeq_peptide;Acc:NP_055781]
		0.96	-0.78	-0.37	NM_001006939	leucine rich repeat containing 18 [Source:RefSeq_peptide;Acc:NP_001006940]
		1.41	-0.78	-0.2	NM_001004432	leucine rich repeat neuronal 6D [Source:RefSeq_peptide;Acc:NP_001004432]
		-0.29	-0.78	-0.32	XM_496659	-
		-0.27	-0.78	-0.49		HMG-I and HMG-Y DNA-binding domain (A+T-hook) containing protein
		-0.4	-0.78	-0.32		HRDPXB6 Human type D retrovirus gene, clone:pXB-6
AMPD2	AMPD2	0.52	-0.78	0.26	NM_004037,NM_203404,NM_139156	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L). [Source:Uniprot/SWISSPROT;Acc:Q01433]
		0	-0.78	-0.34	XM_378507	-
OR5W2	OR5W2	0.18	-0.78	1	NM_001001960	olfactory receptor, family 5, subfamily W, member 2 [Source:RefSeq_peptide;Acc:NP_001001960]
		0.44	-0.78	-0.36	XM_376795	-
FIGN	FIGN	0.33	-0.78	0.65	NM_018086	fidgetin [Source:RefSeq_peptide;Acc:NP_060556]
	HUTU_HUMAN	0.1	-0.78	0.15	NM_144639	Probable urocanate hydratase (EC 4.2.1.49) (Urocanase) (Imidazolonepropionate hydrolase). [Source:Uniprot/SWISSPROT;Acc:Q96N76]
	KRTAP171	0.13	-0.78	0.06	NM_031964	keratin associated protein 17-1 [Source:RefSeq_peptide;Acc:NP_114170]
	Q8N2X2_HUMAN	0.34	-0.78	-0.34	NM_001009607	similar to RIKEN cDNA 4933437K13 [Source:RefSeq_peptide;Acc:NP_001009607]
	Q96S13_HUMAN	0.32	-0.78	0.71		-
GAB2	GAB2	-0.13	-0.78	-0.05	NM_080491,NM_012296	GRB2-associated binding protein 2 (GRB2-associated binder-2) (pp100). [Source:Uniprot/SWISSPROT;Acc:Q9UQC2]
S100A8	S100A8	0.7	-0.78	0.34	NM_002964	Calgranulin A (Migration inhibitory factor-related protein 8) (MRP-8) (Cystic fibrosis antigen) (CFAG) (P8) (Leukocyte L1 complex light chain) (S100 calcium-binding protein A8) (Calprotectin L1L subunit) (Urinary stone protein band A). [Source:Uniprot/SWI
XRRA1	XRRA1	-0.02	-0.78	0.8	XM_374912	PREDICTED: X-ray radiation resistance associated 1 [Source:RefSeq_peptide;Acc:XP_374912]
GAS2L2	GAS2L2	-0.43	-0.78	-0.14		growth arrest-specific 2 like 2 [Source:RefSeq_peptide;Acc:NP_644814]
RAB17	RAB17	-0.12	-0.78	0.42	NM_022449	Ras-related protein Rab-17. [Source:Uniprot/SWISSPROT;Acc:Q9H0T7]
		0.21	-0.78	0.22	NM_001005160	olfactory receptor, family 52, subfamily A, member 5 [Source:RefSeq_peptide;Acc:NP_001005160]
		-0.29	-0.78	0.92	XM_376899	PREDICTED: similar to gene [Source:RefSeq_peptide;Acc:XP_376899]
		-0.25	-0.78	-0.48	NM_207479	-
		-0.01	-0.78	-0.15	NM_153379	-
DOC2A	DOC2A	0.12	-0.77	-0.27	NM_003586	Double C2-like domain containing protein alpha (Doc2 alpha) (Doc2). [Source:Uniprot/SWISSPROT;Acc:Q14183]
GPR26	GPR26	1.43	-0.77	0.07	NM_153442	Probable G-protein coupled receptor 26. [Source:Uniprot/SWISSPROT;Acc:Q8NDV2]
RNASE6	RNASE6	-0.05	-0.77	-0.19	NM_005615	Ribonuclease K6 precursor (EC 3.1.27.-) (RNase K6). [Source:Uniprot/SWISSPROT;Acc:Q93091]
		0.28	-0.77	-0.15	NM_206818,NM_206817	osteoclast-associated receptor isoform 4 [Source:RefSeq_peptide;Acc:NP_573399]
GUCA2B	GUCA2B	-0.44	-0.77	-0.05	NM_007102	Uroguanylin precursor (UGN) (Guanylate cyclase activator 2B) (Guanylate cyclase C activating peptide II) (GCAP-II). [Source:Uniprot/SWISSPROT;Acc:Q16661]
	Q9H4I0_HUMAN	1.65	-0.77	0.44		OTTHUMP00000029969 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9H4I0]
NLRP14	NALP14	0.71	-0.77	0.16	NM_176822	NACHT-, LRR- and PYD-containing protein 14 (Nucleotide-binding oligomerization domain protein 5). [Source:Uniprot/SWISSPROT;Acc:Q86W24]
ZNF43	ZNF43	0.36	-0.77	0.08	NM_003423	Zinc finger protein 43 (Zinc protein HTF6) (Zinc finger protein KOX27). [Source:Uniprot/SWISSPROT;Acc:P17038]
ACADL	ACADL	-0.1	-0.77	-0.3	NM_001608	Acyl-CoA dehydrogenase, long-chain specific, mitochondrial precursor (EC 1.3.99.13) (LCAD). [Source:Uniprot/SWISSPROT;Acc:P28330]
		0	-0.77	-0.26	NM_032849	-
	Q8N5K5_HUMAN	-0.13	-0.77	0.2		MGC40042 protein. [Source:Uniprot/SPTREMBL;Acc:Q8N5K5]
		-0.31	-0.77	1.59		24 kDa protein [Source:IPI;Acc:IPI00413638]
		-0.34	-0.77	-0.27	NM_020875	-
PMCHL1	PMCHL1	0.05	-0.77	2.52	NM_031887	Pro-MCH variant (Pro-melanin-concentrating hormone-like 1 protein). [Source:Uniprot/SWISSPROT;Acc:Q16048]
DCUN1D2	C13orf17	0	-0.77	0.13	NM_018185	-
		0.89	-0.77	0.18	XM_371164	-
POM121L2	POM121L2	-0.06	-0.77	-0.26		POM121 membrane glycoprotein-like 2 (Rat). [Source:Uniprot/SPTREMBL;Acc:Q96KW2]
		-0.25	-0.77	2.15	XM_374752	-
ITIH4	ITIH4	-0.26	-0.76	-0.35	NM_002218	Inter-alpha-trypsin inhibitor heavy chain H4 precursor (ITI heavy chain H4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (PK-120) (GP120) (PR
		1.87	-0.76	-0.38	NM_001001414	similar to F-box only protein 2 [Source:RefSeq_peptide;Acc:NP_001001414]
ACR	ACR	0.17	-0.76	0.84	XM_208270,NM_001097	Acrosin precursor (EC 3.4.21.10). [Source:Uniprot/SWISSPROT;Acc:P10323]
TGFBRAP1	TGFBRAP1	-0.3	-0.76	-0.05	NM_004257	TGF beta receptor associated protein -1 [Source:RefSeq_peptide;Acc:NP_004248]
	Q8NAG9_HUMAN	0.88	-0.76	0.43		-
		0.51	-0.76	0.07	XM_209076	-
LAMA2	LAMA2	-0.41	-0.76	0.39	NM_000426	Laminin alpha-2 chain precursor (Laminin M chain) (Merosin heavy chain). [Source:Uniprot/SWISSPROT;Acc:P24043]
		-0.28	-0.76	-0.34	NM_207332	-
		0.58	-0.76	0.15	XM_059672	PREDICTED: hypothetical protein XP_059672 [Source:RefSeq_peptide;Acc:XP_059672]
		1.04	-0.76	-0.14	XM_378941	-
		0.3	-0.76	-0.45		33 kDa protein [Source:IPI;Acc:IPI00402438]
		0.11	-0.76	-0.31	XM_496237	-
		-0.2	-0.76	-0.41	XM_498846	-
		0.41	-0.76	0.54		Hypothetical protein
		-0.05	-0.76	1.06		Similar to Survival motor neuron protein
		0.8	-0.76	-0.16	NM_148897	orphan short-chain dehydrogenase / reductase [Source:RefSeq_peptide;Acc:NP_683695]
AP1S3	AP1S3	0.21	-0.76	0.49		Adapter-related protein complex 1 sigma 1C subunit (Sigma-adaptin 1C) (Adaptor protein complex AP-1 sigma-1C subunit) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Clathrin assembly protein complex 1 sigma- 1C small chain) (Sigma 1C subunit of AP-1 cl
		0.39	-0.76	0.03	NM_212558	similar to RIKEN A930001M12 [Source:RefSeq_peptide;Acc:NP_997723]
		1.02	-0.76	0.5	NM_144781	-
		0.35	-0.76	-0.37		Hypothetical protein
PTPN3	PTPN3	0.56	-0.76	-0.07	NM_002829	Tyrosine-protein phosphatase, non-receptor type 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase H1) (PTP-H1). [Source:Uniprot/SWISSPROT;Acc:P26045]
	KRTAP43	0.77	-0.76	0.92	XM_497545	Keratin-associated protein 4-3 (Keratin-associated protein 4.3) (Ultrahigh sulfur keratin-associated protein 4.3) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q9BYR4]
		0.58	-0.76	-0.49		Hypothetical protein
ADAMTS6	ADAMTS6	0.32	-0.76	0.18	NM_014273	ADAMTS-6 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 6) (ADAM-TS 6) (ADAM-TS6). [Source:Uniprot/SWISSPROT;Acc:Q9UKP5]
		-0.08	-0.76	-0.49	XM_379112	-
		0.33	-0.76	-0.16		Non-protein coding transcript
		-0.04	-0.75	-0.13	XM_373726	-
		-0.19	-0.75	1.69	XM_498388,XM_498390	-
OR51L1	OR51L1	-0.28	-0.75	0.97	NM_001004755	Olfactory receptor 51L1. [Source:Uniprot/SWISSPROT;Acc:Q8NGJ5]
SLC16A5	SLC16A5	-0.06	-0.75	0.39	NM_004695	Monocarboxylate transporter 6 (MCT 6) (MCT 5). [Source:Uniprot/SWISSPROT;Acc:O15375]
		0.93	-0.75	0.24	XM_374270	-
SOSTDC1	SOSTDC1	0.54	-0.75	0.75	NM_015464	cystine knot-containing secreted protein [Source:RefSeq_peptide;Acc:NP_056279]
		0.18	-0.75	0.17	XM_088797	-
		-0.45	-0.75	0.55	NM_001004492	olfactory receptor, family 2, subfamily B, member 11 [Source:RefSeq_peptide;Acc:NP_001004492]
NPFFR1	GPR147	-0.41	-0.75	0.46	NM_022146	Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide- related peptide receptor OT7T022). [Source:Uniprot/SWISSPROT;Acc:Q9GZQ6]
		0.45	-0.75	0.75	XM_498723	-
		-0.04	-0.75	0.69		Non-protein coding transcript
	Q96A81_HUMAN	0.36	-0.75	1.88	NM_144682	-
		0.37	-0.75	0.29	NR_001278	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1 (CYP2B7P1) on chromosome 19 [Source:RefSeq_dna;Acc:NR_001278]
		0.2	-0.75	-0.33	NM_198185	ovochymase 2 [Source:RefSeq_peptide;Acc:NP_937828]
		1.04	-0.75	0.33	NR_001553,XM_293449,XM_497197,XM_497193,XM_497191,XM_497198,XM_497196	30 kDa protein [Source:IPI;Acc:IPI00414084]
		-0.06	-0.75	0.01	XM_372616,XM_497491	26 kDa protein [Source:IPI;Acc:IPI00472137]
		0.71	-0.75	-0.33		Hypothetical protein
	Q96MY2_HUMAN	0.55	-0.75	0.1		-
BPIFA2	C20orf70	0.53	-0.75	-0.49	NM_080574	Short palate, lung and nasal epithelium carcinoma associated protein 2 precursor (Parotid secretory protein) (PSP) (UNQ510/PRO1025). [Source:Uniprot/SWISSPROT;Acc:Q96DR5]
	ERR3_HUMAN	-0.43	-0.75	-0.19	NM_206595,NM_001438,NM_206594	Estrogen-related receptor gamma (Estrogen receptor related protein 3) (ERR gamma-2). [Source:Uniprot/SWISSPROT;Acc:P62508]
		-0.19	-0.75	0.11	NM_001010976	-
CPA4	CPA4	1.71	-0.75	-0.47	NM_016352	Carboxypeptidase A4 precursor (EC 3.4.17.-) (Carboxypeptidase A3). [Source:Uniprot/SWISSPROT;Acc:Q9UI42]
STXBP5L	STXBP5L	0.21	-0.75	-0.06	XM_045911	PREDICTED: syntaxin binding protein 5-like [Source:RefSeq_peptide;Acc:XP_045911]
TBX19	TBX19	0.16	-0.75	1.06	NM_005149	T-box transcription factor TBX19 (T-box protein 19). [Source:Uniprot/SWISSPROT;Acc:O60806]
		0.55	-0.74	0	NM_024941	-
LAPTM5	LAPTM5	-0.19	-0.74	-0.43	NM_006762	Lysosomal-associated multitransmembrane protein (Retinoic acid- inducible E3 protein) (HA1520). [Source:Uniprot/SWISSPROT;Acc:Q13571]
		0.04	-0.74	0.05	XM_211557	-
WNT7A	WNT7A	-0.36	-0.74	0.36	NM_004625	Wnt-7a protein precursor. [Source:Uniprot/SWISSPROT;Acc:O00755]
		0.45	-0.74	0.55	NM_001003892,XM_497237	dual specificity phosphatase and pro isomerase domain containing 1 [Source:RefSeq_peptide;Acc:NP_001003892]
OR52I1	OR52I1	0.47	-0.74	0	NM_001005170	Olfactory receptor 52I2. [Source:Uniprot/SWISSPROT;Acc:Q8NH67]
		0.18	-0.74	-0.46	NM_152613	-
	Q96FU4_HUMAN	-0.2	-0.74	-0.18	XM_499057,XM_499505	-
	Q96MB3_HUMAN	0.36	-0.74	-0.45		-
GUCA1C	GUCA1C	0.74	-0.74	-0.08	NM_005459	Guanylyl cyclase activating protein 3 (GCAP 3) (Guanylate cyclase activator 1C). [Source:Uniprot/SWISSPROT;Acc:O95843]
PIK3CG	PIK3CG	0	-0.74	0.65	NM_002649	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform (EC 2.7.1.153) (PI3-kinase p110 subunit gamma) (PtdIns- 3-kinase p110) (PI3K) (PI3Kgamma). [Source:Uniprot/SWISSPROT;Acc:P48736]
		0.05	-0.74	-0.19		71 kDa protein [Source:IPI;Acc:IPI00412751]
		0.52	-0.74	0.1		Hypothetical protein
ID3	ID3	0.49	-0.74	0.5	NM_002167	DNA-binding protein inhibitor ID-3 (ID-like protein inhibitor HLH 1R21) (Helix-loop-helix protein HEIR-1). [Source:Uniprot/SWISSPROT;Acc:Q02535]
	O95724_HUMAN	0.14	-0.74	0.16		Reverse transcriptase (Fragment). [Source:Uniprot/SPTREMBL;Acc:O95724]
EMX1	EMX1	0.44	-0.74	0.23	NM_004097	Homeobox protein EMX1 (Empty spiracles homolog 1) (Empty spiracles- like protein 1). [Source:Uniprot/SWISSPROT;Acc:Q04741]
		0.47	-0.74	-0.39		Homo sapiens microRNA miR-340 stem-loop
GPR55	GPR55	0.1	-0.74	-0.13	NM_005683	G protein-coupled receptor 55 [Source:RefSeq_peptide;Acc:NP_005674]
OR13C8	OR13C8	-0.19	-0.74	1.34	NM_001004483	Olfactory receptor 13C8. [Source:Uniprot/SWISSPROT;Acc:Q8NGS7]
		1.55	-0.74	0.07	NM_145111	-
		-0.04	-0.74	-0.21	NM_203381	-
	Q6ZNC3_HUMAN	0.12	-0.74	-0.03		-
PLEC	PLEC1	-0.25	-0.74	-0.5	NM_201383,NM_201382,NM_201380,NM_201378,NM_201379,NM_201384,NM_201381,NM_000445	Plectin 1 (PLTN) (PCN) (Hemidesmosomal protein 1) (HD1). [Source:Uniprot/SWISSPROT;Acc:Q15149]
	TBC13_HUMAN	0	-0.74	-0.4	NM_018201	TBC1 domain family member 13. [Source:Uniprot/SWISSPROT;Acc:Q9NVG8]
		-0.02	-0.74	-0.19		Hypothetical protein
CCDC9	CCDC9	-0.17	-0.73	-0.21	NM_015603	Coiled-coil domain containing protein 9. [Source:Uniprot/SWISSPROT;Acc:Q9Y3X0]
		-0.19	-0.73	-0.42		Non-protein coding transcript
		-0.28	-0.73	-0.15		Conserved hypothetical protein
ARMC2	ARMC2	0	-0.73	-0.24	NM_032131	armadillo repeat containing 2 [Source:RefSeq_peptide;Acc:NP_115507]
CDH1	CDH1	0.37	-0.73	0.2	NM_004360	Epithelial-cadherin precursor (E-cadherin) (Uvomorulin) (Cadherin-1) (CAM 120/80). [Source:Uniprot/SWISSPROT;Acc:P12830]
		0	-0.73	0.16	NM_152772	-
		0.08	-0.73	-0.39	NM_032874	-
		-0.24	-0.73	-0.47	XM_378786	-
		-0.01	-0.73	0.48		Hypothetical protein
		-0.02	-0.73	-0.32		Non-protein coding transcript
	carb6	-0.13	-0.73	0.06		Vibrio cholerae non O1, non O139 plasmid class A beta-lactamase
	Q8N6D0_HUMAN	0.7	-0.73	0.29		NK inhibitory receptor precursor [Source:RefSeq_peptide;Acc:NP_620587]
MMP1	MMP1	-0.2	-0.73	0.27	NM_002421	Interstitial collagenase precursor (EC 3.4.24.7) (Matrix metalloproteinase-1) (MMP-1) (Fibroblast collagenase). [Source:Uniprot/SWISSPROT;Acc:P03956]
IL10RA	IL10RA	-0.31	-0.73	-0.03	NM_001558	Interleukin-10 receptor alpha chain precursor (IL-10R-A) (IL-10R1). [Source:Uniprot/SWISSPROT;Acc:Q13651]
		0.07	-0.73	1.48		Similar to T-cell surface glycoprotein CD3 epsilon chain precursor (T-cell surface antigen T3/LEU-4 epsilon chain)
8-Sep	8-Sep	-0.21	-0.73	-0.17		Septin 8. [Source:Uniprot/SWISSPROT;Acc:Q92599]
	Q8TBP8_HUMAN	0.74	-0.73	0.2	NM_012190,NM_144776	10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6) (10-FTHFDH) (Aldehyde dehydrogenase 1 family member L1). [Source:Uniprot/SWISSPROT;Acc:O75891]
GTF2A1	GTF2A1	1.81	-0.73	-0.15	NM_015859,NM_201595	Transcription initiation factor IIA alpha and beta chains (TFIIA p35 and p19 subunits) (TFIIA-42) (TFIIAL). [Source:Uniprot/SWISSPROT;Acc:P52655]
AURKC	AURKC	1.16	-0.73	0.02	NM_003160	Serine/threonine-protein kinase 13 (EC 2.7.1.37) (Aurora/Ipl1/Eg2 protein 2) (Aurora/Ipl1-related kinase 3) (Aurora-C). [Source:Uniprot/SWISSPROT;Acc:Q9UQB9]
	Q96AT3_HUMAN	0.89	-0.73	1.9		LRP11 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96AT3]
		0.53	-0.73	0.58	XM_497733	-
GTF3C6	C6orf51	0.72	-0.73	-0.2	NM_138408	(NPD020) (CDA020). [Source:Uniprot/SWISSPROT;Acc:Q969F1]
		-0.35	-0.73	-0.2	XM_379118	-
	Q13808_HUMAN	-0.36	-0.73	-0.3		Antisense BCMA peptide. [Source:Uniprot/SPTREMBL;Acc:Q13808]
		-0.25	-0.73	0.15		18 kDa protein [Source:IPI;Acc:IPI00412260]
		-0.49	-0.73	-0.37	XM_496051	-
HTRA3	HTRA3	0.54	-0.73	0.66	NM_053044	Probable serine protease HTRA3 precursor (EC 3.4.21.-) (High- temperature requirement factor A3) (Pregnancy-related serine protease). [Source:Uniprot/SWISSPROT;Acc:P83110]
	Q8NGM0_HUMAN	-0.23	-0.73	0.55		Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NGM0]
		-0.39	-0.73	0.39	XM_208927	-
		0	-0.73	-0.45	NM_001001676	-
		0.16	-0.73	0.14	XM_497412	-
		-0.23	-0.73	-0.11		Hypothetical protein
KRT77	KRT1B	0.27	-0.72	-0.03	NM_175078	keratin 1B [Source:RefSeq_peptide;Acc:NP_778253]
		1.24	-0.72	-0.27	NM_138814	patatin-like phospholipase domain containing 5 [Source:RefSeq_peptide;Acc:NP_620169]
		-0.35	-0.72	-0.04	XM_497601	-
		1.05	-0.72	0.42	XM_496631	PREDICTED: hypothetical protein FLJ35107 [Source:RefSeq_peptide;Acc:XP_496631]
	Q9UHU1_HUMAN	-0.11	-0.72	0.31		-
		0.45	-0.72	0.02	XM_037493	26 kDa protein [Source:IPI;Acc:IPI00413466]
		1.31	-0.72	-0.22	XM_498949	-
OPHN1	OPHN1	-0.23	-0.72	1.14	NM_002547	Oligophrenin 1. [Source:Uniprot/SWISSPROT;Acc:O60890]
		-0.12	-0.72	0.93	XM_498825	-
		-0.07	-0.72	-0.25	XM_499394,XM_171165,NM_002735	protein kinase, cAMP-dependent, regulatory, type I, beta (PRKAR1B), mRNA [Source:RefSeq_dna;Acc:NM_002735]
		-0.08	-0.72	0.28	XM_497271	-
HOXD13	HOXD13	-0.45	-0.72	0.58	NM_000523	Homeobox protein Hox-D13 (Hox-4I). [Source:Uniprot/SWISSPROT;Acc:P35453]
IL27RA	IL27RA	-0.12	-0.72	0.97	NM_004843	class I cytokine receptor [Source:RefSeq_peptide;Acc:NP_004834]
		-0.11	-0.72	-0.22	NM_207368	-
NINJ2	NINJ2	0.43	-0.72	0.35	NM_016533	Ninjurin 2 (Nerve injury-induced protein 2). [Source:Uniprot/SWISSPROT;Acc:Q9NZG7]
		-0.08	-0.72	-0.08	XM_089307	-
ANKRD7	ANKRD7	-0.02	-0.72	-0.21	NM_019644	Ankyrin repeat domain protein 7 (Testis-specific protein TSA806). [Source:Uniprot/SWISSPROT;Acc:Q92527]
		-0.15	-0.72	0.05		53 kDa protein [Source:IPI;Acc:IPI00260402]
		0.03	-0.72	-0.21		Hypothetical protein
ZP4	ZP4	0.52	-0.72	-0.36	NM_021186	Zona pellucida sperm-binding protein 4 precursor (Zona pellucida sperm-binding protein B). [Source:Uniprot/SWISSPROT;Acc:Q12836]
		0.13	-0.72	-0.45		24 kDa protein [Source:IPI;Acc:IPI00477000]
FGF22	FGF22	0.99	-0.72	-0.19	NM_020637	Fibroblast growth factor-22 precursor (FGF-22) (UNQ2500/PRO5800). [Source:Uniprot/SWISSPROT;Acc:Q9HCT0]
		0.2	-0.72	-0.08		Hypothetical protein
FOXP4	FOXP4	0.53	-0.72	-0.31	NM_138457	Forkhead box protein P4 (Fork head-related protein like A). [Source:Uniprot/SWISSPROT;Acc:Q8IVH2]
	SPAG11	-0.14	-0.72	0.31	NM_058203	Sperm-associated antigen 11 precursor (EP2 protein) (Sperm antigen HE2). [Source:Uniprot/SWISSPROT;Acc:Q08648]
OR51E2	OR51E2	0.42	-0.72	0.09	NM_030774	Olfactory receptor 51E2 (Prostate specific G-protein coupled receptor) (HPRAJ). [Source:Uniprot/SWISSPROT;Acc:Q9H255]
	O10J6_HUMAN	0.89	-0.72	-0.37		Olfactory receptor 10J6. [Source:Uniprot/SWISSPROT;Acc:Q8NGY7]
TIRAP	TIRAP	-0.14	-0.72	-0.11	NM_148910,NM_052887	Toll-interleukin 1 receptor domain-containing adapter protein (TIR domain-containing adapter protein) (MyD88 adapter-like protein) (Adaptor protein Wyatt). [Source:Uniprot/SWISSPROT;Acc:P58753]
		0.66	-0.72	0.49		Hypothetical protein
		0.64	-0.72	1.47		Hypothetical protein
DSCAML1	DSCAML1	0.32	-0.72	-0.35	NM_020693	Down syndrome cell adhesion molecule like 1 [Source:RefSeq_peptide;Acc:NP_065744]
		-0.1	-0.72	-0.18		Hypothetical protein
		0.12	-0.72	-0.19	NM_007283,NM_001003794	-
AMPD1	AMPD1	0.06	-0.72	0.01	NM_000036	AMP deaminase 1 (EC 3.5.4.6) (Myoadenylate deaminase) (AMP deaminase isoform M). [Source:Uniprot/SWISSPROT;Acc:P23109]
		-0.44	-0.72	-0.1	XM_376186	PREDICTED: similar to hypothetical protein [Source:RefSeq_peptide;Acc:XP_376186]
KRT27	KRT25C	0.62	-0.72	-0.26	NM_181537	keratin 25C [Source:RefSeq_peptide;Acc:NP_853515]
		0.38	-0.72	0.12		Hypothetical protein
	Q8WY77_HUMAN	0.25	-0.71	-0.36	NM_024105	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6- mannosyltransferase (EC 2.4.1.-) (Mannosyltransferase ALG12 homolog) (hALG12) (Membrane protein SB87) (PP14673). [Source:Uniprot/SWISSPROT;Acc:Q9BV10]
ZNF107	ZNF588	-0.44	-0.71	0.94		Zinc finger protein ZFD25. [Source:Uniprot/SWISSPROT;Acc:Q9UII5]
TCN1	TCN1	0.25	-0.71	-0.05	NM_001062	Transcobalamin I precursor (TCI) (TC I). [Source:Uniprot/SWISSPROT;Acc:P20061]
		1.24	-0.71	1.75	NM_198442	-
		0.23	-0.71	-0.21		29 kDa protein [Source:IPI;Acc:IPI00479165]
		0.38	-0.71	-0.06	XM_210400,XM_065445,XM_061880	17 kDa protein [Source:IPI;Acc:IPI00472320]
		0.78	-0.71	-0.13	XM_497280,XM_372423	-
		-0.5	-0.71	-0.46		Hypothetical protein
		0.06	-0.71	0.58		Similar to Peripheral benzodiazepine receptor interacting protein
		-0.15	-0.71	-0.42	XM_379280	-
CITED1	CITED1	0.44	-0.71	-0.04	NM_004143	Cbp/p300-interacting transactivator 1 (Melanocyte-specific protein 1). [Source:Uniprot/SWISSPROT;Acc:Q99966]
THRSP	THRSP	0.14	-0.71	0.38	NM_003251	Thyroid hormone-inducible hepatic protein (Spot 14 protein) (SPOT14) (S14 protein). [Source:Uniprot/SWISSPROT;Acc:Q92748]
		-0.02	-0.71	-0.05	NR_001551	-
GRIK1	GRIK1	-0.32	-0.71	-0.21	NM_000830	Glutamate receptor, ionotropic kainate 1 precursor (Glutamate receptor 5) (GluR-5) (GluR5) (Excitatory amino acid receptor 3) (EAA3). [Source:Uniprot/SWISSPROT;Acc:P39086]
MCM8	MCM8	-0.39	-0.71	0.09	NM_032485,NM_182802	DNA replication licensing factor MCM8 (Minichromosome maintenance 8). [Source:Uniprot/SWISSPROT;Acc:Q9UJA3]
OR6M1	OR6M1	-0.24	-0.71	0.23	NM_001005325	Olfactory receptor 6M1. [Source:Uniprot/SWISSPROT;Acc:Q8NGM8]
SLITRK5	SLITRK5	0.35	-0.71	-0.06	NM_015567	SLIT and NTRK-like protein 5 precursor. [Source:Uniprot/SWISSPROT;Acc:O94991]
	O51I2_HUMAN	0.72	-0.71	1.1	NM_001004754	Olfactory receptor 51I2 (HOR5beta12). [Source:Uniprot/SWISSPROT;Acc:Q9H344]
		0.24	-0.71	0.45	XM_496908	-
		-0.27	-0.71	-0.33	NM_001007561	immunity-related GTPase family, Q1 [Source:RefSeq_peptide;Acc:NP_001007562]
KIR3DS1	KIR3DS1	-0.17	-0.71	-0.2		Killer cell immunoglobulin-like receptor 3DS1 precursor (MHC class I NK cell receptor) (Natural killer associated transcript 10) (NKAT-10). [Source:Uniprot/SWISSPROT;Acc:Q14943]
		-0.24	-0.71	0.07	NM_001005915	-
		0.11	-0.71	0.36	NM_001004482	-
		1.59	-0.71	-0.44		Hypothetical protein
SLC1A6	SLC1A6	0.2	-0.7	0.16	NM_005071	Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter). [Source:Uniprot/SWISSPROT;Acc:P48664]
		0.26	-0.7	-0.18	XM_380155,XM_379531	-
		0.15	-0.7	-0.23	XM_497921	-
		0.17	-0.7	0.15	XM_370767	-
	Q8IYY5_HUMAN	-0.28	-0.7	-0.49	NM_144717	Interleukin-20 receptor beta chain precursor (IL-20R-beta) (IL-20R2) (UNQ557/PRO1114). [Source:Uniprot/SWISSPROT;Acc:Q6UXL0]
HAGHL	HAGHL	0.25	-0.7	-0.11	NM_032304,NM_207112	hydroxyacylglutathione hydrolase-like isoform 2 [Source:RefSeq_peptide;Acc:NP_115680]
		0.03	-0.7	-0.05	XM_114090,XM_114047	-
IL13RA2	IL13RA2	-0.42	-0.7	0.18	NM_000640	Interleukin-13 receptor alpha-2 chain precursor (Interleukin-13 binding protein). [Source:Uniprot/SWISSPROT;Acc:Q14627]
BAG4	BAG4	0.21	-0.7	-0.47	NM_004874	BAG-family molecular chaperone regulator-4 (Silencer of death domains). [Source:Uniprot/SWISSPROT;Acc:O95429]
		-0.13	-0.7	1.02	NM_178353	late cornified envelope 1E [Source:RefSeq_peptide;Acc:NP_848130]
	Q96PX9_HUMAN	-0.43	-0.7	-0.21		-
		0.37	-0.7	-0.1	XM_498464,XM_499594	PREDICTED: hypothetical protein XP_499594 [Source:RefSeq_peptide;Acc:XP_499594]
