Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
4930579G22Rik	RIKEN cDNA 4930579G22 gene	A_52_P324754	Embryo:1.09018518965139	Embryo:0.000991936966472263	Pup:1.17708252542448	Pup:0.000346251830459666	Adult:1.37041525206699	Adult:0.00011825404396456
6330439K17Rik	RIKEN cDNA 6330439K17 gene	A_51_P519108	Embryo:1.31952410545434	Embryo:0.00658787097295528	Pup:1.04518009073642	Pup:0.0258241509950083	Adult:1.1724165818478	Adult:0.0186887509803169
BC022687	cDNA sequence BC022687	A_51_P370510	Embryo:1.22174279548809	Embryo:0.00032385036803927	Pup:1.11597738239717	Pup:0.000694169327492109	Adult:1.14160781782301	Adult:0.00101709048848989
Cyp51	cytochrome P450, family 51	A_52_P164161	Embryo:1.19980612135756	Embryo:0.00111334728828536	Pup:1.11642586076119	Pup:0.00178157408643721	Adult:1.13272945152726	Adult:0.00267929421953161
LOC100504048	hypothetical protein LOC100504048	A_52_P932813	Embryo:1.16996934896517	Embryo:0.00290009209528585	Pup:1.09711614519663	Pup:0.00410449428995791	Adult:1.1758867575159	Adult:0.00378584283303809
Bloc1s1	biogenesis of lysosome-related organelles complex-1, subunit 1	A_51_P142113	Embryo:1.02011510624009	Embryo:0.0163904934349983	Pup:1.25027659405177	Pup:0.00275976365421712	Adult:1.15111609856861	Adult:0.00856205395306177
1700025K23Rik	RIKEN cDNA 1700025K23 gene	A_52_P651948	Embryo:1.13552303347631	Embryo:0.000264438659483613	Pup:1.1391576277501	Pup:0.000205798669491132	Adult:1.09751846698671	Adult:0.000605249433491977
1110054M08Rik	RIKEN cDNA 1110054M08 gene	A_52_P552547	Embryo:1.16426268157848	Embryo:0.000241364212535817	Pup:1.13385756623003	Pup:0.000262778593025289	Adult:1.05277556202315	Adult:0.0010908052315354
Golm1	golgi membrane protein 1	A_51_P171200	Embryo:1.25633716266464	Embryo:1.36970667403012e-06	Pup:1.0119522629406	Pup:2.60611778772061e-05	Adult:1.02953880326919	Adult:4.50320798720267e-05
Morn2	MORN repeat containing 2	A_52_P36928	Embryo:1.09881590385695	Embryo:0.00100688371503603	Pup:1.05373340724904	Pup:0.00121249083544457	Adult:1.10909791786221	Adult:0.00131615493068589
Dpm3	dolichyl-phosphate mannosyltransferase polypeptide 3	A_51_P518558	Embryo:1.09675977477284	Embryo:0.0274414733686435	Pup:1.03382404936122	Pup:0.031075865087139	Adult:1.04325338254563	Adult:0.0406648078411661
