GO	MiRNA Name	p	FDR	Enrichment
macrophage activation during immune response	mmu-miR-184	0.00262	0.095	9.137383813
macrophage activation during immune response	mmu-miR-29b	0.00262	0.095	9.137383813
macrophage activation during immune response	mmu-miR-351	0.00262	0.095	9.137383813
midbrain-hindbrain boundary morphogenesis	mmu-let-7f	0.00262	0.105	9.137383813
midbrain-hindbrain boundary morphogenesis	mmu-miR-129-3p	0.00262	0.105	9.137383813
midbrain-hindbrain boundary morphogenesis	mmu-miR-191	0.00262	0.105	9.137383813
mitochondrion transport along microtubule	mmu-let-7c-1	0.00262	0.1075	9.137383813
mitochondrion transport along microtubule	mmu-let-7f	0.00262	0.1075	9.137383813
mitochondrion transport along microtubule	mmu-miR-129-3p	0.00262	0.1075	9.137383813
mitochondrion transport along microtubule	mmu-miR-184	0.00262	0.1075	9.137383813
mitochondrion transport along microtubule	mmu-miR-351	0.00262	0.1075	9.137383813
N-glycan processing	mmu-miR-18a	0.00262	0.1375	9.137383813
N-glycan processing	mmu-miR-351	0.00262	0.1375	9.137383813
N-glycan processing	mmu-miR-718	0.00262	0.1375	9.137383813
N-glycan processing	mmu-miR-92b	0.00262	0.1375	9.137383813
posttranslational protein targeting to membrane	mmu-let-7c-1	0.00262	0.1775	9.137383813
posttranslational protein targeting to membrane	mmu-miR-29b	0.00262	0.1775	9.137383813
regulation of postsynaptic membrane potential	mmu-let-7c-1	0.00262	0.2125	9.137383813
regulation of postsynaptic membrane potential	mmu-let-7f	0.00262	0.2125	9.137383813
regulation of postsynaptic membrane potential	mmu-miR-18a	0.00262	0.2125	9.137383813
regulation of postsynaptic membrane potential	mmu-miR-351	0.00262	0.2125	9.137383813
regulation of postsynaptic membrane potential	mmu-miR-718	0.00262	0.2125	9.137383813
regulation of timing of neuron differentiation	mmu-let-7f	0.00262	0.23	9.137383813
regulation of timing of neuron differentiation	mmu-miR-129-3p	0.00262	0.23	9.137383813
regulation of timing of neuron differentiation	mmu-miR-186	0.00262	0.23	9.137383813
response to arsenic	mmu-miR-186	0.00262	0.2375	9.137383813
response to arsenic	mmu-miR-18a	0.00262	0.2375	9.137383813
response to arsenic	mmu-miR-92b	0.00262	0.2375	9.137383813
Notch signaling pathway	mmu-let-7c-1	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-let-7f	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-miR-129-3p	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-miR-186	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-miR-18a	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-miR-351	0.00265376	0.36	2.413648554
Notch signaling pathway	mmu-miR-718	0.00265376	0.36	2.413648554
cerebellar Purkinje cell differentiation	mmu-let-7c-1	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-let-7f	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-miR-184	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-miR-186	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-miR-18a	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-miR-351	0.00269907	0.0175	5.076324341
cerebellar Purkinje cell differentiation	mmu-miR-718	0.00269907	0.0175	5.076324341
L-glutamate transport	mmu-miR-129-3p	0.00269907	0.105	5.076324341
L-glutamate transport	mmu-miR-184	0.00269907	0.105	5.076324341
L-glutamate transport	mmu-miR-186	0.00269907	0.105	5.076324341
L-glutamate transport	mmu-miR-191	0.00269907	0.105	5.076324341
L-glutamate transport	mmu-miR-718	0.00269907	0.105	5.076324341
neural crest cell development	mmu-let-7c-1	0.00269907	0.1575	5.076324341
neural crest cell development	mmu-miR-184	0.00269907	0.1575	5.076324341
neural crest cell development	mmu-miR-29b	0.00269907	0.1575	5.076324341
neural crest cell development	mmu-miR-351	0.00269907	0.1575	5.076324341
neural crest cell development	mmu-miR-92b	0.00269907	0.1575	5.076324341
telencephalon development	mmu-let-7c-1	0.00269907	0.295	5.076324341
telencephalon development	mmu-miR-129-3p	0.00269907	0.295	5.076324341
telencephalon development	mmu-miR-184	0.00269907	0.295	5.076324341
telencephalon development	mmu-miR-18a	0.00269907	0.295	5.076324341
telencephalon development	mmu-miR-718	0.00269907	0.295	5.076324341
camera-type eye development	mmu-let-7c-1	0.00275886	0.38	2.610681089
camera-type eye development	mmu-miR-129-3p	0.00275886	0.38	2.610681089
camera-type eye development	mmu-miR-184	0.00275886	0.38	2.610681089
camera-type eye development	mmu-miR-18a	0.00275886	0.38	2.610681089
camera-type eye development	mmu-miR-29b	0.00275886	0.38	2.610681089
camera-type eye development	mmu-miR-718	0.00275886	0.38	2.610681089
kidney development	mmu-let-7c-1	0.00275886	0.37	2.610681089
kidney development	mmu-let-7f	0.00275886	0.37	2.610681089
kidney development	mmu-miR-129-3p	0.00275886	0.37	2.610681089
kidney development	mmu-miR-191	0.00275886	0.37	2.610681089
kidney development	mmu-miR-351	0.00275886	0.37	2.610681089
kidney development	mmu-miR-92b	0.00275886	0.37	2.610681089
negative regulation of transcription, DNA-dependent	mmu-let-7c-1	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-let-7f	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-129-3p	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-184	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-186	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-18a	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-191	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-29b	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-351	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-718	0.00276889	0.365	2.323063681
negative regulation of transcription, DNA-dependent	mmu-miR-92b	0.00276889	0.365	2.323063681
regulation of Rho protein signal transduction	mmu-let-7c-1	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-let-7f	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-129-3p	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-184	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-18a	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-191	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-351	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-718	0.00282082	0.3275	2.249202169
regulation of Rho protein signal transduction	mmu-miR-92b	0.00282082	0.3275	2.249202169
embryonic cranial skeleton morphogenesis	mmu-let-7c-1	0.0029669	0.3175	4.217254068
embryonic cranial skeleton morphogenesis	mmu-let-7f	0.0029669	0.3175	4.217254068
embryonic cranial skeleton morphogenesis	mmu-miR-184	0.0029669	0.3175	4.217254068
embryonic cranial skeleton morphogenesis	mmu-miR-29b	0.0029669	0.3175	4.217254068
embryonic cranial skeleton morphogenesis	mmu-miR-351	0.0029669	0.3175	4.217254068
embryonic cranial skeleton morphogenesis	mmu-miR-718	0.0029669	0.3175	4.217254068
nucleotide metabolic process	mmu-miR-129-3p	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-184	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-186	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-191	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-29b	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-351	0.00317439	0.3175	3.322685023
nucleotide metabolic process	mmu-miR-92b	0.00317439	0.3175	3.322685023
ureteric bud development	mmu-let-7c-1	0.00317439	0.3425	3.322685023
ureteric bud development	mmu-miR-186	0.00317439	0.3425	3.322685023
ureteric bud development	mmu-miR-18a	0.00317439	0.3425	3.322685023
ureteric bud development	mmu-miR-29b	0.00317439	0.3425	3.322685023
ureteric bud development	mmu-miR-351	0.00317439	0.3425	3.322685023
ureteric bud development	mmu-miR-92b	0.00317439	0.3425	3.322685023
glucose homeostasis	mmu-miR-129-3p	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-184	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-186	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-191	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-351	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-718	0.00323886	0.355	2.855432442
glucose homeostasis	mmu-miR-92b	0.00323886	0.355	2.855432442
protein catabolic process	mmu-let-7c-1	0.00323886	0.325	2.855432442
protein catabolic process	mmu-let-7f	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-129-3p	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-184	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-29b	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-351	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-718	0.00323886	0.325	2.855432442
protein catabolic process	mmu-miR-92b	0.00323886	0.325	2.855432442
lipid biosynthetic process	mmu-let-7f	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-129-3p	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-184	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-186	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-18a	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-191	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-29b	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-351	0.00331562	0.3825	1.978196496
lipid biosynthetic process	mmu-miR-92b	0.00331562	0.3825	1.978196496
cell maturation	mmu-let-7c-1	0.00331789	0.345	3.045794604
cell maturation	mmu-let-7f	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-184	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-186	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-18a	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-29b	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-351	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-718	0.00331789	0.345	3.045794604
cell maturation	mmu-miR-92b	0.00331789	0.345	3.045794604
post-translational protein modification	mmu-let-7f	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-184	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-186	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-18a	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-191	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-29b	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-351	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-718	0.00345041	0.325	2.549967576
post-translational protein modification	mmu-miR-92b	0.00345041	0.325	2.549967576
response to DNA damage stimulus	mmu-let-7c-1	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-let-7f	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-129-3p	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-184	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-186	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-18a	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-191	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-29b	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-351	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-718	0.0034933	0.395	1.679302971
response to DNA damage stimulus	mmu-miR-92b	0.0034933	0.395	1.679302971
regulation of mitotic cell cycle	mmu-let-7c-1	0.0035806	0.225	6.091589209
regulation of mitotic cell cycle	mmu-let-7f	0.0035806	0.225	6.091589209
regulation of mitotic cell cycle	mmu-miR-184	0.0035806	0.225	6.091589209
regulation of mitotic cell cycle	mmu-miR-718	0.0035806	0.225	6.091589209
regulation of mitotic cell cycle	mmu-miR-92b	0.0035806	0.225	6.091589209
protein modification process	mmu-let-7c-1	0.00415255	0.43	1.827476763
protein modification process	mmu-let-7f	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-129-3p	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-186	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-18a	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-191	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-351	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-718	0.00415255	0.43	1.827476763
protein modification process	mmu-miR-92b	0.00415255	0.43	1.827476763
ovarian follicle development	mmu-let-7f	0.00440447	0.34	3.178220457
ovarian follicle development	mmu-miR-129-3p	0.00440447	0.34	3.178220457
ovarian follicle development	mmu-miR-191	0.00440447	0.34	3.178220457
ovarian follicle development	mmu-miR-29b	0.00440447	0.34	3.178220457
ovarian follicle development	mmu-miR-351	0.00440447	0.34	3.178220457
ovarian follicle development	mmu-miR-718	0.00440447	0.34	3.178220457
GPI anchor biosynthetic process	mmu-let-7c-1	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-let-7f	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-129-3p	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-184	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-191	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-29b	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-351	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-718	0.00441957	0.36	2.937016226
GPI anchor biosynthetic process	mmu-miR-92b	0.00441957	0.36	2.937016226
chloride transport	mmu-let-7c-1	0.00454675	0.3375	2.375719791
chloride transport	mmu-let-7f	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-129-3p	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-184	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-186	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-191	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-29b	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-351	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-718	0.00454675	0.3375	2.375719791
chloride transport	mmu-miR-92b	0.00454675	0.3375	2.375719791
protein localization	mmu-let-7c-1	0.00454675	0.335	2.375719791
protein localization	mmu-let-7f	0.00454675	0.335	2.375719791
protein localization	mmu-miR-129-3p	0.00454675	0.335	2.375719791
protein localization	mmu-miR-184	0.00454675	0.335	2.375719791
protein localization	mmu-miR-186	0.00454675	0.335	2.375719791
protein localization	mmu-miR-18a	0.00454675	0.335	2.375719791
protein localization	mmu-miR-191	0.00454675	0.335	2.375719791
protein localization	mmu-miR-29b	0.00454675	0.335	2.375719791
protein localization	mmu-miR-351	0.00454675	0.335	2.375719791
protein localization	mmu-miR-718	0.00454675	0.335	2.375719791
protein localization	mmu-miR-92b	0.00454675	0.335	2.375719791
proton transport	mmu-let-7c-1	0.00468269	0.3425	2.284345953
proton transport	mmu-let-7f	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-129-3p	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-184	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-186	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-351	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-718	0.00468269	0.3425	2.284345953
proton transport	mmu-miR-92b	0.00468269	0.3425	2.284345953
steroid metabolic process	mmu-let-7c-1	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-let-7f	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-129-3p	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-18a	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-191	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-29b	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-351	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-718	0.00468269	0.38	2.284345953
steroid metabolic process	mmu-miR-92b	0.00468269	0.38	2.284345953
cellular metabolic process	mmu-miR-184	0.00471331	0.325	3.916021634
cellular metabolic process	mmu-miR-186	0.00471331	0.325	3.916021634
cellular metabolic process	mmu-miR-18a	0.00471331	0.325	3.916021634
cellular metabolic process	mmu-miR-191	0.00471331	0.325	3.916021634
cellular metabolic process	mmu-miR-29b	0.00471331	0.325	3.916021634
cellular metabolic process	mmu-miR-351	0.00471331	0.325	3.916021634
regulation of synaptic plasticity	mmu-let-7c-1	0.00471331	0.335	3.916021634
regulation of synaptic plasticity	mmu-let-7f	0.00471331	0.335	3.916021634
regulation of synaptic plasticity	mmu-miR-129-3p	0.00471331	0.335	3.916021634
regulation of synaptic plasticity	mmu-miR-184	0.00471331	0.335	3.916021634
regulation of synaptic plasticity	mmu-miR-351	0.00471331	0.335	3.916021634
cerebellum development	mmu-let-7c-1	0.00491209	0.32	4.568691907
cerebellum development	mmu-miR-184	0.00491209	0.32	4.568691907
cerebellum development	mmu-miR-186	0.00491209	0.32	4.568691907
cerebellum development	mmu-miR-18a	0.00491209	0.32	4.568691907
cerebellum development	mmu-miR-191	0.00491209	0.32	4.568691907
cerebellum development	mmu-miR-718	0.00491209	0.32	4.568691907
ciliary or flagellar motility	mmu-miR-186	0.00491209	0.32	4.568691907
ciliary or flagellar motility	mmu-miR-191	0.00491209	0.32	4.568691907
ciliary or flagellar motility	mmu-miR-29b	0.00491209	0.32	4.568691907
ciliary or flagellar motility	mmu-miR-718	0.00491209	0.32	4.568691907
ciliary or flagellar motility	mmu-miR-92b	0.00491209	0.32	4.568691907
response to exogenous dsRNA	mmu-let-7c-1	0.00491209	0.32	4.568691907
response to exogenous dsRNA	mmu-let-7f	0.00491209	0.32	4.568691907
response to exogenous dsRNA	mmu-miR-29b	0.00491209	0.32	4.568691907
response to exogenous dsRNA	mmu-miR-351	0.00491209	0.32	4.568691907
response to exogenous dsRNA	mmu-miR-718	0.00491209	0.32	4.568691907
response to glucose stimulus	mmu-let-7c-1	0.00491209	0.3225	4.568691907
response to glucose stimulus	mmu-let-7f	0.00491209	0.3225	4.568691907
response to glucose stimulus	mmu-miR-129-3p	0.00491209	0.3225	4.568691907
response to glucose stimulus	mmu-miR-351	0.00491209	0.3225	4.568691907
response to glucose stimulus	mmu-miR-92b	0.00491209	0.3225	4.568691907
negative regulation of cell proliferation	mmu-let-7c-1	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-let-7f	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-129-3p	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-184	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-186	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-18a	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-191	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-29b	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-718	0.00503786	0.365	1.827476763
negative regulation of cell proliferation	mmu-miR-92b	0.00503786	0.365	1.827476763
hemopoiesis	mmu-let-7c-1	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-let-7f	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-129-3p	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-184	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-18a	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-191	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-29b	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-351	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-718	0.0052612	0.3575	2.436635684
hemopoiesis	mmu-miR-92b	0.0052612	0.3575	2.436635684
positive regulation of transcription	mmu-let-7c-1	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-let-7f	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-129-3p	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-184	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-186	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-191	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-29b	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-718	0.00555808	0.42	1.972844232
positive regulation of transcription	mmu-miR-92b	0.00555808	0.42	1.972844232
embryonic digit morphogenesis	mmu-let-7c-1	0.00571843	0.33	3.366404563
embryonic digit morphogenesis	mmu-let-7f	0.00571843	0.33	3.366404563
embryonic digit morphogenesis	mmu-miR-184	0.00571843	0.33	3.366404563
embryonic digit morphogenesis	mmu-miR-718	0.00571843	0.33	3.366404563
embryonic digit morphogenesis	mmu-miR-92b	0.00571843	0.33	3.366404563
regulation of pH	mmu-let-7c-1	0.00571843	0.3175	3.366404563
regulation of pH	mmu-miR-129-3p	0.00571843	0.3175	3.366404563
regulation of pH	mmu-miR-184	0.00571843	0.3175	3.366404563
regulation of pH	mmu-miR-351	0.00571843	0.3175	3.366404563
regulation of pH	mmu-miR-92b	0.00571843	0.3175	3.366404563
telomere maintenance	mmu-let-7c-1	0.00571843	0.3375	3.366404563
telomere maintenance	mmu-miR-129-3p	0.00571843	0.3375	3.366404563
telomere maintenance	mmu-miR-186	0.00571843	0.3375	3.366404563
telomere maintenance	mmu-miR-191	0.00571843	0.3375	3.366404563
telomere maintenance	mmu-miR-351	0.00571843	0.3375	3.366404563
telomere maintenance	mmu-miR-92b	0.00571843	0.3375	3.366404563
germ cell development	mmu-let-7c-1	0.00579335	0.355	2.835739804
germ cell development	mmu-let-7f	0.00579335	0.355	2.835739804
germ cell development	mmu-miR-184	0.00579335	0.355	2.835739804
germ cell development	mmu-miR-186	0.00579335	0.355	2.835739804
germ cell development	mmu-miR-18a	0.00579335	0.355	2.835739804
germ cell development	mmu-miR-351	0.00579335	0.355	2.835739804
germ cell development	mmu-miR-92b	0.00579335	0.355	2.835739804
positive regulation of multicellular organism growth	mmu-let-7f	0.00579335	0.325	2.835739804
positive regulation of multicellular organism growth	mmu-miR-129-3p	0.00579335	0.325	2.835739804
positive regulation of multicellular organism growth	mmu-miR-184	0.00579335	0.325	2.835739804
positive regulation of multicellular organism growth	mmu-miR-186	0.00579335	0.325	2.835739804
positive regulation of multicellular organism growth	mmu-miR-718	0.00579335	0.325	2.835739804
positive regulation of multicellular organism growth	mmu-miR-92b	0.00579335	0.325	2.835739804
neuron fate commitment	mmu-let-7c-1	0.00597943	0.3575	3.045794604
neuron fate commitment	mmu-let-7f	0.00597943	0.3575	3.045794604
neuron fate commitment	mmu-miR-129-3p	0.00597943	0.3575	3.045794604
neuron fate commitment	mmu-miR-18a	0.00597943	0.3575	3.045794604
neuron fate commitment	mmu-miR-29b	0.00597943	0.3575	3.045794604
neuron fate commitment	mmu-miR-351	0.00597943	0.3575	3.045794604
placenta development	mmu-let-7f	0.00597943	0.3525	3.045794604
placenta development	mmu-miR-129-3p	0.00597943	0.3525	3.045794604
placenta development	mmu-miR-186	0.00597943	0.3525	3.045794604
placenta development	mmu-miR-18a	0.00597943	0.3525	3.045794604
placenta development	mmu-miR-718	0.00597943	0.3525	3.045794604
placenta development	mmu-miR-92b	0.00597943	0.3525	3.045794604
cell surface receptor linked signal transduction	mmu-let-7c-1	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-let-7f	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-129-3p	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-186	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-18a	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-191	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-29b	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-351	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-718	0.0063764	0.3875	2.088544872
cell surface receptor linked signal transduction	mmu-miR-92b	0.0063764	0.3875	2.088544872
JNK cascade	mmu-let-7c-1	0.00713293	0.3225	3.654953525
JNK cascade	mmu-let-7f	0.00713293	0.3225	3.654953525
JNK cascade	mmu-miR-129-3p	0.00713293	0.3225	3.654953525
JNK cascade	mmu-miR-351	0.00713293	0.3225	3.654953525
JNK cascade	mmu-miR-92b	0.00713293	0.3225	3.654953525
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-let-7c-1	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-129-3p	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-184	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-186	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-29b	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-351	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-718	0.00741047	0.4	2.059128747
transmembrane receptor protein tyrosine kinase signaling pathway	mmu-miR-92b	0.00741047	0.4	2.059128747
central nervous system development	mmu-let-7c-1	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-129-3p	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-184	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-18a	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-191	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-29b	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-718	0.00742962	0.3975	2.451493218
central nervous system development	mmu-miR-92b	0.00742962	0.3975	2.451493218
decidualization	mmu-let-7c-1	0.00762972	0.0175	5.221362179
decidualization	mmu-miR-184	0.00762972	0.0175	5.221362179
decidualization	mmu-miR-18a	0.00762972	0.0175	5.221362179
defense response to Gram-negative bacterium	mmu-let-7c-1	0.00762972	0.0125	5.221362179
defense response to Gram-negative bacterium	mmu-miR-184	0.00762972	0.0125	5.221362179
defense response to Gram-negative bacterium	mmu-miR-186	0.00762972	0.0125	5.221362179
defense response to Gram-negative bacterium	mmu-miR-29b	0.00762972	0.0125	5.221362179
myoblast fusion	mmu-let-7c-1	0.00762972	0.1325	5.221362179
myoblast fusion	mmu-miR-18a	0.00762972	0.1325	5.221362179
myoblast fusion	mmu-miR-29b	0.00762972	0.1325	5.221362179
nerve growth factor receptor signaling pathway	mmu-let-7f	0.00762972	0.155	5.221362179
nerve growth factor receptor signaling pathway	mmu-miR-186	0.00762972	0.155	5.221362179
nerve growth factor receptor signaling pathway	mmu-miR-191	0.00762972	0.155	5.221362179
nerve growth factor receptor signaling pathway	mmu-miR-718	0.00762972	0.155	5.221362179
nerve growth factor receptor signaling pathway	mmu-miR-92b	0.00762972	0.155	5.221362179
vesicle transport along microtubule	mmu-miR-129-3p	0.00762972	0.315	5.221362179
vesicle transport along microtubule	mmu-miR-184	0.00762972	0.315	5.221362179
vesicle transport along microtubule	mmu-miR-29b	0.00762972	0.315	5.221362179
vesicle transport along microtubule	mmu-miR-92b	0.00762972	0.315	5.221362179
