UID	NAME	C1	C3	C2	E1	E6	E5	E3	E4	E2
A_01_P009782	||  || A_01_P009782 ||  || MMSP0022_D12 MMSP Macaca mulatta cDNA, mRNA sequence [CB554676] ||  ||  || 6287432	-1.43	-0.99	-1.25	-0.72	-0.38	-0.08	-0.41	-0.07	-0.51
A_01_P004989	||  || A_01_P004989 ||  || Homo sapiens RAD23 homolog B (S. cerevisiae) (RAD23B), mRNA. [NM_002874] ||  ||  || 6270513	-1.62	-1.53	-2.12	-0.92	-0.63	-0.43	-0.06	-0.36	-1.18
A_01_P018532	||  || A_01_P018532 ||  || Homo sapiens pro-oncosis receptor inducing membrane injury gene (PORIMIN), mRNA. [NM_052932] ||  ||  || 6284095	-2	-2.2	-1.76	-1.34	0.74	0.2	-0.13	0.08	-0.92
A_01_P017068	||  || A_01_P017068 ||  || Homo sapiens ribosomal protein S4, X-linked (RPS4X), mRNA [NM_001007] ||  ||  || 6285237	-1.4	-1.48	-1.63	-0.44	-0.19	-0.14	-0.66	-0.36	-1.13
A_01_P005980	||  || A_01_P005980 ||  || Homo sapiens poly(A) polymerase alpha (PAPOLA), mRNA. [NM_032632] ||  ||  || 6272663	-0.85	-0.99	-1.78	-0.04	-0.01	0.28	0.12	0.39	-0.66
A_01_P013359	||  || A_01_P013359 ||  || Homo sapiens chromosome 6 open reading frame 145 (C6orf145), mRNA [NM_183373] ||  ||  || 6280513	-1.35	-1.39	-0.59	0	0.26	0.77	0.47	1.24	-0.39
A_01_P005214	||  || A_01_P005214 ||  || ILLUMIGEN_MCQ_10410 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:9278 5 similar to Bases 4 to 931 highly similar to human YES1 (Hs.194148), mRNA sequence [CN644462] ||  ||  || 6291334	-0.35	-0.94	-0.41	0.06	0.82	0.14	0.44	0.46	0.38
A_01_P011816	||  || A_01_P011816 ||  || Homo sapiens inositol polyphosphate-5-phosphatase F (INPP5F), transcript variant 3, mRNA [NM_198331] ||  ||  || 6274907	1.31	1.25	1.31	-0.31	-0.24	-0.17	-0.27	-0.34	-0.05
A_01_P017300	||  || A_01_P017300 ||  ||  ||  ||  || 6290216	1.42	1.93	2.01	-0.02	-0.25	-0.11	0.25	0.14	-0.26
A_01_P011788	||  || A_01_P011788 ||  || Homo sapiens hypothetical protein MGC34741 (MGC34741), mRNA [NM_153356] ||  ||  || 6291312	2.03	1.5	1.78	0	0.4	-0.25	0.01	0.09	0.04
A_01_P000391	||  || A_01_P000391 ||  || Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), transcript variant 1, mRNA. [NM_005187] ||  ||  || 6279434	1.36	2.09	1.6	-0.42	-0.08	-0.27	0.12	-0.31	0.36
A_01_P007034	||  || A_01_P007034 ||  || Macaca mulatta EP2L protein (EP2) mRNA, complete cds; alternatively spliced [AF466351] ||  ||  || 6284178	1.36	1.21	2	-0.02	0.25	-0.35	-0.09	-0.35	-0.24
A_01_P010074	||  || A_01_P010074 ||  || Homo sapiens tuberoinfundibular 39 residue protein precursor (TIP39), mRNA. [NM_178449] ||  ||  || 6286552	1.41	2.18	1.57	-0.54	-0.53	-0.4	0.02	-0.72	0.35
A_01_P000211	||  || A_01_P000211 ||  || Homo sapiens proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen) (PRTN3), mRNA. [NM_002777] ||  ||  || 6286119	1.62	2.29	1.76	-0.42	-0.16	-0.25	0.26	-0.08	0.64
A_01_P017371	||  || A_01_P017371 ||  || Homo sapiens retinitis pigmentosa 1-like 1 (RP1L1), mRNA. [NM_178857] ||  ||  || 6286298	1.39	2.43	1.81	-0.25	0.41	-0.25	-0.64	0.05	-0.05
A_01_P001247	||  || A_01_P001247 ||  || PREDICTED: Macaca mulatta similar to DNA excision repair protein ERCC-8 (Cockayne syndrome WD repeat protein CSA) (LOC713594), mRNA [XR_012832] ||  ||  || 6271936	1.51	2.45	1.88	0.51	-0.86	-0.43	-0.04	-0.74	-0.46
A_01_P013839	||  || A_01_P013839 ||  || Homo sapiens triggering receptor expressed on myeloid cells 1 (TREM1), mRNA. [NM_018643] ||  ||  || 6272773	2.3	1.6	1.61	-0.48	-0.64	0.19	0.3	0.26	-0.26
A_01_P015534	||  || A_01_P015534 ||  || Homo sapiens transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA. [NM_007108] ||  ||  || 6270105	0.74	1.64	1.15	-0.75	-0.9	-0.54	-0.51	-1.32	-0.23
A_01_P015930	||  || A_01_P015930 ||  || PREDICTED: Macaca mulatta similar to T-cell receptor beta chain C region (LOC703029), mRNA [XR_011099] ||  ||  || 6280547	0.86	0.71	0.71	-1.03	-0.6	-0.34	-0.39	-0.48	-0.35
A_01_P013265	||  || A_01_P013265 ||  || Homo sapiens dedicator of cytokinesis 4 (DOCK4), mRNA. [NM_014705] ||  ||  || 6285107	1.87	2.46	1.91	0.67	0.39	0.35	0.66	0.16	1
A_01_P006684	||  || A_01_P006684 ||  || Homo sapiens cytochrome P450, family 2, subfamily D, polypeptide 6 (CYP2D6), mRNA [NM_000106] ||  ||  || 6284868	1.07	1.76	1.28	-0.64	0.1	-0.29	0	-0.41	0.11
A_01_P011670	||  || A_01_P011670 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC700278 (LOC700278), mRNA [XR_010711] ||  ||  || 6293625	1.74	2.6	2.05	-0.02	-0.25	-0.09	0.1	-0.35	1.04
A_01_P015885	||  || A_01_P015885 ||  || Homo sapiens Fc fragment of IgE, low affinity II, receptor for (CD23A) (FCER2), mRNA. [NM_002002] ||  ||  || 6271942	1.31	0.99	0.78	-0.08	-0.09	-0.17	-0.2	-0.43	0.12
A_01_P010801	||  || A_01_P010801 ||  ||  ||  ||  || 6267429	1.47	1.08	0.78	-0.21	-0.3	-0.1	0.13	0	-0.15
