Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
	3152	XR_016161	1.325	-0.213	-0.471	0.323	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC642448), mRNA [XR_016161]
PTPRR	10092	PTPRR	1.325	0.02	-1.357	-0.087	protein tyrosine phosphatase, receptor type, R (PTPRR), transcript variant 1, mRNA [NM_002849]
CYP2B6	42261	CYP2B6	1.328	-0.659	-1.352	-0.111	cytochrome P450, family 2, subfamily B, polypeptide 6 (CYP2B6), mRNA [NM_000767]
GLS	24076	GLS	1.333	0.29	0.302	0.322	glutaminase (GLS), nuclear gene encoding mitochondrial protein, mRNA [NM_014905]
	1300	XR_019191	1.333	-0.053	-0.331	0.329	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC121054), mRNA [XR_019191]
EDEM1	18443	EDEM1	1.334	-0.15	-0.039	-0.076	ER degradation enhancer, mannosidase alpha-like 1 (EDEM1), mRNA [NM_014674]
C19orf33	35579	C19orf33	1.337	0.058	-0.365	-0.098	chromosome 19 open reading frame 33 (C19orf33), mRNA [NM_033520]
SLC37A1	44666	SLC37A1	1.338	0.021	-0.193	-0.068	solute carrier family 37 (glycerol-3-phosphate transporter), member 1 (SLC37A1), mRNA [NM_018964]
RHOF	37987	RHOF	1.339	-0.546	-0.356	0.052	ras homolog gene family, member F (in filopodia) (RHOF), mRNA [NM_019034]
MUC13	5570	MUC13	1.342	-0.842	-2.248	0.215	mucin 13, cell surface associated (MUC13), mRNA [NM_033049]
	41133	MGC2664	1.344	-1.176	-1.476	-0.311	Homo sapiens, clone IMAGE:3543963, mRNA. [BC004968]
HEPH	45087	HEPH	1.345	0.063	-0.694	0.017	hephaestin (HEPH), transcript variant 2, mRNA [NM_014799]
	7177	A_24_P780319	1.347	-0.123	-0.391	0.296	Unknown
MICAL1	40891	MICAL1	1.348	0.159	0.308	0.373	microtubule associated monoxygenase, calponin and LIM domain containing 1 (MICAL1), mRNA [NM_022765]
ASAP3	2982	DDEFL1	1.348	-0.099	0.3	0.344	development and differentiation enhancing factor-like 1 (DDEFL1), mRNA [NM_017707]
ATP9B	24797	ATP9B	1.352	-0.491	-1.013	0.027	ATPase, class II, type 9B (ATP9B), mRNA [NM_198531]
TNFRSF6B	24047	TNFRSF6B	1.353	0.017	-0.098	0.173	tumor necrosis factor receptor superfamily, member 6b, decoy (TNFRSF6B), transcript variant M68C, mRNA [NM_032945]
SLC22A23	17189	SLC22A23	1.354	0.104	0.017	0.034	solute carrier family 22, member 23 (SLC22A23), transcript variant 1, mRNA [NM_015482]
KRT18P42	22443	KRT18P42	1.356	-0.125	-0.335	0.367	PREDICTED: Homo sapiens misc_RNA (KRT18P42), miscRNA [XR_018193]
BLOC1S6	38564	PLDN	1.359	0.041	-0.253	-0.084	pallidin homolog (mouse) (PLDN), mRNA [NM_012388]
PHLDA2	17497	PHLDA2	1.359	-0.463	0.165	0.026	pleckstrin homology-like domain, family A, member 2 (PHLDA2), mRNA [NM_003311]
DDX60	32030	DDX60	1.359	0.66	0.973	0.214	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 (DDX60), mRNA [NM_017631]
	38164	BE738586	1.359	--	--	--	601572877T1 NIH_MGC_57 Homo sapiens cDNA clone IMAGE:3839731 3, mRNA sequence [BE738586]
SEMA4G	43223	SEMA4G	1.361	0.288	-0.059	0.05	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G (SEMA4G), mRNA [NM_017893]
	32316	AF088076	1.361	-0.726	-1.241	0.125	Homo sapiens full length insert cDNA clone ZE01A04. [AF088076]
UGT2B7	12184	UGT2B7	1.363	0.263	-0.85	1.305	UDP glucuronosyltransferase 2 family, polypeptide B7 (UGT2B7), mRNA [NM_001074]
BTN3A2	6469	BTN3A2	1.363	0.563	0.474	0.176	butyrophilin, subfamily 3, member A2 (BTN3A2), mRNA [NM_007047]
ITGA3	1569	ITGA3	1.363	0.129	-0.001	-0.057	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) (ITGA3), transcript variant a, mRNA [NM_002204]
IFIT2	810	IFIT2	1.364	0.369	1.404	0.499	interferon-induced protein with tetratricopeptide repeats 2 (IFIT2), mRNA [NM_001547]
	11168	BU943730	1.369	0.062	-1.144	1.044	AGENCOURT_10544326 NIH_MGC_126 Homo sapiens cDNA clone IMAGE:6723988 5, mRNA sequence [BU943730]
KRT18	12579	KRT18	1.37	-0.005	-0.287	0.463	keratin 18 (KRT18), transcript variant 1, mRNA [NM_000224]
FUT5	26063	FUT5	1.373	-0.59	-0.61	-0.155	fucosyltransferase 5 (alpha (1,3) fucosyltransferase) (FUT5), mRNA [NM_002034]
S100P	12550	S100P	1.375	-1.184	-1.557	0.131	S100 calcium binding protein P (S100P), mRNA [NM_005980]
ZZEF1	41514	ZZEF1	1.379	0.163	0.383	0.064	zinc finger, ZZ-type with EF-hand domain 1 (ZZEF1), mRNA [NM_015113]
	9431	XR_018843	1.382	-0.025	-0.275	0.441	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC649233), mRNA [XR_018843]
	43280	THC2702298	1.383	-0.951	-0.319	0.018	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (6%) [THC2702298]
	13984	THC2757602	1.388	0.392	0.171	0.185	Unknown
PLXNA2	6516	PLXNA2	1.388	0.213	0.297	0.248	plexin A2 (PLXNA2), mRNA [NM_025179]
	39244	ENST00000343959	1.39	0.607	-0.012	0.083	Protein FAM25. [Source:Uniprot/SWISSPROT;Acc:Q5VTM1] [ENST00000343959]
C10orf116	22196	C10orf116	1.393	0.093	-0.465	0.452	chromosome 10 open reading frame 116 (C10orf116), mRNA [NM_006829]
SERPINB8	472	SERPINB8	1.395	-0.461	-0.525	0.282	serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 3, mRNA [NM_001031848]
KLF2	38543	KLF2	1.396	-0.299	0.066	0.255	Kruppel-like factor 2 (lung) (KLF2), mRNA [NM_016270]
ATP10A	36921	ATP10A	1.399	-0.564	-0.139	-0.311	ATPase, class V, type 10A (ATP10A), mRNA [NM_024490]
TOB1	34977	TOB1	1.401	0.15	0.201	-0.059	Homo sapiens, clone IMAGE:4133978, mRNA. [BC015064]
CAMK2N1	44995	CAMK2N1	1.403	0.072	-0.09	0.23	calcium/calmodulin-dependent protein kinase II inhibitor 1 (CAMK2N1), mRNA [NM_018584]
FGFBP1	12714	FGFBP1	1.407	-0.64	-0.669	-0.129	fibroblast growth factor binding protein 1 (FGFBP1), mRNA [NM_005130]
TSPAN8	28149	TSPAN8	1.408	-0.843	-1.377	0.224	tetraspanin 8 (TSPAN8), mRNA [NM_004616]
GALNT10	13619	GALNT10	1.415	2.228	2.026	-0.055	Homo sapiens cDNA FLJ11715 fis, clone HEMBA1005223. [AK021777]
MAGT1	36373	MAGT1	1.423	-0.281	-0.262	0.169	magnesium transporter 1 (MAGT1), mRNA [NM_032121]
KIAA1324L	36288	KIAA1324L	1.425	0.15	0.331	0.025	KIAA1324-like (KIAA1324L), mRNA [NM_152748]
RILP	29949	RILP	1.425	0.023	-0.005	0.036	Rab interacting lysosomal protein (RILP), mRNA [NM_031430]
NDRG1	44392	NDRG1	1.426	-1.202	-0.291	0.228	N-myc downstream regulated gene 1 (NDRG1), mRNA [NM_006096]
TP53INP1	36711	TP53INP1	1.427	1.044	0.905	0.279	tumor protein p53 inducible nuclear protein 1 (TP53INP1), mRNA [NM_033285]
PLSCR4	7526	PLSCR4	1.43	0.358	0.195	0.218	phospholipid scramblase 4 (PLSCR4), mRNA [NM_020353]
TRNP1	11543	LOC388610	1.43	0.816	0.16	0.545	hypothetical LOC388610 (LOC388610), mRNA [NM_001013642]
FUT6	32408	FUT6	1.432	-0.568	-0.299	0.108	fucosyltransferase 6 (alpha (1,3) fucosyltransferase) (FUT6), transcript variant 1, mRNA [NM_000150]
MOB3B	37130	MOBKL2B	1.432	0.109	-0.52	0.126	MOB1, Mps One Binder kinase activator-like 2B (yeast) (MOBKL2B), mRNA [NM_024761]
HEPH	31504	HEPH	1.441	-0.117	-0.69	-0.015	hephaestin (HEPH), transcript variant 2, mRNA [NM_014799]
KRT8	28953	KRT8	1.443	-0.168	--	0.2	keratin 8 (KRT8), mRNA [NM_002273]
PDZK1IP1	39919	PDZK1IP1	1.443	-0.635	-0.488	-0.146	PDZK1 interacting protein 1 (PDZK1IP1), mRNA [NM_005764]
PARM1	41571	DKFZP564O0823	1.444	-0.492	-0.285	0.054	DKFZP564O0823 protein (DKFZP564O0823), mRNA [NM_015393]
ACSF2	11999	ACSF2	1.445	-0.14	-0.118	0.081	acyl-CoA synthetase family member 2 (ACSF2), mRNA [NM_025149]
CALML4	32303	CALML4	1.447	0.165	-0.84	-0.218	calmodulin-like 4 (CALML4), transcript variant 1, mRNA [NM_033429]
SOD3	40689	SOD3	1.45	0.055	0.033	-0.105	superoxide dismutase 3, extracellular (SOD3), mRNA [NM_003102]
	7237	ENST00000375606	1.451	0.129	-0.109	0.072	Transmembrane protein 16M (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5TEV4] [ENST00000375606]
SLC22A18	13788	SLC22A18	1.451	-1.066	-1.09	0.173	solute carrier family 22, member 18 (SLC22A18), transcript variant 2, mRNA [NM_183233]
FUT3	37415	FUT3	1.454	-0.608	-0.5	-0.316	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group) (FUT3), transcript variant 1, mRNA [NM_000149]
	31292	THC2533833	1.464	-0.103	0.14	-0.099	AA873311 oh76g08.s1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1472990 3 similar to gb:J05021 EZRIN (HUMAN);, mRNA sequence [AA873311]
KRCC1	32475	KRCC1	1.472	-0.263	-0.342	0.3	lysine-rich coiled-coil 1 (KRCC1), mRNA [NM_016618]
MROH6	29644	C8orf73	1.473	-0.086	-0.43	-0.081	chromosome 8 open reading frame 73 (C8orf73), mRNA [NM_001100878]
ST3GAL4	44521	ST3GAL4	1.477	-0.075	0.098	0.163	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 (ST3GAL4), mRNA [NM_006278]
C15orf52	39023	C15orf52	1.477	0.26	-0.105	0.177	chromosome 15 open reading frame 52 (C15orf52), mRNA [NM_207380]
SQRDL	10971	SQRDL	1.479	0.088	-0.272	0.039	sulfide quinone reductase-like (yeast) (SQRDL), mRNA [NM_021199]
C19orf33	40219	C19orf33	1.489	0.285	-0.277	-0.066	chromosome 19 open reading frame 33 (C19orf33), mRNA [NM_033520]
C7orf53	38404	C7orf53	1.491	0.255	0.61	0.71	chromosome 7 open reading frame 53 (C7orf53), mRNA [NM_182597]
F2RL1	7298	F2RL1	1.491	-0.243	-0.457	-0.148	coagulation factor II (thrombin) receptor-like 1 (F2RL1), mRNA [NM_005242]
FFAR4	11310	GPR120	1.5	-2.244	-2.058	0.605	G protein-coupled receptor 120 (GPR120), mRNA [NM_181745]
OPTN	26916	OPTN	1.503	0.102	0.73	0.268	optineurin (OPTN), transcript variant 1, mRNA [NM_001008211]
PLCE1	43888	PLCE1	1.515	0.405	0.228	0.306	phospholipase C, epsilon 1 (PLCE1), mRNA [NM_016341]
PDE9A	36981	PDE9A	1.516	-0.724	-0.708	0.187	phosphodiesterase 9A (PDE9A), transcript variant 1, mRNA [NM_002606]
KIAA1551	28646	C12orf35	1.516	-0.419	-0.961	0.181	chromosome 12 open reading frame 35 (C12orf35), mRNA [NM_018169]
ANKRD42	42646	ANKRD42	1.517	0.605	0.218	-0.245	ankyrin repeat domain 42 (ANKRD42), mRNA [NM_182603]
IGSF9	17260	IGSF9	1.52	-0.046	-0.014	0.046	immunoglobulin superfamily, member 9 (IGSF9), mRNA [NM_020789]
SMIM14	38832	C4orf34	1.524	0.332	-0.141	0.052	chromosome 4 open reading frame 34 (C4orf34), mRNA [NM_174921]
GBP3	14617	GBP3	1.526	0.146	0.421	0.388	guanylate binding protein 3 (GBP3), mRNA [NM_018284]
	18730	A_24_P844100	1.526	-0.219	-0.452	0.396	Unknown
	43902	THC2559002	1.527	0.441	0.622	0.034	Unknown
TMSB4XP8	22051	TMSL3	1.53	0.181	-0.451	0.286	thymosin-like 3 (TMSL3), mRNA [NM_183049]
CDA	38676	CDA	1.533	-0.72	-0.581	0.24	cytidine deaminase (CDA), mRNA [NM_001785]
MICAL2	28936	MICAL2	1.534	-0.274	-0.777	0.206	microtubule associated monoxygenase, calponin and LIM domain containing 2 (MICAL2), mRNA [NM_014632]
	12211	XR_018991	1.535	-0.169	-0.293	0.727	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (LOC344320), mRNA [XR_018991]
	33581	ENST00000211092	1.549	-0.6	-0.881	0.289	Homo sapiens HSPC323 mRNA, partial cds. [AF161441]
	19048	AK057652	1.549	0.065	0.698	-0.173	Homo sapiens cDNA FLJ33090 fis, clone TRACH2000559. [AK057652]
C1orf54	29316	C1orf54	1.552	0.195	0.016	0.213	chromosome 1 open reading frame 54 (C1orf54), mRNA [NM_024579]
	35152	ENST00000343505	1.553	-0.54	-0.637	-0.089	NHS-like protein 1. [Source:Uniprot/SPTREMBL;Acc:Q5SYE7] [ENST00000343505]
PLCXD1	39934	PLCXD1	1.559	-0.115	0.27	-0.126	phosphatidylinositol-specific phospholipase C, X domain containing 1 (PLCXD1), mRNA [NM_018390]
	18285	LOC644186	1.56	0.95	1.036	0.692	hypothetical protein LOC644186 (LOC644186), mRNA [NM_001123225]
	2056	LOC339240	1.56	--	--	--	keratin pseudogene (LOC339240) on chromosome 17 [NR_001443]
AGPAT4	24564	AGPAT4	1.561	0.443	0.832	0.407	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) (AGPAT4), mRNA [NM_020133]
TFF3	28514	TFF3	1.566	-0.252	-0.29	0.15	trefoil factor 3 (intestinal) (TFF3), mRNA [NM_003226]
PSORS1C1	13956	PSORS1C1	1.566	-0.629	-1.268	0.125	psoriasis susceptibility 1 candidate 1 (PSORS1C1), mRNA [NM_014068]
	37624	TncRNA	1.567	0.74	0.288	0.215	trophoblast-derived noncoding RNA (TncRNA) on chromosome 11 [NR_002802]
TMSB4X	21438	TMSB4X	1.57	0.157	-0.378	0.203	thymosin beta 4, X-linked (TMSB4X), mRNA [NM_021109]
GSN	41636	GSN	1.572	0.987	1.006	0.353	gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 2, mRNA [NM_198252]
GBP3	24321	GBP3	1.574	-0.247	0.157	0.21	guanylate binding protein 3 (GBP3), mRNA [NM_018284]
POLD4	3245	POLD4	1.574	-0.007	0.063	0.192	polymerase (DNA-directed), delta 4 (POLD4), mRNA [NM_021173]
CRIP2	19976	CRIP2	1.577	-0.015	-0.212	0.239	cysteine-rich protein 2 (CRIP2), mRNA [NM_001312]
PLCD3	42936	PLCD3	1.579	-0.483	0.017	0.274	phospholipase C, delta 3 (PLCD3), mRNA [NM_133373]
	7547	CK570316	1.588	-1.137	-1.356	-0.099	b21 cDNA subtractive library of human rectum adencarcinoma Homo sapiens cDNA, mRNA sequence [CK570316]
KRT80	15620	KRT80	1.589	1.008	-0.581	0.583	keratin 80 (KRT80), transcript variant 1, mRNA [NM_182507]
MUC5AC	540	MUC5AC	1.593	--	--	--	Homo sapiens mucin (MUC 5AC) mRNA, partial cds. [AF015521]
BCAS4	23659	BCAS4	1.595	0.158	-0.14	0.31	Homo sapiens breast carcinoma amplified sequence 4, mRNA (cDNA clone IMAGE:5764497), partial cds. [BC056883]
NR3C2	38945	NR3C2	1.596	-0.611	0.051	-0.021	nuclear receptor subfamily 3, group C, member 2 (NR3C2), mRNA [NM_000901]
LAMB3	35139	LAMB3	1.596	-0.045	-0.521	0.274	laminin, beta 3 (LAMB3), transcript variant 2, mRNA [NM_001017402]
ALOX5	35355	ALOX5	1.597	0.042	-0.376	0.137	arachidonate 5-lipoxygenase (ALOX5), mRNA [NM_000698]
MEGF6	8208	MEGF6	1.598	0.248	0.352	0.057	multiple EGF-like-domains 6 (MEGF6), mRNA [NM_001409]
MLPH	40055	MLPH	1.599	-0.044	-0.283	0.11	melanophilin (MLPH), transcript variant 2, mRNA [NM_001042467]
	21923	A_24_P530977	1.599	0.18	-0.463	0.289	Unknown
	32279	LOC541469	1.603	0.606	-0.114	0.022	Homo sapiens cDNA: FLJ23477 fis, clone HSI15732. [AK027130]
CDHR5	25689	MUPCDH	1.603	-0.078	-0.238	-0.017	mucin-like protocadherin (MUPCDH), transcript variant 1, mRNA [NM_021924]
NOSTRIN	12943	NOSTRIN	1.605	0.129	-0.481	0.518	nitric oxide synthase trafficker (NOSTRIN), transcript variant 1, mRNA [NM_052946]
SLC16A5	32219	SLC16A5	1.606	-0.092	0.267	0.456	solute carrier family 16, member 5 (monocarboxylic acid transporter 6) (SLC16A5), mRNA [NM_004695]
LAMC2	19735	LAMC2	1.609	0.027	0.051	0.122	laminin, gamma 2 (LAMC2), transcript variant 2, mRNA [NM_018891]
S100A6	13401	S100A6	1.609	0.087	-0.215	0.275	S100 calcium binding protein A6 (S100A6), mRNA [NM_014624]
APOL6	5881	APOL6	1.613	-0.629	-0.121	0.052	apolipoprotein L, 6 (APOL6), mRNA [NM_030641]
	38510	FLJ46111	1.615	-0.018	-0.293	0.34	Homo sapiens cDNA FLJ46111 fis, clone TESTI2034913, moderately similar to Keratin, type II cytoskeletal 8. [AK127993]
TNFAIP2	32784	TNFAIP2	1.617	-0.369	0.178	0.126	tumor necrosis factor, alpha-induced protein 2 (TNFAIP2), mRNA [NM_006291]
	25869	XR_017139	1.623	-0.135	-0.399	0.415	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Cytokeratin endo A) (LOC342419), mRNA [XR_017139]
TMSB4XP8	7450	TMSL3	1.624	0.159	-0.441	0.312	thymosin-like 3 (TMSL3), mRNA [NM_183049]
ITPK1	31718	ITPK1	1.624	-0.183	-0.053	0.184	inositol 1,3,4-triphosphate 5/6 kinase (ITPK1), mRNA [NM_014216]
DHRS3	40043	DHRS3	1.625	0.648	0.623	0.657	dehydrogenase/reductase (SDR family) member 3 (DHRS3), mRNA [NM_004753]
	41235	A_24_P76319	1.626	--	--	--	Unknown
WBSCR27	32421	WBSCR27	1.63	0.046	-0.394	0.034	Williams Beuren syndrome chromosome region 27 (WBSCR27), mRNA [NM_152559]
	4559	XR_019369	1.631	-0.096	-0.524	0.437	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (LOC652524), mRNA [XR_019369]
ABAT	3870	ABAT	1.635	0.464	1.17	0.369	4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_000663]
KCNK5	42299	KCNK5	1.637	0.036	-0.496	0.183	potassium channel, subfamily K, member 5 (KCNK5), mRNA [NM_003740]
SPINK4	43362	SPINK4	1.64	-0.339	-1.192	-0.243	serine peptidase inhibitor, Kazal type 4 (SPINK4), mRNA [NM_014471]
ETHE1	39793	ETHE1	1.641	-0.411	-0.586	-0.174	ethylmalonic encephalopathy 1 (ETHE1), mRNA [NM_014297]
PLAUR	26876	PLAUR	1.641	-0.154	-0.215	0.428	plasminogen activator, urokinase receptor (PLAUR), transcript variant 3, mRNA [NM_001005377]
TFF3	34376	TFF3	1.65	-0.24	-0.418	0.151	trefoil factor 3 (intestinal) (TFF3), mRNA [NM_003226]
	42320	A_24_P93111	1.65	-0.074	-0.3	0.29	Unknown
CALB2	5389	CALB2	1.658	-1.071	-2.399	0.221	calbindin 2, 29kDa (calretinin) (CALB2), transcript variant CALB2, mRNA [NM_001740]
KLF4	19017	KLF4	1.658	-0.801	-0.61	-0.057	Kruppel-like factor 4 (gut) (KLF4), mRNA [NM_004235]
UGT2B10	33235	UGT2B10	1.661	--	--	--	UDP glucuronosyltransferase 2 family, polypeptide B10 (UGT2B10), mRNA [NM_001075]
BCL3	18463	BCL3	1.664	0.352	0.107	0.299	B-cell CLL/lymphoma 3 (BCL3), mRNA [NM_005178]
MUC2	6271	MUC2	1.665	-0.681	-0.894	-0.14	mucin 2, oligomeric mucus/gel-forming (MUC2), mRNA [NM_002457]
	40344	AK091178	1.667	-0.053	-0.361	0.352	Homo sapiens cDNA FLJ33859 fis, clone CTONG2006223, moderately similar to KERATIN, TYPE II CYTOSKELETAL 8. [AK091178]
GSKIP	19240	C14orf129	1.67	-0.154	-0.085	0.233	chromosome 14 open reading frame 129 (C14orf129), mRNA [NM_016472]
	39908	THC2764011	1.671	-0.345	--	--	Unknown
	6472	AK126071	1.673	0.088	0.411	0.159	Homo sapiens cDNA FLJ44083 fis, clone TESTI4040939. [AK126071]
LAMA3	18290	LAMA3	1.675	0.746	0.129	0.642	laminin, alpha 3 (LAMA3), transcript variant 1, mRNA [NM_198129]
ALS2CL	1856	ALS2CL	1.676	-0.797	-0.697	-0.005	ALS2 C-terminal like (ALS2CL), transcript variant 1, mRNA [NM_147129]
ISG20	27204	ISG20	1.677	-0.391	-0.295	0.16	interferon stimulated exonuclease gene 20kDa (ISG20), mRNA [NM_002201]
PRSS3	18900	PRSS3	1.685	0.67	-0.417	0.439	protease, serine, 3 (PRSS3), transcript variant 2, mRNA [NM_002771]
	1468	hCG_1988300	1.686	-0.033	-0.278	0.355	full-length cDNA clone CS0DI072YA21 of Placenta Cot 25-normalized of Homo sapiens (human). [CR613736]
	12709	BG216229	1.686	-0.738	-1.213	0.003	BG216229 RST35803 Athersys RAGE Library Homo sapiens cDNA, mRNA sequence [BG216229]
RELL1	33324	RELL1	1.69	0.097	0.467	0.159	RELT-like 1 (RELL1), transcript variant 1, mRNA [NM_001085400]
DENND2A	39259	DENND2A	1.69	0.511	-1.06	-0.179	DENN/MADD domain containing 2A (DENND2A), mRNA [NM_015689]
BDKRB2	13804	BDKRB2	1.694	-0.338	-0.969	0.313	bradykinin receptor B2 (BDKRB2), mRNA [NM_000623]
ADH1C	44767	ADH1C	1.695	--	--	--	alcohol dehydrogenase 1C (class I), gamma polypeptide (ADH1C), mRNA [NM_000669]
CORO2A	3445	CORO2A	1.7	-0.661	0.143	0.108	Homo sapiens mRNA; cDNA DKFZp686G19226 (from clone DKFZp686G19226). [BX648086]
AGR3	24317	AGR3	1.701	0.304	-1.2	0.528	anterior gradient homolog 3 (Xenopus laevis) (AGR3), mRNA [NM_176813]
	22803	XR_016392	1.703	-0.156	-0.381	0.572	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (LOC643447), mRNA [XR_016392]
PARM1	35685	DKFZP564O0823	1.706	-0.465	-0.408	-0.051	DKFZP564O0823 protein (DKFZP564O0823), mRNA [NM_015393]
MST1L	34158	MSTP9	1.717	0.31	0.121	0.26	macrophage stimulating, pseudogene 9 (MSTP9) on chromosome 1 [NR_002729]
PAG1	17656	PAG1	1.723	-0.237	-0.894	0.06	phosphoprotein associated with glycosphingolipid microdomains 1 (PAG1), mRNA [NM_018440]
CTH	20849	CTH	1.724	-0.261	-0.323	0.026	cystathionase (cystathionine gamma-lyase) (CTH), transcript variant 1, mRNA [NM_001902]
PACSIN1	26195	PACSIN1	1.725	-0.04	0.529	0.458	protein kinase C and casein kinase substrate in neurons 1 (PACSIN1), mRNA [NM_020804]
PRR15L	12713	ATAD4	1.727	0.154	0.139	0.065	ATPase family, AAA domain containing 4 (ATAD4), mRNA [NM_024320]
	22357	XR_017341	1.729	-0.1	-0.445	0.372	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (LOC390610), mRNA [XR_017341]
MLPH	16840	MLPH	1.732	0.011	-0.053	0.167	melanophilin (MLPH), transcript variant 1, mRNA [NM_024101]
	33317	AA593970	1.733	-0.4	-0.232	0.142	AA593970 nn01c05.s1 NCI_CGAP_Co9 Homo sapiens cDNA clone IMAGE:1076456 3, mRNA sequence [AA593970]
KRT15	41458	KRT15	1.735	0.375	0.213	0.059	keratin 15 (KRT15), mRNA [NM_002275]
	13970	XR_015430	1.737	-0.152	-0.546	0.24	PREDICTED: Homo sapiens similar to tau tubulin kinase 2 (LOC731274), mRNA [XR_015430]
	27820	AK000038	1.738	0.34	0.207	-0.183	Homo sapiens cDNA FLJ20031 fis, clone ADSU02180. [AK000038]
TRNP1	25398	LOC388610	1.743	0.814	0.036	0.273	hypothetical LOC388610 (LOC388610), mRNA [NM_001013642]
ARHGEF37	12806	FLJ41603	1.745	0.036	0.452	0.075	FLJ41603 protein (FLJ41603), mRNA [NM_001001669]
OAS1	31336	OAS1	1.745	-0.308	-0.1	0.317	2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1), transcript variant 2, mRNA [NM_002534]
	28986	ENST00000334647	1.748	0.312	-0.31	0.32	Thymosin-like 4. [Source:Uniprot/SPTREMBL;Acc:Q5T4B6] [ENST00000334647]
	34147	LOC730091	1.749	0.419	1.05	0.616	Homo sapiens cDNA FLJ31839 fis, clone NT2RP7000086. [AK056401]
FXYD3	4833	FXYD3	1.757	-0.128	-0.226	0.184	FXYD domain containing ion transport regulator 3 (FXYD3), transcript variant 1, mRNA [NM_005971]
	2015	A_24_P890995	1.757	-0.264	-0.362	0.442	Unknown
PIGR	3191	PIGR	1.765	-0.854	-0.57	-0.1	polymeric immunoglobulin receptor (PIGR), mRNA [NM_002644]
UGT2B11	11582	UGT2B11	1.766	1.815	0.342	0.926	UDP glucuronosyltransferase 2 family, polypeptide B11 (UGT2B11), mRNA [NM_001073]
SHD	21231	SHD	1.767	0.083	-0.203	0.063	Src homology 2 domain containing transforming protein D (SHD), mRNA [NM_020209]
	38060	XR_018299	1.775	-0.086	-0.565	0.457	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (LOC347333), mRNA [XR_018299]
PRSS2	15542	PRSS2	1.776	0.898	-0.312	0.393	protease, serine, 2 (trypsin 2) (PRSS2), transcript variant 1, mRNA [NM_002770]
MXD1	13929	MXD1	1.776	-0.385	-0.643	0.024	MAX dimerization protein 1 (MXD1), mRNA [NM_002357]
RILP	30773	RILP	1.777	0.219	0.081	0.222	Rab interacting lysosomal protein (RILP), mRNA [NM_031430]
STYK1	33550	STYK1	1.78	-0.304	0.721	0.33	serine/threonine/tyrosine kinase 1 (STYK1), mRNA [NM_018423]
	22708	A_23_P111766	1.781	0.819	-0.472	0.51	Unknown
	300	THC2659414	1.787	--	-0.062	-0.169	Unknown
	33056	AI359640	1.79	--	--	--	AI359640 qy33b12.x1 NCI_CGAP_Brn23 Homo sapiens cDNA clone IMAGE:2013791 3, mRNA sequence [AI359640]
EPB41L1	42654	EPB41L1	1.794	0.05	0.102	0.26	erythrocyte membrane protein band 4.1-like 1 (EPB41L1), transcript variant 1, mRNA [NM_012156]
	13153	THC2656077	1.795	-0.057	-0.222	0.069	Unknown
EPAS1	44192	EPAS1	1.797	0.284	1.036	0.526	endothelial PAS domain protein 1 (EPAS1), mRNA [NM_001430]
AKR1C3	42774	AKR1C3	1.798	0.686	0.214	0.63	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) (AKR1C3), mRNA [NM_003739]
