Gene Symbole	Gene Description
ccbe1	collagen and calcium binding EGF domain
ccdc104	coiled-coil domain containing 104
ccdc53	coiled-coil domain containing 53
ccdc99	coiled-coil domain containing 99
cchcr1	coiled-coil alpha-helical rod protein 1
cdc6	cell division cycle 6 homolog (S. cerev
cdk10	cyclin-dependent kinase 10
cdk5	cyclin-dependent kinase 5
cebpd	CCAAT/enhancer binding protein (C/EBP),
cenph	centromere protein H
cenpm	centromere protein M
cfd	complement factor D (adipsin)
cgnl1	cingulin-like 1
chchd10	coiled-coil-helix-coiled-coil-helix dom
chd3	chromodomain helicase DNA binding prote
chrna5	cholinergic receptor, nicotinic, alpha
cir1	corepressor interacting with RBPJ
clic3	chloride intracellular channel 3
clu	clusterin
col12a1	collagen, type XII, alpha 1
col4a2	collagen, type IV, alpha 2
crabp2	cellular retinoic acid binding protein
crip1	cysteine-rich protein 1 (intestinal)
cryz	crystallin, zeta (quinone reductase)
csnk2a2	casein kinase 2, alpha prime polypeptid
ctsf	cathepsin F
cxcr7	chemokine (C-X-C motif) receptor 7
cxorf38	chromosome X open reading frame 38
cyb5a	cytochrome b5 type A (microsomal)
cyp20a1	cytochrome P450, family 20, subfamily A
dalrd3	DALR anticodon binding domain containin
ddah2	dimethylarginine dimethylaminohydrolase
ddit4	DNA-damage-inducible transcript 4
ddx10	DEAD (Asp-Glu-Ala-Asp) box polypeptide
ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide
ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide
dennd1a	DENN/MADD domain containing 1A
dera	2-deoxyribose-5-phosphate aldolase homo
dgkA	diacylglycerol kinase, alpha 80kDa
dhrs1	dehydrogenase/reductase (SDR family) me
dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58
dlx1	distal-less homeobox 1
dnajb9	DnaJ (Hsp40) homolog, subfamily B, memb
dnajc4	DnaJ (Hsp40) homolog, subfamily C, memb
dock3	dedicator of cytokinesis 3
dpm3	dolichyl-phosphate mannosyltransferase
dsp	desmoplakin
dtl	denticleless homolog (Drosophila)
dusp5	dual specificity phosphatase 5
dusp6	dual specificity phosphatase 6
dync1li1	dynein, cytoplasmic 1, light intermedia
ech1	enoyl Coenzyme A hydratase 1, peroxisom
eef2k	eukaryotic elongation factor-2 kinase
eno2	enolase 2 (gamma, neuronal)
epcam	epithelial cell adhesion molecule
ephX1	epoxide hydrolase 1, microsomal (xenobi
etaa1	Ewing tumor-associated antigen 1
fabp3	fatty acid binding protein 3, muscle an
fam107b	family with sequence similarity 107, me
fam171a1	family with sequence similarity 171, me
fam172a	family with sequence similarity 172, me
fam198b	chromosome 4 open reading frame 18
fam26f	family with sequence similarity 26, mem
fam54a	family with sequence similarity 54, mem
fanci	Fanconi anemia, complementation group I
fbxl19	F-box and leucine-rich repeat protein 1
fhod1	formin homology 2 domain containing 1
fign	fidgetin
fitm2	fat storage-inducing transmembrane prot
fn1	fibronectin 1
foxa1	forkhead box A1
foxd1	forkhead box D1
fucA1	fucosidase, alpha-L- 1, tissue
gabpb1	GA binding protein transcription factor
galE	UDP-galactose-4-epimerase
galT	galactose-1-phosphate uridylyltransfera
galnt11	UDP-N-acetyl-alpha-D-galactosamine:poly
garnl3	GTPase activating Rap/RanGAP domain-lik
gbp5	guanylate binding protein 5
gcnt3	glucosaminyl (N-acetyl) transferase 3,
gfpt2	glutamine-fructose-6-phosphate transami
gfra1	GDNF family receptor alpha 1
glb1l	galactosidase, beta 1-like
glt8d1	glycosyltransferase 8 domain containing
gmfb	glia maturation factor, beta
gnpda1	glucosamine-6-phosphate deaminase 1
golga4	golgi autoantigen, golgin subfamily a,
gpatch2	G patch domain containing 2
gpatch4	G patch domain containing 4
grhpr	glyoxylate reductase/hydroxypyruvate re
grn	granulin
gstk1	glutathione S-transferase kappa 1
gtf2i	general transcription factor II, i
gtpbp2	GTP binding protein 2
gxylt2	glycosyltransferase 8 domain containing
h2afy2	H2A histone family, member Y2
hadh	hydroxyacyl-Coenzyme A dehydrogenase
hapln3	hyaluronan and proteoglycan link protei
haus6	HAUS augmin-like complex, subunit 6
herc6	hect domain and RLD 6
hes1	hairy and enhancer of split 1, (Drosoph
hgd	homogentisate 1,2-dioxygenase (homogent
hibadh	3-hydroxyisobutyrate dehydrogenase
hlx	H2.0-like homeobox
hmgcL	3-hydroxymethyl-3-methylglutaryl-Coenzy
hmox1	heme oxygenase (decycling) 1
hnrpll	heterogeneous nuclear ribonucleoprotein
hoxa1	homeobox A1
hoxa2	homeobox A2
hpcal1	hippocalcin-like 1
hsd17b4	hydroxysteroid (17-beta) dehydrogenase
hyi	hydroxypyruvate isomerase homolog (E. c
id1	inhibitor of DNA binding 1, dominant ne
idh3a	isocitrate dehydrogenase 3 (NAD+) alpha
ifi30	interferon, gamma-inducible protein 30
ifit5	interferon-induced protein with tetratr
igfbp3	insulin-like growth factor binding prot
il1rap	interleukin 1 receptor accessory protei
ip6k2	inositol hexakisphosphate kinase 2
isyna1	inositol-3-phosphate synthase 1
itga6	integrin, alpha 6
kiaa0247	KIAA0247
kiaa0556	KIAA0556
kiaa0895	KIAA0895
kiaa1370	KIAA1370
kiaa1524	KIAA1524
kif18a	kinesin family member 18A
kif20a	kinesin family member 20A
klf11	Kruppel-like factor 11
klf6	Kruppel-like factor 6
klhl21	kelch-like 21 (Drosophila)
lamb2	laminin, beta 2 (laminin S)
lat	linker for activation of T cells
lbh	limb bud and heart development homolog
lbp	lipopolysaccharide binding protein
lepre1	leucine proline-enriched proteoglycan (
lhpp	phospholysine phosphohistidine inorgani
lipA	lipase A, lysosomal acid, cholesterol e
lipC	lipase, hepatic
llgl2	lethal giant larvae homolog 2 (Drosophi
loxl1	lysyl oxidase-like 1
lpar1	lysophosphatidic acid receptor 1
lpin1	lipin 1
lrig1	leucine-rich repeats and immunoglobulin
lrp1	low density lipoprotein-related protein
macrod2	MACRO domain containing 2
malL	mal, T-cell differentiation protein-lik
map1lc3a	microtubule-associated protein 1 light
map2k6	mitogen-activated protein kinase kinase
mapt	microtubule-associated protein tau
40240	membrane-associated ring finger (C3HC4)
mars	methionyl-tRNA synthetase
mat2a	methionine adenosyltransferase II, alph
mbnl2	muscleblind-like 2 (Drosophila)
mcm2	minichromosome maintenance complex comp
mest	mesoderm specific transcript homolog (m
mettl1	methyltransferase like 1
mfsd3	major facilitator superfamily domain co
mgmt	O-6-methylguanine-DNA methyltransferase
mgst2	microsomal glutathione S-transferase 2
micB	MHC class I polypeptide-related sequenc
mid1ip1	MID1 interacting protein 1 (gastrulatio
mmp24	matrix metallopeptidase 24 (membrane-in
mn1	meningioma (disrupted in balanced trans
mnt	MAX binding protein
mras	muscle RAS oncogene homolog
mri1	methylthioribose-1-phosphate isomerase
msrB2	methionine sulfoxide reductase B2
mthfd2	methylenetetrahydrofolate dehydrogenase
mustn1	transmembrane protein 110
mx1	myxovirus (influenza virus) resistance
mybl1	v-myb myeloblastosis viral oncogene hom
myh10	myosin, heavy chain 10, non-muscle
nat14	N-acetyltransferase 14 (GCN5-related, p
ncapd3	non-SMC condensin II complex, subunit D
ndrg4	NDRG family member 4
nipbl	Nipped-B homolog (Drosophila)
nisch	nischarin
nme3	non-metastatic cells 3, protein express
nnmt	nicotinamide N-methyltransferase
nop2	NOP2 nucleolar protein homolog (yeast)
npc1	Niemann-Pick disease, type C1
npff	neuropeptide FF-amide peptide precursor
nptxr	neuronal pentraxin receptor
nrcam	neuronal cell adhesion molecule
nsmce1	non-SMC element 1 homolog (S. cerevisia
nsun6	NOL1/NOP2/Sun domain family, member 6
nthl1	nth endonuclease III-like 1 (E. coli)
nucb2	nucleobindin 2
nupl1	nucleoporin like 1
nupr1	nuclear protein, transcriptional regula
ofd1	oral-facial-digital syndrome 1
oscp1	organic solute carrier partner 1
palm	paralemmin
pan2	PAN2 poly(A) specific ribonuclease subu
pccA	propionyl Coenzyme A carboxylase, alpha
pck2	phosphoenolpyruvate carboxykinase 2 (mi
pcmtd2	protein-L-isoaspartate (D-aspartate) O-
pdcd2l	programmed cell death 2-like
pex1	peroxisomal biogenesis factor 1
pgls	6-phosphogluconolactonase
pgm1	phosphoglucomutase 1
phf17	PHD finger protein 17
phf19	PHD finger protein 19
phlda1	pleckstrin homology-like domain, family
phlda2	pleckstrin homology-like domain, family
phyH	phytanoyl-CoA 2-hydroxylase
pld6	phospholipase D family, member 6
plekha7	pleckstrin homology domain containing,
plk2	polo-like kinase 2 (Drosophila)
plscr1	phospholipid scramblase 1
pno1	partner of NOB1 homolog (S. cerevisiae)
poc1a	WD repeat domain 51A
poc5	chromosome 5 open reading frame 37
pola2	polymerase (DNA directed), alpha 2 (70k
poli	polymerase (DNA directed) iota
ppan	peter pan homolog (Drosophila)
ppip5k2	histidine acid phosphatase domain conta
ppl	periplakin
ppp1r13l	protein phosphatase 1, regulatory (inhi
ppp1r14c	protein phosphatase 1, regulatory (inhi
ppp2r3c	protein phosphatase 2 (formerly 2A), re
pppde2	PPPDE peptidase domain containing 2
pprc1	peroxisome proliferator-activated recep
prex1	phosphatidylinositol-3,4,5-trisphosphat
prickle2	prickle homolog 2 (Drosophila)
proS1	protein S (alpha)
prpH	peripherin
prpf38a	PRP38 pre-mRNA processing factor 38 (ye
prss23	protease, serine, 23
prss3	protease, serine, 3
psmb9	proteasome (prosome, macropain) subunit
pter	phosphotriesterase related
ptprr	protein tyrosine phosphatase, receptor
rab31	RAB31, member RAS oncogene family
rab36	RAB36, member RAS oncogene family
rab40b	RAB40B, member RAS oncogene family
rab5b	RAB5B, member RAS oncogene family
rad50	RAD50 homolog (S. cerevisiae)
rad51	RAD51 homolog (RecA homolog, E. coli) (
rad54b	RAD54 homolog B (S. cerevisiae)
rangap1	Ran GTPase activating protein 1
rasgrp3	RAS guanyl releasing protein 3 (calcium
rassf8	Ras association (RalGDS/AF-6) domain fa
rbm24	RNA binding motif protein 24
rbm38	RNA binding motif protein 38
rgmb	RGM domain family, member B
ripk4	receptor-interacting serine-threonine k
rnd3	Rho family GTPase 3
rnmt	RNA (guanine-7-) methyltransferase
robo3	roundabout, axon guidance receptor, hom
rp2	retinitis pigmentosa 2 (X-linked recess
rph3al	rabphilin 3A-like (without C2 domains)
rrs1	RRS1 ribosome biogenesis regulator homo
rtn2	reticulon 2
rufy1	RUN and FYVE domain containing 1
runx3	runt-related transcription factor 3
sdsl	serine dehydratase-like
sec11c	SEC11 homolog C (S. cerevisiae)
sema3f	sema domain, immunoglobulin domain (Ig)
setmar	SET domain and mariner transposase fusi
sfrs18	splicing factor, arginine/serine-rich 1
sfrs4	splicing factor, arginine/serine-rich 4
sgms1	sphingomyelin synthase 1
sgms2	sphingomyelin synthase 2
sgpl1	sphingosine-1-phosphate lyase 1
sh3yl1	SH3 domain containing, Ysc84-like 1 (S.
sirt1	sirtuin (silent mating type information
ska3	chromosome 13 open reading frame 3
slain1	SLAIN motif family, member 1
slc1a4	solute carrier family 1 (glutamate/neut
slc22a2	solute carrier family 22 (organic catio
slc25a1	solute carrier family 25 (mitochondrial
slc25a10	solute carrier family 25 (mitochondrial
slc30a1	solute carrier family 30 (zinc transpor
slc35e4	solute carrier family 35, member E4
slc38a9	solute carrier family 38, member 9
slc39a14	solute carrier family 39 (zinc transpor
slc5a6	solute carrier family 5 (sodium-depende
smagp	small trans-membrane and glycosylated p
smarca2	SWI/SNF related, matrix associated, act
smpdl3a	sphingomyelin phosphodiesterase, acid-l
smtn	smoothelin
snai2	snail homolog 2 (Drosophila)
snap23	synaptosomal-associated protein, 23kDa
snx7	sorting nexin 7
soat1	sterol O-acyltransferase 1
spc25	SPC25, NDC80 kinetochore complex compon
sqlE	squalene epoxidase
srebf2	sterol regulatory element binding trans
st3gal5	ST3 beta-galactoside alpha-2,3-sialyltr
stc1	stanniocalcin 1
stk19	serine/threonine kinase 19
stom	stomatin
sult1a1	sulfotransferase family, cytosolic, 1A,
sult4a1	sulfotransferase family 4A, member 1
sumf1	sulfatase modifying factor 1
sycp2	synaptonemal complex protein 2
sync	syncoilin, intermediate filament protei
sytl3	synaptotagmin-like 3
tap1	transporter 1, ATP-binding cassette, su
tbc1d19	TBC1 domain family, member 19
tbc1d9b	TBC1 domain family, member 9B (with GRA
tbx15	T-box 15
tbxa2r	thromboxane A2 receptor
tcf7l1	transcription factor 7-like 1 (T-cell s
tdo2	tryptophan 2,3-dioxygenase
tead4	TEA domain family member 4
tef	thyrotrophic embryonic factor
tgfbi	transforming growth factor, beta-induce
thbs2	thrombospondin 2
thoc4	THO complex 4
thrB	thyroid hormone receptor, beta (erythro
tiam1	T-cell lymphoma invasion and metastasis
tk2	thymidine kinase 2, mitochondrial
tm7sf2	transmembrane 7 superfamily member 2
tmem106b	transmembrane protein 106B
tmem107	transmembrane protein 107
tmem129	transmembrane protein 129
tmem138	transmembrane protein 138
tmem144	transmembrane protein 144
tmem150a	transmembrane protein 150A
tmem38b	transmembrane protein 38B
tmem54	transmembrane protein 54
tnks	tankyrase, TRF1-interacting ankyrin-rel
tpr	translocated promoter region (to activa
tpra1	transmembrane protein, adipocyte asscoc
trim2	tripartite motif-containing 2
tspan15	tetraspanin 15
tspan5	tetraspanin 5
ttc14	tetratricopeptide repeat domain 14
ttc17	tetratricopeptide repeat domain 17
ttll1	tubulin tyrosine ligase-like family, me
tuba3c	tubulin, alpha 3c
tube1	tubulin, epsilon 1
twistnb	TWIST neighbor
tysnd1	trypsin domain containing 1
uaca	uveal autoantigen with coiled-coil doma
ubl3	ubiquitin-like 3
ubxn6	UBX domain protein 6
uck2	uridine-cytidine kinase 2
upp1	uridine phosphorylase 1
usp48	ubiquitin specific peptidase 48
usp53	ubiquitin specific peptidase 53
vamp5	vesicle-associated membrane protein 5 (
vgll3	vestigial like 3 (Drosophila)
vldlr	very low density lipoprotein receptor
vps45	vacuolar protein sorting 45 homolog (S.
wars	tryptophanyl-tRNA synthetase
wdr4	WD repeat domain 4
xrcc3	X-ray repair complementing defective re
xrcc6bp1	XRCC6 binding protein 1
ypel3	yippee-like 3 (Drosophila)
yrdC	yrdC domain containing (E. coli)
zbtb46	zinc finger and BTB domain containing 4
zcchc8	zinc finger, CCHC domain containing 8
zer1	zer-1 homolog (C. elegans)
znf160	zinc finger protein 160
znf236	zinc finger protein 236
znf33a	zinc finger protein 33A
znf572	zinc finger protein 572
ABCA3	ATP-binding cassette, sub-family A (ABC
ACSF2	acyl-CoA synthetase family member 2
ACSL5	acyl-CoA synthetase long-chain family m
AEN	apoptosis enhancing nuclease
ALDH1A3	aldehyde dehydrogenase 1 family, member
AMACR	alpha-methylacyl-CoA racemase
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange f
ASS1	argininosuccinate synthetase 1
Acot4	acyl-CoA thioesterase 4
Adamts1	ADAM metallopeptidase with thrombospond
Adora2b	adenosine A2b receptor
Ang	angiogenin, ribonuclease, RNase A famil
BBS12	Bardet-Biedl syndrome 12
BCL11A	B-cell CLL/lymphoma 11A (zinc finger pr
BEND6	BEN domain containing 6
BTBD2	BTB (POZ) domain containing 2
C10orf116	chromosome 10 open reading frame 116
C11orf52	chromosome 11 open reading frame 52
C12orf5	chromosome 12 open reading frame 5
C16orf75	chromosome 16 open reading frame 75
C1orf135	chromosome 1 open reading frame 135
C1orf186	chromosome 1 open reading frame 186
C1orf213	chromosome 1 open reading frame 213
C1ql1	complement component 1, q subcomponent-
C3orf52	chromosome 3 open reading frame 52
C3orf59	chromosome 3 open reading frame 59
C4orf34	chromosome 4 open reading frame 34
C5orf13	chromosome 5 open reading frame 13
C5orf39	chromosome 5 open reading frame 39
C7orf40	chromosome 7 open reading frame 40
CABLES1	Cdk5 and Abl enzyme substrate 1
CACHD1	cache domain containing 1
CALCOCO1	calcium binding and coiled-coil domain
CAND2	cullin-associated and neddylation-disso
CCNA1	cyclin A1
CCND1	cyclin D1
CD9	CD9 molecule
CD97	CD97 molecule
CD99L2	CD99 molecule-like 2
CDC25A	cell division cycle 25 homolog A (S. po
CDCP1	CUB domain containing protein 1
CDH13	cadherin 13, H-cadherin (heart)
CHST11	carbohydrate (chondroitin 4) sulfotrans
CMPK2	cytidine monophosphate (UMP-CMP) kinase
CRIP2	cysteine-rich protein 2
CTNNBIP1	catenin, beta interacting protein 1
CYP27C1	cytochrome P450, family 27, subfamily C
Cblb	Cas-Br-M (murine) ecotropic retroviral
Ces2	carboxylesterase 2 (intestine, liver)
Chac2	ChaC, cation transport regulator homolo
Cobll1	COBL-like 1
Col6a3	collagen, type VI, alpha 3
Cpt1c	carnitine palmitoyltransferase 1C
Cyp24a1	cytochrome P450, family 24, subfamily A
DNAL4	dynein, axonemal, light chain 4
Dbndd1	dysbindin (dystrobrevin binding protein
EFEMP2	EGF-containing fibulin-like extracellul
ELFN2	extracellular leucine-rich repeat and f
ELL2	elongation factor, RNA polymerase II, 2
Echdc2	enoyl Coenzyme A hydratase domain conta
Enc1	ectodermal-neural cortex (with BTB-like
F12	coagulation factor XII (Hageman factor)
FANCE	Fanconi anemia, complementation group E
FANK1	fibronectin type III and ankyrin repeat
FIGNL1	fidgetin-like 1
FOSL1	FOS-like antigen 1
Fam105a	family with sequence similarity 105, me
GAA	glucosidase, alpha; acid
GADD45A	growth arrest and DNA-damage-inducible,
GCH1	GTP cyclohydrolase 1
GCNT1	glucosaminyl (N-acetyl) transferase 1,
GLIPR2	GLI pathogenesis-related 2
GSDMB	gasdermin B
GSTT1	glutathione S-transferase theta 1
H19	H19, imprinted maternally expressed tra
HBEGF	heparin-binding EGF-like growth factor
HCFC1R1	host cell factor C1 regulator 1 (XPO1 d
HGSNAT	heparan-alpha-glucosaminide N-acetyltra
HMGA1	high mobility group AT-hook 1
HOOK2	hook homolog 2 (Drosophila)
HSD17B6	hydroxysteroid (17-beta) dehydrogenase
HSF2BP	heat shock transcription factor 2 bindi
HTRA1	HtrA serine peptidase 1
Hapln4	hyaluronan and proteoglycan link protei
IFI27	interferon, alpha-inducible protein 27
IFI44	interferon-induced protein 44
IFI6	interferon, alpha-inducible protein 6
IGDCC4	immunoglobulin superfamily, DCC subclas
IL32	interleukin 32
IL6	interleukin 6 (interferon, beta 2)
IRAK2	interleukin-1 receptor-associated kinas
ISG15	ISG15 ubiquitin-like modifier
ITPR1	inositol 1,4,5-triphosphate receptor, t
IVNS1ABP	influenza virus NS1A binding protein
Ifit2	interferon-induced protein with tetratr
Ifit3	interferon-induced protein with tetratr
Ifitm1	interferon induced transmembrane protei
Impa2	inositol(myo)-1(or 4)-monophosphatase 2
KIF12	kinesin family member 12
KRT81	keratin 81
Klf4	Kruppel-like factor 4 (gut)
LAMC2	laminin, gamma 2
LIF	leukemia inhibitory factor (cholinergic
LIN9	lin-9 homolog (C. elegans)
LOC375190	hypothetical protein LOC375190
LOC729013	hypothetical protein LOC729013
LOC729859	WW domain binding protein 1
LPHN2	latrophilin 2
LRIG3	leucine-rich repeats and immunoglobulin
LRRC27	leucine rich repeat containing 27
MAGEB2	melanoma antigen family B, 2
MAGEH1	melanoma antigen family H, 1
MAL2	mal, T-cell differentiation protein 2
MEGF9	multiple EGF-like-domains 9
MEIS1	Meis homeobox 1
MMP13	matrix metallopeptidase 13 (collagenase
MOSPD3	motile sperm domain containing 3
MPV17L	MPV17 mitochondrial membrane protein-li
MRAP2	melanocortin 2 receptor accessory prote
MT1F	metallothionein 1F
NFE2L3	nuclear factor (erythroid-derived 2)-li
NIPAL3	NIPA-like domain containing 3
NIPSNAP1	nipsnap homolog 1 (C. elegans)
NPNT	nephronectin
NUDT15	nudix (nucleoside diphosphate linked mo
Nicn1	nicolin 1
Nptx2	neuronal pentraxin II
ORC6L	origin recognition complex, subunit 6 l
Oas3	2-5-oligoadenylate synthetase 3, 100k
Odz2	odz, odd Oz/ten-m homolog 2 (Drosophila
PAQR7	progestin and adipoQ receptor family me
PCDHB14	protocadherin beta 14
PCDHB2	protocadherin beta 2
PDCD4	programmed cell death 4 (neoplastic tra
PEX11G	peroxisomal biogenesis factor 11 gamma
PF4V1	platelet factor 4 variant 1
PKMYT1	protein kinase, membrane associated tyr
PLAT	plasminogen activator, tissue
PLAUR	plasminogen activator, urokinase recept
PMEPA1	prostate transmembrane protein, androge
POLR3G	polymerase (RNA) III (DNA directed) pol
PSG9	pregnancy specific beta-1-glycoprotein
PYROXD2	pyridine nucleotide-disulphide oxidored
Pnpt1	polyribonucleotide nucleotidyltransfera
QPCT	glutaminyl-peptide cyclotransferase
QPRT	quinolinate phosphoribosyltransferase
RASSF2	Ras association (RalGDS/AF-6) domain fa
RBKS	ribokinase
RBP7	retinol binding protein 7, cellular
RGS2	regulator of G-protein signaling 2, 24k
RPP25	ribonuclease P/MRP 25kDa subunit
Rapgef3	Rap guanine nucleotide exchange factor
Rhobtb1	Rho-related BTB domain containing 1
Rnase4	ribonuclease, RNase A family, 4
Rnft2	ring finger protein, transmembrane 2
SCN2A	sodium channel, voltage-gated, type II,
SERPINB5	serpin peptidase inhibitor, clade B (ov
SFN	stratifin
SGSH	N-sulfoglucosamine sulfohydrolase
SH3BGRL	SH3 domain binding glutamic acid-rich p
SHF	Src homology 2 domain containing F
SLC10A4	solute carrier family 10 (sodium/bile a
SLC27A1	solute carrier family 27 (fatty acid tr
SLC2A10	solute carrier family 2 (facilitated gl
SLCO4A1	solute carrier organic anion transporte
SSBP2	single-stranded DNA binding protein 2
STAMBPL1	STAM binding protein-like 1
STEAP1	six transmembrane epithelial antigen of
SULF2	sulfatase 2
SUSD1	sushi domain containing 1
Ska1	chromosome 18 open reading frame 24
Slc3a1	solute carrier family 3 (cystine, dibas
Snx29	sorting nexin 29
Sorcs2	sortilin-related VPS10 domain containin
Sox4	SRY (sex determining region Y)-box 4
Sycp3	synaptonemal complex protein 3
Syt7	synaptotagmin XVII
TAF4B	TAF4b RNA polymerase II, TATA box bindi
TINAGL1	tubulointerstitial nephritis antigen-li
TMEM101	transmembrane protein 101
TMEM194A	transmembrane protein 194A
TMEM47	transmembrane protein 47
TNS3	tensin 3
TPD52L1	tumor protein D52-like 1
TRPS1	trichorhinophalangeal syndrome I
TSPAN1	tetraspanin 1
Tmem170b	transmembrane protein 170B
URB2	URB2 ribosome biogenesis 2 homolog (S.
Uchl1	ubiquitin carboxyl-terminal esterase L1
XAF1	XIAP associated factor 1
ZNF323	zinc finger protein 323
ZNF788	zinc finger family member 788
ZNF850P	zinc finger protein 850 pseudogene
aifm2	apoptosis-inducing factor, mitochondrio
akr1c2	aldo-keto reductase family 1, member C2
cdc6	cell division cycle 6 homolog (S. cerev
crip1	cysteine-rich protein 1 (intestinal)
dhrs1	dehydrogenase/reductase (SDR family) me
dusp5	dual specificity phosphatase 5
dusp6	dual specificity phosphatase 6
fam172a	family with sequence similarity 172, me
fam54a	family with sequence similarity 54, mem
hyi	hydroxypyruvate isomerase homolog (E. c
kiaa1370	KIAA1370
lat	linker for activation of T cells
lbh	limb bud and heart development homolog
March3	membrane-associated ring finger (C3HC4)
mest	mesoderm specific transcript homolog (m
micB	MHC class I polypeptide-related sequenc
mx1	myxovirus (influenza virus) resistance
nat14	N-acetyltransferase 14 (GCN5-related, p
nupr1	nuclear protein, transcriptional regula
oscp1	organic solute carrier partner 1
palm	paralemmin
phlda1	pleckstrin homology-like domain, family
plekha7	pleckstrin homology domain containing,
prss23	protease, serine, 23
prss3	protease, serine, 3
rab40b	RAB40B, member RAS oncogene family
rph3al	rabphilin 3A-like (without C2 domains)
rrs1	RRS1 ribosome biogenesis regulator homo
rtn2	reticulon 2
runx3	runt-related transcription factor 3
tbc1d19	TBC1 domain family, member 19
tgfbi	transforming growth factor, beta-induce
tspan15	tetraspanin 15
upp1	uridine phosphorylase 1
ypel3	yippee-like 3 (Drosophila)
