Gene	EntrezID	N_TPM	F_TPM	R_TPM
Rerg	232441	2	1.43	1.85
Dchs1	233651	2	1.05	0.31
Dync1li2	234663	2	0.96	2.57
Ppp1r9a	243725	2	0.67	0.72
Mtmr12	268783	2	1.91	2.06
Zfp629	320683	2	3.06	3.81
Mical2	320878	2	1.24	2.06
Hisppd2a	327655	2	0.86	2.67
Gmppb	331026	2	0.38	4.94
B130024G19Rik	434198	2	2.2	0.82
H2afb3	624957	2	1.91	0.82
Pdgfa	18590	2	0.86	6.79
Chchd8	68185	2	4.59	5.86
Nfxl1	100978	2	2.3	8.85
Alg9	102580	2	3.54	8.64
Fam179b	328108	2	2.2	7.82
Sdr39u1	654795	2	2.87	5.25
Ctgf	14219	2	10.81	4.11
Cxcl13	55985	2	5.26	3.19
Bhlhb9	70237	2	10.91	5.14
Cd37	12493	1.91	0.86	0.21
Adcy9	11515	1.91	3.64	2.78
Cd3d	12500	1.91	1.15	2.26
Cebpz	12607	1.91	2.87	0.62
Gata6	14465	1.91	3.16	0.41
Agfg1	15463	1.91	2.39	3.09
Cep250	16328	1.91	0.96	1.75
Lhx2	16870	1.91	1.82	1.75
Ltb	16994	1.91	0.29	2.78
Pias2	17344	1.91	1.91	2.57
Pim1	18712	1.91	1.05	0.82
Ptp4a3	19245	1.91	4.02	4.01
Ccl25	20300	1.91	1.15	2.67
Hltf	20585	1.91	0.96	2.16
Dntt	21673	1.91	2.77	4.83
Tnnt1	21955	1.91	0.67	0.41
Vwf	22371	1.91	2.77	1.13
Cln8	26889	1.91	4.11	4.11
Islr	26968	1.91	1.15	1.44
Slc16a9	66859	1.91	1.15	0.51
Hmg20a	66867	1.91	3.25	2.16
Golt1b	66964	1.91	0.57	2.16
2610002M06Rik	67028	1.91	1.05	2.37
Ube2g1	67128	1.91	2.39	3.91
Sfrs12ip1	67288	1.91	4.02	1.03
3110040N11Rik	67290	1.91	1.24	1.54
Slc25a26	67582	1.91	1.72	3.39
Lrrc28	67867	1.91	1.43	3.09
Rbm28	68272	1.91	1.63	2.57
1110028C15Rik	68691	1.91	1.24	1.34
Eif1ad	69860	1.91	0.67	0.93
Med26	70625	1.91	0.38	1.03
Phf6	70998	1.91	2.68	2.06
4933407H18Rik	71101	1.91	4.3	1.54
Tbc1d5	72238	1.91	2.68	1.54
4933427D14Rik	74477	1.91	1.91	0.51
Snx16	74718	1.91	0.57	2.47
Slamf8	74748	1.91	0.29	0.51
Thap6	75186	1.91	2.39	1.13
Tasp1	75812	1.91	0.57	4.63
Rnf160	78913	1.91	1.43	0.72
Ube2n	93765	1.91	1.82	1.03
Cmtm4	97487	1.91	0.86	2.16
Plekhg2	101497	1.91	0.48	3.19
Usp52	103135	1.91	2.68	3.91
Golm1	105348	1.91	1.15	3.6
Dnajc9	108671	1.91	0.96	3.19
Rdh13	108841	1.91	1.05	2.98
Orai1	109305	1.91	0.48	1.95
Lims1	110829	1.91	1.82	3.6
Parvb	170736	1.91	0.48	0.72
Slc12a8	171286	1.91	1.53	0.93
Zbtb12	193736	1.91	0.38	3.29
Cblb	208650	1.91	3.92	1.85
Dis3l2	208718	1.91	2.58	2.16
Slc39a2	214922	1.91	0.38	0.72
Ncaph	215387	1.91	0.67	1.03
Zfp160	224585	1.91	1.53	1.44
Klhl20	226541	1.91	2.3	2.88
Rpp38	227522	1.91	1.43	2.16
Asxl1	228790	1.91	2.97	2.57
6330416G13Rik	230279	1.91	0.86	1.44
C230096C10Rik	230866	1.91	2.01	1.54
Lrch4	231798	1.91	1.72	2.06
Parp3	235587	1.91	0.29	1.03
B230315N10Rik	237411	1.91	0.77	1.13
Fam83a	239463	1.91	0.86	2.16
Ranbp6	240614	1.91	2.2	2.57
Bivm	246229	1.91	0.38	2.06
Ccdc32	269336	1.91	1.72	2.16
Tmco7	272538	1.91	0.86	2.67
Exoc3l	277978	1.91	2.1	0.82
E230016M11Rik	320172	1.91	0.19	1.13
Ccdc66	320234	1.91	1.24	0.82
Ccbe1	320924	1.91	1.34	0.41
Fam102b	329739	1.91	3.83	2.57
Tmem102	380705	1.91	3.06	4.11
Zfp213	449521	1.91	2.39	1.23
EG545367	545367	1.91	0.38	0.41
E130120F12Rik	629016	1.91	0.57	1.34
EG667931	667931	1.91	1.43	2.37
LOC100046056	100046056	1.91	4.4	4.01
Myo9b	17925	1.91	2.39	6.69
Pir	69656	1.91	3.35	9.57
2900024O10Rik	72852	1.91	0.48	5.45
2700007P21Rik	212772	1.91	3.44	6.38
LOC100047696	100047696	1.91	4.5	5.97
Krt23	94179	1.91	8.13	2.37
Agtrap	11610	1.81	1.15	0.93
Alox5ap	11690	1.81	1.34	2.47
Ap3s2	11778	1.81	1.15	2.26
Atrn	11990	1.81	1.53	1.34
Ngfrap1	12070	1.81	0.86	2.57
Cd84	12523	1.81	1.15	1.85
Emd	13726	1.81	2.68	2.57
Esd	13885	1.81	0.29	1.75
Galnt4	14426	1.81	1.82	2.57
Gpc1	14733	1.81	2.97	1.65
Htt	15194	1.81	1.05	1.85
Il2rg	16186	1.81	0.67	2.67
Mcm6	17219	1.81	1.15	2.26
Meis1	17268	1.81	1.53	1.75
Nes	18008	1.81	0.86	4.22
Nfkbia	18035	1.81	2.77	1.75
Pfn2	18645	1.81	0.48	2.26
Pik3ca	18706	1.81	2.87	4.11
Pik3cd	18707	1.81	1.05	1.54
Pola1	18968	1.81	1.34	2.88
Eif2ak2	19106	1.81	0.96	0.51
Pvrl2	19294	1.81	4.3	1.44
Sema6b	20359	1.81	0.57	2.37
Srf	20807	1.81	0.67	1.03
Slk	20874	1.81	1.63	0.62
Tcf20	21411	1.81	1.43	0.21
Fmnl3	22379	1.81	1.15	2.57
Zfp97	22759	1.81	2.68	4.32
Zeb2	24136	1.81	0.48	2.88
Parg	26430	1.81	0.86	0.72
Ptdss2	27388	1.81	3.25	1.85
Nagpa	27426	1.81	0.67	1.75
Fbxw4	30838	1.81	2.49	3.91
Pcdh12	53601	1.81	2.3	2.47
Prpf40a	56194	1.81	1.05	1.75
Arl6	56297	1.81	2.3	2.67
Pigo	56703	1.81	1.05	2.78
Clec1b	56760	1.81	3.25	3.29
Cd274	60533	1.81	0.67	0.93
B230120H23Rik	65964	1.81	2.01	1.54
Mustn1	66175	1.81	1.15	1.85
2610528E23Rik	66497	1.81	3.44	2.78
Cpne8	66871	1.81	1.53	2.26
1700010I14Rik	66931	1.81	0.29	0.51
Smc6	67241	1.81	2.1	2.06
Ppil4	67418	1.81	2.87	2.16
Ccdc127	67433	1.81	1.82	3.29
Ankrd33b	67434	1.81	2.39	0.82
Klhl13	67455	1.81	1.15	3.7
Snap29	67474	1.81	2.3	3.09
Bxdc2	67832	1.81	3.35	4.01
Nat5	67877	1.81	2.49	2.57
G6pc3	68401	1.81	1.24	2.26
Tatdn3	68972	1.81	2.01	3.7
1810030O07Rik	69155	1.81	2.01	3.19
1700029J07Rik	69479	1.81	2.3	1.44
2810422O20Rik	69962	1.81	2.58	2.88
Dcp2	70640	1.81	0.19	1.65
4930422I07Rik	71640	1.81	0.77	1.03
Cwf19l1	72502	1.81	1.43	2.98
Camk2n2	73047	1.81	3.35	2.57
4632415K11Rik	74347	1.81	1.91	3.29
Snx11	74479	1.81	1.15	2.57
Giyd2	75764	1.81	1.43	2.88
Zdhhc20	75965	1.81	1.05	0.82
Ssbp4	76900	1.81	3.16	1.95
Ccdc88b	78317	1.81	0.38	0.51
9530048O09Rik	78611	1.81	3.06	2.37
Fam122b	78755	1.81	0.96	0.62
Uck2	80914	1.81	1.24	2.16
Mcam	84004	1.81	1.72	0.93
Snx21	101113	1.81	1.05	0.93
Dhx32	101437	1.81	1.34	3.39
Tmem149	101883	1.81	1.72	1.44
Cd276	102657	1.81	0.19	2.26
Phldb1	102693	1.81	2.77	1.44
Zfp120	104348	1.81	0.67	1.03
Ubxn8	108159	1.81	1.43	1.44
Etl4	109799	1.81	0.96	2.16
Pfkfb3	170768	1.81	1.05	4.83
C330016O10Rik	212706	1.81	0.86	2.26
A130042E20Rik	216119	1.81	2.97	0.93
Arhgap9	216445	1.81	1.05	1.95
Cntrob	216846	1.81	0.77	1.23
B4galt7	218271	1.81	1.05	1.03
Arl15	218639	1.81	3.83	1.34
Scarf2	224024	1.81	1.34	1.54
Nudt6	229228	1.81	2.1	3.81
Txnrd3	232223	1.81	1.53	1.54
Rab8b	235442	1.81	0.29	0.21
Bahcc1	268515	1.81	0.67	0.51
Megf8	269878	1.81	3.06	4.01
Ostb	330962	1.81	0.38	1.34
Cep170	545389	1.81	0.48	1.23
OTTMUSG00000004808	625732	1.81	1.63	1.95
EG665794	665794	1.81	2.97	1.95
EG665890	665890	1.81	0.57	3.09
EG667619	667619	1.81	1.82	1.95
EG667823	667823	1.81	0.96	1.54
EG667950	667950	1.81	1.53	2.47
LOC677010	677010	1.81	1.15	1.13
Cast	12380	1.81	4.3	7.1
Gadd45a	13197	1.81	0.77	6.79
Csda	56449	1.81	1.91	6.17
Il17rb	50905	1.81	6.12	3.39
Atp5g1	11951	1.72	0.48	0.62
Dhfr	13361	1.72	0.67	1.75
Dnase2a	13423	1.72	0.19	0.93
Mapre1	13589	1.72	0.57	1.54
Figf	14205	1.72	3.83	3.29
Gnat1	14685	1.72	2.97	2.26
Idua	15932	1.72	2.39	1.65
Ins1	16333	1.72	2.49	1.65
Lig1	16881	1.72	0.29	2.06
Mmp2	17390	1.72	2.3	1.13
Pcm1	18536	1.72	3.64	3.29
Pdpk1	18607	1.72	1.15	2.88
Prkdc	19090	1.72	0.77	1.34
Mapk11	19094	1.72	0.57	1.44
Ptprs	19280	1.72	1.34	1.75
Sema4b	20352	1.72	1.34	2.37
Slc4a1ap	20534	1.72	2.1	3.09
Src	20779	1.72	1.24	1.13
Stk16	20872	1.72	1.24	0.21
Pvr	21332	1.72	0.48	1.95
Tfam	21780	1.72	2.97	3.6
Tgfb1i1	21804	1.72	0.38	2.26
Traf4	22032	1.72	1.63	1.03
Rcn2	26611	1.72	1.91	2.88
G3bp1	27041	1.72	2.58	2.88
Sergef	27414	1.72	0.48	2.37
Slc46a2	30936	1.72	3.16	2.78
Rbm34	52202	1.72	1.63	1.23
Btbd12	52864	1.72	1.43	2.16
Zbtb33	56805	1.72	1.53	0.72
Slc12a5	57138	1.72	1.05	1.44
Bcam	57278	1.72	1.43	1.85
Nek6	59126	1.72	0.29	1.54
Foxj2	60611	1.72	0.96	3.6
Gmfg	63986	1.72	0.29	0.62
Atpbd4	66632	1.72	2.1	1.13
Ccdc51	66658	1.72	2.01	2.47
Serbp1	66870	1.72	1.82	2.06
Zfp830	66983	1.72	1.63	1.23
Bbs2	67378	1.72	0.77	2.06
1810043G02Rik	67884	1.72	0.57	1.95
Pold3	67967	1.72	0.67	2.67
Dazap1	70248	1.72	0.67	3.6
Mier2	70427	1.72	1.24	4.63
Slc37a3	72144	1.72	1.15	1.44
Tubgcp2	74237	1.72	3.16	2.67
Arhgap12	75415	1.72	2.39	3.91
Mageh1	75625	1.72	1.34	3.5
Rilpl1	75695	1.72	1.05	2.67
Ckap5	75786	1.72	0.86	2.06
Sp2	78912	1.72	1.43	1.23
Plekha3	83435	1.72	2.01	3.7
Tsga14	83922	1.72	2.77	1.34
Rab3gap2	98732	1.72	1.53	3.6
Gas8	104346	1.72	0.86	2.26
Prr5	109270	1.72	0.77	2.57
Tirap	117149	1.72	1.34	1.34
Ttbk2	140810	1.72	1.34	3.6
C330019L16Rik	208111	1.72	1.82	2.47
Cep78	208518	1.72	2.3	1.54
Fam116a	211922	1.72	0.29	0.82
Prepl	213760	1.72	0.77	1.75
Nhsl1	215819	1.72	0.67	1.95
Dhx8	217207	1.72	3.54	2.26
Ubxn2a	217379	1.72	4.21	1.54
Rab40c	224624	1.72	2.68	2.26
Zfp281	226442	1.72	3.35	4.01
Nupl2	231042	1.72	1.15	1.03
Fkbp14	231997	1.72	1.43	3.6
H2afj	232440	1.72	3.64	2.57
6620401K05Rik	235610	1.72	0.67	3.29
Cdr2l	237988	1.72	1.05	1.03
2900026A02Rik	243219	1.72	1.43	2.57
Letm2	270035	1.72	1.63	2.67
Tarsl2	272396	1.72	2.58	2.67
Depdc5	277854	1.72	2.39	2.98
Agap1	347722	1.72	1.15	1.95
OTTMUSG00000011097	433791	1.72	2.77	2.47
2610020H08Rik	434234	1.72	1.05	0.62
4732440D04Rik	654788	1.72	2.01	2.88
LOC100041436	100041436	1.72	0.57	1.34
LOC100042202	100042202	1.72	2.01	1.85
LOC100044566	100044566	1.72	1.05	0.62
LOC100047110	100047110	1.72	1.24	1.34
LOC100048499	100048499	1.72	1.43	0.62
Zfp259	22687	1.72	2.39	4.94
Aig1	66253	1.72	5.07	1.75
Tmtc2	278279	1.72	5.07	1.85
Gfer	11692	1.62	1.24	2.26
Capn5	12337	1.62	1.43	0.93
Casp8	12370	1.62	2.49	0.72
Cd24a	12484	1.62	2.2	3.81
Csf1	12977	1.62	2.39	2.16
Dll1	13388	1.62	1.34	1.65
Dvl3	13544	1.62	1.15	1.03
Fgl2	14190	1.62	2.3	2.37
Hlx	15284	1.62	3.35	2.47
Hoxb4	15412	1.62	0.77	0.93
Hrh1	15465	1.62	1.05	3.39
Irf8	15900	1.62	1.05	2.16
Klc1	16593	1.62	1.63	3.29
Loxl1	16949	1.62	1.15	0.72
Mki67	17345	1.62	0.19	0.82
Mme	17380	1.62	0.38	1.23
Mocs2	17434	1.62	1.43	1.85
Mtm1	17772	1.62	0.86	3.09
Nos3	18127	1.62	1.24	1.85
Pfkfb2	18640	1.62	3.25	2.57
Rfc1	19687	1.62	0.29	3.91
Robo1	19876	1.62	0.57	1.85
Ttc3	22129	1.62	2.1	4.11
Vezf1	22344	1.62	1.91	2.06
Zfp64	22722	1.62	1.34	1.85
Twf2	23999	1.62	1.34	2.16
Poli	26447	1.62	1.72	2.16
Homer3	26558	1.62	0.96	0.31
Podxl	27205	1.62	3.16	4.11
Mkln1	27418	1.62	0.48	0.62
Olig1	50914	1.62	1.72	0.72
Ncaph2	52683	1.62	2.77	2.26
Slc1a4	55963	1.62	0.19	1.54
Mettl3	56335	1.62	2.2	2.06
Dusp14	56405	1.62	0.48	1.13
2610024G14Rik	56412	1.62	0.57	1.44
Zfp235	56525	1.62	0.77	1.34
Poll	56626	1.62	1.05	1.54
Ccbp2	59289	1.62	3.92	0.62
Mllt1	64144	1.62	2.68	3.5
Irak1bp1	65099	1.62	0.86	0.31
Ccdc82	66396	1.62	1.34	1.75
Magohb	66441	1.62	0.86	1.65
2010106G01Rik	66552	1.62	0.86	0.93
Brf2	66653	1.62	1.24	1.85
Plekho1	67220	1.62	2.2	1.13
Mtpap	67440	1.62	0.38	1.54
Enoph1	67870	1.62	1.24	1.54
Phtf2	68770	1.62	0.77	2.88
1500001M20Rik	68971	1.62	1.72	1.44
Casz1	69743	1.62	0.38	0.82
Slc25a33	70556	1.62	2.3	0.62
P2ry12	70839	1.62	1.05	2.78
2410016O06Rik	71952	1.62	2.3	2.78
1600014C10Rik	72244	1.62	1.43	0.51
4632428N05Rik	74048	1.62	1.05	1.65
Gorasp1	74498	1.62	1.91	2.67
Oplah	75475	1.62	3.16	1.75
1700112E06Rik	76633	1.62	1.05	1.23
Osbpl5	79196	1.62	0.77	1.34
Egfl8	81701	1.62	2.97	2.26
Ift122	81896	1.62	0.57	1.44
Slamf9	98365	1.62	1.34	1.95
Pot1a	101185	1.62	0.29	1.23
Spty2d1	101685	1.62	0.77	1.54
Dut	110074	1.62	1.24	0.51
Adarb1	110532	1.62	2.1	2.16
Zfp358	140482	1.62	2.58	3.39
Zfp704	170753	1.62	0.67	2.37
Tmprss4	214523	1.62	1.43	0.62
C85492	215494	1.62	1.72	0.93
Evi2b	216984	1.62	1.24	2.06
Rnf144b	218215	1.62	0.77	2.06
Lemd2	224640	1.62	2.01	1.95
Fbxo11	225055	1.62	0.77	1.23
Pla2g16	225845	1.62	1.53	1.44
Ppp2r5b	225849	1.62	2.3	3.19
Taf5	226182	1.62	0.48	1.03
Ncrna00153	228730	1.62	3.06	0.51
BC059842	230676	1.62	1.91	1.75
Cyp26b1	232174	1.62	2.97	0.72
Ppp4r2	232314	1.62	2.39	0.62
Clec9a	232414	1.62	1.24	1.44
Zfp628	232816	1.62	0.96	2.78
Naf1	234344	1.62	1.53	2.06
Tceal1	237052	1.62	1.63	2.06
BC066107	240066	1.62	1.05	3.29
Mbtps2	270669	1.62	1.91	1.44
D11Wsu47e	276852	1.62	1.91	1.85
Tmcc3	319880	1.62	1.53	2.37
Ddx11	320209	1.62	0.96	2.57
Zbtb26	320633	1.62	0.48	0.51
Gm1587	380920	1.62	1.24	2.37
EG432555	432555	1.62	1.15	0.72
Bin2	668218	1.62	0.29	0.82
EG668450	668450	1.62	2.58	1.54
OTTMUSG00000014970	668744	1.62	0.77	1.44
LOC100045002	100045002	1.62	0.77	1.95
LOC100045628	100045628	1.62	0.38	1.44
Pole2	18974	1.62	1.34	4.73
Alpl	11647	1.62	6.22	4.11
Abhd1	57742	1.62	6.22	1.85
1110008L16Rik	66132	1.62	4.69	2.78
Mtdh	67154	1.62	5.93	1.95
9630058J23Rik	226744	1.62	4.69	2.57
Ada	11486	1.53	0.67	0.72
Ddr1	12305	1.53	0.96	1.44
Cnr2	12802	1.53	1.91	1.13
Ctsl	13039	1.53	2.39	0.21
Cux1	13047	1.53	1.34	1.95
Eno3	13808	1.53	1.91	1.75
Gng7	14708	1.53	0.29	1.03
Gpam	14732	1.53	0.96	3.29
Psmb9	16912	1.53	1.05	1.65
Sebox	18292	1.53	0.38	0.51
Ogdh	18293	1.53	0.67	0.51
Osmr	18414	1.53	3.73	0.93
Phka1	18679	1.53	0.57	2.78
Phtf1	18685	1.53	1.24	3.81
Rad1	19355	1.53	1.82	1.34
Ccl5	20304	1.53	1.63	1.23
Sla	20491	1.53	3.25	1.95
Klf6	23849	1.53	0.86	1.75
Git2	26431	1.53	0.86	1.34
Map4k4	26921	1.53	0.67	2.98
Slc7a8	50934	1.53	0.67	1.65
C1qtnf1	56745	1.53	1.63	1.75
Vsig2	57276	1.53	2.58	0.72
Fxyd6	59095	1.53	0.77	1.13
Nif3l1	65102	1.53	2.1	4.32
Asb1	65247	1.53	0.48	1.34
Ccdc28b	66264	1.53	2.2	2.16
Fam82b	66302	1.53	0.38	0.62
Ms4a4d	66607	1.53	2.2	3.7
Wwp2	66894	1.53	2.77	3.91
Tmem107	66910	1.53	1.34	1.13
Ttc14	67120	1.53	0.86	0.82
Med18	67219	1.53	0.67	0.72
Zkscan14	67235	1.53	2.77	1.85
Nob1	67619	1.53	2.01	2.06
2310005E10Rik	67861	1.53	1.82	0.41
Golt1a	68338	1.53	3.06	1.54
Abhd13	68904	1.53	1.53	2.37
Nol11	68979	1.53	1.34	0.62
1700030C10Rik	69513	1.53	2.68	2.37
Hddc2	69692	1.53	0.57	2.37
Leng1	69757	1.53	2.01	2.47
Cd248	70445	1.53	0.19	1.75
2610008E11Rik	72128	1.53	2.1	0.21
2610019A05Rik	72149	1.53	1.15	1.65
Wdr44	72404	1.53	0.77	2.57
Tmem14a	75712	1.53	0.77	1.03
5830454E08Rik	76100	1.53	0.77	0.41
Myh10	77579	1.53	2.87	2.57
C030046E11Rik	77643	1.53	1.15	0.93
Cdc2l6	78334	1.53	0.86	1.34
Siglece	83382	1.53	0.48	0.21
Zfp513	101023	1.53	0.96	2.06
Card10	105844	1.53	0.57	2.78
Me2	107029	1.53	0.77	2.37
Klf16	118445	1.53	1.05	4.01
Znrf1	170737	1.53	0.96	0.82
Mical1	171580	1.53	0.96	1.13
Tspan10	208634	1.53	2.58	2.37
1110007A13Rik	210711	1.53	1.82	2.67
Tbc1d4	210789	1.53	1.05	0.72
Csnk1g1	214897	1.53	0.57	0.72
Rhbdl1	214951	1.53	1.43	1.75
Med16	216154	1.53	1.72	1.03
Wdr79	216853	1.53	1.05	1.23
4930572J05Rik	223626	1.53	0.86	2.37
Adamtsl4	229595	1.53	3.35	1.95
E130306D19Rik	230098	1.53	0.19	0.41
Lin54	231506	1.53	1.24	2.26
Klhl36	234796	1.53	0.57	1.03
Rasgrp3	240168	1.53	1.15	2.57
Klhl8	246293	1.53	0.77	1.75
9230105E10Rik	319236	1.53	2.3	2.16
Bbs9	319845	1.53	0.86	0.62
Ubn2	320538	1.53	1.82	0.93
D330038O06Rik	330788	1.53	2.01	2.78
EG383229	383229	1.53	0.38	0.72
D630033A02Rik	402753	1.53	1.72	0.93
Cpsf6	432508	1.53	1.82	1.54
EG628030	628030	1.53	3.16	3.81
LOC631286	631286	1.53	1.34	2.47
Zxdb	668166	1.53	1.34	1.23
LOC671222	671222	1.53	1.72	3.19
LOC675422	675422	1.53	0.77	1.03
LOC100040883	100040883	1.53	0.57	1.23
LOC100044874	100044874	1.53	2.2	1.34
LOC100045440	100045440	1.53	1.72	1.65
LOC100046841	100046841	1.53	0.86	1.44
LOC100047864	100047864	1.53	2.2	1.95
Tbl2	27368	1.53	2.87	5.04
Slc7a6os	66432	1.53	3.35	4.42
Rnaseh2b	67153	1.53	1.53	4.94
Cdc16	69957	1.53	2.3	8.33
Skiv2l2	72198	1.53	2.49	5.14
Tmem209	72649	1.53	1.63	4.83
Tcfap4	83383	1.53	1.63	4.53
Rb1	19645	1.53	4.59	3.5
Rab30	75985	1.53	21.52	2.16
Tmem87b	72477	1.53	5.26	5.55
Trib3	228775	1.53	7.37	6.17
Aco1	11428	1.43	0.67	0.21
Adam17	11491	1.43	0.67	4.01
Bcl2l11	12125	1.43	0.77	0.51
Cd4	12504	1.43	0.38	1.03
Cdgap	12549	1.43	0.38	0.31
Chml	12663	1.43	0.19	2.37
Col8a1	12837	1.43	0.57	2.06
Trdmt1	13434	1.43	1.05	1.34
Dok1	13448	1.43	1.72	0.51
Fmod	14264	1.43	0.48	0.51
Il5ra	16192	1.43	0.57	0.51
Itgb7	16421	1.43	0.48	0.41
Kif16b	16558	1.43	1.24	2.06
Smad3	17127	1.43	2.39	3.7
Gbp4	17472	1.43	1.05	0.21
Mthfr	17769	1.43	2.1	1.85
Myo5b	17919	1.43	0.86	1.75
Nek2	18005	1.43	0.57	1.85
Neo1	18007	1.43	2.68	0.51
Pkia	18767	1.43	0.29	1.23
Procr	19124	1.43	0.48	0.21
Ptpn1	19246	1.43	0.29	2.37
Ptprb	19263	1.43	1.82	0.62
Frrs1	20321	1.43	1.43	1.54
Snrpb2	20639	1.43	2.01	2.37
Stk10	20868	1.43	0.96	0.82
Zfp93	22755	1.43	1.91	2.37
Cspg5	29873	1.43	0.38	0.82
Tmprss8	30943	1.43	1.63	0.72
Clec4f	51811	1.43	0.96	0.21
Rnf24	51902	1.43	0.67	2.88
Tlr5	53791	1.43	1.24	0.51
Azin1	54375	1.43	0.19	0.31
Ppt2	54397	1.43	1.15	0.93
Rev1	56210	1.43	1.43	1.75
Pitpnb	56305	1.43	0.48	0.51
Pard6a	56513	1.43	1.34	1.75
Rps6ka4	56613	1.43	0.96	2.26
Dnase2b	56629	1.43	1.05	1.95
Sall1	58198	1.43	2.2	2.98
Zfp280b	64453	1.43	0.77	0.31
Asb2	65256	1.43	0.19	0.72
Chchd6	66098	1.43	1.53	2.57
Ppp1r7	66385	1.43	2.97	1.85
2310061C15Rik	66531	1.43	0.19	0.21
Mettl11a	66617	1.43	0.19	0.72
5730470L24Rik	66641	1.43	1.24	2.47
Pspc1	66645	1.43	2.97	2.88
Ube2r2	67615	1.43	1.24	0.82
Loh12cr1	67774	1.43	2.58	1.34
Cmtm3	68119	1.43	1.05	1.65
Rmnd5a	68477	1.43	1.63	0.72
Gtf2f2	68705	1.43	1.15	2.67
Dtwd2	68857	1.43	0.57	0.62
Disp1	68897	1.43	0.96	1.75
C1qtnf2	69183	1.43	1.15	1.75
Cyb5r1	72017	1.43	1.15	3.09
Ccdc123	72140	1.43	1.53	2.98
Shq1	72171	1.43	1.24	2.06
Lsm11	72290	1.43	0.57	1.44
Tmem173	72512	1.43	1.15	1.65
Zfp839	72805	1.43	2.39	2.88
Kctd17	72844	1.43	1.24	2.67
Cby1	73739	1.43	0.19	1.95
Traf3ip1	74019	1.43	0.38	2.98
Cep97	74201	1.43	3.54	0.51
Wdr35	74682	1.43	1.34	1.23
Mmd2	75104	1.43	0.29	0.21
Wdyhv1	76773	1.43	2.2	2.57
Sdccag8	76816	1.43	2.01	1.75
Pum1	80912	1.43	0.96	0.82
Synj1	104015	1.43	2.49	1.95
Prkaa1	105787	1.43	0.77	1.03
Rap1gap	110351	1.43	4.02	3.39
Rasa2	114713	1.43	0.57	2.98
Gjc2	118454	1.43	1.72	1.23
Dclre1b	140917	1.43	3.44	0.62
Socs7	192157	1.43	1.82	3.19
Snx30	209131	1.43	0.29	1.75
Sectm1a	209588	1.43	1.15	0.62
E430028B21Rik	211948	1.43	0.77	3.5
Cc2d1a	212139	1.43	0.86	2.98
Zfp273	212569	1.43	0.29	2.47
Scyl2	213326	1.43	0.96	1.13
Spata5l1	214616	1.43	1.15	2.37
Rapgef3	223864	1.43	1.15	1.13
Lcn13	227627	1.43	3.54	2.67
Cyb5rl	230582	1.43	1.05	0.31
Phf13	230936	1.43	1.15	2.16
Guf1	231279	1.43	2.68	0.31
Fam115c	232748	1.43	0.57	0.51
Zbtb45	232879	1.43	1.05	1.85
Zfp799	240064	1.43	1.05	1.03
Mctp2	244049	1.43	0.38	0.62
Jrkl	245224	1.43	2.2	2.78
Slc35e1	270066	1.43	0.77	1.75
EG271300	271300	1.43	2.39	1.85
Gpr107	277463	1.43	2.87	4.01
Fam131c	277743	1.43	3.35	1.13
C2cd3	277939	1.43	0.86	1.75
Itpripl2	319622	1.43	0.57	0.21
4732471D19Rik	319719	1.43	0.96	1.13
Wdr22	320808	1.43	1.34	2.88
Gm1040	381627	1.43	0.86	1.13
EG382109	382109	1.43	2.2	2.78
Wdr51b	382406	1.43	0.67	2.16
Itprip	414801	1.43	1.82	0.21
BC065397	436230	1.43	1.63	0.31
EG545792	545792	1.43	2.58	2.26
EG546723	546723	1.43	0.19	0.82
EG547267	547267	1.43	1.63	2.26
EG621629	621629	1.43	1.43	1.03
EG668139	668139	1.43	0.77	0.51
LOC670576	670576	1.43	0.96	0.93
LOC673642	673642	1.43	0.48	1.03
LOC675507	675507	1.43	1.63	2.26
ENSMUSG00000058064	100040551	1.43	0.86	1.75
LOC100043808	100043808	1.43	0.19	0.82
LOC100046930	100046930	1.43	2.3	1.54
LOC100046993	100046993	1.43	0.48	0.31
Pcgf2	22658	1.43	2.01	6.48
EG625253	625253	1.43	1.43	5.86
Adora1	11539	1.43	4.21	3.91
Fmo2	55990	1.43	10.43	2.16
Treh	58866	1.43	5.17	2.06
Fbxo31	76454	1.43	4.5	1.03
AI182371	98870	1.43	4.69	0.72
BC024139	271278	1.43	4.69	1.23
Camk2b	12323	1.43	5.07	5.76
Ccrn4l	12457	1.43	11.1	8.02
Acvr1	11477	1.34	2.68	1.85
Ahnak	11621	1.34	0.38	2.26
Atf3	11910	1.34	0.38	1.85
Cd86	12524	1.34	0.67	2.47
Dpagt1	13478	1.34	0.77	2.37
Evi2a	14017	1.34	0.67	0.41
Hipk2	15258	1.34	0.29	1.13
Hmmr	15366	1.34	2.1	1.03
Il10ra	16154	1.34	1.43	0.72
Incenp	16319	1.34	1.43	2.26
Itga7	16404	1.34	2.3	1.34
Mest	17294	1.34	2.1	0.62
Mgl1	17312	1.34	0.77	0.82
Nat1	17960	1.34	0.48	1.03
Slc11a2	18174	1.34	2.01	1.23
Pak1	18479	1.34	0.38	1.54
Pcsk7	18554	1.34	1.15	2.67
Rce1	19671	1.34	1.91	1.44
Clec11a	20256	1.34	2.3	0.72
Snn	20621	1.34	1.82	1.75
Tbxas1	21391	1.34	1.82	2.47
