Index	Mutated	Normal	FC	P value	FDR	Probe set	Description	Gene symbol
3759	75,9	62,6	1,21	0,027317	0,397	226958_s_at	Mediator complex subunit 11	MED11
4896	265	219	1,21	0,037418	0,418	202160_at	CREB binding protein	CREBBP
5767	42,4	35,0	1,21	0,046339	0,439	218489_s_at	Aminolevulinate, delta-, dehydratase	ALAD
4822	45,9	37,8	1,21	0,036674	0,416	223330_s_at	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	SUGT1
3721	7,26	5,98	1,21	0,027006	0,397	1552536_at	Vesicle transport v-SNARE protein Vti1-like 2	VTI1A
2537	23,4	19,3	1,21	0,017162	0,369	216751_at	cDNA FLJ21226 fis, clone COL00721	-
5966	13,7	11,3	1,21	0,048449	0,444	211002_s_at	Tripartite motif-containing 29	TRIM29
5212	143	118	1,21	0,040252	0,422	226339_at	TruB pseudouridine (psi) synthase homolog 1 (E. coli)	TRUB1
4567	584	481	1,21	0,034549	0,412	209009_at	Esterase D/formylglutathione hydrolase	ESD
4217	12,4	10,2	1,21	0,031244	0,405	1558469_at	LIM domain containing preferred translocation partner in lipoma	LPP
3154	48,8	40,2	1,21	0,022373	0,387	205652_s_at	Tubulin tyrosine ligase-like family, member 1	TTLL1
2359	6,84	5,64	1,21	0,015733	0,364	227136_s_at	Chromosome 10 open reading frame 46	C10orf46
1814	6,52	5,38	1,21	0,011689	0,351	220623_s_at	Testis specific, 10	TSGA10
4391	185	153	1,21	0,032717	0,407	207196_s_at	TNFAIP3 interacting protein 1	TNIP1
2450	7,66	6,32	1,21	0,016409	0,366	214319_at	Furry homolog (Drosophila)	FRY
5253	46,6	38,5	1,21	0,040706	0,424	227335_at	Death inducer-obliterator 1	DIDO1
5641	105	86,7	1,21	0,045014	0,436	209367_at	Syntaxin binding protein 2	STXBP2
4775	509	420	1,21	0,036211	0,414	202004_x_at	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	SDHC
3819	172	142	1,21	0,027872	0,399	201573_s_at	Eukaryotic translation termination factor 1	ETF1
3669	139	115	1,21	0,026520	0,395	202930_s_at	Succinate-CoA ligase, ADP-forming, beta subunit	SUCLA2
3549	5,01	4,14	1,21	0,025535	0,393	206862_at	Zinc finger protein 254	ZNF254
3268	59,9	49,5	1,21	0,023220	0,388	221822_at	Coiled-coil domain containing 101	CCDC101
5743	113	93,3	1,21	0,046078	0,439	224768_at	IWS1 homolog (S. cerevisiae)	IWS1
4780	174	143	1,21	0,036246	0,414	229322_at	Protein phosphatase 2, regulatory subunit B, epsilon isoform	PPP2R5E
3991	12,2	10,0	1,21	0,029187	0,400	1563512_at	Nitric oxide synthase 1 (neuronal) adaptor protein	NOS1AP
6018	6,08	5,02	1,21	0,048981	0,445	238185_at	RNA binding motif, single stranded interacting protein 1	RBMS1
6040	42,9	35,5	1,21	0,049189	0,445	212786_at	C-type lectin domain family 16, member A	CLEC16A
5274	9,48	7,84	1,21	0,040984	0,425	1565811_at	Protein phosphatase 2B regulatory subunit 1	PPP3R1
5706	181	150	1,21	0,045693	0,438	201706_s_at	Peroxisomal biogenesis factor 19	PEX19
5440	53,3	44,1	1,21	0,042880	0,431	223555_at	Gon-4-like (C. elegans)	GON4L
3828	76,4	63,2	1,21	0,027934	0,399	217843_s_at	Mediator complex subunit 4	MED4
5033	8,24	6,81	1,21	0,038702	0,420	234036_x_at	cDNA FLJ21384 fis, clone COL03354	-
2124	17,6	14,6	1,21	0,013985	0,359	235654_at	Transcribed locus	-
2963	5,74	4,75	1,21	0,020822	0,384	1553646_at	Highly divergent homeobox	HDX
970	69,3	57,4	1,21	0,005625	0,315	204568_at	KIAA0831 protein	KIAA0831
4527	91,7	75,9	1,21	0,034174	0,412	221006_s_at	sorting nexin family member 27	SNX27
3749	9,58	7,94	1,21	0,027264	0,397	242171_at	Platelet derived growth factor C	PDGFC
1787	9,78	8,10	1,21	0,011441	0,350	237026_at	Sorbin and SH3 domain containing 1	SORBS1
1227	122	101	1,21	0,007294	0,324	226054_at	Bromodomain containing 4	BRD4
2510	27,4	22,7	1,21	0,016885	0,368	227215_at	Golgi associated PDZ and coiled-coil motif containing	GOPC
4629	7,04	5,83	1,21	0,034913	0,412	222924_at	Sarcolemma associated protein	SLMAP
5539	62,3	51,6	1,21	0,044020	0,435	221256_s_at	Haloacid dehalogenase-like hydrolase domain containing 3	HDHD3
3462	635	527	1,21	0,024800	0,392	225312_at	COMM domain containing 6	COMMD6
2001	164	136	1,21	0,013067	0,355	224699_s_at	Extended synaptotagmin-like protein 2	ESYT2
5770	281	233	1,21	0,046353	0,439	202026_at	Succinate dehydrogenase complex subunit D	SDHD
4250	132	109	1,21	0,031565	0,406	202102_s_at	Bromodomain containing 4	BRD4
6048	40,4	33,5	1,21	0,049281	0,445	227579_at	-	-
4534	435	361	1,21	0,034252	0,412	223006_s_at	Chromosome 9 open reading frame 5	C9orf5
4655	229	190	1,21	0,035159	0,413	225229_at	AF4/FMR2 family, member 4	AFF4
3969	68,8	57,1	1,21	0,029000	0,399	203328_x_at	Insulin-degrading enzyme	IDE
2877	150	124	1,20	0,020196	0,383	226468_at	Zinc finger protein 364	ZNF364
3858	6,30	5,23	1,20	0,028173	0,399	205560_at	Proprotein convertase subtilisin/kexin type 5	PCSK5
3738	115	95,1	1,20	0,027140	0,397	218102_at	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	DERA
1633	11,2	9,31	1,20	0,010290	0,344	231366_at	MGC44478	FDPSL2A
5569	234	194	1,20	0,044333	0,435	225519_at	Protein phosphatase 4, regulatory subunit 2	PPP4R2
3945	4,14	3,44	1,20	0,028807	0,399	220666_at	-	-
4846	9,82	8,16	1,20	0,036920	0,417	220273_at	Interleukin 17B	IL17B
3600	10,2	8,51	1,20	0,025962	0,394	231167_at	Solute carrier family 44, member 1	SLC44A1
1900	77,6	64,4	1,20	0,012354	0,355	204812_at	ZW10, kinetochore associated, homolog (Drosophila)	ZW10
3955	155	129	1,20	0,028895	0,399	225417_at	Enhancer of polycomb homolog 1 (Drosophila)	EPC1
4074	6,33	5,26	1,20	0,029882	0,401	232427_at	Zinc finger protein 224	ZNF224
2807	9,30	7,73	1,20	0,019529	0,380	231369_at	Zinc finger protein 333	ZNF333
5838	63,8	53,1	1,20	0,047180	0,442	206782_s_at	DnaJ (Hsp40) homolog, subfamily C, member 4	DNAJC4
2155	5,24	4,36	1,20	0,014200	0,360	237248_at	Phosphodiesterase 11A	PDE11A
16	3,66	3,04	1,20	0,000056	0,191	239129_at	Transforming growth factor, beta receptor 1	TGFBR1
5011	5,59	4,65	1,20	0,038515	0,420	1557113_at	Hypothetical protein LOC283588	LOC283588
575	12,7	10,6	1,20	0,003159	0,300	236199_at	Arachidonate 5-lipoxygenase	ALOX5
3011	21,6	18,0	1,20	0,021185	0,385	214757_at	Postmeiotic segregation increased 2-like 2 pseudogene	PMS2L2
2520	67,0	55,8	1,20	0,017004	0,369	213349_at	Transmembrane and coiled-coil domain family 1	TMCC1
4872	90,3	75,2	1,20	0,037190	0,417	212080_at	Myeloid/lymphoid or mixed-lineage leukemia	MLL
1899	126	105	1,20	0,012352	0,355	219526_at	Chromosome 14 open reading frame 169	C14orf169
4927	14,5	12,1	1,20	0,037792	0,419	216685_s_at	Methylthioadenosine phosphorylase	MTAP
2593	5,01	4,18	1,20	0,017627	0,371	237376_at	Cullin 3	CUL3
4945	24,8	20,7	1,20	0,037937	0,419	201333_s_at	Rho guanine nucleotide exchange factor (GEF) 12	ARHGEF12
4764	57,7	48,1	1,20	0,036108	0,414	227541_at	WD repeat domain 20	WDR20
2199	181	151	1,20	0,014533	0,361	223081_at	PHD finger protein 23	PHF23
1769	9,42	7,86	1,20	0,011275	0,348	240176_at	Hypothetical protein LOC541471	LOC541471
913	7,10	5,93	1,20	0,005256	0,313	232930_at	Dedicator of cytokinesis 1	DOCK1
5848	5,98	4,99	1,20	0,047290	0,442	243352_at	Alpha-kinase 1	ALPK1
3213	13,6	11,3	1,20	0,022767	0,387	232940_s_at	Myeloid/lymphoid or mixed-lineage leukemia 3	MLL3
5227	24,0	20,0	1,20	0,040437	0,423	1559249_at	Ataxin 1	ATXN1
3577	16,9	14,1	1,20	0,025825	0,394	243201_at	Heterogeneous nuclear ribonucleoprotein H2	HNRPH2
262	5,23	4,37	1,20	0,001237	0,258	227939_s_at	Transformer-2 alpha	TRA2A
5262	5,05	4,22	1,20	0,040873	0,425	232303_at	Zinc finger protein 608	ZNF608
3807	23,0	19,2	1,20	0,027721	0,398	219075_at	Yip1 domain family, member 2	YIPF2
4592	4,61	3,86	1,20	0,034744	0,412	238811_at	ATPase, Class VI, type 11B	ATP11B
4664	9,19	7,69	1,20	0,035223	0,413	1554867_a_at	Proline rich 16	PRR16
3836	9,18	7,68	1,20	0,028032	0,399	238865_at	Similar to poly(A) binding protein, cytoplasmic 4 (inducible form)	LOC132430
5007	4,69	3,92	1,20	0,038469	0,420	219936_s_at	G protein-coupled receptor 87	GPR87
4652	60,4	50,5	1,19	0,035132	0,413	202584_at	Nuclear transcription factor, X-box binding 1	NFX1
2858	39,5	33,1	1,19	0,020070	0,383	228917_at	Zinc finger protein 510	ZNF510
2209	10,5	8,83	1,19	0,014633	0,362	237418_at	CDK5 regulatory subunit associated protein 2	CDK5RAP2
6123	10,7	8,98	1,19	0,049992	0,446	205894_at	Arylsulfatase E (chondrodysplasia punctata 1)	ARSE
5618	190	159	1,19	0,044833	0,436	201877_s_at	Protein phosphatase 2, regulatory subunit B, gamma isoform	PPP2R5C
5999	338	283	1,19	0,048771	0,444	201528_at	Replication protein A1, 70kDa	RPA1
2816	16,9	14,2	1,19	0,019638	0,381	212650_at	EH domain binding protein 1	EHBP1
3151	13,9	11,7	1,19	0,022368	0,387	237252_at	Thrombomodulin	THBD
3615	207	173	1,19	0,026088	0,395	221502_at	Karyopherin alpha 3 (importin alpha 4)	KPNA3
5039	17,3	14,5	1,19	0,038830	0,420	238827_at	SH3 domain containing ring finger 2	SH3RF2
5477	5,79	4,85	1,19	0,043305	0,432	214967_at	cDNA FLJ12055 fis, clone HEMBB1002049	-
4325	7,41	6,21	1,19	0,032186	0,407	238614_x_at	Zinc finger protein 430	ZNF430
5292	8,31	6,97	1,19	0,041199	0,426	1553216_at	Zinc finger protein 41	ZNF41
4361	7,35	6,16	1,19	0,032432	0,407	1557797_a_at	Zinc finger E-box binding homeobox 2	ZEB2
4307	46,5	39,0	1,19	0,032045	0,407	214783_s_at	Annexin A11	ANXA11
2742	64,4	54,0	1,19	0,018920	0,377	204928_s_at	Solute carrier family 10, member 3	SLC10A3
2702	5,18	4,35	1,19	0,018540	0,375	1566825_at	Rho GTPase activating protein 24	ARHGAP24
4424	62,2	52,2	1,19	0,033118	0,409	225234_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL
4108	504	423	1,19	0,030195	0,402	206200_s_at	Annexin A11	ANXA11
3883	52,9	44,4	1,19	0,028348	0,399	237868_x_at	FK506 binding protein 15, 133kDa	FKBP15
5964	65,7	55,2	1,19	0,048437	0,444	233775_x_at	cDNA FLJ13242 fis, clone OVARC1000578	-
5388	8,98	7,55	1,19	0,042252	0,429	236241_at	Mediator complex subunit 31	MED31
2606	162	137	1,19	0,017699	0,371	235142_at	Zinc finger and BTB domain containing 8	ZBTB8
3241	497	418	1,19	0,022991	0,388	224936_at	Eukaryotic translation initiation factor 2, subunit 3 gamma	EIF2S3
4003	41,2	34,7	1,19	0,029304	0,400	238510_at	Zinc finger protein 720	ZNF720
5831	90,2	75,9	1,19	0,047123	0,442	214902_x_at	Hypothetical protein FLJ42393	FLJ42393
1533	31,0	26,1	1,19	0,009503	0,337	212078_s_at	Myeloid/lymphoid or mixed-lineage leukemia	MLL
1058	4,61	3,88	1,19	0,006206	0,319	232332_at	KIAA1210 protein	RP13-347D8.3
3424	46,6	39,2	1,19	0,024470	0,391	244406_at	Zinc finger protein 20	ZNF20
4088	5,15	4,33	1,19	0,030065	0,402	241242_at	Family with sequence similarity 120A	FAM120A
4019	13,1	11,1	1,19	0,029426	0,400	239023_at	CDC42 small effector 1	CDC42SE1
4919	49,2	41,4	1,19	0,037662	0,419	236027_at	Chromosome 10 open reading frame 78	C10orf78
3508	82,8	69,8	1,19	0,025201	0,392	205745_x_at	ADAM metallopeptidase domain 17	ADAM17
2718	5,75	4,85	1,19	0,018671	0,376	244655_at	Hypothetical protein LOC644192	LOC644192
3998	24,2	20,4	1,19	0,029266	0,400	203348_s_at	Ets variant gene 5 (ets-related molecule)	ETV5
2111	525	443	1,19	0,013848	0,358	202231_at	Eukaryotic translation initiation factor 3, subunit M	EIF3M
2787	120	102	1,19	0,019363	0,380	218147_s_at	Glycosyltransferase 8 domain containing 1	GLT8D1
5540	1104	931	1,19	0,044029	0,435	200761_s_at	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5
4894	7,25	6,11	1,19	0,037400	0,418	1569538_at	Clone FLB8310 PRO2225	-
5975	20,2	17,1	1,19	0,048531	0,444	242297_at	RAS responsive element binding protein 1	RREB1
4141	9,44	7,97	1,18	0,030562	0,403	1558306_at	Thyroid adenoma associated	THADA
2138	44,7	37,7	1,18	0,014054	0,359	218466_at	TBC1 domain family, member 17	TBC1D17
5364	11,7	9,87	1,18	0,042082	0,429	232588_at	Stromal antigen 1	STAG1
4458	9,99	8,43	1,18	0,033495	0,411	227913_at	Exosome component 3	EXOSC3
3687	791	668	1,18	0,026627	0,395	211938_at	Eukaryotic translation initiation factor 4B	EIF4B
2490	10,8	9,10	1,18	0,016784	0,367	214605_x_at	G protein-coupled receptor 1	GPR1
988	8,17	6,90	1,18	0,005696	0,315	230790_x_at	Forkhead box N3	FOXN3
560	4,96	4,19	1,18	0,003054	0,298	234605_at	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B
5951	655	553	1,18	0,048273	0,444	226801_s_at	Axin interactor, dorsalization associated	AIDA
4161	10,7	9,04	1,18	0,030766	0,404	232428_at	Monoacylglycerol O-acyltransferase 2	MOGAT2
4085	10,6	8,97	1,18	0,030000	0,402	238027_at	Hypothetical protein LOC202051	LOC202051
5421	633	535	1,18	0,042622	0,430	208942_s_at	Translocation protein 1	TLOC1
2463	94,4	79,8	1,18	0,016526	0,367	204765_at	Rho guanine nucleotide exchange factor (GEF) 5	ARHGEF5
1503	459	388	1,18	0,009241	0,336	217874_at	succinate-CoA ligase, GDP-forming, alpha subunit	SUCLG1
4124	296	250	1,18	0,030332	0,402	224777_s_at	PAF acetylhydrolase 30 kDa subunit	PAFAH1B2
1172	6,82	5,77	1,18	0,006886	0,321	1557158_s_at	Myeloid/lymphoid or mixed-lineage leukemia 3	MLL3
1545	5,52	4,68	1,18	0,009545	0,337	1558754_at	Zinc finger protein 763	ZNF763
1855	9,53	8,07	1,18	0,011950	0,352	232465_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
3122	5,95	5,04	1,18	0,022089	0,387	1567044_s_at	LSM14A, SCD6 homolog A (S. cerevisiae)	LSM14A
3357	9,84	8,34	1,18	0,023837	0,388	229274_at	GNAS complex locus	GNAS
6039	75,5	64,0	1,18	0,049159	0,445	225565_at	cAMP responsive element binding protein 1	CREB1
3531	5,44	4,61	1,18	0,025382	0,393	1565638_at	Peripheral myelin protein 22	PMP22
2698	11,4	9,64	1,18	0,018502	0,375	214000_s_at	Regulator of G-protein signalling 10	RGS10
1486	4,29	3,64	1,18	0,009150	0,336	220328_at	Polyhomeotic homolog 3 (Drosophila)	PHC3
1301	3738	3169	1,18	0,007743	0,325	211940_x_at	H3 histone, family 3AH3 histone, family 3B	H3F3AH3F3A
5534	171	145	1,18	0,043938	0,434	204028_s_at	RAB GTPase activating protein 1	RABGAP1
664	286	243	1,18	0,003828	0,308	226052_at	Bromodomain containing 4	BRD4
6102	17,4	14,8	1,18	0,049810	0,446	226890_at	WD repeat domain 35	WDR35
2426	7,69	6,53	1,18	0,016220	0,365	1562059_at	Transmembrane 9 superfamily member 3	TM9SF3
5646	31,3	26,6	1,18	0,045055	0,436	213896_x_at	Family with sequence similarity 149, member B1	FAM149B1
5779	153	130	1,18	0,046525	0,440	202537_s_at	Chromatin modifying protein 2B	CHMP2B
1785	10,5	8,93	1,18	0,011402	0,349	203969_at	Peroxisomal biogenesis factor 3	PEX3
5151	30,0	25,4	1,18	0,039647	0,421	215718_s_at	PHD finger protein 3	PHF3
2377	6,55	5,56	1,18	0,015844	0,364	230258_at	GLIS family zinc finger 3	GLIS3
4691	204	173	1,18	0,035438	0,413	201434_at	Tetratricopeptide repeat domain 1	TTC1
2622	8,58	7,29	1,18	0,017816	0,371	235283_at	Integrator complex subunit 6	INTS6
4087	11,8	10,1	1,18	0,030029	0,402	232621_at	Ubiquitin specific peptidase 48	USP48
4970	96,7	82,2	1,18	0,038124	0,419	206551_x_at	Kelch-like 24 (Drosophila)	KLHL24
3119	12,9	11,0	1,18	0,022053	0,387	244698_at	CMT1A duplicated region transcript 4	CDRT4
1894	5,37	4,57	1,18	0,012314	0,355	214829_at	Aminoadipate-semialdehyde synthase	AASS
331	4,70	4,00	1,18	0,001647	0,272	242258_at	Zinc finger and BTB domain containing 1	ZBTB1
3676	27,6	23,5	1,18	0,026571	0,395	1557690_x_at	Neuronal PAS domain protein 2	NPAS2
5293	6,26	5,32	1,18	0,041222	0,426	242006_at	Leber congenital amaurosis 5	LCA5
5916	4,12	3,51	1,18	0,047949	0,443	206543_at	ATP-dependent helicase SMARCA2	SMARCA2
1756	5,67	4,83	1,18	0,011197	0,348	1562815_at	EF-hand calcium binding domain 6	EFCAB6
2440	5,29	4,50	1,17	0,016309	0,365	210697_at	Zinc finger protein 257	ZNF257
4902	76,0	64,7	1,17	0,037505	0,418	214316_x_at	Calreticulin	CALR
4075	3,44	2,93	1,17	0,029884	0,401	240292_x_at	Ankyrin repeat and sterile alpha motif domain containing 1B	ANKS1B
2607	5,75	4,89	1,17	0,017706	0,371	244691_at	SET domain containing 5	SETD5
4213	920	784	1,17	0,031202	0,405	217768_at	Chromosome 14 open reading frame 166	C14orf166
4021	6,36	5,42	1,17	0,029430	0,400	233253_at	cDNA FLJ14147 fis, clone MAMMA1002973	-
977	57,5	49,0	1,17	0,005671	0,315	235828_at	PRELI domain containing 2	PRELID2
3426	5,12	4,36	1,17	0,024496	0,391	243361_at	Splicing factor, arginine/serine-rich 12	SFRS12
2744	18,6	15,8	1,17	0,018935	0,377	219172_at	Ubiquitin domain containing 1	UBTD1
2930	19,8	16,8	1,17	0,020548	0,383	219380_x_at	Polymerase (DNA directed), eta	POLH
4920	257	219	1,17	0,037673	0,419	219598_s_at	RWD domain containing 1	RWDD1
2528	10,9	9,30	1,17	0,017077	0,369	214980_at	Ubiquitin protein ligase E3A	UBE3A
1963	4,35	3,71	1,17	0,012834	0,355	1558560_s_at	Basic leucine zipper nuclear factor 1 (JEM-1)	BLZF1
4040	19,6	16,7	1,17	0,029597	0,401	203945_at	Arginase, type II	ARG2
3747	5,82	4,96	1,17	0,027245	0,397	242456_at	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	MRE11A
5924	6,41	5,47	1,17	0,047997	0,443	239889_at	Chromosome 13 open reading frame 21	C13orf21
5488	84,2	71,8	1,17	0,043438	0,433	207268_x_at	Abl interactor 2	ABI2
5943	98,4	83,9	1,17	0,048165	0,443	1558511_s_at	Extended synaptotagmin-like protein 2	ESYT2
592	1152	984	1,17	0,003269	0,301	200677_at	Pituitary tumor-transforming 1 interacting protein	PTTG1IP
5042	35,6	30,4	1,17	0,038856	0,420	219247_s_at	Zinc finger, DHHC-type containing 14	ZDHHC14
1837	5,16	4,41	1,17	0,011815	0,351	1567457_at	RAS-related C3 botulinum toxin substrate 1	RAC1
5102	5,67	4,84	1,17	0,039232	0,420	208268_at	ADAM metallopeptidase domain 28	ADAM28
1502	49,6	42,4	1,17	0,009238	0,336	222195_s_at	Chromosome 9 open reading frame 156	C9orf156
5050	10,6	9,08	1,17	0,038907	0,420	214008_at	Twinfilin, actin-binding protein, homolog 1 (Drosophila)	TWF1
5357	132	113	1,17	0,042012	0,429	203057_s_at	PR domain containing 2, with ZNF domain	PRDM2
3043	28,3	24,2	1,17	0,021428	0,385	214028_x_at	Tudor domain containing 3	TDRD3
406	7,45	6,38	1,17	0,002133	0,286	214031_s_at	Keratin 7	KRT7
588	190	163	1,17	0,003249	0,301	1555945_s_at	Family with sequence similarity 120A	FAM120A
1701	51,4	44,0	1,17	0,010831	0,348	222492_at	Pyridoxal (pyridoxine, vitamin B6) kinase	PDXK
875	4,17	3,57	1,17	0,005050	0,313	236409_at	Lysophospholipase-like 1	LYPLAL1
5931	25,5	21,9	1,17	0,048084	0,443	209920_at	Bone morphogenetic protein receptor, type II	BMPR2
5947	211	181	1,17	0,048195	0,443	212399_s_at	Vestigial like 4 (Drosophila)	VGLL4
3277	523	448	1,17	0,023346	0,388	201807_at	Vacuolar protein sorting 26 homolog A (S. pombe)	VPS26A
455	4,29	3,68	1,17	0,002434	0,288	240485_at	Tetratricopeptide repeat domain 8	TTC8
4996	261	224	1,16	0,038359	0,420	202985_s_at	BCL2-associated athanogene 5	BAG5
4030	18,6	15,9	1,16	0,029511	0,400	231548_at	Forkhead box O3	FOXO3
5675	5,36	4,61	1,16	0,045287	0,436	205092_x_at	Zinc finger and BTB domain containing 1	ZBTB1
4167	46,6	40,0	1,16	0,030793	0,404	222649_at	Exportin 4	XPO4
4816	33,8	29,0	1,16	0,036601	0,416	220938_s_at	Glucocorticoid modulatory element binding protein 1	GMEB1
2424	2177	1871	1,16	0,016211	0,365	214938_x_at	High-mobility group box 1	HMGB1
1281	4,74	4,07	1,16	0,007629	0,325	1562775_at	Nudix (nucleoside diphosphate linked moiety X)-type motif 12	NUDT12
3798	5,25	4,51	1,16	0,027669	0,398	1557553_at	Protein phosphatase 1, regulatory (inhibitor) subunit 12B	PPP1R12B
4344	5,23	4,49	1,16	0,032339	0,407	239461_at	Polypeptide N-acetylgalactosaminyltransferase-like protein 2	GALNTL2
3188	27,0	23,3	1,16	0,022597	0,387	209126_x_at	Keratin 6B	KRT6B
4273	11,7	10,0	1,16	0,031762	0,406	228132_at	Actin binding LIM protein family, member 2	ABLIM2
3148	4,94	4,25	1,16	0,022347	0,387	202035_s_at	Secreted frizzled-related protein 1	SFRP1
1777	16,2	14,0	1,16	0,011306	0,348	213863_s_at	Ornithine decarboxylase antizyme 3	OAZ3
587	6,19	5,33	1,16	0,003244	0,301	1565628_at	Leucine-rich repeat kinase 1	LRRK1
2868	52,4	45,1	1,16	0,020138	0,383	221192_x_at	Major facilitator superfamily domain containing 11	MFSD11
3079	7,67	6,60	1,16	0,021704	0,385	230392_at	cDNA FLJ31096 fis, clone IMR321000207	-
5933	122	105	1,16	0,048100	0,443	221564_at	Protein arginine methyltransferase 2	PRMT2
5695	7,34	6,33	1,16	0,045566	0,437	209800_at	Keratin 16	KRT16
1685	53,7	46,2	1,16	0,010651	0,345	47530_at	Chromosome 9 open reading frame 156	C9orf156
3477	7,37	6,35	1,16	0,024971	0,392	1563947_a_at	ELKS/RAB6-interacting/CAST family member 1	ERC1
4866	30,7	26,4	1,16	0,037112	0,417	232867_at	Serine palmitoyltransferase, long chain base subunit 2	SPTLC2
3866	190	164	1,16	0,028243	0,399	212245_at	Multiple coagulation factor deficiency 2	MCFD2
2415	15,6	13,5	1,16	0,016131	0,365	205203_at	Phospholipase D1, phosphatidylcholine-specific	PLD1
5422	1707	1473	1,16	0,042629	0,430	200680_x_at	High-mobility group box 1	HMGB1
2393	8,96	7,72	1,16	0,015975	0,365	241701_at	Rho GTPase activating protein 21	ARHGAP21
3169	36,3	31,3	1,16	0,022488	0,387	214253_s_at	Dystrobrevin, beta	DTNB
3719	6,79	5,87	1,16	0,026999	0,397	237173_at	Similar to phosphodiesterase 4D interacting protein isoform 1	LOC647500
4279	3,90	3,37	1,16	0,031801	0,406	232980_at	LMBR1 domain containing 1	LMBRD1
1644	9,14	7,89	1,16	0,010357	0,344	239769_at	Cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11
5531	31,1	26,9	1,16	0,043887	0,434	227823_at	Retrotransposon gag domain containing 4	RGAG4
3475	6,13	5,30	1,16	0,024960	0,392	1565887_at	Transient receptor potential cation channel, subfamily M, member 7	TRPM7
5425	21,0	18,1	1,16	0,042688	0,430	243656_at	Hypothetical protein LOC642852	LOC642852
4555	6,00	5,18	1,16	0,034440	0,412	231061_at	La ribonucleoprotein domain family, member 7	LARP7
2134	5,38	4,65	1,16	0,014029	0,359	221697_at	Microtubule-associated protein 1 light chain 3 gamma	MAP1LC3C
1520	12,8	11,0	1,16	0,009394	0,337	1555752_at	Saitohin	STH
5650	1931	1671	1,16	0,045067	0,436	208646_at	Ribosomal protein S14	RPS14
2178	8,96	7,75	1,16	0,014409	0,361	241627_x_at	Hypothetical protein FLJ10357	FLJ10357
1521	59,8	51,7	1,16	0,009399	0,337	202640_s_at	RAN binding protein 3	RANBP3
2802	5,17	4,48	1,15	0,019474	0,380	1553300_a_at	Diacylglycerol kinase, eta	DGKH
5623	3,99	3,46	1,15	0,044911	0,436	204748_at	Prostaglandin-endoperoxide synthase 2	PTGS2
6096	80,8	70,0	1,15	0,049756	0,446	203291_at	CCR4-NOT transcription complex, subunit 4	CNOT4
955	10,6	9,16	1,15	0,005504	0,315	210535_at	B9 protein	EPPB9
5015	19,2	16,6	1,15	0,038580	0,420	1570078_a_at	Dedicator of cytokinesis 5	DOCK5
1323	3,68	3,19	1,15	0,007915	0,327	215339_at	Natural killer-tumor recognition sequence	NKTR
409	6,64	5,76	1,15	0,002148	0,286	1558874_a_at	cDNA clone YP97H11	-
3103	4,08	3,54	1,15	0,021909	0,386	216997_x_at	Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	TLE4
618	8,68	7,52	1,15	0,003500	0,308	232878_at	Hypothetical protein LOC644192	LOC644192
1657	4330	3757	1,15	0,010453	0,345	213828_x_at	H3 histone, family 3AH3 histone, family 3B	H3F3AH3F3A
5731	22,9	19,9	1,15	0,045976	0,438	241757_x_at	Dynein, cytoplasmic 2, light intermediate chain 1	DYNC2LI1
4639	6,10	5,29	1,15	0,034982	0,412	241776_at	Transcribed locus	-
3907	5,79	5,02	1,15	0,028526	0,399	244755_at	Xenotropic and polytropic retrovirus receptor	XPR1
3617	26,0	22,6	1,15	0,026116	0,395	220215_at	Zinc finger protein 669	ZNF669
1878	6,59	5,72	1,15	0,012155	0,354	235492_at	Ring finger protein 217	RNF217
304	9,32	8,10	1,15	0,001467	0,263	1563283_at	cDNA clone IMAGE:4828909	-
1643	5,61	4,88	1,15	0,010350	0,344	1553211_at	Ankyrin-repeat and fibronectin type III domain containing 1	ANKFN1
5568	5,38	4,68	1,15	0,044332	0,435	237622_at	Transcribed locus	-
5870	4,16	3,62	1,15	0,047434	0,442	235575_at	Succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 2	SDHALP2
1571	8,63	7,51	1,15	0,009762	0,340	204680_s_at	Rap guanine nucleotide exchange factor (GEF) 5	RAPGEF5
3713	209	182	1,15	0,026924	0,396	219097_x_at	Chromosome 19 open reading frame 42	C19orf42
1267	4345	3782	1,15	0,007544	0,325	208755_x_at	H3 histone, family 3AH3 histone, family 3B	H3F3AH3F3A
4437	5,33	4,64	1,15	0,033242	0,410	242916_at	Centrosomal protein 110kDa	CEP110
4868	6,57	5,73	1,15	0,037156	0,417	230451_at	DISC1 disrupted in schizophrenia 1	DISC1
399	6,36	5,54	1,15	0,002090	0,285	236306_at	KIAA2026 protein	KIAA2026
5557	14,7	12,8	1,15	0,044236	0,435	232566_at	Nucleolar protein family 6 (RNA-associated)	NOL6
