symbol	operon_ID	unigene  ID	C.I. Low	Fold Change	C.I. Up	signal-Control group	signal T2DM group	backgr. Signal Control group	backgr. Signal T2DM group
GAS1	HSAC005560	Hs.65029	1.1	1.39	1.75	5539	6986	275	298
BCHE	HSAC000347	Hs.420483	1.1	1.39	1.75	738	795	298	307
CEBPD	HSAC006317	Hs.440829	1.15	1.39	1.68	2142	2779	292	314
GSG1	HSAC012119	Hs.240053	1.03	1.39	1.89	421	538	251	253
ALG1	HSAC004716	Hs.555964	1.21	1.39	1.61	1629	1909	292	308
RHOD	HSAC002448	Hs.15114	1.12	1.39	1.73	4113	5494	256	281
NA	HSAC014005	NA	1.17	1.39	1.65	1067	1336	285	301
APRT	HSAC003879	Hs.28914	1.08	1.39	1.8	9860	11202	296	328
SLC25A6	HSAC007590	Hs.350927	1.09	1.39	1.78	24703	28389	794	800
ZFP36L2	HSAC006577	Hs.503093	1.1	1.39	1.77	4648	5148	289	282
NA	HSAC004160	NA	1.16	1.4	1.7	923	1278	245	268
RABGAP1	HSAC005153	Hs.271341	1.15	1.4	1.72	2307	2500	284	286
PLEKHF1	HSAC005319	Hs.466383	1.02	1.41	1.94	2683	2819	275	288
IGBP1	HSAC000810	Hs.496267	1.05	1.41	1.91	7669	8665	301	313
EPSTI1	HSAC019966	Hs.561949	1.19	1.41	1.67	570	822	267	312
CAMK2N1	HSAC014770	Hs.197922	1.09	1.41	1.83	1664	1821	242	246
KCNK15	HSAC014959	Hs.528664	1.12	1.42	1.8	678	835	245	244
ST3GAL5	HSAC015293	Hs.415117	1.07	1.42	1.88	1394	1822	259	274
COBLL1	HSAC009926	Hs.560777	1.08	1.42	1.86	3094	3305	254	274
EHBP1	HSAC002550	Hs.271667	1.15	1.42	1.75	5515	7149	286	322
IL6ST	HSAC005766	Hs.532082	1.02	1.42	1.97	10909	15206	289	287
PARP9	HSAC004855	Hs.518200	1.06	1.43	1.93	2274	2688	270	292
VEPH1	HSAC012607	Hs.127657	1.05	1.43	1.96	1669	2076	257	274
PDCD4	HSAC009657	Hs.232543	1.22	1.43	1.68	1311	1604	263	268
APOL3	HSAC015753	Hs.513391	1.06	1.43	1.93	815	1033	247	268
TXNRD1	HSAC002222	Hs.567352	1.23	1.43	1.67	32897	40464	671	852
IFITM1	HSAC013558	Hs.458414	1.05	1.43	1.97	10390	12223	290	326
SLC27A3	HSAC011630	Hs.438723	1.04	1.43	1.98	1819	2451	257	273
STAT1	HSAC003029	Hs.470943	1.19	1.43	1.74	1167	1368	278	281
GLRX	HSAC003884	Hs.28988	1.13	1.44	1.83	6205	6966	291	292
ADRA2A	HSAC016145	Hs.249159	1.2	1.44	1.72	1224	1432	260	258
SLC39A10	HSAC004180	Hs.413434	1.26	1.44	1.66	548	693	263	257
RFP2	HSAC004567	Hs.436922	1.21	1.44	1.72	2249	2976	252	271
U50	HSAC009525	NA	1.16	1.45	1.82	3972	4946	306	323
FLRT2	HSAC004913	Hs.533710	1.11	1.45	1.89	1969	2619	260	274
SOCS2	HSAC011710	Hs.485572	1.18	1.45	1.78	886	1162	266	274
ADM	HSAC000106	Hs.441047	1.08	1.45	1.95	1349	1931	259	270
SERPING1	HSAC013749	Hs.384598	1.04	1.45	2.03	3622	4382	259	262
F10	HSAC004858	Hs.361463	1.08	1.46	1.98	1226	1698	300	324
HS6ST1	HSAC001214	Hs.528498	1.21	1.46	1.76	1478	1789	260	277
TWIST2	HSAC004159	NA	1.15	1.46	1.86	16054	24650	281	316
KIAA1199	HSAC004963	Hs.459088	1.15	1.46	1.86	7448	10361	260	281
EFEMP1	HSAC006264	Hs.76224	-	1.47	-	33336	43627	459	658
IMPA2	HSAC001100	Hs.367992	1.1	1.47	1.96	852	1087	258	273
REV3L	HSAC011961	Hs.232021	1.07	1.48	2.04	2722	3458	273	283
GUSB	HSAC014228	Hs.255230	1.21	1.48	1.8	4056	4619	279	268
GPD1	HSAC020559	Hs.524418	1.14	1.48	1.91	574	616	256	259
NP_060765.1	HSAC018144	NA	-	1.48	-	1395	1737	297	266
STK32B	HSAC005310	Hs.133062	1.08	1.48	2.03	597	766	299	334
HEBP1	HSAC009627	Hs.294133	1.12	1.49	1.98	3619	4876	343	366
UGCG	HSAC003310	Hs.304249	1.06	1.49	2.09	3205	4321	283	303
DAPK1	HSAC013912	Hs.380277	1.12	1.49	1.98	796	1053	247	262
SGCG	HSAC004387	Hs.37167	1.12	1.51	2.02	920	970	265	263
NP_690006.1	HSAC001525	NA	1.03	1.51	2.23	2610	3964	298	318
MXRA5	HSAC005780	Hs.369422	1.13	1.51	2.03	986	1731	267	296
EMP1	HSAC021297	Hs.436298	1.14	1.52	2.04	735	844	279	298
PKP4	HSAC013803	Hs.407580	1.31	1.52	1.76	1579	1811	244	254
ID2	HSAC017914	Hs.180919	1.3	1.52	1.79	23210	34415	324	394
G8	HSAC011665	Hs.109798	1.24	1.53	1.87	29890	35499	401	491
SIPA1L2	HSAC002760	Hs.268774	1.32	1.53	1.78	509	672	258	254
NA	HSAC015585	NA	1.23	1.53	1.91	882	1134	258	252
SLIT3	HSAC005286	Hs.567338	1.08	1.54	2.2	8186	11289	394	440
EFNA5	HSAC009341	Hs.128518	1.17	1.54	2.04	536	755	269	289
MATN2	HSAC002818	Hs.189445	1.07	1.56	2.26	735	1155	255	266
HEG1	HSAC008562	Hs.477420	1.13	1.57	2.19	1156	1506	263	296
CYTL1	HSAC002329	Hs.13872	1.05	1.59	2.42	441	670	260	294
ANXA3	HSAC000361	Hs.480042	1.24	1.6	2.06	655	893	240	250
ADAMTS5	HSAC005313	Hs.58324	1.08	1.61	2.38	3954	6126	279	299
LL22NC03-75B3.6	HSAC001311	NA	1.22	1.61	2.13	452	805	273	324
ALS2CR19	HSAC003715	Hs.271903	1.14	1.62	2.31	1427	2024	266	286
CYB5	HSAC007064	NA	1.08	1.63	2.46	2764	4484	278	309
ARL4C	HSAC011757	Hs.111554	1.19	1.64	2.27	1103	1450	242	254
AVPI1	HSAC003338	Hs.23918	1.27	1.68	2.22	6730	8403	428	455
NP_078804.1	HSAC001076	NA	1.2	1.68	2.35	1078	1106	262	256
ROR1	HSAC012766	Hs.436456	1.23	1.69	2.33	4978	6665	263	285
ASS	HSAC007505	Hs.160786	1.25	1.69	2.29	2206	3191	252	264
MEST	HSAC006656	Hs.270978	1.12	1.71	2.62	13246	15209	333	363
SERAC1	HSAC013987	Hs.154706	1.35	1.72	2.2	4004	5999	255	267
SH2D4A	HSAC002651	Hs.303208	1.32	1.73	2.28	2079	2913	263	274
MTSS1	HSAC006434	Hs.336994	1.08	1.76	2.87	1037	1993	261	285
PDE1A	HSAC004540	Hs.416061	1.1	1.77	2.84	1918	2929	250	266
NP_071745.1	HSAC017566	NA	1.4	1.77	2.24	689	626	259	270
HNMT	HSAC006822	Hs.42151	1.32	1.8	2.46	2854	4052	308	305
FANCL	HSAC017498	Hs.411433	1.3	1.82	2.56	812	841	247	230
ZNF146	HSAC017954	Hs.301819	1.25	1.85	2.74	1990	2065	266	253
SVIL	HSAC013974	Hs.554202	1.37	1.89	2.6	1453	2137	267	251
PTX3	HSAC000525	Hs.567326	1.49	1.89	2.4	35864	42950	418	532
ABI3BP	HSAC005321	Hs.477015	1.09	1.89	3.28	4227	6667	278	315
WISP2	HSAC014640	Hs.550701	1.2	1.93	3.12	4071	7688	248	263
TNXB	HSAC007872	Hs.485104	1.12	1.96	3.43	1618	2838	284	310
NA	HSAC000329	NA	1.46	1.97	2.68	12928	18993	719	859
EVI2B	HSAC001067	Hs.5509	1.12	2.01	3.64	907	1703	346	394
CPE	HSAC006084	Hs.75360	1.46	2.03	2.83	14981	27487	411	574
IRF1	HSAC006781	Hs.436061	1.38	2.06	3.1	1147	1318	273	280
PPL	HSAC005932	Hs.192233	1.3	2.19	3.68	796	1341	264	267
EMILIN2	HSAC016690	Hs.532815	1.34	2.2	3.6	4654	7980	320	378
NP_060463.1	HSAC002234	NA	1.95	2.56	3.36	1232	1688	240	251
C3	HSAC008804	Hs.529053	2.11	2.98	4.22	2189	4451	286	285
