Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1448793_a_at	Sdc4	syndecan 4	1570	952	1.6	0.0446
1449107_at	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	1603	969	1.7	0.0212
1453221_at	Gopc	golgi associated PDZ and coiled-coil motif containing	611	369	1.7	0.0342
1419132_at	Tlr2	toll-like receptor 2	494	298	1.7	0.0192
1436915_x_at	Laptm4b	lysosomal-associated protein transmembrane 4B	9056	5459	1.7	0.0030
1428548_at	Pak4	p21 (CDKN1A)-activated kinase 4	430	259	1.7	0.0392
1434408_at	Atxn3	ataxin 3	635	382	1.7	0.0254
1457658_x_at	Anxa4	annexin A4	429	258	1.7	0.0345
1442608_at	Layn	layilin	503	300	1.7	0.0208
1426875_s_at	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	1501	890	1.7	0.0089
1416262_at	Tmem19	transmembrane protein 19	170	101	1.7	0.0125
1437447_s_at	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	4489	2657	1.7	0.0011
1415795_at	Spin1	spindlin 1	55	33	1.7	0.0375
1437635_at	Dcbld2	discoidin, CUB and LCCL domain containing 2	1267	748	1.7	0.0020
1433544_at	Als2cr2	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 (human)	302	178	1.7	0.0200
1449137_at	Pdha1	pyruvate dehydrogenase E1 alpha 1	511	301	1.7	0.0318
1421172_at	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	859	505	1.7	0.0149
1424358_at	Ube2e2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	1888	1109	1.7	0.0310
1433795_at	Tgfbr3	transforming growth factor, beta receptor III	141	82	1.7	0.0134
1426640_s_at	Trib2	tribbles homolog 2 (Drosophila)	2450	1427	1.7	0.0493
1459867_x_at	Unc45a	unc-45 homolog A (C. elegans)	39	23	1.7	0.0104
1437831_at	Zcchc4	Zinc finger, CCHC domain containing 4	34	20	1.7	0.0184
1424820_a_at	Ndfip1	Nedd4 family interacting protein 1	6502	3771	1.7	0.0095
1434590_at	B230209C24Rik	RIKEN cDNA B230209C24 gene	560	323	1.7	0.0251
1419706_a_at	Akap12	A kinase (PRKA) anchor protein (gravin) 12	25962	14946	1.7	0.0162
1455345_at	Phf15	PHD finger protein 15	1562	899	1.7	0.0196
1430986_at	Farsb	phenylalanyl-tRNA synthetase, beta subunit	229	132	1.7	0.0404
1448600_s_at	Vav3	vav 3 oncogene	862	495	1.7	0.0097
1428570_at	Ccnc	cyclin C	605	347	1.7	0.0471
1451527_at	Pcolce2	procollagen C-endopeptidase enhancer 2	1972	1129	1.7	0.0024
1443486_at	Cog7	Component of oligomeric golgi complex 7	1474	844	1.7	0.0413
1436771_x_at	Pgd	phosphogluconate dehydrogenase	17451	9981	1.7	0.0466
1435167_at	Ranbp6	RAN binding protein 6	379	215	1.8	0.0110
1448864_at	Snrk	SNF related kinase	5185	2945	1.8	0.0272
1421571_a_at	Ly6c	lymphocyte antigen 6 complex, locus C	13879	7869	1.8	0.0145
1450784_at	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	465	263	1.8	0.0011
1437694_at	Zfp809	Zinc finger protein 809	744	419	1.8	0.0339
1436544_at	Atp10d	ATPase, Class V, type 10D	564	316	1.8	0.0047
1434751_at	Ids	iduronate 2-sulfatase	630	353	1.8	0.0047
1427491_at	Nsun6	NOL1/NOP2/Sun domain family 6	66	37	1.8	0.0117
1416077_at	Adm	adrenomedullin	817	457	1.8	0.0475
1426569_a_at	Frk	fyn-related kinase	94	52	1.8	0.0215
1418394_a_at	Cd97	CD97 antigen	32	18	1.8	0.0069
1434687_at	C730026J16	hypothetical protein C730026J16	4692	2602	1.8	0.0056
1418209_a_at	Pfn2	profilin 2	1900	1052	1.8	0.0288
1436737_a_at	Sorbs1	sorbin and SH3 domain containing 1	8762	4846	1.8	0.0381
1422184_a_at	Ak1	adenylate kinase 1	403	223	1.8	0.0080
1422619_at	Ppap2a	phosphatidic acid phosphatase 2a	3136	1725	1.8	0.0381
1422433_s_at	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	2094	1149	1.8	0.0197
1416429_a_at	Cat	catalase	5168	2821	1.8	0.0395
1434828_at	B430201A12Rik	RIKEN cDNA B430201A12 gene	1145	624	1.8	0.0095
1447757_x_at	Inpp5f	inositol polyphosphate-5-phosphatase F	239	130	1.8	0.0241
1451828_a_at	Acsl4	acyl-CoA synthetase long-chain family member 4	429	233	1.8	0.0419
1451415_at	1810011O10Rik	RIKEN cDNA 1810011O10 gene	750	407	1.8	0.0136
1419272_at	Myd88	myeloid differentiation primary response gene 88	260	141	1.8	0.0205
1423871_at	Tmem63a	transmembrane protein 63a	492	266	1.8	0.0206
1429590_at	Tacc1	transforming, acidic coiled-coil containing protein 1	625	338	1.8	0.0156
1453622_s_at	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	174	94	1.9	0.0291
1452016_at	Alox5ap	arachidonate 5-lipoxygenase activating protein	647	348	1.9	0.0063
1449334_at	Timp3	tissue inhibitor of metalloproteinase 3	1844	990	1.9	0.0313
1426356_at	6330578E17Rik	RIKEN cDNA 6330578E17 gene	363	194	1.9	0.0095
1454617_at	Arrdc3	arrestin domain containing 3	250	134	1.9	0.0134
1422518_at	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	170	91	1.9	0.0457
1429310_at	Flrt3	fibronectin leucine rich transmembrane protein 3	148	79	1.9	0.0421
1421840_at	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	1298	691	1.9	0.0374
1430030_at	5330426P16Rik	RIKEN cDNA 5330426P16 gene	269	143	1.9	0.0379
1419301_at	Fzd4	frizzled homolog 4 (Drosophila)	6265	3332	1.9	0.0040
1415824_at	Scd2	stearoyl-Coenzyme A desaturase 2	136	72	1.9	0.0481
1449125_at	Tnfaip8l1	tumor necrosis factor, alpha-induced protein 8-like 1	1333	704	1.9	0.0063
1426573_at	Me2	malic enzyme 2, NAD(+)-dependent, mitochondrial	290	153	1.9	0.0060
1437342_x_at	Pttg1ip	pituitary tumor-transforming 1 interacting protein	11619	6128	1.9	0.0063
1425029_a_at	Mboat2	membrane bound O-acyltransferase domain containing 2	522	275	1.9	0.0325
1449118_at	Dbt	dihydrolipoamide branched chain transacylase E2	1441	755	1.9	0.0203
1458996_at	Itga5	integrin alpha 5 (fibronectin receptor alpha)	210	110	1.9	0.0076
1452209_at	Pkp4	plakophilin 4	2351	1230	1.9	0.0276
1420888_at	Bcl2l1	Bcl2-like 1	5449	2834	1.9	0.0182
1443673_x_at			387	200	1.9	0.0456
1435517_x_at	Ralb	v-ral simian leukemia viral oncogene homolog B (ras related)	1273	657	1.9	0.0111
1442350_at		0 day neonate skin cDNA, RIKEN full-length enriched library, clone:4632424N07 product:unclassifiable, full insert sequence	600	310	1.9	0.0290
1426236_a_at	Glul	glutamate-ammonia ligase (glutamine synthetase)	1742	897	1.9	0.0124
1436678_at	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)	321	165	1.9	0.0305
1449984_at	Cxcl2	chemokine (C-X-C motif) ligand 2	2619	1344	1.9	0.0310
1448812_at	Hpcal1	hippocalcin-like 1	2958	1517	1.9	0.0191
1448610_a_at	Sod2	superoxide dismutase 2, mitochondrial	11757	6005	2.0	0.0121
1431302_a_at	Nudt7	nudix (nucleoside diphosphate linked moiety X)-type motif 7	648	330	2.0	0.0102
1454604_s_at	Tspan12	tetraspanin 12	227	116	2.0	0.0297
1416592_at	Glrx	glutaredoxin	4000	2033	2.0	0.0340
1416825_at	Snta1	syntrophin, acidic 1	72	36	2.0	0.0098
1435396_at	Stxbp6	syntaxin binding protein 6 (amisyn)	26	13	2.0	0.0127
1435058_x_at	Stxbp3a	syntaxin binding protein 3A	1454	731	2.0	0.0075
1456482_at	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	1076	538	2.0	0.0169
1436116_x_at	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	593	296	2.0	0.0039
1456288_at	Slfn5	schlafen 5	342	171	2.0	0.0170
1427097_at	Wwp1	WW domain containing E3 ubiquitin protein ligase 1	1421	709	2.0	0.0084
1421594_a_at	Sytl2	synaptotagmin-like 2	462	231	2.0	0.0196
1436756_x_at	Hadh	hydroxyacyl-Coenzyme A dehydrogenase	591	293	2.0	0.0451
1417777_at	Ltb4dh	leukotriene B4 12-hydroxydehydrogenase	952	472	2.0	0.0067
1424711_at	Tmem2	transmembrane protein 2	356	176	2.0	0.0013
1435735_x_at	H47	histocompatibility 47	5452	2696	2.0	0.0438
1427347_s_at	EG665524 /// LOC671656 /// Tubb2a /// Tubb2b	tubulin, beta 2a /// tubulin, beta 2b /// predicted gene, EG665524 /// similar to tubulin, beta 3	11058	5456	2.0	0.0302
1438610_a_at	Cryz	Crystallin, zeta	3203	1578	2.0	0.0276
1455735_at	Ap1s3	adaptor-related protein complex AP-1, sigma 3	364	179	2.0	0.0061
1426260_a_at	Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9 /// Ugt1a@	UDP glucuronosyltransferase 1 family, polypeptide A2 /// UDP glucuronosyltransferase 1 family, polypeptide A6A /// UDP glycosyltransferase 1 family, polypeptide A10 /// UDP glycosyltransferase 1 family, polypeptide A cluster /// UDP glucuronosyltransferase 1 family, polypeptide A7C /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A9 /// UDP glucuronosyltransferase 1 family, polypeptide A6B /// UDP glucuronosyltransferase 1 family, polypeptide A1	6628	3260	2.0	0.0110
1428196_a_at	1200015F23Rik	RIKEN cDNA 1200015F23 gene	2541	1245	2.0	0.0253
1431802_a_at	D5Wsu178e	DNA segment, Chr 5, Wayne State University 178, expressed	1323	647	2.0	0.0490
1436194_at	Prelid2	PRELI domain containing 2	210	102	2.0	0.0160
1422601_at	Serpinb9	serine (or cysteine) peptidase inhibitor, clade B, member 9	859	419	2.0	0.0021
1448489_at	Pafah2	platelet-activating factor acetylhydrolase 2	1105	539	2.1	0.0475
1424800_at	Enah	enabled homolog (Drosophila)	116	56	2.1	0.0384
1433453_a_at	Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	835	406	2.1	0.0413
1438667_at	5730410E15Rik	RIKEN cDNA 5730410E15 gene	12	6	2.1	0.0206
1417533_a_at	Itgb5	integrin beta 5	186	90	2.1	0.0149
1429690_at	1300003B13Rik	RIKEN cDNA 1300003B13 gene	1385	672	2.1	0.0069
1440230_at	Tsku	tsukushin	75	36	2.1	0.0274
1430526_a_at	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	266	128	2.1	0.0472
1434350_at	Axud1	AXIN1 up-regulated 1	542	262	2.1	0.0348
1421992_a_at	Igfbp4	insulin-like growth factor binding protein 4	2080	1003	2.1	0.0196
1429527_a_at	LOC433328 /// LOC677340 /// Plscr1	phospholipid scramblase 1 /// hypothetical LOC433328 /// hypothetical protein LOC677340	2465	1188	2.1	0.0341
1435771_at	Plcb4	phospholipase C, beta 4	1427	686	2.1	0.0076
1455096_at	Flrt2	fibronectin leucine rich transmembrane protein 2	2423	1165	2.1	0.0142
1439558_at	Zfp75	zinc finger protein 75	506	243	2.1	0.0236
1428636_at	Steap2	six transmembrane epithelial antigen of prostate 2	5127	2457	2.1	0.0215
1438156_x_at	Cpt1a	carnitine palmitoyltransferase 1a, liver	2443	1171	2.1	0.0239
1451112_s_at	Dap	death-associated protein	3088	1478	2.1	0.0108
1418280_at	Klf6	Kruppel-like factor 6	721	345	2.1	0.0170
1416165_at	Rab31	RAB31, member RAS oncogene family	1435	684	2.1	0.0415
1449983_a_at	Nqo2	NAD(P)H dehydrogenase, quinone 2	716	340	2.1	0.0038
1447903_x_at	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit	8243	3911	2.1	0.0132
1460694_s_at	Svil	supervillin	4025	1902	2.1	0.0073
1428914_at	2310014D11Rik	RIKEN cDNA 2310014D11 gene	1224	575	2.1	0.0119
1426593_a_at	Fbxo22	F-box protein 22	7603	3569	2.1	0.0115
1434010_at	Als2cr13	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13 (human)	1410	659	2.1	0.0337
1455150_at		13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930438H13 product:unclassifiable, full insert sequence	137	64	2.1	0.0423
1434089_at	Synpo	synaptopodin	2840	1318	2.2	0.0069
1451989_a_at	Mapre2	microtubule-associated protein, RP/EB family, member 2	5666	2628	2.2	0.0218
1424029_at	Tspyl4	TSPY-like 4	182	84	2.2	0.0445
1433992_at	LOC670546 /// Shroom2	shroom family member 2 /// similar to Apical-like protein (APXL protein)	914	422	2.2	0.0156
1419435_at	Aox1	aldehyde oxidase 1	331	152	2.2	0.0480
1451508_at	Larp2	La ribonucleoprotein domain family, member 2	142	65	2.2	0.0387
1423747_a_at	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	2055	935	2.2	0.0292
1416021_a_at	Fabp5 /// LOC628298 /// LOC669559	fatty acid binding protein 5, epidermal /// fatty acid-binding protein, epidermal pseudogene /// similar to Fatty acid-binding protein, epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP) (Keratinocyte lipid-binding protein)	6846	3104	2.2	0.0381
1429177_x_at	Sox17	SRY-box containing gene 17	2462	1113	2.2	0.0345
1436155_at	Nmnat2	nicotinamide nucleotide adenylyltransferase 2	134	61	2.2	0.0195
1422524_at	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	233	105	2.2	0.0171
1434329_s_at	Adipor2	adiponectin receptor 2	1404	627	2.2	0.0189
1424783_a_at	Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9 /// Ugt1a@	UDP glucuronosyltransferase 1 family, polypeptide A2 /// UDP glucuronosyltransferase 1 family, polypeptide A6A /// UDP glycosyltransferase 1 family, polypeptide A10 /// UDP glycosyltransferase 1 family, polypeptide A cluster /// UDP glucuronosyltransferase 1 family, polypeptide A7C /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A9 /// UDP glucuronosyltransferase 1 family, polypeptide A6B /// UDP glucuronosyltransferase 1 family, polypeptide A1	5224	2312	2.3	0.0019
1454858_x_at	Mettl7a	methyltransferase like 7A	214	95	2.3	0.0142
1434379_at	Mxd4	Max dimerization protein 4	14	6	2.3	0.0470
1452847_at	2410008K03Rik	RIKEN cDNA 2410008K03 gene	352	156	2.3	0.0037
1425814_a_at	Calcrl	calcitonin receptor-like	12194	5357	2.3	0.0030
1418302_at	Ppt2	palmitoyl-protein thioesterase 2	973	427	2.3	0.0453
1416619_at	4632428N05Rik	RIKEN cDNA 4632428N05 gene	118	52	2.3	0.0482
1436538_at	Ankrd37	ankyrin repeat domain 37	78	34	2.3	0.0308
1424383_at	Tmem51	transmembrane protein 51	1739	758	2.3	0.0048
1439433_a_at	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2	6450	2807	2.3	0.0381
1460360_at	Asrgl1	asparaginase like 1	162	70	2.3	0.0254
1457270_at	B230343A10Rik	RIKEN cDNA B230343A10 gene	349	151	2.3	0.0092
1456341_a_at	Klf9	Kruppel-like factor 9	8265	3575	2.3	0.0153
1438931_s_at	Sesn1	sestrin 1	410	177	2.3	0.0276
1433820_a_at	1110012D08Rik	RIKEN cDNA 1110012D08 gene	570	246	2.3	0.0281
1418649_at	Egln3	EGL nine homolog 3 (C. elegans)	3006	1281	2.3	0.0063
1419599_s_at	Ms4a6d	membrane-spanning 4-domains, subfamily A, member 6D	8160	3469	2.4	0.0110
1440999_at	Zfp697	zinc finger protein 697	1251	531	2.4	0.0015
1451364_at	Polr3gl	polymerase (RNA) III (DNA directed) polypeptide G like	743	315	2.4	0.0236
1424613_at	Gprc5b	G protein-coupled receptor, family C, group 5, member B	386	163	2.4	0.0295
1453238_s_at	1200016E24Rik /// 3930401B19Rik /// A130040M12Rik /// E430024C06Rik	RIKEN cDNA 3930401B19 gene /// RIKEN cDNA 1200016E24 gene /// RIKEN cDNA A130040M12 gene /// RIKEN cDNA E430024C06 gene	482	202	2.4	0.0498
1443829_x_at	Coasy	Coenzyme A synthase	789	331	2.4	0.0201
1459860_x_at	Trim2	tripartite motif protein 2	3738	1569	2.4	0.0312
1433710_at	Edc3	enhancer of mRNA decapping 3 homolog (S. cerevisiae)	1328	553	2.4	0.0124
1425214_at	P2ry6	pyrimidinergic receptor P2Y, G-protein coupled, 6	169	70	2.4	0.0259
1417288_at	Plekha2	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2	1423	592	2.4	0.0051
1437277_x_at	Tgm2	transglutaminase 2, C polypeptide	11758	4858	2.4	0.0144
1435065_x_at	Vav2	Vav 2 oncogene	25	10	2.4	0.0258
1449888_at	Epas1	endothelial PAS domain protein 1	474	192	2.5	0.0262
1417220_at	Fah	fumarylacetoacetate hydrolase	39	16	2.5	0.0248
1420715_a_at	Pparg	peroxisome proliferator activated receptor gamma	387	154	2.5	0.0084
1435694_at	Arhgap26	Rho GTPase activating protein 26	80	32	2.5	0.0058
1425503_at	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	837	332	2.5	0.0184
1438756_at	Ankrd29	ankyrin repeat domain 29	61	24	2.5	0.0297
1437463_x_at	Tgfbi	transforming growth factor, beta induced	43	17	2.5	0.0201
1455446_x_at	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	1317	522	2.5	0.0048
1428289_at	Klf9	Kruppel-like factor 9	3298	1300	2.5	0.0387
1456500_at	Aph1b	anterior pharynx defective 1b homolog (C. elegans)	193	75	2.6	0.0098
1447448_s_at	Klf6	Kruppel-like factor 6	1943	751	2.6	0.0194
1419440_at	Trim54	tripartite motif-containing 54	281	108	2.6	0.0108
1442019_at	Rcvrn	Recoverin	2229	850	2.6	0.0135
1418739_at	Sgk2	serum/glucocorticoid regulated kinase 2	103	39	2.6	0.0477
1448613_at	Ecm1	extracellular matrix protein 1	2456	926	2.7	0.0030
1417862_at	A830059I20Rik	RIKEN cDNA A830059I20 gene	1178	436	2.7	0.0061
1416778_at	Sdpr	serum deprivation response	18149	6680	2.7	0.0095
1418673_at	Snai2	snail homolog 2 (Drosophila)	341	125	2.7	0.0063
1426306_a_at	Maged2	melanoma antigen, family D, 2	1812	663	2.7	0.0162
1460230_at	Syn2	synapsin II	37	13	2.8	0.0325
1428535_at	9430020K01Rik	RIKEN cDNA 9430020K01 gene	4564	1650	2.8	0.0201
1428650_at	Tns1	tensin 1	1518	546	2.8	0.0070
1456603_at	1500005K14Rik	RIKEN cDNA 1500005K14 gene	4099	1473	2.8	0.0065
1422478_a_at	Acss2	acyl-CoA synthetase short-chain family member 2	34	12	2.8	0.0061
1418545_at	Wasf1	WASP family 1	92	33	2.8	0.0197
1417591_at	Ptges2	prostaglandin E synthase 2	289	101	2.9	0.0121
1438385_s_at	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	101	35	2.9	0.0170
1428579_at	Fmnl2	formin-like 2	947	323	2.9	0.0273
1456979_at	Zhx3	Zinc fingers and homeoboxes 3	115	39	3.0	0.0329
1448182_a_at	Cd24a	CD24a antigen	11210	3799	3.0	0.0130
1417426_at	Srgn	serglycin	4478	1508	3.0	0.0104
1456003_a_at	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	477	161	3.0	0.0236
1451532_s_at	Steap1	six transmembrane epithelial antigen of the prostate 1	3810	1268	3.0	0.0039
1437928_at	Pcdh12	protocadherin 12	943	314	3.0	0.0099
1421818_at	Bcl6	B-cell leukemia/lymphoma 6	300	100	3.0	0.0124
1435060_at	Tmod2	tropomodulin 2	43	14	3.0	0.0099
1435486_at			106	35	3.0	0.0136
1436791_at	Wnt5a	wingless-related MMTV integration site 5A	301	100	3.0	0.0280
1459718_x_at	Klf6	Kruppel-like factor 6	903	298	3.0	0.0071
1441228_at	Apold1	apolipoprotein L domain containing 1	1491	491	3.0	0.0015
1450716_at	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	7645	2497	3.1	0.0076
1429399_at	Rnf125	ring finger protein 125	575	187	3.1	0.0096
1450448_at	Stc1	stanniocalcin 1	331	107	3.1	0.0217
1436991_x_at	Gsn	gelsolin	3652	1180	3.1	0.0066
1455257_at	Itgb3	integrin beta 3	4199	1334	3.1	0.0037
1443777_at			197	62	3.2	0.0277
1450769_s_at	Stard5	StAR-related lipid transfer (START) domain containing 5	196	61	3.2	0.0278
1433836_a_at	8430408G22Rik	RIKEN cDNA 8430408G22 gene	2170	674	3.2	0.0147
1424713_at	Calml4	calmodulin-like 4	415	126	3.3	0.0358
1428413_at	Ccny	cyclin Y	1946	591	3.3	0.0091
1421041_s_at	Gsta1 /// Gsta2	glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)	226	67	3.3	0.0218
1433481_at	Fkbp14	FK506 binding protein 14	1048	313	3.4	0.0065
1455251_at	Itga1	integrin alpha 1	41	12	3.4	0.0218
1422787_at	Fkbpl	FK506 binding protein-like	247	72	3.4	0.0110
1437604_x_at	Apcdd1	adenomatosis polyposis coli down-regulated 1	69	20	3.4	0.0160
1419468_at	Clec14a	C-type lectin domain family 14, member a	3867	1097	3.5	0.0042
1447928_at	Car5b	carbonic anhydrase 5b, mitochondrial	91	25	3.6	0.0162
1455377_at	Ttll7	tubulin tyrosine ligase-like family, member 7	846	233	3.6	0.0025
1435137_s_at	1200015M12Rik /// 1200016E24Rik /// A130040M12Rik /// E430024C06Rik	RIKEN cDNA 1200015M12 gene /// RIKEN cDNA 1200016E24 gene /// RIKEN cDNA A130040M12 gene /// RIKEN cDNA E430024C06 gene	1082	295	3.7	0.0241
1456404_at	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	428	114	3.7	0.0048
1417133_at	Pmp22	peripheral myelin protein	4487	1166	3.8	0.0156
1451313_a_at	1110067D22Rik	RIKEN cDNA 1110067D22 gene	2335	595	3.9	0.0098
1436870_s_at	Afap1l2	actin filament associated protein 1-like 2	69	17	4.0	0.0451
1439322_at	Pcdh9	Protocadherin 9	314	76	4.1	0.0156
1418674_at	Osmr	oncostatin M receptor	966	235	4.1	0.0040
1437360_at	Pcdh19	protocadherin 19	177	43	4.1	0.0065
1456862_at	Six4	sine oculis-related homeobox 4 homolog (Drosophila)	664	159	4.2	0.0143
1437722_x_at	Pcbp3	Poly(rC) binding protein 3	2641	629	4.2	0.0204
1426431_at	Jag2	jagged 2	212	50	4.2	0.0298
1449440_at	Lpin3	lipin 3	60	14	4.3	0.0312
1434369_a_at	Cryab	crystallin, alpha B	2137	493	4.3	0.0201
1420150_at	Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	569	130	4.4	0.0040
1427919_at	Srpx2	sushi-repeat-containing protein, X-linked 2	203	46	4.4	0.0298
1417507_at	Cyb561	cytochrome b-561	1167	255	4.6	0.0064
1428306_at	Ddit4	DNA-damage-inducible transcript 4	1313	286	4.6	0.0064
1451355_at	Asah3l	N-acylsphingosine amidohydrolase 3-like	482	104	4.6	0.0099
1435749_at	Gda	guanine deaminase	748	160	4.7	0.0160
1422943_a_at	Hspb1	heat shock protein 1	285	60	4.7	0.0066
1456226_x_at	Ddr1	discoidin domain receptor family, member 1	482	102	4.7	0.0379
1453586_at	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	275	58	4.8	0.0058
1426127_x_at	Klra18	killer cell lectin-like receptor, subfamily A, member 18	6551	1363	4.8	0.0056
1449851_at	Per1	period homolog 1 (Drosophila)	100	21	4.8	0.0047
1423467_at	Ms4a4b	membrane-spanning 4-domains, subfamily A, member 4B	36	7	4.9	0.0221
1424271_at	Dclk1	doublecortin-like kinase 1	72	15	4.9	0.0222
1433919_at	Asb4	ankyrin repeat and SOCS box-containing protein 4	99	20	4.9	0.0135
1459890_s_at	1110008P14Rik	RIKEN cDNA 1110008P14 gene	786	158	5.0	0.0260
1435084_at	C730049O14Rik	RIKEN cDNA C730049O14 gene	1545	309	5.0	0.0071
1455978_a_at	Matn2	matrilin 2	4798	934	5.1	0.0048
1442659_at	Pcdh9	protocadherin 9	675	130	5.2	0.0008
1455145_at		14, 17 days embryo head cDNA, RIKEN full-length enriched library, clone:3222402J19 product:unclassifiable, full insert sequence	298	57	5.2	0.0127
1456873_at	Clic5	chloride intracellular channel 5	877	166	5.3	0.0236
1420804_s_at	Clec4d	C-type lectin domain family 4, member d	37	7	5.3	0.0064
1449027_at	Rhou	ras homolog gene family, member U	1067	201	5.3	0.0021
1437785_at	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	358	67	5.3	0.0098
1441799_at	6030422H21Rik	RIKEN cDNA 6030422H21 gene	67	12	5.3	0.0037
1424701_at	Pcdh20	protocadherin 20	242	45	5.3	0.0023
1422177_at	Il13ra2	interleukin 13 receptor, alpha 2	66	12	5.4	0.0001
1430062_at	1600002O04Rik	RIKEN cDNA 1600002O04 gene	140	26	5.4	0.0231
1435040_at	Irak3	interleukin-1 receptor-associated kinase 3	44	8	5.4	0.0014
1416318_at	Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a	57	10	5.5	0.0086
1451804_a_at	Lrrc16	leucine rich repeat containing 16	136	25	5.5	0.0064
1452977_at	Zhx3	zinc fingers and homeoboxes 3	336	59	5.7	0.0007
1420772_a_at	Tsc22d3	TSC22 domain family 3	573	101	5.7	0.0118
1419703_at	Col5a3	procollagen, type V, alpha 3	75	13	5.7	0.0080
1443536_at	Slc7a11	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11	1246	216	5.8	0.0028
1436598_at			58	10	5.9	0.0020
1435701_at	Cyyr1	Cysteine and tyrosine-rich protein 1	143	23	6.1	0.0023
1423100_at	Fos	FBJ osteosarcoma oncogene	395	62	6.4	0.0195
1436448_a_at	Ptgs1	prostaglandin-endoperoxide synthase 1	251	39	6.4	0.0014
1416935_at	Trpv2	transient receptor potential cation channel, subfamily V, member 2	69	11	6.4	0.0054
1427256_at	Vcan	versican	41	6	6.5	0.0019
1418901_at	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	1952	298	6.5	0.0015
1424408_at	Lims2	LIM and senescent cell antigen like domains 2	1057	154	6.9	0.0071
1418601_at	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	70	10	6.9	0.0002
1428433_at	Hipk2	homeodomain interacting protein kinase 2	845	123	6.9	0.0063
1437347_at	Ednrb	endothelin receptor type B	1116	162	6.9	0.0348
1416125_at	Fkbp5	FK506 binding protein 5	3245	464	7.0	0.0035
1420753_at	Tll1	tolloid-like	697	99	7.0	0.0283
1449408_at	Jam2	junction adhesion molecule 2	700	99	7.0	0.0040
1429379_at	Xlkd1	extra cellular link domain-containing 1	6307	883	7.1	0.0084
1447773_x_at	6330409D20Rik	RIKEN cDNA 6330409D20 gene	133	18	7.2	0.0093
1448550_at	Lbp	lipopolysaccharide binding protein	501	68	7.3	0.0065
1448470_at	Fbp1	fructose bisphosphatase 1	447	60	7.5	0.0063
1437595_at	E030010A14Rik	RIKEN cDNA E030010A14 gene	1591	209	7.6	0.0037
1418382_at	Apcdd1	adenomatosis polyposis coli down-regulated 1	958	117	8.2	0.0011
