miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-30d	STK39	DCHT|DKFZp686K05124|PASK|SPAK	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	2	27347
hsa-miR-30d	LOC283871	MGC4692	hypothetical protein LOC283871	16	283871
hsa-miR-30d	SCARA5	FLJ23907|MGC45780|Tesr	scavenger receptor class A, member 5 (putative)	8	286133
hsa-miR-30d	GRIA2	GLUR2|GLURB|GluR-K2|HBGR2	glutamate receptor, ionotropic, AMPA 2	4	2891
hsa-miR-30d	GRM3	GLUR3|GPRC1C|MGLUR3|mGlu3	glutamate receptor, metabotropic 3	7	2913
hsa-miR-30d	GRM5	GPRC1E|MGLUR5|MGLUR5A|MGLUR5B|mGlu5	glutamate receptor, metabotropic 5	11	2915
hsa-miR-30d	UBN1	VT|VT4	ubinuclein 1	16	29855
hsa-miR-30d	IGF2R	CD222|CIMPR|M6P-R|MPR1|MPRI	insulin-like growth factor 2 receptor	6	3482
hsa-miR-30d	IL1A	IL-1A|IL1|IL1-ALPHA|IL1F1	interleukin 1, alpha	2	3552
hsa-miR-30d	ITGA6	CD49f|ITGA6B|VLA-6	integrin, alpha 6	2	3655
hsa-miR-30d	IRF4	LSIRF|MUM1	interferon regulatory factor 4	6	3662
hsa-miR-30d	ITGB3	CD61|GP3A|GPIIIa	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	17	3690
hsa-miR-30d	RAB15		RAB15, member RAS onocogene family	14	376267
hsa-miR-30d	KCNJ12	FLJ14167|IRK2|KCNJN1|Kir2.2|Kir2.2v|hIRK|hIRK1|hkir2.2x|kcnj12x	potassium inwardly-rectifying channel, subfamily J, member 12	17	3768
hsa-miR-30d	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog gene family, member B	2	388
hsa-miR-30d	YPEL2	DKFZp761C2021|FKSG4	yippee-like 2 (Drosophila)	17	388403
hsa-miR-30d	LIN28B	CSDD2|FLJ16517	lin-28 homolog B (C. elegans)	6	389421
hsa-miR-30d	LIFR	CD118|FLJ98106|FLJ99923|LIF-R|SJS2|STWS|SWS	leukemia inhibitory factor receptor alpha	5	3977
hsa-miR-30d	MAP6	FLJ41346|KIAA1878|MTAP6|N-STOP|STOP	microtubule-associated protein 6	11	4135
hsa-miR-30d	MAT2A	MATA2|MATII|SAMS2	methionine adenosyltransferase II, alpha	2	4144
hsa-miR-30d	MAP3K5	ASK1|MAPKKK5|MEKK5	mitogen-activated protein kinase kinase kinase 5	6	4217
hsa-miR-30d	RAB8A	MEL|RAB8	RAB8A, member RAS oncogene family	19	4218
hsa-miR-30d	LHX8	Lhx7	LIM homeobox 8	1	431707
hsa-miR-30d	MYO5A	GS1|MYH12|MYO5|MYR12	myosin VA (heavy chain 12, myoxin)	15	4644
hsa-miR-30d	PPP1R12A	MBS|MGC133042|MYPT1	protein phosphatase 1, regulatory (inhibitor) subunit 12A	12	4659
hsa-miR-30d	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1	12	466
hsa-miR-30d	NEFL	CMT1F|CMT2E|NF-L|NF68|NFL	neurofilament, light polypeptide 68kDa	8	4747
hsa-miR-30d	ATP2A2	ATP2B|DAR|DD|DKFZp686P0211|FLJ20293|FLJ38063|MGC45367|SERCA2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	12	488
hsa-miR-30d	ATP2B1	PMCA1|PMCA1kb	ATPase, Ca++ transporting, plasma membrane 1	12	490
hsa-miR-30d	NT5E	CD73|E5NT|NT|NT5|NTE|eN|eNT	5-nucleotidase, ecto (CD73)	6	4907
hsa-miR-30d	ORC2L	ORC2	origin recognition complex, subunit 2-like (yeast)	2	4999
hsa-miR-30d	PAWR	PAR4|Par-4	PRKC, apoptosis, WT1, regulator	12	5074
hsa-miR-30d	FAM152A	C1orf121|CGI-146|FLJ21998|PNAS-4	family with sequence similarity 152, member A	1	51029
hsa-miR-30d	ASB3	ASB-3|FLJ10123|FLJ10421|MGC12531|MGC132002|MGC996	ankyrin repeat and SOCS box-containing 3	2	51130
hsa-miR-30d	INSIG2	MGC26273	insulin induced gene 2	2	51141
hsa-miR-30d	NAGPA	APAA|UCE	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	16	51172
hsa-miR-30d	AMOTL2	LCCP	angiomotin like 2	3	51421
hsa-miR-30d	REV1	FLJ21523|MGC163283|MGC26225|REV1L	REV1 homolog (S. cerevisiae)	2	51455
hsa-miR-30d	YPEL5	CGI-127	yippee-like 5 (Drosophila)	2	51646
hsa-miR-30d	RASD1	AGS1|DEXRAS1|MGC:26290	RAS, dexamethasone-induced 1	17	51655
hsa-miR-30d	SKIP		skeletal muscle and kidney enriched inositol phosphatase	17	51763
hsa-miR-30d	GALNT7	GALNAC-T7|GalNAcT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	4	51809
hsa-miR-30d	PIGA	GPI3|PIG-A	phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)	X	5277
hsa-miR-30d	PIP4K2A	FLJ13267|PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	10	5305
hsa-miR-30d	CSNK1G1		casein kinase 1, gamma 1	15	53944
hsa-miR-30d	BRWD1	C21orf107|FLJ43918|N143|WDR9	bromodomain and WD repeat domain containing 1	21	54014
hsa-miR-30d	WDR44	DKFZp686L20145|MGC26781|RAB11BP|RPH11	WD repeat domain 44	X	54521
hsa-miR-30d	DLL4	MGC126344|hdelta2	delta-like 4 (Drosophila)	15	54567
hsa-miR-30d	PPID	CYP-40|CYPD|MGC33096	peptidylprolyl isomerase D (cyclophilin D)	4	5481
hsa-miR-30d	KLHL28	BTBD5|FLJ20081	kelch-like 28 (Drosophila)	14	54813
hsa-miR-30d	TRPM7	CHAK|CHAK1|FLJ20117|FLJ25718|LTRPC7|TRP-PLIK	transient receptor potential cation channel, subfamily M, member 7	15	54822
hsa-miR-30d	FLJ20160		FLJ20160 protein	2	54842
hsa-miR-30d	BCOR	ANOP2|FLJ20285|FLJ38041|KIAA1575|MAA2|MCOPS2|MGC131961|MGC71031	BCL6 co-repressor	X	54880
hsa-miR-30d	LRRC8D	FLJ10470|FLJ20403|LRRC5	leucine rich repeat containing 8 family, member D	1	55144
hsa-miR-30d	C1orf164	FLJ10597	chromosome 1 open reading frame 164	1	55182
hsa-miR-30d	SLC38A7	FLJ10815|FLJ12724	solute carrier family 38, member 7	16	55238
hsa-miR-30d	LIN7C	FLJ11215|LIN-7-C|LIN-7C|MALS-3|VELI3	lin-7 homolog C (C. elegans)	11	55327
hsa-miR-30d	FAM46A	C6orf37|FLJ20037|FLJ31495|XTP11	family with sequence similarity 46, member A	6	55603
hsa-miR-30d	TASP1	C20orf13|FLJ20212|MGC39159|dJ585I14.2	taspase, threonine aspartase, 1	20	55617
hsa-miR-30d	CHD7	FLJ20357|FLJ20361|IS3|KIAA1416	chromodomain helicase DNA binding protein 7	8	55636
hsa-miR-30d	LMBR1L	FLJ10494|FLJ36251|KIAA1174|LIMR	limb region 1 homolog (mouse)-like	12	55716
hsa-miR-30d	MBNL3	CHCR|FLJ11316|MBLX|MBLX39|MBXL	muscleblind-like 3 (Drosophila)	X	55796
hsa-miR-30d	BDP1	DKFZp686C01233|DKFZp686K0831|HSA238520|KIAA1241|KIAA1689|TAF3B1|TFC5|TFIIIB|TFIIIB150|TFIIIB90|TFNR	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	5	55814
hsa-miR-30d	JMJD1A	DKFZp686A24246|DKFZp686P07111|JHDM2A|JHMD2A|JMJD1|KDM3A|KIAA0742|TSGA	jumonji domain containing 1A	2	55818
hsa-miR-30d	PRLR	hPRLrI	prolactin receptor	5	5618
hsa-miR-30d	SLC7A10	FLJ20839|HASC-1|asc-1	solute carrier family 7, (neutral amino acid transporter, y+ system) member 10	19	56301
hsa-miR-30d	PAPOLB	PAPT|TPAP	poly(A) polymerase beta (testis specific)	7	56903
hsa-miR-30d	PHTF2	DKFZP564F013|FLJ33324|MGC86999	putative homeodomain transcription factor 2	7	57157
hsa-miR-30d	DOLPP1	LSFR2	dolichyl pyrophosphate phosphatase 1	9	57171
hsa-miR-30d	RAB22A	MGC16770	RAB22A, member RAS oncogene family	20	57403
hsa-miR-30d	LRFN2	FIGLER2|KIAA1246|RP11-535K1.2|SALM1	leucine rich repeat and fibronectin type III domain containing 2	6	57497
hsa-miR-30d	ZNF608	DKFZp781C0723|MGC166851|NY-REN-36	zinc finger protein 608	5	57507
hsa-miR-30d	TAOK1	FLJ14314|KIAA1361|MAP3K16|MARKK|PSK2|TAO1	TAO kinase 1	17	57551
hsa-miR-30d	TWF1	A6|MGC23788|MGC41876|PTK9	twinfilin, actin-binding protein, homolog 1 (Drosophila)	12	5756
hsa-miR-30d	PITPNM2	KIAA1457|NIR3|RDGB2|RDGBA2	phosphatidylinositol transfer protein, membrane-associated 2	12	57605
hsa-miR-30d	STIM2	FLJ39527|KIAA1482	stromal interaction molecule 2	4	57620
hsa-miR-30d	SH3RF1	FLJ21602|KIAA1494|POSH|RNF142|SH3MD2	SH3 domain containing ring finger 1	4	57630
hsa-miR-30d	LRCH2	KIAA1495|MGC150671|dA204F4.4	leucine-rich repeats and calponin homology (CH) domain containing 2	X	57631
hsa-miR-30d	KIAA1576		KIAA1576 protein	16	57687
hsa-miR-30d	KIAA1600	DKFZp686D10123|bA106M7.3	KIAA1600	10	57700
hsa-miR-30d	KIAA1622		KIAA1622	14	57718
hsa-miR-30d	KIAA1632	DKFZp667P2311|HEEW1	KIAA1632	18	57724
hsa-miR-30d	ANKRA2	ANKRA	ankyrin repeat, family A (RFXANK-like), 2	5	57763
hsa-miR-30d	PTPN13	DKFZp686J1497|FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	4	5783
hsa-miR-30d	SNX6	MGC3157|MSTP010|TFAF2	sorting nexin 6	14	58533
hsa-miR-30d	RAP1B	DKFZp586H0723|K-REV|RAL1B	RAP1B, member of RAS oncogene family	12	5908
hsa-miR-30d	RARG	NR1B3|RARC	retinoic acid receptor, gamma	12	5916
hsa-miR-30d	ELOVL5	HELO1|dJ483K16.1	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	6	60481
hsa-miR-30d	RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|pp90RSK3	ribosomal protein S6 kinase, 90kDa, polypeptide 2	6	6196
hsa-miR-30d	RRAD	RAD|RAD1|REM3	Ras-related associated with diabetes	16	6236
hsa-miR-30d	SCN1A	FEB3|GEFSP2|HBSCI|NAC1|Nav1.1|SCN1|SMEI	sodium channel, voltage-gated, type I, alpha subunit	2	6323
hsa-miR-30d	SCN2A	HBA|HBSCI|HBSCII|NAC2|Na(v)1.2|Nav1.2|SCN2A1|SCN2A2	sodium channel, voltage-gated, type II, alpha subunit	2	6326
hsa-miR-30d	SCN3A	KIAA1356|NAC3|Nav1.3	sodium channel, voltage-gated, type III, alpha subunit	2	6328
hsa-miR-30d	PRDM1	BLIMP1|MGC118922|MGC118923|MGC118924|MGC118925|PRDI-BF1	PR domain containing 1, with ZNF domain	6	639
hsa-miR-30d	SFRS7	9G8|AAG3|HSSG1|RBM37|ZCCHC20|ZCRB2	splicing factor, arginine/serine-rich 7, 35kDa	2	6432
hsa-miR-30d	SGCB	A3b|LGMD2E|SGC	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	4	6443
hsa-miR-30d	BNC1	BNC|BSN1|HsT19447	basonuclin 1	15	646
hsa-miR-30d	PCDH20	FLJ22218|PCDH13	protocadherin 20	13	64881
hsa-miR-30d	NADK	FLJ13052|FLJ37724|dJ283E3.1	NAD kinase	1	65220
hsa-miR-30d	SNAI1	SLUGH2|SNA|SNAH|dJ710H13.1	snail homolog 1 (Drosophila)	20	6615
hsa-miR-30d	SOX9	CMD1|CMPD1|SRA1	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	17	6662
hsa-miR-30d	SP4	HF1B|MGC130008|MGC130009|SPR-1	Sp4 transcription factor	7	6671
hsa-miR-30d	STAC	FLJ32331|STAC1	SH3 and cysteine rich domain	3	6769
hsa-miR-30d	KLF9	BTEB|BTEB1	Kruppel-like factor 9	9	687
hsa-miR-30d	ACTC1	ACTC|CMD1R	actin, alpha, cardiac muscle 1	15	70
hsa-miR-30d	TFDP1	DP1|DRTF1|Dp-1	transcription factor Dp-1	13	7027
hsa-miR-30d	KLF10	EGRA|TIEG|TIEG1	Kruppel-like factor 10	8	7071
hsa-miR-30d	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	22	7078
hsa-miR-30d	TLL2	KIAA0932|MGC133312|MGC133313	tolloid-like 2	10	7093
hsa-miR-30d	UBE2I	C358B7.1|P18|UBC9	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	16	7329
hsa-miR-30d	UBE2V2	DDVIT1|DDVit-1|EDAF-1|EDPF-1|EDPF1|MMS2|UEV-2|UEV2	ubiquitin-conjugating enzyme E2 variant 2	8	7336
hsa-miR-30d	MKRN3	D15S9|MGC88288|RNF63|ZFP127|ZNF127	makorin, ring finger protein, 3	15	7681
hsa-miR-30d	ZFAND5	ZA20D2|ZFAND5A|ZNF216	zinc finger, AN1-type domain 5	9	7763
hsa-miR-30d	PTP4A1	DKFZp779M0721|HH72|PRL-1|PRL1|PTP(CAAX1)|PTPCAAX1	protein tyrosine phosphatase type IVA, member 1	6	7803
hsa-miR-30d	CACNB2	CACNLB2|CAVB2|FLJ23743|MYSB	calcium channel, voltage-dependent, beta 2 subunit	10	783
hsa-miR-30d	ST8SIA4	MGC34450|MGC61459|PST|PST1|SIAT8D|ST8SIA-IV	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	5	7903
hsa-miR-30d	TTLL7	FLJ23033|FLJ36855|RP5-836J3.2	tubulin tyrosine ligase-like family, member 7	1	79739
hsa-miR-30d	CALCR	CRT|CTR|CTR1	calcitonin receptor	7	799
hsa-miR-30d	C13orf18	FLJ21562|FLJ43762	chromosome 13 open reading frame 18	13	80183
hsa-miR-30d	C13orf23	FLJ12661|FLJ23780|bA50D16.2	chromosome 13 open reading frame 23	13	80209
hsa-miR-30d	EDEM3	C1orf22	ER degradation enhancer, mannosidase alpha-like 3	1	80267
hsa-miR-30d	SPHKAP	DKFZp781H143|DKFZp781J171|KIAA1678|MGC132614|MGC132616|SKIP	SPHK1 interactor, AKAP domain containing	2	80309
hsa-miR-30d	SETD7	FLJ21193|KIAA1717|KMT7|SET7|SET7/9|SET9	SET domain containing (lysine methyltransferase) 7	4	80854
hsa-miR-30d	FAM49A	DKFZP566A1524|FLJ11080|FLJ33961	family with sequence similarity 49, member A	2	81553
hsa-miR-30d	NDEL1	DKFZp451M0318|EOPA|MITAP1|NUDEL	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	17	81565
hsa-miR-30d	PICALM	CALM|CLTH|LAP	phosphatidylinositol binding clathrin assembly protein	11	8301
hsa-miR-30d	B3GNT5	B3GN-T5|beta3Gn-T5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	3	84002
hsa-miR-30d	SLC41A2	DKFZP434K0427|MGC125330|MGC125331|SLC41A1-L1	solute carrier family 41, member 2	12	84102
hsa-miR-30d	ARID5B	DESRT|FLJ21150|MRF2	AT rich interactive domain 5B (MRF1-like)	10	84159
hsa-miR-30d	MEX3B	DKFZp434J0617|MEX-3B|MGC117199|RKHD3|RNF195	mex-3 homolog B (C. elegans)	15	84206
hsa-miR-30d	JPH4	FLJ34253|JPHL1|KIAA1831|hJP-4	junctophilin 4	14	84502
hsa-miR-30d	TTBK1	BDTK|KIAA1855|RP3-330M21.4	tau tubulin kinase 1	6	84630
hsa-miR-30d	CBX2	CDCA6|M33|MGC10561	chromobox homolog 2 (Pc class homolog, Drosophila)	17	84733
hsa-miR-30d	ZNRF1	DKFZp434E229|FLJ14846|MGC15430|NIN283	zinc and ring finger 1	16	84937
hsa-miR-30d	FBXL20	Fbl2|Fbl20|MGC15482|SCR|SCRAPPER	F-box and leucine-rich repeat protein 20	17	84961
hsa-miR-30d	CHST1	C6ST|KS6ST|KSGal6ST	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	11	8534
hsa-miR-30d	FAM40A	FLJ14743|KIAA1761|MGC148091|RP4-773N10.1	family with sequence similarity 40, member A	1	85369
hsa-miR-30d	EAF1		ELL associated factor 1	3	85403
hsa-miR-30d	DOCK7	KIAA1771|ZIR2	dedicator of cytokinesis 7	1	85440
hsa-miR-30d	SSH2	KIAA1725|MGC78588|SSH-2	slingshot homolog 2 (Drosophila)	17	85464
hsa-miR-30d	TMEFF1	C9orf2|H7365	transmembrane protein with EGF-like and two follistatin-like domains 1	9	8577
hsa-miR-30d	RUNX2	AML3|CBFA1|CCD|CCD1|MGC120022|MGC120023|OSF2|PEA2aA|PEBP2A1|PEBP2A2|PEBP2aA|PEBP2aA1	runt-related transcription factor 2	6	860
hsa-miR-30d	CADPS	CADPS1|CAPS|CAPS1|KIAA1121	Ca2+-dependent secretion activator	3	8618
hsa-miR-30d	UNC5C	UNC5H3	unc-5 homolog C (C. elegans)	4	8633
hsa-miR-30d	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	suppressor of cytokine signaling 1	16	8651
hsa-miR-30d	BECN1	ATG6|VPS30|beclin1	beclin 1, autophagy related	17	8678
hsa-miR-30d	CBLB	DKFZp686J10223|DKFZp779A0729|DKFZp779F1443|FLJ36865|FLJ41152|Nbla00127|RNF56	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3	868
hsa-miR-30d	EED	HEED|WAIT1	embryonic ectoderm development	11	8726
hsa-miR-30d	ADAM19	FKSG34|MADDAM|MLTNB	ADAM metallopeptidase domain 19 (meltrin beta)	5	8728
hsa-miR-30d	CCNK	CPR4|MGC9113	cyclin K	14	8812
hsa-miR-30d	KSR1	KSR|RSU2	kinase suppressor of ras 1	17	8844
hsa-miR-30d	P4HA2		procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	5	8974
hsa-miR-30d	LMLN	Gp63|Msp	leishmanolysin-like (metallopeptidase M8 family)	3	89782
hsa-miR-30d	ACVR1	ACTRI|ACVRLK2|ALK2|FOP|SKR1|TSRI	activin A receptor, type I	2	90
hsa-miR-30d	SOCS3	ATOD4|CIS3|Cish3|MGC71791|SOCS-3|SSI-3|SSI3	suppressor of cytokine signaling 3	17	9021
hsa-miR-30d	FAM110B	C8orf72|MGC39325	family with sequence similarity 110, member B	8	90362
hsa-miR-30d	SYNGR3	MGC:20003	synaptogyrin 3	16	9143
hsa-miR-30d	XPR1	FLJ90308|SYG1|X3	xenotropic and polytropic retrovirus receptor	1	9213
hsa-miR-30d	MTDH	3D3|AEG-1|AEG1|LYRIC	metadherin	8	92140
hsa-miR-30d	LARGE	KIAA0609|MDC1D	like-glycosyltransferase	22	9215
hsa-miR-30d	NRXN3	KIAA0743|MGC176711	neurexin 3	14	9369
hsa-miR-30d	CHST2	C6ST	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	3	9435
hsa-miR-30d	MAP4K4	FLH21957|FLJ10410|FLJ20373|FLJ90111|HGK|KIAA0687|NIK	mitogen-activated protein kinase kinase kinase kinase 4	2	9448
hsa-miR-30d	ARHGEF6	COOL2|Cool-2|KIAA0006|MRX46|PIXA|alpha-PIX|alphaPIX	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	X	9459
hsa-miR-30d	ATG5	APG5|APG5-LIKE|APG5L|ASP|hAPG5	ATG5 autophagy related 5 homolog (S. cerevisiae)	6	9474
hsa-miR-30d	TSGA14	Cep41|DKFZp762H1311	testis specific, 14	7	95681
hsa-miR-30d	CLOCK	KAT13D|KIAA0334	clock homolog (mouse)	4	9575
hsa-miR-30d	SH3PXD2A	FISH|SH3MD1	SH3 and PX domains 2A	10	9644
hsa-miR-30d	RALGPS1	KIAA0351|RALGEF2|RALGPS1A	Ral GEF with PH domain and SH3 binding motif 1	9	9649
hsa-miR-30d	UBE3C	KIAA0010|KIAA10	ubiquitin protein ligase E3C	7	9690
hsa-miR-30d	MAML1	KIAA0200|Mam-1|Mam1	mastermind-like 1 (Drosophila)	5	9794
hsa-miR-30d	JAKMIP2	JAMIP2|KIAA0555|NECC1	janus kinase and microtubule interacting protein 2	5	9832
hsa-miR-30d	40063	CDC10|CDC3|Nbla02942|SEPT7A	septin 7	7	989
hsa-miR-30d	LPPR4	KIAA0455|LPR4|PHP1|PRG-1|PRG1|RP4-788L13.1	plasticity related gene 1	1	9890
hsa-miR-30d	JOSD1	KIAA0063|dJ508I15.2	Josephin domain containing 1	22	9929
hsa-miR-30d	GFPT2	FLJ10380|GFAT2	glutamine-fructose-6-phosphate transaminase 2	5	9945
hsa-miR-31	TESK2		testis-specific kinase 2	1	10420
hsa-miR-31	KHDRBS3	Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile	KH domain containing, RNA binding, signal transduction associated 3	8	10656
hsa-miR-31	UTS2	PRO1068|U-II|UCN2|UII	urotensin 2	1	10911
hsa-miR-31	TMED10	P24(DELTA)|S31I125|S31III125|TMP21|Tmp-21-I	transmembrane emp24-like trafficking protein 10 (yeast)	14	10972
hsa-miR-31	MAP4K5	GCKR|KHS|KHS1|MAPKKKK5	mitogen-activated protein kinase kinase kinase kinase 5	14	11183
hsa-miR-31	CLCN3	CLC3|ClC-3	chloride channel 3	4	1182
hsa-miR-31	MBOAT2	FLJ14415|FLJ90298|LPCAT4|OACT2	membrane bound O-acyltransferase domain containing 2	2	129642
hsa-miR-31	DCBLD2	CLCP1|ESDN	discoidin, CUB and LCCL domain containing 2	3	131566
hsa-miR-31	C16orf77	IL34|MGC34647	chromosome 16 open reading frame 77	16	146433
hsa-miR-31	DMD	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272	dystrophin (muscular dystrophy, Duchenne and Becker types)	X	1756
hsa-miR-31	EIF5	EIF-5A	eukaryotic translation initiation factor 5	14	1983
hsa-miR-31	ELAVL1	ELAV1|HUR|Hua|MelG	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	19	1994
hsa-miR-31	JAZF1	DKFZp761K2222|TIP27|ZNF802	JAZF zinc finger 1	7	221895
hsa-miR-31	KANK1	ANKRD15|DKFZp451G231|KANK|KIAA0172|MGC43128	KN motif and ankyrin repeat domains 1	9	23189
hsa-miR-31	STX12	MGC51957|STX13|STX14	syntaxin 12	1	23673
hsa-miR-31	OSBP2	ORP-4|ORP4|OSBPL1|OSBPL4	oxysterol binding protein 2	22	23762
hsa-miR-31	FNDC5	FRCP2	fibronectin type III domain containing 5	1	252995
hsa-miR-31	KCTD21		potassium channel tetramerisation domain containing 21	11	283219
hsa-miR-31	TMEM145	FLJ90805	transmembrane protein 145	19	284339
hsa-miR-31	XKR6	C8orf21|C8orf7|XRG6	XK, Kell blood group complex subunit-related family, member 6	8	286046
hsa-miR-31	GLTSCR1		glioma tumor suppressor candidate region gene 1	19	29998
hsa-miR-31	UBE2K	DKFZp564C1216|DKFZp686J24237|E2-25K|HIP2|HYPG|LIG	ubiquitin-conjugating enzyme E2K (UBC1 homolog, yeast)	4	3093
hsa-miR-31	HOXC13	HOX3|HOX3G	homeobox C13	12	3229
hsa-miR-31	APBB2	FE65L|FE65L1|MGC35575	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	4	323
hsa-miR-31	LOC339123	PP14397	hypothetical LOC339123	16	339123
hsa-miR-31	KRT17	K17|PC|PC2|PCHC1	keratin 17	17	3872
hsa-miR-31	INSC		inscuteable homolog (Drosophila)	11	387755
hsa-miR-31	SH2D1A	DSHP|EBVS|FLJ18687|FLJ92177|IMD5|LYP|MTCP1|SAP|XLP|XLPD	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	X	4068
hsa-miR-31	PC	PCB	pyruvate carboxylase	11	5091
hsa-miR-31	PODXL	Gp200|MGC138240|PC|PCLP	podocalyxin-like	7	5420
hsa-miR-31	FAM134B	FLJ20152|FLJ22155|FLJ22179	family with sequence similarity 134, member B	5	54463
hsa-miR-31	PPP2R2A	B55-ALPHA|B55A|FLJ26613|MGC52248|PR52A|PR55A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	8	5520
hsa-miR-31	TRPV6	ABP/ZF|CAT1|CATL|ECAC2|HSA277909|LP6728|ZFAB	transient receptor potential cation channel, subfamily V, member 6	7	55503
hsa-miR-31	PPP1R9A	FLJ20068|KIAA1222|NRB1|NRBI|Neurabin-I	protein phosphatase 1, regulatory (inhibitor) subunit 9A	7	55607
hsa-miR-31	HIF1AN	DKFZp762F1811|FIH1|FLJ20615|FLJ22027	hypoxia-inducible factor 1, alpha subunit inhibitor	10	55662
hsa-miR-31	ENY2	DC6|FLJ20480|e(y)2	enhancer of yellow 2 homolog (Drosophila)	8	56943
hsa-miR-31	NDRG3	FLJ13556	NDRG family member 3	20	57446
hsa-miR-31	RGAG1	KIAA1318|MGC142230|Mar9|Mart9	retrotransposon gag domain containing 1	X	57529
hsa-miR-31	NUFIP2	182-FIP|82-FIP|FIP-82|FLJ10976|KIAA1321|MGC117262|PIG1	nuclear fragile X mental retardation protein interacting protein 2	17	57532
hsa-miR-31	PEX5	PTS1R|PXR1	peroxisomal biogenesis factor 5	12	5830
hsa-miR-31	TMEM168	DKFZp564C012|FLJ13576	transmembrane protein 168	7	64418
hsa-miR-31	HIAT1	DKFZP564L0864	hippocampus abundant transcript 1	1	64645
hsa-miR-31	SLC1A2	EAAT2|GLT-1	solute carrier family 1 (glial high affinity glutamate transporter), member 2	11	6506
hsa-miR-31	SLC2A4	GLUT4	solute carrier family 2 (facilitated glucose transporter), member 4	17	6517
hsa-miR-31	SLC6A6	MGC10619|MGC131729|TAUT	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	3	6533
hsa-miR-31	AKR1D1	3o5bred|SRD5B1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	7	6718
hsa-miR-31	TACC1	DKFZp686K18126|Ga55|KIAA1103	transforming, acidic coiled-coil containing protein 1	8	6867
hsa-miR-31	UBE2N	MGC131857|MGC8489|UBC13|UbcH-ben	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	12	7334
hsa-miR-31	YWHAE	14-3-3E|FLJ45465|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	17	7531
hsa-miR-31	FZD3	Fz-3|hFz3	frizzled homolog 3 (Drosophila)	8	7976
hsa-miR-31	FZD9	CD349|FZD3	frizzled homolog 9 (Drosophila)	7	8326
hsa-miR-31	NUMB	S171	numb homolog (Drosophila)	14	8650
hsa-miR-31	SNX4		sorting nexin 4	3	8723
hsa-miR-31	UCN2	SRP|UCN-II|UCNI|UR|URP	urocortin 2	3	90226
hsa-miR-31	AKAP7	AKAP18	A kinase (PRKA) anchor protein 7	6	9465
hsa-miR-31	PREPL	FLJ16627|KIAA0436	prolyl endopeptidase-like	2	9581
