P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
0.0001564	0.0004313	0.371	211126_s_at	CSRP2	cysteine and glycine-rich protein 2
0.0001135	0.0003554	0.371	209950_s_at	VILL	villin-like
0.0002525	0.0006099	0.37	234980_at	TMEM56	transmembrane protein 56
5.00E-06	7.16E-05	0.37	220161_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
0.0001903	0.0004963	0.37	231969_at	STOX2	storkhead box 2
0.0001276	0.0003781	0.37	209800_at	KRT16	keratin 16
0.0001209	0.0003669	0.37	218865_at	MOSC1	MOCO sulphurase C-terminal domain containing 1
0.0009642	0.0016233	0.369	230006_s_at	SVIP	small VCP/p97-interacting protein
0.0004486	0.000908	0.367	240911_at	NOS1	nitric oxide synthase 1 (neuronal)
6.20E-06	7.96E-05	0.367	209581_at	PLA2G16	phospholipase A2, group XVI
9.94E-05	0.0003257	0.366	221664_s_at	F11R	F11 receptor
0.0006032	0.0011335	0.366	1555829_at	FAM62B	family with sequence similarity 62 (C2 domain containing) member B
0.0002211	0.000553	0.365	222699_s_at	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2
2.50E-06	6.21E-05	0.363	39248_at	AQP3	aquaporin 3 (Gill blood group)
9.91E-05	0.0003257	0.363	226912_at	ZDHHC23	zinc finger, DHHC-type containing 23
1.09E-05	9.98E-05	0.363	226817_at	DSC2	desmocollin 2
0.0003228	0.0007205	0.362	206191_at	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3
0.0002661	0.0006302	0.361	234970_at	TC2N	tandem C2 domains, nuclear
2.91E-05	0.0001641	0.361	229396_at	OVOL1	ovo-like 1(Drosophila)
0.0007302	0.0013162	0.36	230005_at	SVIP	small VCP/p97-interacting protein
0.0005361	0.0010404	0.36	234488_s_at	GMCL1L	germ cell-less homolog 1 (Drosophila)-like
0.0006857	0.0012533	0.36	205552_s_at	OAS1	2@#$%&,5@#$%&-oligoadenylate synthetase 1, 40/46kDa
0.0001881	0.0004922	0.36	219132_at	PELI2	pellino homolog 2 (Drosophila)
1.24E-05	0.0001054	0.36	231365_at	NA	NA
5.60E-06	7.63E-05	0.36	218885_s_at	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
0.0002111	0.0005345	0.359	218960_at	TMPRSS4	transmembrane protease, serine 4
0.0001619	0.0004394	0.359	235955_at	MARVELD2	MARVEL domain containing 2
7.74E-05	0.0002827	0.359	224856_at	FKBP5	FK506 binding protein 5
3.22E-05	0.0001702	0.357	210119_at	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15
0.0006841	0.0012514	0.357	219551_at	EAF2	ELL associated factor 2
3.43E-05	0.0001755	0.355	228865_at	C1orf116	chromosome 1 open reading frame 116
0.0008605	0.0014909	0.354	202525_at	PRSS8	protease, serine, 8
3.03E-05	0.0001675	0.354	227892_at	PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit
0.0007529	0.0013489	0.353	209784_s_at	JAG2	jagged 2
0.0001177	0.0003621	0.352	206400_at	LGALS7	lectin, galactoside-binding, soluble, 7
5.50E-06	7.63E-05	0.351	209270_at	LAMB3	laminin, beta 3
6.09E-05	0.0002416	0.35	1552685_a_at	GRHL1	grainyhead-like 1 (Drosophila)
0.000337	0.0007383	0.35	210652_s_at	TTC39A	tetratricopeptide repeat domain 39A
0.0007819	0.0013877	0.349	221245_s_at	FZD5	frizzled homolog 5 (Drosophila)
6.29E-05	0.0002469	0.349	213424_at	KIAA0895	KIAA0895
2.09E-05	0.0001362	0.349	228977_at	LOC729680	hypothetical protein LOC729680
4.60E-06	7.04E-05	0.348	1555007_s_at	WDR66	WD repeat domain 66
0.0005537	0.0010642	0.348	229225_at	NRP2	neuropilin 2
1.10E-05	9.99E-05	0.347	203747_at	AQP3	aquaporin 3 (Gill blood group)
3.43E-05	0.0001755	0.347	211259_s_at	BMP7	bone morphogenetic protein 7
0.0001605	0.0004372	0.347	205543_at	HSPA4L	heat shock 70kDa protein 4-like
0.0004597	0.0009247	0.345	214203_s_at	PRODH	proline dehydrogenase (oxidase) 1
0.0001965	0.0005049	0.345	242871_at	PAQR5	progestin and adipoQ receptor family member V
5.90E-06	7.80E-05	0.344	45288_at	ABHD6	abhydrolase domain containing 6
4.80E-06	7.05E-05	0.344	201820_at	KRT5	keratin 5
5.90E-05	0.0002369	0.342	1552283_s_at	ZDHHC11	zinc finger, DHHC-type containing 11
0.0009312	0.001583	0.342	1554835_a_at	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
6.13E-05	0.0002423	0.341	213456_at	SOSTDC1	sclerostin domain containing 1
0.0002062	0.0005238	0.341	221552_at	ABHD6	abhydrolase domain containing 6
5.83E-05	0.0002354	0.34	223704_s_at	DMRT2	doublesex and mab-3 related transcription factor 2
0.000136	0.0003955	0.339	204039_at	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha
5.96E-05	0.0002381	0.338	210136_at	MBP	myelin basic protein
1.15E-05	0.0001021	0.337	1559606_at	GBP6	guanylate binding protein family, member 6
0.000225	0.0005603	0.337	32137_at	JAG2	jagged 2
3.26E-05	0.0001706	0.337	203836_s_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5
5.31E-05	0.0002223	0.336	233252_s_at	STRBP	spermatid perinuclear RNA binding protein
8.30E-06	8.89E-05	0.336	226068_at	SYK	spleen tyrosine kinase
0.0006144	0.0011481	0.336	213974_at	ADAMTSL3	ADAMTS-like 3
0.0007214	0.0013038	0.335	228241_at	AGR3	anterior gradient homolog 3 (Xenopus laevis)
1.50E-06	5.65E-05	0.335	202890_at	MAP7	microtubule-associated protein 7
9.56E-05	0.0003183	0.333	237063_at	NA	NA
0.0001402	0.0004016	0.333	212978_at	LRRC8B	leucine rich repeat containing 8 family, member B
3.75E-05	0.0001827	0.331	211401_s_at	FGFR2	fibroblast growth factor receptor 2
5.60E-06	7.63E-05	0.331	219756_s_at	POF1B	premature ovarian failure, 1B
0.0001227	0.0003687	0.33	213100_at	UNC5B	unc-5 homolog B (C. elegans)
7.82E-05	0.0002843	0.33	226863_at	FAM110C	family with sequence similarity 110, member C
3.30E-06	6.60E-05	0.33	218559_s_at	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
0.000425	0.0008728	0.329	213285_at	TMEM30B	transmembrane protein 30B
0.0001568	0.0004313	0.327	225822_at	TMEM125	transmembrane protein 125
0.000445	0.0009048	0.327	229546_at	LOC653602	hypothetical LOC653602
7.36E-05	0.0002733	0.326	1566764_at	MACC1	metastasis associated in colon cancer 1
3.80E-05	0.0001836	0.326	213030_s_at	PLXNA2	plexin A2
0.0001361	0.0003955	0.326	212966_at	HIC2	hypermethylated in cancer 2
2.54E-05	0.0001515	0.325	235651_at	NA	NA
0.0001056	0.0003374	0.324	226302_at	ATP8B1	ATPase, class I, type 8B, member 1
1.43E-05	0.000113	0.324	235683_at	SESN3	sestrin 3
0.0003962	0.0008324	0.324	208084_at	ITGB6	integrin, beta 6
5.27E-05	0.0002219	0.322	219856_at	C1orf116	chromosome 1 open reading frame 116
0.0008863	0.0015239	0.321	227803_at	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)
0.0001561	0.0004313	0.321	218813_s_at	SH3GLB2	SH3-domain GRB2-like endophilin B2
0.000336	0.0007369	0.32	205180_s_at	ADAM8	ADAM metallopeptidase domain 8
0.0008279	0.0014499	0.319	210505_at	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
3.10E-05	0.0001676	0.318	204351_at	S100P	S100 calcium binding protein P
8.38E-05	0.0002992	0.318	204503_at	EVPL	envoplakin
7.20E-06	8.26E-05	0.317	231381_at	HESRG	hypothetical LOC790952
3.53E-05	0.0001774	0.317	223246_s_at	STRBP	spermatid perinuclear RNA binding protein
2.00E-07	3.57E-05	0.316	204734_at	KRT15	keratin 15
2.37E-05	0.0001452	0.316	227241_at	MUC15	mucin 15, cell surface associated
9.69E-05	0.0003208	0.316	220318_at	EPN3	epsin 3
9.40E-06	9.40E-05	0.314	1554921_a_at	SCEL	sciellin
0.0005485	0.0010573	0.314	200841_s_at	EPRS	glutamyl-prolyl-tRNA synthetase
1.40E-05	0.0001122	0.314	221646_s_at	ZDHHC11	zinc finger, DHHC-type containing 11
0.0002603	0.0006208	0.314	228485_s_at	SLC44A1	solute carrier family 44, member 1
7.31E-05	0.0002718	0.314	227461_at	STON2	stonin 2
1.84E-05	0.000128	0.313	226278_at	SVIP	small VCP/p97-interacting protein
0.0001164	0.0003595	0.313	235150_at	NA	NA
0.0005135	0.0010122	0.313	228221_at	SLC44A3	solute carrier family 44, member 3
0.0001405	0.0004016	0.313	219648_at	MREG	melanoregulin
0.0002124	0.0005366	0.312	208153_s_at	FAT2	FAT tumor suppressor homolog 2 (Drosophila)
0.0002665	0.0006302	0.311	205769_at	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
9.50E-06	9.41E-05	0.311	205595_at	DSG3	desmoglein 3 (pemphigus vulgaris antigen)
6.49E-05	0.0002534	0.311	218693_at	TSPAN15	tetraspanin 15
0.0002969	0.0006817	0.31	233251_at	STRBP	spermatid perinuclear RNA binding protein
0.0002497	0.0006074	0.31	219976_at	HOOK1	hook homolog 1 (Drosophila)
4.16E-05	0.0001923	0.309	222150_s_at	PION	pigeon homolog (Drosophila)
4.20E-06	6.83E-05	0.308	223075_s_at	AIF1L	allograft inflammatory factor 1-like
3.60E-06	6.75E-05	0.308	225864_at	FAM84B	family with sequence similarity 84, member B
0.0003606	0.0007758	0.308	235247_at	NA	NA
2.70E-06	6.21E-05	0.307	212070_at	GPR56	G protein-coupled receptor 56
3.00E-07	3.57E-05	0.307	209283_at	CRYAB	crystallin, alpha B
0.0003593	0.0007737	0.307	218807_at	VAV3	vav 3 guanine nucleotide exchange factor
0.0001247	0.0003721	0.307	205032_at	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
6.80E-06	8.13E-05	0.306	205559_s_at	PCSK5	proprotein convertase subtilisin/kexin type 5
4.10E-06	6.82E-05	0.305	206276_at	LY6D	lymphocyte antigen 6 complex, locus D
0.0007369	0.0013255	0.305	232122_s_at	VEPH1	ventricular zone expressed PH domain homolog 1 (zebrafish)
1.80E-06	5.65E-05	0.304	205603_s_at	DIAPH2	diaphanous homolog 2 (Drosophila)
0.0005899	0.0011161	0.304	214545_s_at	PROSC	proline synthetase co-transcribed homolog (bacterial)
0.0001102	0.0003475	0.303	227717_at	FLJ41603	FLJ41603 protein
0.000135	0.0003939	0.303	212315_s_at	NUP210	nucleoporin 210kDa
0.0005604	0.0010733	0.302	205184_at	GNG4	guanine nucleotide binding protein (G protein), gamma 4
0.0003798	0.0008063	0.301	207655_s_at	BLNK	B-cell linker
0.000836	0.0014585	0.301	211194_s_at	TP63	tumor protein p63
4.09E-05	0.0001895	0.301	215471_s_at	MAP7	microtubule-associated protein 7
0.0009566	0.0016189	0.3	215785_s_at	CYFIP2	cytoplasmic FMR1 interacting protein 2
2.14E-05	0.0001386	0.3	228360_at	LYPD6B	LY6/PLAUR domain containing 6B
7.20E-06	8.26E-05	0.299	205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)
0.0004706	0.00094	0.298	206204_at	GRB14	growth factor receptor-bound protein 14
5.69E-05	0.0002314	0.298	223895_s_at	EPN3	epsin 3
0.0008529	0.0014801	0.298	1553132_a_at	TC2N	tandem C2 domains, nuclear
1.80E-06	5.65E-05	0.298	213947_s_at	NUP210	nucleoporin 210kDa
0.000107	0.0003393	0.297	227314_at	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
3.10E-05	0.0001676	0.297	220196_at	MUC16	mucin 16, cell surface associated
1.20E-06	5.65E-05	0.296	217995_at	SQRDL	sulfide quinone reductase-like (yeast)
0.0002437	0.0005981	0.296	203780_at	MPZL2	myelin protein zero-like 2
4.10E-06	6.82E-05	0.296	238029_s_at	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
0.0003516	0.0007644	0.296	219503_s_at	TMEM40	transmembrane protein 40
4.00E-05	0.0001892	0.296	226405_s_at	ARRDC1	arrestin domain containing 1
3.51E-05	0.0001774	0.293	202350_s_at	MATN2	matrilin 2
9.70E-06	9.41E-05	0.293	225613_at	MAST4	microtubule associated serine/threonine kinase family member 4
0.0001195	0.0003661	0.293	239862_at	NA	NA
0.0001232	0.0003692	0.293	1554006_a_at	LLGL2	lethal giant larvae homolog 2 (Drosophila)
0.0003217	0.0007187	0.291	209925_at	OCLN	occludin
0.0003352	0.0007358	0.291	223235_s_at	SMOC2	SPARC related modular calcium binding 2
3.27E-05	0.0001707	0.29	228570_at	BTBD11	BTB (POZ) domain containing 11
9.42E-05	0.000316	0.29	240921_at	NA	NA
0.0003282	0.0007261	0.289	227725_at	ST6GALNAC1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
0.0005851	0.0011089	0.289	216521_s_at	BRCC3	BRCA1/BRCA2-containing complex, subunit 3
0.0008453	0.0014713	0.287	1555330_at	GCLC	glutamate-cysteine ligase, catalytic subunit
0.0004054	0.0008454	0.287	202688_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
3.25E-05	0.0001705	0.286	207540_s_at	SYK	spleen tyrosine kinase
0.0002549	0.0006136	0.284	202488_s_at	FXYD3	FXYD domain containing ion transport regulator 3
1.91E-05	0.0001292	0.284	203638_s_at	FGFR2	fibroblast growth factor receptor 2
2.27E-05	0.0001414	0.284	213142_x_at	PION	pigeon homolog (Drosophila)
0.0001297	0.0003828	0.283	219938_s_at	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
0.0001578	0.0004327	0.283	242626_at	SAMD5	sterile alpha motif domain containing 5
3.10E-06	6.55E-05	0.281	232202_at	NA	NA
0.0002668	0.0006302	0.281	243546_at	NA	NA
0.0006716	0.0012325	0.281	242053_at	TSGA10	testis specific, 10
0.0009559	0.0016189	0.28	234730_s_at	RIPK4	receptor-interacting serine-threonine kinase 4
0.0003057	0.000694	0.28	213652_at	PCSK5	proprotein convertase subtilisin/kexin type 5
0.0008101	0.0014232	0.28	209098_s_at	JAG1	jagged 1 (Alagille syndrome)
7.40E-06	8.32E-05	0.28	217979_at	TSPAN13	tetraspanin 13
4.00E-06	6.75E-05	0.278	229901_at	ZNF488	zinc finger protein 488
4.41E-05	0.000196	0.278	214598_at	CLDN8	claudin 8
0.0005612	0.0010735	0.277	229842_at	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
0.0003038	0.0006915	0.277	228557_at	L3MBTL4	l(3)mbt-like 4 (Drosophila)
0.0003204	0.0007174	0.277	1553986_at	RASEF	RAS and EF-hand domain containing
0.0001037	0.000333	0.275	202889_x_at	MAP7	microtubule-associated protein 7
1.62E-05	0.00012	0.275	235144_at	NA	NA
2.73E-05	0.0001567	0.275	212992_at	AHNAK2	AHNAK nucleoprotein 2
0.0005312	0.0010336	0.274	244418_at	NA	NA
0.0001233	0.0003692	0.273	231195_at	KLRG2	killer cell lectin-like receptor subfamily G, member 2
0.0002529	0.0006103	0.273	235744_at	PPTC7	PTC7 protein phosphatase homolog (S. cerevisiae)
4.79E-05	0.0002075	0.271	225016_at	APCDD1	adenomatosis polyposis coli down-regulated 1
0.0005079	0.0010038	0.27	225140_at	KLF3	Kruppel-like factor 3 (basic)
0.0009976	0.0016683	0.269	219714_s_at	CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta subunit 3
0.000515	0.0010129	0.268	201008_s_at	TXNIP	thioredoxin interacting protein
1.70E-06	5.65E-05	0.268	201131_s_at	CDH1	cadherin 1, type 1, E-cadherin (epithelial)
9.10E-06	9.35E-05	0.268	214580_x_at	KRT6A	keratin 6A
3.30E-05	0.0001711	0.267	219395_at	RBM35B	RNA binding motif protein 35B
8.91E-05	0.0003076	0.267	222773_s_at	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
9.01E-05	0.0003095	0.267	244023_at	SYK	spleen tyrosine kinase
0.0001926	0.0004994	0.265	218806_s_at	VAV3	vav 3 guanine nucleotide exchange factor
0.0002578	0.0006181	0.264	230964_at	FREM2	FRAS1 related extracellular matrix protein 2
0.0001479	0.0004154	0.264	220035_at	NUP210	nucleoporin 210kDa
0.0008713	0.0015061	0.264	1569433_at	SAMD5	sterile alpha motif domain containing 5
3.47E-05	0.0001767	0.264	39249_at	AQP3	aquaporin 3 (Gill blood group)
3.28E-05	0.0001709	0.263	203397_s_at	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
1.26E-05	0.0001063	0.263	204019_s_at	SH3YL1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)
2.80E-06	6.21E-05	0.262	202712_s_at	CKMT1B	creatine kinase, mitochondrial 1B
6.82E-05	0.00026	0.261	223709_s_at	WNT10A	wingless-type MMTV integration site family, member 10A
5.92E-05	0.0002373	0.261	219121_s_at	RBM35A	RNA binding motif protein 35A
9.00E-07	5.36E-05	0.261	201015_s_at	JUP	junction plakoglobin
9.50E-05	0.0003168	0.261	215425_at	BTG3	BTG family, member 3
0.0006374	0.0011799	0.26	227935_s_at	PCGF5	polycomb group ring finger 5
4.58E-05	0.0002011	0.26	1553319_at	OXGR1	oxoglutarate (alpha-ketoglutarate) receptor 1
9.50E-06	9.41E-05	0.26	205625_s_at	CALB1	calbindin 1, 28kDa
0.000279	0.0006503	0.259	228494_at	PPP1R9A	protein phosphatase 1, regulatory (inhibitor) subunit 9A
0.0005498	0.0010589	0.258	209269_s_at	SYK	spleen tyrosine kinase
5.64E-05	0.000231	0.256	239148_at	MARVELD3	MARVEL domain containing 3
4.42E-05	0.000196	0.256	227506_at	SLC16A9	solute carrier family 16, member 9 (monocarboxylic acid transporter 9)
0.0001238	0.0003703	0.255	218804_at	ANO1	anoctamin 1, calcium activated chloride channel
1.99E-05	0.0001322	0.255	222892_s_at	TMEM40	transmembrane protein 40
6.30E-06	7.96E-05	0.254	231849_at	KRT80	keratin 80
5.61E-05	0.000231	0.254	212657_s_at	IL1RN	interleukin 1 receptor antagonist
0.0001454	0.0004099	0.254	229242_at	NA	NA
2.10E-06	5.78E-05	0.251	205626_s_at	CALB1	calbindin 1, 28kDa
0.0001531	0.0004279	0.251	201428_at	CLDN4	claudin 4
2.00E-05	0.0001322	0.25	202489_s_at	FXYD3	FXYD domain containing ion transport regulator 3
3.43E-05	0.0001755	0.25	1553613_s_at	FOXC1	forkhead box C1
6.98E-05	0.000263	0.247	224646_x_at	H19	H19, imprinted maternally expressed transcript (non-protein coding)
1.90E-06	5.65E-05	0.246	201690_s_at	TPD52	tumor protein D52
1.57E-05	0.0001187	0.246	221679_s_at	ABHD6	abhydrolase domain containing 6
0.0003339	0.0007351	0.246	223832_s_at	CAPNS2	calpain, small subunit 2
1.35E-05	0.000111	0.244	242786_at	NA	NA
0.0001025	0.0003311	0.243	1552496_a_at	COBL	cordon-bleu homolog (mouse)
0.0005921	0.001119	0.241	1555269_a_at	ANO1	anoctamin 1, calcium activated chloride channel
0.000775	0.0013794	0.241	209114_at	TSPAN1	tetraspanin 1
0.0001143	0.000357	0.241	239595_at	GPX2	glutathione peroxidase 2 (gastrointestinal)
0.0009593	0.0016209	0.24	204989_s_at	ITGB4	integrin, beta 4
3.20E-06	6.60E-05	0.24	201079_at	SYNGR2	synaptogyrin 2
2.26E-05	0.0001414	0.239	225325_at	MFSD6	major facilitator superfamily domain containing 6
2.70E-06	6.21E-05	0.238	212316_at	NUP210	nucleoporin 210kDa
4.42E-05	0.000196	0.238	231311_at	NA	NA
8.43E-05	0.0002992	0.237	215729_s_at	VGLL1	vestigial like 1 (Drosophila)
8.70E-06	9.19E-05	0.237	203407_at	PPL	periplakin
9.40E-06	9.40E-05	0.237	212096_s_at	MTUS1	mitochondrial tumor suppressor 1
2.20E-06	5.78E-05	0.237	211002_s_at	TRIM29	tripartite motif-containing 29
1.03E-05	9.66E-05	0.236	203642_s_at	COBLL1	COBL-like 1
1.65E-05	0.0001203	0.235	208228_s_at	FGFR2	fibroblast growth factor receptor 2
4.30E-06	6.90E-05	0.235	202800_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
0.0006708	0.0012321	0.235	213722_at	SOX2	SRY (sex determining region Y)-box 2
0.0004323	0.0008838	0.235	201510_at	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
9.33E-05	0.0003143	0.233	229223_at	NA	NA
1.65E-05	0.0001203	0.23	228256_s_at	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A
8.71E-05	0.0003039	0.23	227238_at	MUC15	mucin 15, cell surface associated
8.60E-06	9.17E-05	0.228	225301_s_at	MYO5B	myosin VB
0.0008242	0.0014446	0.227	225911_at	NPNT	nephronectin
0.000538	0.0010423	0.226	205185_at	SPINK5	serine peptidase inhibitor, Kazal type 5
5.11E-05	0.0002176	0.226	1555516_at	FOXP2	forkhead box P2
1.14E-05	0.0001021	0.226	202504_at	TRIM29	tripartite motif-containing 29
2.08E-05	0.0001359	0.226	232165_at	EPPK1	epiplakin 1
8.00E-07	5.36E-05	0.225	228038_at	SOX2	SRY (sex determining region Y)-box 2
0.0004543	0.0009147	0.223	203639_s_at	FGFR2	fibroblast growth factor receptor 2
7.00E-07	5.36E-05	0.222	229568_at	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
3.81E-05	0.0001837	0.221	242836_at	NA	NA
2.00E-05	0.0001322	0.22	210827_s_at	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
0.0005924	0.001119	0.22	223427_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
0.0004079	0.0008484	0.219	213707_s_at	DLX5	distal-less homeobox 5
0.0001164	0.0003595	0.218	227209_at	CNTN1	contactin 1
0.0001035	0.0003329	0.218	226844_at	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
0.0001139	0.0003562	0.216	202005_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)
0.0002372	0.0005849	0.216	209493_at	PDZD2	PDZ domain containing 2
1.58E-05	0.000119	0.215	209590_at	BMP7	bone morphogenetic protein 7
3.36E-05	0.0001731	0.212	226374_at	NA	NA
1.94E-05	0.0001302	0.21	207291_at	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
3.83E-05	0.0001842	0.21	202687_s_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
5.20E-06	7.35E-05	0.209	219010_at	C1orf106	chromosome 1 open reading frame 106
7.92E-05	0.000287	0.208	211203_s_at	CNTN1	contactin 1
0.0001629	0.0004398	0.208	244264_at	KLRG2	killer cell lectin-like receptor subfamily G, member 2
5.00E-06	7.16E-05	0.208	225667_s_at	FAM84A	family with sequence similarity 84, member A
9.40E-06	9.40E-05	0.207	209125_at	KRT6A	keratin 6A
6.60E-06	8.10E-05	0.206	209126_x_at	KRT6B	keratin 6B
0.0008801	0.0015159	0.205	1552714_at	CREG2	cellular repressor of E1A-stimulated genes 2
1.67E-05	0.0001214	0.205	206698_at	XK	X-linked Kx blood group (McLeod syndrome)
0.0001195	0.0003661	0.204	214549_x_at	SPRR1A	small proline-rich protein 1A
1.56E-05	0.0001184	0.204	203797_at	VSNL1	visinin-like 1
1.30E-06	5.65E-05	0.203	221854_at	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
3.80E-06	6.75E-05	0.203	223869_at	SOST	sclerosteosis
0.0001204	0.0003667	0.202	1566766_a_at	MACC1	metastasis associated in colon cancer 1
4.66E-05	0.000203	0.2	224997_x_at	H19	H19, imprinted maternally expressed transcript (non-protein coding)
0.0004386	0.0008934	0.199	232682_at	MREG	melanoregulin
9.25E-05	0.0003122	0.198	237159_x_at	AP1S3	adaptor-related protein complex 1, sigma 3 subunit
0.0003208	0.0007174	0.197	227202_at	CNTN1	contactin 1
3.11E-05	0.0001676	0.194	231489_x_at	NA	NA
2.37E-05	0.0001452	0.193	1555383_a_at	POF1B	premature ovarian failure, 1B
7.19E-05	0.0002691	0.192	203528_at	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
6.90E-06	8.21E-05	0.192	202388_at	RGS2	regulator of G-protein signaling 2, 24kDa
2.00E-07	3.57E-05	0.192	227492_at	NA	NA
0.0006496	0.001198	0.192	206262_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
1.90E-06	5.65E-05	0.188	232164_s_at	EPPK1	epiplakin 1
0.0007055	0.0012812	0.187	1559361_at	MACC1	metastasis associated in colon cancer 1
1.03E-05	9.66E-05	0.187	237885_at	NA	NA
1.80E-06	5.65E-05	0.186	201839_s_at	EPCAM	epithelial cell adhesion molecule
0.0002225	0.0005559	0.183	204751_x_at	DSC2	desmocollin 2
1.35E-05	0.000111	0.177	229513_at	STRBP	spermatid perinuclear RNA binding protein
9.93E-05	0.0003257	0.174	205220_at	NIACR2	niacin receptor 2
3.73E-05	0.0001825	0.174	223423_at	GPR160	G protein-coupled receptor 160
2.46E-05	0.0001487	0.172	213721_at	SOX2	SRY (sex determining region Y)-box 2
5.60E-06	7.63E-05	0.172	203917_at	CXADR	coxsackie virus and adenovirus receptor
3.64E-05	0.0001789	0.171	203641_s_at	COBLL1	COBL-like 1
6.93E-05	0.000262	0.171	201689_s_at	TPD52	tumor protein D52
2.92E-05	0.0001642	0.17	219209_at	IFIH1	interferon induced with helicase C domain 1
2.18E-05	0.0001396	0.168	223454_at	CXCL16	chemokine (C-X-C motif) ligand 16
5.39E-05	0.0002248	0.168	203713_s_at	LLGL2	lethal giant larvae homolog 2 (Drosophila)
3.80E-06	6.75E-05	0.168	226961_at	PRR15	proline rich 15
0.0003008	0.0006884	0.167	204798_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)
0.0001324	0.0003881	0.166	219412_at	RAB38	RAB38, member RAS oncogene family
0.0001476	0.0004151	0.166	213796_at	SPRR1A	small proline-rich protein 1A
2.71E-05	0.0001559	0.165	212095_s_at	MTUS1	mitochondrial tumor suppressor 1
3.80E-06	6.75E-05	0.165	202790_at	CLDN7	claudin 7
3.92E-05	0.000187	0.164	232056_at	SCEL	sciellin
1.01E-05	9.64E-05	0.163	238692_at	BTBD11	BTB (POZ) domain containing 11
6.70E-06	8.10E-05	0.162	221795_at	NTRK2	neurotrophic tyrosine kinase, receptor, type 2
3.31E-05	0.0001713	0.162	226899_at	UNC5B	unc-5 homolog B (C. elegans)
2.00E-07	3.57E-05	0.161	218186_at	RAB25	RAB25, member RAS oncogene family
1.00E-06	5.51E-05	0.161	232151_at	MACC1	metastasis associated in colon cancer 1
7.00E-06	8.24E-05	0.159	221796_at	NTRK2	neurotrophic tyrosine kinase, receptor, type 2
0.0004462	0.0009048	0.158	204320_at	COL11A1	collagen, type XI, alpha 1
1.22E-05	0.0001041	0.158	206884_s_at	SCEL	sciellin
0.0004816	0.0009602	0.156	212909_at	LYPD1	LY6/PLAUR domain containing 1
7.70E-06	8.41E-05	0.155	209591_s_at	BMP7	bone morphogenetic protein 7
1.12E-05	0.0001009	0.153	204542_at	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
6.80E-05	0.0002597	0.149	204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1
