Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
AI767472	0.42	0.009	Williams-Beuren syndrome chromosome region 17
BC016138	0.42	0.002	family with sequence similarity 120C
BX100544	0.42	0.032	Chromosome 16 open reading frame 74
NM_003713	0.42	0.049	phosphatidic acid phosphatase type 2B
NM_002600	0.42	0.017	phosphodiesterase 4B, cAMP-specific
NM_015180	0.42	0.025	spectrin repeat containing, nuclear envelope 2
AK123489	0.42	0.008	Hemochromatosis
AW005269	0.42	0.023	Wolf-Hirschhorn syndrome candidate 1
BX114050	0.42	0.027	Peptidyl arginine deiminase, type II
AF086543	0.42	0.045	CD44 molecule (Indian blood group)
NM_145006	0.42	0.004	sushi domain containing 3
NM_032358	0.42	0.002	coiled-coil domain containing 77
NM_004229	0.42	0.013	cofactor required for Sp1 transcriptional activation
BX091633	0.42	0.006	Chloride channel 1, skeletal muscle
AL117578	0.42	0.014	chromosome 21 open reading frame 30
NM_024749	0.42	0.031	vasohibin 2
NM_138460	0.42	0.009	CKLF-like MARVEL transmembrane domain containing 5
AA293680	0.41	0.002	Synaptopodin
NM_001327	0.41	0.006	cancer/testis antigen 1B
NM_198516	0.41	0.033	UDP-N-acetyl-alpha-D-galactosamine
BQ023455	0.41	0.031	GRINL1A combined protein
AF086264	0.41	0.019	Chromosome condensation-related SMC-associated protein 1
NM_005602	0.41	0.004	claudin 11 (oligodendrocyte transmembrane protein)
NM_021616	0.41	0.009	tripartite motif-containing 34
BQ187081	0.41	0.002	Basigin (Ok blood group)
NM_001282	0.41	0.046	adaptor-related protein complex 2, beta 1 subunit
C16479	0.41	0.006	S-phase kinase-associated protein 1A (p19A)
N41364	0.41	0.007	UDP-glucuronic acid epimerase
BF513864	0.41	0.045	Transcribed locus
F36831	0.41	0.002	Calneuron 1
AI014682	0.41	0.024	Enolase superfamily member 1
BF749886	0.41	0.021	NudE nuclear distribution gene E homolog 1 (A. nidulans)
NM_018234	0.41	0.006	STEAP family member 3
NM_022353	0.41	0.003	O-sialoglycoprotein endopeptidase-like 1
NM_005771	0.41	0.005	dehydrogenase/reductase (SDR family) member 9
NM_032035	0.41	0.015	Homo sapiens latent transforming growth factor beta binding protein 2
R14224	0.41	0.020	Prostaglandin F2 receptor negative regulator
BF510173	0.41	0.013	AAA1 protein
NM_005084	0.41	0.013	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
BE892451	0.41	0.016	Programmed cell death 6 interacting protein
NM_030796	0.41	0.035	EGFR-coamplified and overexpressed protein
BG568344	0.41	0.034	Serum amyloid A2
NM_003858	0.41	0.009	cyclin K
NM_000169	0.41	0.005	galactosidase, alpha
NM_004286	0.41	0.006	GTP binding protein 1
NM_002945	0.41	0.026	replication protein A1, 70kDa
BM564646	0.40	0.037	LOC387882 hypothetical protein
BX100463	0.40	0.011	Epithelial stromal interaction 1 (breast)
NM_000859	0.40	0.013	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
NM_002875	0.40	0.006	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
AA069532	0.40	0.002	Contactin associated protein-like 2
NM_004237	0.40	0.009	thyroid hormone receptor interactor 13
NM_003873	0.40	0.040	neuropilin 1
NM_016479	0.40	0.010	scotin
NM_005391	0.40	0.005	pyruvate dehydrogenase kinase, isozyme 3
NM_016446	0.40	0.034	chromosome 9 open reading frame 127
W31037	0.40	0.010	Lysyl oxidase
NM_003813	0.40	0.001	ADAM metallopeptidase domain 21
NM_013262	0.40	0.007	myosin regulatory light chain interacting protein
NM_018962	0.40	0.043	Down syndrome critical region gene 6
NM_005542	0.40	0.025	insulin induced gene 1
AI252790	0.40	0.001	LIM domain only 3 (rhombotin-like 2)
NM_006245	0.40	0.016	protein phosphatase 2, regulatory subunit B (B56), delta isoform
R02198	0.40	0.009	Opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)
NM_000364	0.40	0.023	troponin T type 2 (cardiac)
NM_005576	0.40	0.001	lysyl oxidase-like 1
NM_006745	0.40	0.033	sterol-C4-methyl oxidase-like
NM_000674	0.40	0.006	adenosine A1 receptor
AF322916	0.40	0.003	uveal autoantigen with coiled-coil domains and ankyrin repeats
AA081613	0.40	0.001	Ribosomal protein L41
AI064848	0.40	0.014	Chromosome 18 open reading frame 1
CB986851	0.40	0.010	Contactin associated protein-like 2
BQ006684	0.40	0.048	Pre-B-cell leukemia transcription factor 1
AI281627	0.40	0.015	Dedicator of cytokinesis 4
NM_032709	0.39	0.008	chromosome 10 open reading frame 33
AI431887	0.39	0.019	Full length insert cDNA clone ZD20D09
NM_000430	0.39	0.016	platelet-activating factor acetylhydrolase, isoform Ib
NM_014715	0.39	0.011	Rho GTPase-activating protein
NM_000295	0.39	0.005	serpin peptidase inhibitor, clade A
BF002995	0.39	0.020	Nance-Horan syndrome (congenital cataracts and dental anomalies)
BI197593	0.39	0.016	Guanylate cyclase 1, soluble, alpha 3
NM_014550	0.39	0.001	caspase recruitment domain family, member 10
BU687443	0.39	0.044	Replication factor C (activator 1) 3, 38kDa
AI738835	0.39	0.006	Transcribed locus
NM_001548	0.39	0.001	interferon-induced protein with tetratricopeptide repeats 1
NM_080739	0.39	0.014	chromosome 20 open reading frame 141
NM_001255	0.39	0.029	CDC20 cell division cycle 20 homolog (S. cerevisiae)
NM_004219	0.39	0.001	pituitary tumor-transforming 1
NM_015161	0.39	0.009	ADP-ribosylation factor-like 6 interacting protein
N27480	0.39	0.005	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
AK098016	0.39	0.042	Scotin
AF007143	0.39	0.023	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
NM_002961	0.39	0.004	S100 calcium binding protein A4
AV684941	0.39	0.033	Poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)
R63952	0.39	0.030	Midkine (neurite growth-promoting factor 2)
CD677332	0.39	0.003	Integrin, beta-like 1 (with EGF-like repeat domains)
AL047960	0.39	0.003	AHNAK nucleoprotein (desmoyokin)
BC030663	0.39	0.004	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
NM_024844	0.39	0.003	nucleoporin 85kDa
NM_016095	0.39	0.046	GINS complex subunit 2 (Psf2 homolog)
AA349972	0.39	0.036	Splicing factor 3a, subunit 3, 60kDa
NM_001812	0.39	0.006	centromere protein C 1
AA653936	0.39	0.020	(clone 06) high mobility group 1 protein mRNA fragment
NM_005879	0.39	0.011	TRAF interacting protein
NM_018725	0.39	0.011	interleukin 17 receptor B
AW592674	0.39	0.023	Nuclear receptor subfamily 3, group C, member 2
NM_018593	0.39	0.007	solute carrier family 16, member 10
NM_030941	0.38	0.006	exonuclease NEF-sp
NM_000147	0.38	0.022	fucosidase, alpha-L- 1, tissue
NM_006265	0.38	0.046	RAD21 homolog (S. pombe)
NM_014919	0.38	0.010	Wolf-Hirschhorn syndrome candidate 1
NM_005348	0.38	0.016	heat shock protein 90kDa alpha (cytosolic), class A member 1
NM_001986	0.38	0.011	ets variant gene 4 (E1A enhancer binding protein, E1AF)
NM_002872	0.38	0.001	ras-related C3 botulinum toxin substrate 2
AA261919	0.38	0.013	RAN binding protein 9
AA992714	0.38	0.007	DIX domain containing 1
NM_004126	0.38	0.010	guanine nucleotide binding protein (G protein), gamma 11
NM_001677	0.38	0.013	ATPase, Na+/K+ transporting, beta 1 polypeptide
NM_005855	0.38	0.019	receptor (calcitonin) activity modifying protein 1
NM_022145	0.38	0.021	centromere protein K
NM_024918	0.38	0.015	chromosome 20 open reading frame 172
BQ219442	0.38	0.036	F-box protein, helicase, 18
AK126761	0.38	0.016	Albumin
NM_012428	0.38	0.009	neuroplastin
NM_002689	0.38	0.006	polymerase (DNA directed), alpha 2 (70kD subunit)
NM_007370	0.38	0.039	replication factor C (activator 1) 5, 36.5kDa
NM_138635	0.38	0.043	H2A histone family, member V
NM_052943	0.38	0.041	family with sequence similarity 46, member B
NM_002332	0.38	0.029	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
AF288406	0.38	0.029	Leucine proline-enriched proteoglycan (leprecan) 1
NM_053044	0.38	0.046	HtrA serine peptidase 3
BC062792	0.38	0.019	Human immunodeficiency virus type I enhancer binding protein 3
AI250624	0.38	0.018	PTK2 protein tyrosine kinase 2
NM_005397	0.38	0.031	podocalyxin-like
NM_052853	0.38	0.038	aarF domain containing kinase 2
BI966232	0.38	0.001	Plexin B2
NM_001948	0.38	0.023	dUTP pyrophosphatase
NM_024496	0.38	0.0004	chromosome 14 open reading frame 4
NM_020804	0.38	0.021	protein kinase C and casein kinase substrate in neurons 1
NM_018437	0.38	0.026	hemogen
NM_014880	0.38	0.007	CD302 molecule
NM_001847	0.38	0.011	collagen, type IV, alpha 6
BM715449	0.38	0.006	Zinc finger protein 618
NM_020338	0.38	0.038	retinoic acid induced 17
NM_015236	0.38	0.002	latrophilin 3
Z42533	0.38	0.011	Nuclear factor I/A
NM_001996	0.38	0.047	fibulin 1
AL389956	0.37	0.013	Mitochondrial ribosomal protein L55
NM_024329	0.37	0.014	EF-hand domain family, member D2
NM_001467	0.37	0.006	solute carrier family 37 (glycerol-6-phosphate transporter), member 4
NM_014847	0.37	0.047	ubiquitin associated protein 2-like
NM_016150	0.37	0.043	ankyrin repeat and SOCS box-containing 2
AI741499	0.37	0.025	Similar to opposite strand transcription unit to Stag3
H49228	0.37	0.003	Growth hormone receptor
NM_018369	0.37	0.0004	DEP domain containing 1B
AK025576	0.37	0.008	Diablo homolog (Drosophila)
NM_022782	0.37	0.033	M-phase phosphoprotein 9
NM_002774	0.37	0.006	kallikrein 6 (neurosin, zyme)
D29453	0.37	0.001	Stathmin 1/oncoprotein 18
NM_178460	0.37	0.006	signal-regulatory protein delta
AI968901	0.37	0.008	Aldolase A, fructose-bisphosphate
NM_015426	0.37	0.001	WD repeat domain 51A
NM_005902	0.37	0.032	SMAD, mothers against DPP homolog 3 (Drosophila)
BM849166	0.37	0.047	Nudix (nucleoside diphosphate linked moiety X)-type motif 21
AI026771	0.37	0.008	Replication factor C (activator 1) 3, 38kDa
AC_011444	0.37	0.010	regulatory factor X, 2 (influences HLA class II expression)
NM_178014	0.37	0.006	tubulin, beta
AA243882	0.37	0.041	Maternally expressed 3
M27161	0.37	0.018	CD8a molecule
NM_006047	0.37	0.005	RNA binding motif protein 12
AI424832	0.37	0.030	Stathmin 1/oncoprotein 18
NM_005576	0.37	0.002	lysyl oxidase-like 1
NM_005480	0.37	0.0002	trophinin associated protein (tastin)
NM_021165	0.37	0.005	family with sequence similarity 5, member B
NM_020672	0.37	0.004	S100 calcium binding protein A14
NM_000060	0.37	0.008	biotinidase
BG029962	0.37	0.006	Gamma-aminobutyric acid (GABA) B receptor, 1
NM_001504	0.36	0.023	chemokine (C-X-C motif) receptor 3
AA017037	0.36	0.044	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
AA926774	0.36	0.016	Single stranded DNA binding protein 3
AV710158	0.36	0.001	Coiled-coil domain containing 50
R64089	0.36	0.021	SEC15-like 2 (S. cerevisiae)
NM_004121	0.36	0.025	gamma-glutamyltransferase-like activity 1
NM_024092	0.36	0.012	transmembrane protein 109
NM_007173	0.36	0.024	protease, serine, 23
BU754230	0.36	0.040	Interferon (alpha, beta and omega) receptor 2
AA477967	0.36	0.018	CD44 molecule (Indian blood group)
BG696719	0.36	0.008	Acyl-CoA synthetase medium-chain family member 3
BQ434709	0.36	0.011	Squamous cell carcinoma antigen recognised by T cells 3
BM929906	0.36	0.007	Forkhead box P1
BX117682	0.36	0.012	V-abl Abelson murine leukemia viral oncogene homolog 1
NM_005525	0.36	0.006	hydroxysteroid (11-beta) dehydrogenase 1
BE763675	0.36	0.003	LIM and senescent cell antigen-like domains 2
NM_178229	0.36	0.004	IQ motif containing GTPase activating protein 3
NM_022912	0.36	0.003	receptor accessory protein 1
NM_022369	0.35	0.012	stimulated by retinoic acid gene 6 homolog (mouse)
NM_015374	0.35	0.001	unc-84 homolog B (C. elegans)
CD678960	0.35	0.028	Lysyl oxidase
AF085933	0.35	0.009	Thyroid adenoma associated
NM_001878	0.35	0.008	cellular retinoic acid binding protein 2
BX094348	0.35	0.005	Neuropilin 1
BF765128	0.35	0.015	Related RAS viral (r-ras) oncogene homolog
AA340011	0.35	0.028	Collagen, type VIII, alpha 1
NM_001814	0.35	0.035	cathepsin C
AA568238	0.35	0.0001	Arylsulfatase family, member J
NM_005429	0.35	0.022	vascular endothelial growth factor C
AK023401	0.35	0.023	Olfactory receptor, family 9, subfamily G, member 1
NM_016335	0.35	0.023	proline dehydrogenase (oxidase) 1
AK056073	0.35	0.005	Acyl-CoA synthetase bubblegum family member 2
NM_000920	0.35	0.012	pyruvate carboxylase
NM_000820	0.35	0.005	growth arrest-specific 6
NM_005434	0.35	0.010	mal, T-cell differentiation protein-like
NM_002895	0.35	0.008	retinoblastoma-like 1 (p107)
NM_138410	0.35	0.002	CKLF-like MARVEL transmembrane domain containing 7
NM_001889	0.35	0.004	crystallin, zeta (quinone reductase)
NM_021045	0.35	0.022	zinc finger protein 248
NM_024596	0.35	0.019	microcephaly, primary autosomal recessive 1
CB266574	0.35	0.006	AHNAK nucleoprotein (desmoyokin)
NM_004666	0.35	0.002	vanin 1
R51210	0.35	0.013	Transmembrane protein 53
BF983628	0.35	0.021	G protein-coupled receptor 126
AK024580	0.34	0.047	Neuropilin 1
NM_005560	0.34	0.005	laminin, alpha 5
NM_020210	0.34	0.028	sema domain, immunoglobulin domain (Ig)
NM_001992	0.34	0.019	coagulation factor II (thrombin) receptor
NM_015286	0.34	0.016	desmuslin
CB157759	0.34	0.006	Major histocompatibility complex, class II, DR alpha
NM_005225	0.34	0.001	E2F transcription factor 1
NM_004233	0.34	0.030	CD83 molecule
AA486226	0.34	0.003	Transforming growth factor, beta-induced, 68kDa
AK022346	0.34	0.008	C-myc binding protein
NM_024094	0.34	0.033	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
BG539635	0.34	0.003	ERBB receptor feedback inhibitor 1
BQ017747	0.34	0.001	TSC22 domain family, member 3
NM_001797	0.34	0.001	cadherin 11, type 2, OB-cadherin (osteoblast)
NM_003035	0.34	0.001	SCL/TAL1 interrupting locus
NM_004169	0.34	0.005	serine hydroxymethyltransferase 1 (soluble)
NM_031910	0.34	0.007	C1q and tumor necrosis factor related protein 6
NM_004508	0.34	0.006	isopentenyl-diphosphate delta isomerase 1
NM_000624	0.34	0.004	serpin peptidase inhibitor, clade A
D81992	0.34	0.002	Solute carrier family 16, member 10
NM_030641	0.34	0.029	apolipoprotein L, 6
NM_001033	0.34	0.027	ribonucleotide reductase M1 polypeptide
AA034451	0.34	0.026	Defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
NM_002106	0.34	0.017	H2A histone family, member Z
NM_018108	0.34	0.016	chromosome 14 open reading frame 130
NM_015873	0.34	0.004	villin-like
NM_014505	0.34	0.004	potassium large conductance calcium-activated channel
NM_003373	0.34	0.004	vinculin
NM_003202	0.34	0.036	transcription factor 7 (T-cell specific, HMG-box)
NM_032336	0.34	0.049	GINS complex subunit 4 (Sld5 homolog)
AI492245	0.34	0.049	Myosin phosphatase-Rho interacting protein
NM_001847	0.34	0.005	collagen, type IV, alpha 6
NM_014288	0.34	0.003	integrin beta 3 binding protein (beta3-endonexin)
NM_005245	0.34	0.042	FAT tumor suppressor homolog 1 (Drosophila)
BC038450	0.33	0.048	G protein-coupled receptor 4
AK098333	0.33	0.018	Ribosomal protein S6 kinase, 70kDa, polypeptide 1
NM_174936	0.33	0.0001	proprotein convertase subtilisin/kexin type 9
NM_032108	0.33	0.016	sema domain, transmembrane domain (TM), and cytoplasmic domain, 6B
NM_005496	0.33	0.007	structural maintenance of chromosomes 4
AK097266	0.33	0.013	apolipoprotein L, 6
AA357711	0.33	0.011	Ribosomal protein L26
NM_032015	0.33	0.010	ring finger protein 26
NM_033274	0.33	0.029	ADAM metallopeptidase domain 19 (meltrin beta)
NM_030806	0.33	0.004	chromosome 1 open reading frame 21
NM_152322	0.33	0.006	BTB (POZ) domain containing 11
AI188149	0.33	0.024	Phosphate cytidylyltransferase 1, choline, beta
CA407226	0.33	0.005	Regulatory factor X-associated ankyrin-containing protein
AI460002	0.33	0.015	Brain and reproductive organ-expressed (TNFRSF1A modulator)
NM_002466	0.33	0.019	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
NM_007173	0.33	0.005	protease, serine, 23
AK093801	0.33	0.016	CDNA FLJ36482 fis, clone THYMU2017526
NM_014505	0.33	0.035	potassium large conductance calcium-activated channel, subfamily M, beta member 4
AV693902	0.33	0.045	RAB5C, member RAS oncogene family
AK127730	0.33	0.020	DKFZP434A062 protein
AF070538	0.33	0.023	Melanoma antigen family A, 4
AI792515	0.33	0.019	WW domain containing oxidoreductase
NM_017689	0.33	0.004	carbonic dehydratase; Homo sapiens carbonic anhydrase XII
NM_005226	0.33	0.005	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3
NM_003049	0.33	0.042	solute carrier family 10 (sodium/bile acid cotransporter family), member 1
BF674022	0.33	0.022	Vav 2 oncogene
NM_145018	0.33	0.007	hypothetical protein FLJ25416
BU754480	0.32	0.002	Collagen, type IV, alpha 2
AW951372	0.32	0.005	Protein kinase, AMP-activated, alpha 2 catalytic subunit
NM_014262	0.32	0.007	leprecan-like 2
NM_015895	0.32	0.035	geminin, DNA replication inhibitor
AL109780	0.32	0.0005	V-ral simian leukemia viral oncogene homolog A (ras related)
NM_024505	0.32	0.022	NADPH oxidase, EF-hand calcium binding domain 5
NM_002608	0.32	0.003	platelet-derived growth factor beta polypeptide
NM_002275	0.32	0.029	keratin 15
CA428365	0.32	0.005	Short coiled-coil protein
NM_014727	0.32	0.038	myeloid/lymphoid or mixed-lineage leukemia 4
BM987971	0.32	0.022	Desmin
NM_019013	0.32	0.002	family with sequence similarity 64, member A
AL359559	0.32	0.002	alkylglycerone phosphate synthase
AW853157	0.32	0.010	BRI3 binding protein
NM_002514	0.32	0.018	nephroblastoma overexpressed gene
NM_015161	0.32	0.028	ADP-ribosylation factor-like 6 interacting protein
AI971014	0.32	0.003	Mitogen-activated protein kinase kinase kinase 14
AK025317	0.32	0.008	C-myc binding protein
NM_001978	0.32	0.004	erythrocyte membrane protein band 4.9 (dematin)
NM_032844	0.32	0.029	microtubule associated serine/threonine kinase-like
NM_021951	0.32	0.006	doublesex and mab-3 related transcription factor 1
BG536503	0.32	0.0004	Syntrophin, beta 2 (dystrophin-associated protein A1)
NM_000465	0.32	0.003	BRCA1 associated RING domain 1
NM_031289	0.32	0.015	germ cell associated 1
NM_013281	0.32	0.032	fibronectin leucine rich transmembrane protein 3
NM_004111	0.32	0.013	flap structure-specific endonuclease 1
BX093541	0.32	0.022	SGT1, suppressor of G2 allele of SKP1 like 1 (S. cerevisiae)
NM_016143	0.31	0.003	NSFL1 (p97) cofactor (p47)
NM_014736	0.31	0.034	KIAA0101
NM_018043	0.31	0.017	transmembrane protein 16A
AW022267	0.31	0.003	Centrosomal protein 192kDa
BI823152	0.31	0.002	La ribonucleoprotein domain family, member 2
NM_021616	0.31	0.001	tripartite motif-containing 34
NM_006208	0.31	0.004	ectonucleotide pyrophosphatase/phosphodiesterase 1
BF516447	0.31	0.003	Chromosome 19 open reading frame 43
NM_001935	0.31	0.007	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)
AL080280	0.31	0.030	Maternally expressed 3
NM_018706	0.31	0.0002	dehydrogenase E1 and transketolase domain containing 1
BU537064	0.31	0.011	Transmembrane protein 48
NM_030920	0.31	0.023	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
Z28952	0.31	0.010	POT1 protection of telomeres 1 homolog (S. pombe)
NM_014321	0.31	0.008	origin recognition complex, subunit 6 like (yeast)
BC042876	0.31	0.024	TIMP metallopeptidase inhibitor 3
NM_032117	0.31	0.002	meiotic nuclear divisions 1 homolog (S. cerevisiae)
NM_001649	0.31	0.005	shroom family member 2
AI470053	0.31	0.008	Brain and reproductive organ-expressed (TNFRSF1A modulator)
BM991890	0.31	0.010	BH-protocadherin (brain-heart)
BX107752	0.31	0.003	Collagen, type IV, alpha 2
NM_014573	0.31	0.007	transmembrane protein 97
CB053681	0.31	0.008	Senataxin
AK021894	0.31	0.004	Glycophorin B (MNS blood group)
NM_015319	0.31	0.005	tensin like C1 domain containing phosphatase (tensin 2)
NM_000107	0.30	0.003	damage-specific DNA binding protein 2, 48kDa
NM_005983	0.30	0.050	S-phase kinase-associated protein 2 (p45)
BX415309	0.30	0.034	Splicing factor, arginine/serine-rich 11
AA095442	0.30	0.007	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
NM_006892	0.30	0.006	DNA (cytosine-5-)-methyltransferase 3 beta
NM_133334	0.30	0.001	Wolf-Hirschhorn syndrome candidate 1
AI240702	0.30	0.000	Fanconi anemia, complementation group A
NM_024861	0.30	0.011	hypothetical protein FLJ22671
NM_145061	0.30	0.002	chromosome 13 open reading frame 3
NM_005329	0.30	0.002	hyaluronan synthase 3
NM_005130	0.30	0.026	fibroblast growth factor binding protein 1
AF131806	0.30	0.006	Regulator of G-protein signalling 3
NM_001827	0.30	0.019	CDC28 protein kinase regulatory subunit 2
AA150617	0.30	0.048	Fraser syndrome 1
NM_003016	0.30	0.006	splicing factor, arginine/serine-rich 2
NM_017771	0.30	0.003	PX domain containing serine/threonine kinase
NM_003347	0.30	0.0003	ubiquitin-conjugating enzyme E2L 3
NM_031300	0.30	0.0004	MAX dimerization protein 3
BM701989	0.30	0.011	Neuropilin 2
AK001846	0.30	0.001	Heterogeneous nuclear ribonucleoprotein R
NM_018204	0.30	0.001	cytoskeleton associated protein 2
NM_005063	0.30	0.001	stearoyl-CoA desaturase (delta-9-desaturase)
NM_018420	0.30	0.004	solute carrier family 22 (organic cation transporter), member 15
AW406878	0.30	0.010	Nephronophthisis 4
BQ016799	0.30	0.005	Neuropilin 1
BX094063	0.30	0.007	Thioredoxin interacting protein
BM171931	0.30	0.008	Yip1 domain family, member 3
BM684348	0.30	0.039	5.5 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells
NM_014815	0.30	0.002	thyroid hormone receptor associated protein 4
NM_005491	0.30	0.008	chromosome X open reading frame 6
AK024851	0.30	0.035	Transcriptional regulating factor 1
NM_001552	0.30	0.002	insulin-like growth factor binding protein 4
NM_030814	0.30	0.006	chromosome 9 open reading frame 45
NM_016381	0.29	0.001	three prime repair exonuclease 1
NM_004787	0.29	0.003	slit homolog 2 (Drosophila)
BF765033	0.29	0.041	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein)
NM_005418	0.29	0.027	suppression of tumorigenicity 5
NM_001360	0.29	0.003	7-dehydrocholesterol reductase
NM_031908	0.29	0.012	C1q and tumor necrosis factor related protein 2
NM_012244	0.29	0.001	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
AA437074	0.29	0.001	Chromosome 20 open reading frame 175
NM_000331	0.29	0.003	serum amyloid A1
AW062561	0.29	0.027	RAP1 interacting factor homolog (yeast)
BU534182	0.29	0.001	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
NM_003258	0.29	0.001	thymidine kinase 1, soluble
NM_024577	0.29	0.019	SH3 domain and tetratricopeptide repeats 2
BG570265	0.29	0.013	Ral GEF with PH domain and SH3 binding motif 2
NM_020248	0.29	0.003	catenin, beta interacting protein 1
NM_006876	0.29	0.026	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1
T73894	0.29	0.039	Prefoldin subunit 1
NM_014919	0.29	0.027	Wolf-Hirschhorn syndrome candidate 1
NM_004462	0.29	0.002	farnesyl-diphosphate farnesyltransferase 1
NM_153034	0.29	0.007	zinc finger protein 488
NM_198565	0.29	0.002	leucine rich repeat containing 33
NM_139318	0.29	0.003	potassium voltage-gated channel, subfamily H (eag-related), member 5
CB067690	0.29	0.003	Hypothetical protein FLJ32745
NM_153289	0.29	0.034	defensin, beta 119
AF130107	0.29	0.003	Zinc finger protein 365
AA972506	0.29	0.019	Lipase-like, ab-hydrolase domain containing 3
BF589845	0.29	0.049	Transcribed locus
NM_004096	0.29	0.022	eukaryotic translation initiation factor 4E binding protein 2
AA947258	0.29	0.014	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
NM_022109	0.29	0.009	solute carrier family 44, member 1
AK123319	0.29	0.017	Neuropilin (NRP) and tolloid (TLL)-like 1
BE439409	0.29	0.003	MAS-related GPR, member X3
NM_005563	0.29	0.007	stathmin 1/oncoprotein 18
NM_006328	0.29	0.004	RNA binding motif protein 14
NM_025108	0.29	0.001	chromosome 16 open reading frame 59
NM_003739	0.29	0.008	aldo-keto reductase family 1, member C3
BX538051	0.29	0.001	Leucine zipper transcription regulator 2
AF070641	0.29	0.001	ets variant gene 1
NM_013339	0.29	0.003	asparagine-linked glycosylation 6 homolog
NM_002691	0.28	0.050	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
NM_005431	0.28	0.006	X-ray repair complementing defective repair in Chinese hamster cells 2
BX393780	0.28	0.025	Fructose-1,6-bisphosphatase 2
AL138377	0.28	0.007	S-adenosylhomocysteine hydrolase-like 1
BU078105	0.28	0.024	Hypothetical gene supported by AK124699
NM_138419	0.28	0.0001	family with sequence similarity 54, member A
NM_005483	0.28	0.016	chromatin assembly factor 1, subunit A (p150)
AY039243	0.28	0.002	chromosome 21 open reading frame 58
AI628357	0.28	0.033	C-myc binding protein
NM_013296	0.28	0.021	G-protein signalling modulator 2 (AGS3-like, C. elegans)
NM_138484	0.28	0.026	shugoshin-like 1 (S. pombe)
NM_014002	0.28	0.013	inhibitor of kappa light polypeptide gene enhancer in B-cells
BM543270	0.28	0.005	Polymerase (DNA directed), alpha 2 (70kD subunit)
AW983999	0.28	0.021	RAD52 homolog (S. cerevisiae)
T79178	0.28	0.008	Carbamoyl-phosphate synthetase 1, mitochondrial
BQ711501	0.28	0.013	C-myc binding protein
BG338543	0.28	0.012	Glial fibrillary acidic protein
NM_001798	0.28	0.008	cyclin-dependent kinase 2
BC040190	0.27	0.001	Alpha-kinase 3
NM_017979	0.27	0.025	unc-45 homolog A (C. elegans)
NM_003594	0.27	0.005	transcription termination factor, RNA polymerase II
NM_005808	0.27	0.002	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A)
NM_001236	0.27	0.043	carbonyl reductase 3
NM_000057	0.27	0.005	Bloom syndrome
BX109841	0.27	0.006	Sushi-repeat-containing protein, X-linked 2
AI765050	0.27	0.011	Chromosome 20 open reading frame 72
AI805522	0.27	0.001	Integral membrane protein 2A
NM_001283	0.27	0.001	adaptor-related protein complex 1, sigma 1 subunit
NM_031942	0.27	0.002	cell division cycle associated 7
BX338026	0.27	0.031	Ankyrin repeat domain 58
NM_005654	0.27	0.006	nuclear receptor subfamily 2, group F, member 1
NM_014176	0.27	0.006	ubiquitin-conjugating enzyme E2T (putative)
NM_024945	0.27	0.001	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)
NM_024032	0.27	0.006	chromosome 17 open reading frame 53
NM_000906	0.27	0.002	natriuretic peptide receptor A/guanylate cyclase A
NM_013277	0.27	0.005	Rac GTPase activating protein 1
NM_003276	0.27	0.049	thymopoietin
NM_002482	0.27	0.013	nuclear autoantigenic sperm protein (histone-binding)
NM_003173	0.26	0.0004	suppressor of variegation 3-9 homolog 1 (Drosophila)
AK091779	0.26	0.016	Spondin 2, extracellular matrix protein
NM_020546	0.26	0.015	adenylate cyclase 2 (brain)
NM_001332	0.26	0.007	catenin (cadherin-associated protein), delta 2
NM_019018	0.26	0.0005	family with sequence similarity 105, member A
AK091337	0.26	0.002	Myosin phosphatase-Rho interacting protein
NM_001777	0.26	0.006	CD47 molecule
