Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
202367_at	CUTL1	0.00994	cut-like 1, CCAAT displacement protein (Drosophila)	negative regulation of transcription from Pol II promoter	transcription factor activity	nucleus	 	 	0.27	0.69	0.54	-0.49	-0.81	-0.19
202459_s_at	LPIN2	0.027553	lipin 2	 	 	nucleus	 	 	0.13	0.42	0.21	-0.19	-0.49	-0.08
202495_at	TBCC	0.033322	tubulin-specific chaperone c	post-chaperonin tubulin folding pathway	co-chaperonin activity	cytosol	 	 	0.51	0.56	-0.04	-0.38	-0.15	-0.5
202563_at	C14orf1	0.001049	chromosome 14 open reading frame 1	 	 	integral to membrane	 	 	0.52	0.96	0.96	-0.62	-0.79	-1.04
202630_at	APPBP2	0.036326	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	intracellular protein transport	microtubule motor activity	cytoplasm	 	 	0.77	-0.1	0.69	-0.49	-0.64	-0.27
202650_s_at	KIAA0195	0.034111	KIAA0195 gene product	 	ATP binding	membrane	 	 	1.23	0.13	0.66	-0.19	-1.19	-0.66
202702_at	TRIM26	0.008743	tripartite motif-containing 26	 	DNA binding	intracellular	 	 	0.99	0.72	0.18	-0.67	-0.83	-0.43
202772_at	HMGCL	0.033995	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	energy pathways	hydroxymethylglutaryl-CoA lyase activity	mitochondrial matrix	Synthesis and degradation of ketone bodies	GENMAPP/KEGG	0.37	0.6	0.3	-0.69	0.08	-0.63
202792_s_at	KIAA0685	0.037675	KIAA0685	 	 	 	 	 	1.44	0.24	0.69	-0.38	-0.43	-1.52
202809_s_at	FLJ21919	0.001525	hypothetical protein FLJ21919	 	 	 	 	 	0.41	0.69	0.49	-0.38	-0.46	-0.75
202850_at	ABCD3	0.005214	ATP-binding cassette, sub-family D (ALD), member 3	transport	nucleotide binding	integral to peroxisomal membrane	 	 	0.54	0.42	0.13	-0.29	-0.46	-0.34
202956_at	ARFGEF1	0.011238	brefeldin A-inhibited guanine nucleotide-exchange protein 1	exocytosis	guanyl-nucleotide exchange factor activity	 	 	 	0.13	0.41	0.66	-0.22	-0.54	-0.44
203026_at	ZBTB5	0.00626	zinc finger and BTB domain containing 5	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.46	0.14	0.48	-0.27	-0.28	-0.52
203073_at	COG2	0.035422	component of oligomeric golgi complex 2	protein amino acid glycosylation	protein transporter activity	Golgi membrane	 	 	0.59	0.39	0.2	0.04	-0.48	-0.72
203074_at	ANXA8	0.004574	annexin A8	 	annexin;calcium ion binding;7.9e-32	 	 	 	0.24	0.58	0.52	-0.38	-0.28	-0.67
203173_s_at	MGC16824	0.001994	esophageal cancer associated protein	 	 	 	 	 	0.67	0.53	0.28	-0.58	-0.34	-0.57
203263_s_at	ARHGEF9	0.027045	Cdc42 guanine nucleotide exchange factor (GEF) 9	 	 	 	 	 	0.05	0.33	0.61	-0.52	-0.14	-0.34
203325_s_at	COL5A1	0.032238	collagen, type V, alpha 1	cell adhesion	extracellular matrix structural constituent	collagen	 	 	1.6	0.1	1.33	-1.52	-1.38	-0.16
203408_s_at	SATB1	0.030012	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	establishment and/or maintenance of chromatin architecture	double-stranded DNA binding	nucleus	 	 	1.06	-0.1	1.33	-0.73	-1.17	-0.53
203490_at	ELF4	0.039989	E74-like factor 4 (ets domain transcription factor)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.26	0.13	0.57	-0.29	-0.04	-0.62
203627_at	IGF1R	0.041798	insulin-like growth factor 1 receptor	regulation of cell cycle	receptor activity	integral to membrane	 	 	0	0.29	0.95	-0.51	-0.31	-0.48
203648_at	KIAA0218	0.022093	KIAA0218 gene product	 	nuclease activity	 	 	 	0.33	0.13	0.15	-0.34	-0.23	-0.03
203657_s_at	CTSF	0.0073	cathepsin F	proteolysis and peptidolysis	cysteine-type endopeptidase activity	lysosome	 	 	0.4	0.75	1.33	-1.07	-1.01	-0.46
203687_at	CX3CL1	0.000269	chemokine (C-X3-C motif) ligand 1	chemotaxis	protein binding	extracellular space	 	 	0.8	1.18	1.27	-1.27	-0.91	-1.09
203693_s_at	E2F3	0.04488	E2F transcription factor 3	 	E2F_TDP;transcription factor activity;2.5e-51	 	Cell_cycle	GENMAPP/KEGG	0.68	0.34	0.74	-0.94	0.19	-0.93
203758_at	CTSO	0.036061	cathepsin O	proteolysis and peptidolysis	cysteine-type endopeptidase activity	 	 	 	0.78	0.53	0.35	0.08	-0.63	-1.05
203778_at	MANBA	0.048599	mannosidase, beta A, lysosomal	carbohydrate metabolism	hydrolase activity, hydrolyzing O-glycosyl compounds	lysosome	N-Glycan degradation	GENMAPP/KEGG	1.44	2.1	-0.48	-1.59	-0.94	-1.12
203781_at	MRPL33	0.031176	mitochondrial ribosomal protein L33	protein biosynthesis	structural constituent of ribosome	intracellular	 	 	0.1	1.15	1.1	-0.47	-0.41	-1.44
203830_at	NJMU-R1	0.033802	protein kinase Njmu-R1	spermatogenesis	 	 	 	 	1.37	-0.01	0.57	-0.94	-0.6	-0.54
203831_at	KIAA1002	0.016832	KIAA1002 protein	 	 	 	 	 	0.79	0.18	1.57	-0.54	-1.15	-1.02
203853_s_at	GAB2	0.006149	GRB2-associated binding protein 2	 	 	 	 	 	0.45	0.53	0.52	-0.22	-0.41	-0.85
204021_s_at	PURA	0.028982	purine-rich element binding protein A	DNA replication initiation	single-stranded DNA binding	nucleus	Circadian_Exercise	GENMAPP/KEGG	0.34	0.19	0.48	-0.28	-0.67	-0.04
204157_s_at	KIAA0999	0.011701	KIAA0999 protein	protein amino acid phosphorylation	protein serine/threonine kinase activity	 	 	 	0.13	0.31	0.64	-0.4	-0.24	-0.45
204225_at	HDAC4	0.006004	histone deacetylase 4	regulation of transcription, DNA-dependent	histone deacetylase activity	histone deacetylase complex	Cell_cycle	GENMAPP/KEGG	0.18	0.46	0.55	-0.56	-0.22	-0.4
204251_s_at	KIAA1052	0.039609	KIAA1052 protein	 	 	 	 	 	0.21	0.02	0.71	-0.26	-0.42	-0.29
204346_s_at	RASSF1	0.00014	Ras association (RalGDS/AF-6) domain family 1	neuropeptide signaling pathway	 	 	 	 	0.92	0.61	0.75	-0.65	-0.79	-0.84
204578_at	KIAA0377	0.014917	KIAA0377 gene product	 	acid phosphatase activity	 	 	 	0.76	0.27	0.61	-0.92	-0.16	-0.52
204587_at	SLC25A14	0.014841	solute carrier family 25 (mitochondrial carrier, brain), member 14	transport	carrier activity	mitochondrion	Electron_Transport_Chain	GENMAPP/KEGG	1.18	0.8	0.93	-0.27	-1.73	-0.65
204600_at	EPHB3	0.040854	EphB3	protein amino acid phosphorylation	protein-tyrosine kinase activity	integral to plasma membrane	 	 	0.33	0.62	1.43	0	-1.41	-0.94
204731_at	TGFBR3	0.041396	transforming growth factor, beta receptor III (betaglycan, 300kDa)	signal transduction	receptor activity	integral to membrane	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	0.13	0.35	1.51	-0.39	-0.73	-1.05
204785_x_at	IFNAR2	0.016657	interferon (alpha, beta and omega) receptor 2	cell surface receptor linked signal transduction	receptor activity	extracellular	 	 	0.22	0.1	0.41	-0.31	-0.07	-0.35
204816_s_at	DHX34	0.007152	DEAH (Asp-Glu-Ala-His) box polypeptide 34	 	RNA binding	 	 	 	1.46	0.73	0.38	-1.14	-0.85	-0.68
204874_x_at	BAIAP3	0.030191	BAI1-associated protein 3	neurotransmitter secretion	protein C-terminus binding	 	 	 	-0.08	0.72	1.36	-0.86	-0.65	-0.65
204915_s_at	SOX11	0.027074	SRY (sex determining region Y)-box 11	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.71	1.17	0.65	0.1	-1.13	-1.35
204928_s_at	SLC10A3	0.036066	solute carrier family 10 (sodium/bile acid cotransporter family), member 3	transport	bile acid:sodium symporter activity	integral to membrane	 	 	-0.06	0.84	0.64	-0.75	-0.45	-0.25
205054_at	NEB	0.011813	nebulin	somatic muscle development	actin binding	striated muscle thin filament	 	 	0.68	0.22	0.9	-0.96	-0.32	-0.53
205082_s_at	AOX1	0.0051	aldehyde oxidase 1	electron transport	aldehyde oxidase activity	 	Valine, leucine and isoleucine degradation	GENMAPP/KEGG	0.34	0.86	0.38	-0.35	-0.62	-0.62
205142_x_at	ABCD1	0.036004	ATP-binding cassette, sub-family D (ALD), member 1	transport	ATP-binding cassette (ABC) transporter activity	peroxisome	 	 	0.51	-0.03	0.55	-0.11	-0.51	-0.42
205213_at	CENTB1	0.008064	centaurin, beta 1	intracellular signaling cascade	DNA binding	nucleus	 	 	0.99	0.92	0.15	-0.75	-0.54	-0.82
205223_at	DEPDC5	0.032926	DEP domain containing 5	intracellular signaling cascade	 	 	 	 	1.2	1.07	-0.19	-0.84	-0.81	-0.59
205233_s_at	PAFAH2	0.003595	platelet-activating factor acetylhydrolase 2, 40kDa	lipid catabolism	1-alkyl-2-acetylglycerophosphocholine esterase activity	soluble fraction	Glycerolipid metabolism	GENMAPP/KEGG	0.63	1.49	0.97	-1.29	-1.23	-0.59
205254_x_at	TCF7	0.021029	transcription factor 7 (T-cell specific, HMG-box)	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.59	1.06	1.01	-1.29	-1.26	0.05
205319_at	PSCA	0.0033	prostate stem cell antigen	 	 	plasma membrane	 	 	0.74	1.38	0.95	-1.08	-0.53	-1.43
205416_s_at	MJD	0.015411	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)	nucleotide-excision repair	 	nucleoplasm	 	 	0.38	0.57	0.97	-0.72	-0.14	-1.02
205444_at	ATP2A1	0.006893	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	transport	magnesium ion binding	smooth endoplasmic reticulum	 	 	0.2	0.6	0.94	-0.47	-0.76	-0.55
205510_s_at	FLJ10038	0.036292	hypothetical protein FLJ10038	 	 	 	 	 	-0.23	1.17	1.57	-1.2	-0.91	-0.66
205552_s_at	OAS1	0.049992	2,5-oligoadenylate synthetase 1, 40/46kDa	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	RNA binding	cytoplasm	 	 	0.88	0.03	0.65	-0.8	-0.77	0.03
205597_at	C6orf29	0.015393	chromosome 6 open reading frame 29	 	 	 	 	 	0.68	0.18	1.64	-0.85	-0.93	-0.97
205657_at	HAAO	0.025685	3-hydroxyanthranilate 3,4-dioxygenase	 	3-hydroxyanthranilate 3,4-dioxygenase activity	 	Tryptophan metabolism	GENMAPP/KEGG	0.53	0.57	0.31	-0.09	-0.95	-0.34
205747_at	CBLN1	0.039127	cerebellin 1 precursor	synaptic transmission	 	membrane	 	 	0.26	0.27	1.36	-0.93	-0.22	-0.85
205762_s_at	PP35	0.032519	protein similar to E.coli yhdg and R. capsulatus nifR3	 	 	 	 	 	1.47	0.59	0.45	-1.33	-0.02	-1.12
205818_at	DBC1	0.027582	deleted in bladder cancer 1	cell cycle	protein binding	 	 	 	-0.12	2.26	1.02	-1.22	-1.23	-1.39
205832_at	CPA4	0.029122	carboxypeptidase A4	proteolysis and peptidolysis	carboxypeptidase activity	 	 	 	-0.09	0.82	0.77	-0.39	-0.51	-0.64
205906_at	FOXJ1	0.041063	forkhead box J1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.85	0.34	1.9	-1.66	-1.45	0
205999_x_at	CYP3A4	0.022466	cytochrome P450, family 3, subfamily A, polypeptide 4	electron transport	monooxygenase activity	membrane fraction	Fatty acid metabolism	GENMAPP/KEGG	1.39	0.79	0.74	-1.27	0.03	-1.51
206142_at	ZNF135	0.040887	zinc finger protein 135 (clone pHZ-17)	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	0.13	0.77	1.38	-1.47	-0.33	-0.46
206192_at	CDSN	0.047448	corneodesmosin	keratinocyte differentiation	 	desmosome	 	 	0.07	0.59	0.86	-1.02	-0.34	-0.14
206211_at	SELE	0.001036	selectin E (endothelial adhesion molecule 1)	inflammatory response	protein binding	plasma membrane	 	 	1.03	0.57	1.38	-1.06	-0.99	-0.99
206254_at	EGF	0.000889	epidermal growth factor (beta-urogastrone)	activation of MAPK	epidermal growth factor receptor activating ligand activity	extracellular	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	0.83	0.4	0.83	-0.58	-0.79	-0.72
206299_at	TED	0.016339	TED protein	development	transmembrane receptor activity	integral to membrane	 	 	0.49	0.7	1.79	-1.22	-0.43	-1.46
206301_at	TEC	0.014182	tec protein tyrosine kinase	protein amino acid phosphorylation	non-membrane spanning protein tyrosine kinase activity	 	 	 	0.86	0.14	0.68	-0.89	-0.42	-0.38
206324_s_at	DAPK2	0.032002	death-associated protein kinase 2	protein amino acid phosphorylation	protein serine/threonine kinase activity	cytoplasm	 	 	0.81	-0.02	1.78	-0.53	-1.12	-1.21
206335_at	GALNS	0.010547	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	metabolism	N-acetylgalactosamine-4-sulfatase activity	lysosome	Glycosaminoglycan degradation	GENMAPP/KEGG	1.26	0.5	0.38	-0.89	-0.41	-0.9
206450_at	DBH	0.02133	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	synaptic transmission	dopamine beta-monooxygenase activity	extracellular	Tyrosine metabolism	GENMAPP/KEGG	0.61	0.38	0.02	-0.46	-0.34	-0.22
206567_s_at	C20orf104	0.002056	chromosome 20 open reading frame 104	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.69	0.31	0.77	-0.44	-0.73	-0.61
206694_at	PNLIPRP1	0.025304	pancreatic lipase-related protein 1	lipid metabolism	catalytic activity	extracellular	Glycerolipid metabolism	GENMAPP/KEGG	1.2	1.42	-0.1	-1.21	-0.81	-0.69
206779_s_at	ASMT	0.010225	acetylserotonin O-methyltransferase	protein biosynthesis	neuropeptide hormone activity	 	Tryptophan metabolism	GENMAPP/KEGG	0.91	0.32	1.49	-1.31	-0.95	-0.55
206797_at	NAT2	0.00705	N-acetyltransferase 2 (arylamine N-acetyltransferase)	metabolism	arylamine N-acetyltransferase activity	 	 	 	0.48	0.35	0.38	-0.39	-0.14	-0.67
206811_at	ADCY8	0.000751	adenylate cyclase 8 (brain)	cAMP biosynthesis	magnesium ion binding	membrane fraction	Purine metabolism	GENMAPP/KEGG	1.01	0.83	0.54	-0.99	-0.77	-0.63
206842_at	KCND1	0.035044	potassium voltage-gated channel, Shal-related subfamily, member 1	cation transport	voltage-gated potassium channel activity	voltage-gated potassium channel complex	 	 	0.47	0.07	1.95	-0.82	-1.03	-1.11
206888_s_at	ARHGDIG	0.020311	Rho GDP dissociation inhibitor (GDI) gamma	negative regulation of cell adhesion	Rho GDP-dissociation inhibitor activity	cytoplasmic vesicle	 	 	0.37	0.79	0.78	-1.23	-0.38	-0.24
206921_at	GLE1L	0.021797	GLE1 RNA export mediator-like (yeast)	 	 	 	 	 	0.99	0.6	0.67	-0.61	-1.41	-0.1
206963_s_at	NAT8	0.037579	N-acetyltransferase 8 (camello like)	response to drug	N-acetyltransferase activity	 	 	 	1.17	1.29	-0.05	-1.09	-1.21	-0.19
206980_s_at	FLT3LG	0.033487	fms-related tyrosine kinase 3 ligand	signal transduction	cytokine activity	soluble fraction	 	 	0.16	0.66	0.58	-0.95	-0.23	-0.19
207022_s_at	LDHC	0.013005	lactate dehydrogenase C	glycolysis	L-lactate dehydrogenase activity	 	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	1.34	0.33	0.75	-0.51	-1.29	-0.65
207028_at	MYCNOS	0.025972	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) opposite strand	development	 	 	 	 	0.62	0.43	-0.03	-0.44	-0.28	-0.32
207089_at	NRAP	0.015574	nebulin-related anchoring protein	 	actin binding	 	 	 	1.16	0.47	1.48	-1.5	-1.33	-0.2
207284_s_at	ASPH	0.001378	aspartate beta-hydroxylase	peptidyl-amino acid modification	peptide-aspartate beta-dioxygenase activity	integral to endoplasmic reticulum membrane	 	 	0.91	1.06	0.62	-1.2	-0.62	-0.75
207294_at	AGTR2	0.004052	angiotensin II receptor, type 2	apoptosis	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1.18	1.14	0.29	-1.04	-0.83	-0.83
207361_at	HBP1	0.044902	HMG-box transcription factor 1	regulation of transcription, DNA-dependent	DNA binding	 	 	 	1.04	-0.17	0.63	-0.53	-0.62	-0.45
207379_at	EDIL3	0.042363	EGF-like repeats and discoidin I-like domains 3	cell adhesion	integrin binding	 	 	 	1.78	-0.14	1.33	-1.26	-1.59	-0.32
207463_x_at	PRSS2	0.015067	protease, serine, 2 (trypsin 2)	proteolysis and peptidolysis	chymotrypsin activity	 	 	 	0.49	0.04	0.68	-0.51	-0.39	-0.32
207634_at	PDCD1	0.040987	programmed cell death 1	apoptosis	signal transducer activity	integral to membrane	 	 	0.42	0.22	1.5	-0.55	-0.38	-1.3
207671_s_at	VMD2	0.007404	vitelliform macular dystrophy (Best disease, bestrophin)	ion transport	ion channel activity	membrane fraction	 	 	0.61	0.44	0.38	-0.44	-0.79	-0.18
207673_at	NPHS1	0.004387	nephrosis 1, congenital, Finnish type (nephrin)	cell adhesion	protein binding	integral to plasma membrane	 	 	0.26	0.26	0.62	-0.4	-0.45	-0.29
207720_at	LOR	0.017361	loricrin	 	structural constituent of cytoskeleton	insoluble fraction	 	 	0.34	1.82	0.81	-1.41	-0.49	-1.26
207728_at	ATF7IP	0.000252	activating transcription factor 7 interacting protein	DNA methylation	protein binding	nucleus	 	 	0.96	1.25	1.52	-1.2	-1.07	-1.48
207780_at	CYLC2	0.039774	cylicin, basic protein of sperm head cytoskeleton 2	spermatogenesis	structural constituent of cytoskeleton	cytoskeleton	 	 	0.09	0.72	0.15	-0.33	-0.19	-0.46
207794_at	CCR2	0.036819	chemokine (C-C motif) receptor 2	chemotaxis	rhodopsin-like receptor activity	soluble fraction	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.1	0.28	0.02	-0.11	-0.08	-0.21
207801_s_at	RNF10	0.029543	ring finger protein 10	 	 	 	 	 	0.61	0.04	0.59	-0.7	-0.42	-0.13
207913_at	CYP2F1	0.008957	cytochrome P450, family 2, subfamily F, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	0.23	1.11	1.36	-0.63	-1.23	-0.93
207987_s_at	GNRH1	0.031467	gonadotropin-releasing hormone 1 (leutinizing-releasing hormone)	signal transduction	luteinizing hormone-releasing factor activity	extracellular	 	 	1.73	0	0.59	-0.86	-0.8	-0.98
208017_s_at	MCF2	0.027367	MCF.2 cell line derived transforming sequence	intracellular signaling cascade	guanyl-nucleotide exchange factor activity	membrane fraction	 	 	0.58	1.14	0.24	-0.23	-0.54	-1.19
208022_s_at	CDC14B	0.022881	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	protein amino acid dephosphorylation	protein serine/threonine phosphatase activity	nucleus	 	 	0.48	1.77	0.43	-0.45	-1.06	-1.37
208072_s_at	DGKD	0.049015	diacylglycerol kinase, delta 130kDa	immune response	diacylglycerol kinase activity	cytoplasm	Glycerolipid metabolism	GENMAPP/KEGG	0.66	0.69	0.23	-1	0.14	-0.66
208207_at	---	0.022698	 	 	 	 	 	 	1.12	1.51	-0.11	-0.86	-0.95	-0.95
208210_at	MAS1	0.044339	MAS1 oncogene	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.72	0.29	0.71	0.03	-0.46	-1.2
208369_s_at	GCDH	0.030229	glutaryl-Coenzyme A dehydrogenase	electron transport	glutaryl-CoA dehydrogenase activity	mitochondrion	Fatty acid metabolism	GENMAPP/KEGG	0.18	0.51	0.06	-0.29	-0.36	-0.11
208457_at	GABRD	0.028178	gamma-aminobutyric acid (GABA) A receptor, delta	ion transport	GABA-A receptor activity	integral to plasma membrane	 	 	0.17	0.12	0.35	-0.02	-0.24	-0.38
208465_at	GRM2	0.037553	glutamate receptor, metabotropic 2	G-protein coupled receptor protein signaling pathway	receptor activity	integral to plasma membrane	GPCRs_Class_C_Metabotropic_glutamate_pheromone	GENMAPP/KEGG	0.8	0.19	0.14	-0.14	-0.56	-0.46
208626_s_at	VAT1	0.009285	vesicle amine transport protein 1 homolog (T californica)	cell growth	DNA binding	nucleus	 	 	0.75	0.95	0.91	-1.13	-1.24	-0.12
208704_x_at	APLP2	0.033052	amyloid beta (A4) precursor-like protein 2	G-protein coupled receptor protein signaling pathway	DNA binding	nucleus	 	 	0.85	0.12	1.48	-1.13	-1.21	-0.16
208717_at	OXA1L	0.007325	oxidase (cytochrome c) assembly 1-like	60KD_IMP;signal transduction;7.2e-10	 	 	 	 	0.41	0.53	0.65	-0.75	-0.13	-0.68
209019_s_at	PINK1	0.045354	PTEN induced putative kinase 1	protein amino acid phosphorylation	protein serine/threonine kinase activity	 	 	 	0.63	1.01	0.12	-1.19	-0.18	-0.36
209035_at	MDK	0.047365	midkine (neurite growth-promoting factor 2)	regulation of cell cycle	cytokine activity	extracellular space	 	 	0.16	1.28	1.06	0.13	-1.22	-1.33
209070_s_at	RGS5	0.022395	regulator of G-protein signalling 5	signal transduction	signal transducer activity	 	 	 	1.39	1.76	-0.14	-1.02	-1.07	-1.29
209071_s_at	RGS5	0.034764	regulator of G-protein signalling 5	signal transduction	signal transducer activity	 	 	 	1.57	-0.14	1.02	-0.67	-1.29	-0.7
209216_at	JM5	0.046215	JM5 protein	 	 	 	 	 	0.94	-0.02	0.38	-0.37	-0.7	-0.27
209353_s_at	SIN3B	0.020744	SIN3 homolog B, transcriptional regulator (yeast)	regulation of transcription, DNA-dependent	 	nucleus	 	 	-0.07	1.44	1.04	-0.91	-0.8	-0.91
209366_x_at	CYB5	0.039486	cytochrome b-5	 	 	 	 	 	0.8	-0.04	0.45	-0.51	-0.53	-0.19
209376_x_at	SFRS2IP	0.006929	splicing factor, arginine/serine-rich 2, interacting protein	 	 	 	Apoptosis	GENMAPP/KEGG	0.66	0.51	0.29	-0.31	-0.34	-0.79
209435_s_at	ARHGEF2	0.033574	rho/rac guanine nucleotide exchange factor (GEF) 2	cellular morphogenesis	Rho guanyl-nucleotide exchange factor activity	microtubule	 	 	0.94	0	1.26	-0.3	-0.71	-1.25
209519_at	NCBP1	0.013862	nuclear cap binding protein subunit 1, 80kDa	mRNA processing	RNA cap binding	nucleoplasm	 	 	0.34	1.27	0.86	-0.66	-0.43	-1.37
209554_at	CD36	0.008679	CD36 antigen (collagen type I receptor, thrombospondin receptor)	fatty acid metabolism	receptor activity	membrane fraction	 	 	0.76	0.86	0.46	-0.52	-0.32	-1.17
209650_s_at	C22orf4	0.024035	chromosome 22 open reading frame 4	 	 	 	 	 	0.82	1.08	0.04	-1.05	-0.5	-0.43
209734_at	HEM1	0.017797	hematopoietic protein 1	 	 	membrane fraction	 	 	0.92	1.32	0.06	-1.07	-0.52	-0.82
209742_s_at	MYL2	0.007909	myosin, light polypeptide 2, regulatory, cardiac, slow	 	calcium ion binding	 	 	 	1.55	0.5	1.26	-0.56	-1.07	-1.67
209770_at	BTN3A1	0.028572	butyrophilin, subfamily 3, member A1	lipid metabolism	 	 	 	 	0.41	0.41	1.07	-1.08	-0.05	-0.74
209828_s_at	IL16	0.032191	interleukin 16 (lymphocyte chemoattractant factor)	chemotaxis	cytokine activity	extracellular space	 	 	0.26	0.24	0.2	-0.02	-0.51	-0.16
209907_s_at	ITSN2	0.027117	intersectin 2	 	efhand;calcium ion binding;0.00048	 	 	 	1.23	0.5	0.19	-1.09	-0.46	-0.4
209915_s_at	NRXN1	0.039446	neurexin 1	cell adhesion	protein binding	integral to membrane	 	 	1.52	-0.26	1	-0.87	-0.9	-0.76
209985_s_at	ASCL1	0.00563	achaete-scute complex-like 1 (Drosophila)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus	 	 	0.96	0.89	1.23	-1.56	-0.34	-1.02
210022_at	NSPC1	0.0375	likely ortholog of mouse nervous system polycomb 1	 	 	 	 	 	-0.15	1.35	1.01	-0.73	-0.46	-1.16
210085_s_at	ANXA9	0.049019	annexin A9	actin filament organization	calcium ion binding	nicotinic acetylcholine-gated receptor-channel complex	 	 	1.95	0.2	0.13	-0.84	-0.84	-1.1
210124_x_at	SEMA4F	0.044664	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	cell-cell signaling	receptor activity	membrane fraction	 	 	0.39	0.37	0.99	0.01	-1.17	-0.53
210239_at	IRX5	0.003328	iroquois homeobox protein 5	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.71	0.85	0.96	-1.09	-0.31	-1.06
210343_s_at	SLC22A6	0.00237	solute carrier family 22 (organic anion transporter), member 6	ion transport	organic anion transporter activity	membrane fraction	 	 	0.53	1.4	1.02	-1.27	-0.8	-0.94
210346_s_at	CLK1	0.041654	CDC-like kinase 1	regulation of cell cycle	protein serine/threonine kinase activity	nucleus	Phosphatidylinositol signaling system	GENMAPP/KEGG	0.72	0.61	0.24	-0.18	-0.18	-1.13
210367_s_at	PTGES	0.022933	prostaglandin E synthase	 	 	 	Eicosanoid_Synthesis	GENMAPP/KEGG	0.76	0.61	0.29	-0.75	0	-0.87
210381_s_at	CCKBR	0.044387	cholecystokinin B receptor	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.36	0.46	0.47	0.13	-0.52	-0.86
210394_x_at	SSX4	0.015767	synovial sarcoma, X breakpoint 4	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular	 	 	0.63	0.31	0.24	-0.12	-0.64	-0.41
210445_at	FABP6	0.049509	fatty acid binding protein 6, ileal (gastrotropin)	lipid metabolism	transporter activity	cytoplasm	 	 	0.45	0.13	0.13	-0.31	-0.41	0.02
210456_at	PCYT1B	0.013065	phosphate cytidylyltransferase 1, choline, beta isoform	phosphatidylcholine biosynthesis	choline-phosphate cytidylyltransferase activity	endoplasmic reticulum	 	 	0.05	1.64	1.61	-1.32	-0.94	-1.35
210521_s_at	FETUB	0.008598	fetuin B	 	cysteine protease inhibitor activity	extracellular	 	 	0.14	0.73	0.89	-0.65	-0.42	-0.71
210769_at	CNGB1	0.008665	cyclic nucleotide gated channel beta 1	ion transport	ion channel activity	intracellular cyclic nucleotide activated cation channel complex	 	 	0.9	0.38	1.87	-1.15	-0.91	-1.36
210827_s_at	ELF3	0.016472	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.33	0.67	1.83	-1.29	-0.64	-1.17
210913_at	CDH20	0.002037	cadherin 20, type 2	homophilic cell adhesion	calcium ion binding	integral to membrane	 	 	0.67	0.52	0.36	-0.36	-0.44	-0.74
211034_s_at	FLJ30092	0.049016	AF-1 specific protein phosphatase	ubiquitin cycle	ubiquitin-protein ligase activity	intracellular	 	 	-0.03	0.99	0.4	-0.39	-0.75	-0.26
211176_s_at	PAX4	0.006664	paired box gene 4	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	1.12	1.35	0.73	-1.42	-1.36	-0.3
