Gene	Fold Change	Gene Name
PELI1	-1.702447487	pellino homolog 1 (Drosophila)
CNNM2	-1.702943979	cyclin M2
TBC1D4	-1.70306667	TBC1 domain family, member 4
FBXL4	-1.703484829	F-box and leucine-rich repeat protein 4
LOC400236	-1.703712711	hypothetical LOC400236
CCDC53	-1.70380902	coiled-coil domain containing 53
AIG1	-1.703841165	androgen-induced 1
STX18	-1.705305763	syntaxin 18
PKP4	-1.705316824	plakophilin 4
LGR4	-1.706060637	leucine-rich repeat-containing G protein-coupled receptor 4
LOC92482	-1.70655128	LOC92482
C15orf15	-1.708160532	chromosome 15 open reading frame 15
MAPK12	-1.708448658	mitogen-activated protein kinase 12
NHSL1	-1.708842897	NHS-like 1
ENOSF1	-1.709892837	enolase superfamily member 1
CDS1	-1.709996179	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
HERPUD2	-1.710037175	HERPUD family member 2
MUC15	-1.710641268	mucin 15, cell surface associated
MED6	-1.710696062	mediator of RNA polymerase II transcription, subunit 6 homolog (S.
FCMD	-1.712122374	Fukuyama type congenital muscular dystrophy (fukutin)
AGBL2	-1.712994759	ATP/GTP binding protein-like 2
C10orf83	-1.715315918	chromosome 10 open reading frame 83
RGS10	-1.715411493	regulator of G-protein signalling 10
RANBP2	-1.717021207	RAN binding protein 2
PIK3R1	-1.717091852	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
ZNF509	-1.718626962	zinc finger protein 509
IGF2R	-1.719380922	insulin-like growth factor 2 receptor
FLJ31033	-1.720154664	hypothetical protein FLJ31033
RASL11B	-1.720296197	RAS-like, family 11, member B
SVH	-1.720341447	SVH
RGMA	-1.721523628	RGM domain family, member A
ASAH1	-1.722081433	N-acylsphingosine amidohydrolase (acid ceramidase) 1
ITGB5	-1.722277392	integrin, beta 5
MBL2	-1.723346256	mannose-binding lectin (protein C) 2, soluble (opsonic defect)
MAGED2	-1.723618358	melanoma antigen family D, 2
POLD4	-1.724060878	polymerase (DNA-directed), delta 4
MINA	-1.724191596	MYC induced nuclear antigen
ING1	-1.724783317	inhibitor of growth family, member 1
NKX3-1	-1.724873393	NK3 transcription factor related, locus 1 (Drosophila)
MGC12965	-1.725437525	MGC12965
RBCK1	-1.725547651	RanBP-type and C3HC4-type zinc finger containing 1
ZNF33B	-1.725981487	zinc finger protein 33B
DFNA5	-1.726415215	deafness, autosomal dominant 5
PTP4A1	-1.72684687	protein tyrosine phosphatase type IVA, member 1
RBM41	-1.726992838	RNA binding motif protein 41
XIST	-1.727072233	XIST
PEX10	-1.729161102	peroxisome biogenesis factor 10
E2F5	-1.72930998	E2F transcription factor 5, p130-binding
CTBP1	-1.729974021	C-terminal binding protein 1
IFIT5	-1.732225931	interferon-induced protein with tetratricopeptide repeats 5
PTCRA	-1.734109703	pre T-cell antigen receptor alpha
RFPL3S	-1.734162711	RFPL3S
RFPL1S	-1.734162711	RFPL1S
ZNF365	-1.734850226	zinc finger protein 365
KLF13	-1.734887706	Kruppel-like factor 13
RPS27	-1.734963077	ribosomal protein S27 (metallopanstimulin 1)
ZDHHC23	-1.735367209	zinc finger, DHHC-type containing 23
PAFAH2	-1.73548992	platelet-activating factor acetylhydrolase 2, 40kDa
CNNM1	-1.7355134	cyclin M1
PTPLA	-1.736015819	protein tyrosine phosphatase-like (proline instead of catalytic
LPAAT-THETA	-1.737103238	LPAAT-THETA
SMCHD1	-1.738239235	structural maintenance of chromosomes flexible hinge domain
LZTFL1	-1.738765545	leucine zipper transcription factor-like 1
C15orf17	-1.7391137	chromosome 15 open reading frame 17
TCEA1	-1.740836343	transcription elongation factor A (SII), 1
DOK4	-1.742237302	docking protein 4
ALS2CR8	-1.743434188	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8
LPHN2	-1.743792281	latrophilin 2
H1FX	-1.744968015	H1 histone family, member X
TMEM106B	-1.745872355	transmembrane protein 106B
GNB2L1	-1.746371825	guanine nucleotide binding protein (G protein), beta polypeptide
LOC440992	-1.746399002	LOC440992
TPTEps1	-1.749119536	TPTEps1
AGPAT5	-1.750265098	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic
SEC11L3	-1.750937563	SEC11L3
C11orf74	-1.751015474	chromosome 11 open reading frame 74
MTUS1	-1.751923782	mitochondrial tumor suppressor 1
LOC342994	-1.752801724	similar to ribosomal protein L34
RPL34	-1.752801724	ribosomal protein L34
LOC651249	-1.752801724	similar to ribosomal protein L34
RPL23	-1.753374275	ribosomal protein L23
SLC7A1	-1.755079858	solute carrier family 7 (cationic amino acid transporter, y+
S100A2	-1.755449591	S100 calcium binding protein A2
KLRG1	-1.755656724	killer cell lectin-like receptor subfamily G, member 1
SLC7A5	-1.755960858	solute carrier family 7 (cationic amino acid transporter, y+
ATP5S	-1.75658471	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s
ROGDI	-1.756688729	rogdi homolog (Drosophila)
LCT	-1.757094662	lactase
KLF6	-1.757984191	Kruppel-like factor 6
TRAM1	-1.759303533	translocation associated membrane protein 1
SPATA6	-1.760988604	spermatogenesis associated 6
RNF170	-1.761367665	ring finger protein 170
C5orf5	-1.761390887	chromosome 5 open reading frame 5
Gcom1	-1.762639806	GRINL1A combined protein
DPH5	-1.763686598	DPH5 homolog (S. cerevisiae)
TBC1D5	-1.768409944	TBC1 domain family, member 5
TM7SF3	-1.76877392	transmembrane 7 superfamily member 3
ADRBK2	-1.769894116	adrenergic, beta, receptor kinase 2
IRF2BP2	-1.770226723	interferon regulatory factor 2 binding protein 2
ZFP64	-1.770253817	zinc finger protein 64 homolog (mouse)
C17orf45	-1.770865804	chromosome 17 open reading frame 45
CEBPG	-1.771378673	CCAAT/enhancer binding protein (C/EBP), gamma
KIAA1841	-1.772062104	KIAA1841
ANTXR2	-1.773441734	anthrax toxin receptor 2
RPL13	-1.773962435	ribosomal protein L13
C17orf86	-1.774813234	C17orf86
LRRCC1	-1.77491234	leucine rich repeat and coiled-coil domain containing 1
ADAMTS20	-1.775745419	ADAM metallopeptidase with thrombospondin type 1 motif, 20
P2RX4	-1.776812528	purinergic receptor P2X, ligand-gated ion channel, 4
MLH3	-1.777225296	mutL homolog 3 (E. coli)
MLL	-1.779975288	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
PECAM1	-1.780717225	platelet/endothelial cell adhesion molecule (CD31 antigen)
IL28RA	-1.781159867	interleukin 28 receptor, alpha (interferon, lambda receptor)
KIAA0232	-1.781703891	KIAA0232 gene product
TOMM20	-1.781783767	translocase of outer mitochondrial membrane 20 homolog (yeast)
CENTA1	-1.781862332	centaurin, alpha 1
NEO1	-1.784194077	neogenin homolog 1 (chicken)
CHMP4C	-1.784440634	chromatin modifying protein 4C
BICD1	-1.785147992	bicaudal D homolog 1 (Drosophila)
LOC401115	-1.786314282	hypothetical gene supported by BC038466; BC062790
HLA-E	-1.787213158	major histocompatibility complex, class I, E
MYLIP	-1.787333614	myosin regulatory light chain interacting protein
MTIF3	-1.789183044	mitochondrial translational initiation factor 3
YRDC	-1.791449531	yrdC domain containing (E. coli)
RNF4	-1.792051003	ring finger protein 4
ROBO3	-1.792054452	roundabout, axon guidance receptor, homolog 3 (Drosophila)
LOC90120	-1.79452804	hypothetical gene supported by AK023162
MAP3K5	-1.794854586	mitogen-activated protein kinase kinase kinase 5
MSH5	-1.795880423	mutS homolog 5 (E. coli)
C16orf52	-1.799245884	C16orf52
SLC30A1	-1.800233662	solute carrier family 30 (zinc transporter), member 1
DYNLL1	-1.800596168	dynein, light chain, LC8-type 1
CITED1	-1.801297807	Cbp/p300-interacting transactivator, with Glu/Asp-rich
GABPB2	-1.801702554	GA binding protein transcription factor, beta subunit 2
CKLF	-1.80273837	chemokine-like factor
AGA	-1.803963148	aspartylglucosaminidase
76P	-1.805520236	gamma tubulin ring complex protein (76p gene)
C14orf101	-1.806455904	chromosome 14 open reading frame 101
RNMT	-1.806613641	RNA (guanine-7-) methyltransferase
TBC1D14	-1.806920251	TBC1 domain family, member 14
DDX17	-1.808984828	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
BCL3	-1.809004264	B-cell CLL/lymphoma 3
LOC402560	-1.809499122	LOC402560
FAM91A2	-1.810807138	family with sequence similarity 91, member A2
FANCF	-1.810881718	Fanconi anemia, complementation group F
C1orf43	-1.811434236	chromosome 1 open reading frame 43
DSG2	-1.81186225	desmoglein 2
CD47	-1.811882498	CD47 molecule
FAM119A	-1.81436816	family with sequence similarity 119, member A
HAS3	-1.815384615	hyaluronan synthase 3
LOC220930	-1.816056876	LOC220930
LOC550631	-1.817873637	hypothetical LOC550631
FLJ22028	-1.819267823	hypothetical protein FLJ22028
LOC653827	-1.821718553	LOC653827
GPR157	-1.82201874	G protein-coupled receptor 157
CNIH4	-1.822039307	cornichon homolog 4 (Drosophila)
ANXA4	-1.822241669	annexin A4
FTS	-1.823018562	FTS
LIF	-1.823721863	leukemia inhibitory factor (cholinergic differentiation factor)
LRRC49	-1.823967149	leucine rich repeat containing 49
ENY2	-1.824349933	enhancer of yellow 2 homolog (Drosophila)
ADAM21	-1.826762738	ADAM metallopeptidase domain 21
CCDC50	-1.831087735	coiled-coil domain containing 50
LOC388610	-1.831516445	hypothetical LOC388610
CHDH	-1.834196547	choline dehydrogenase
SLC25A21	-1.835373021	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21
ZNF614	-1.835409076	zinc finger protein 614
VEGF	-1.836835027	VEGF
ZNF285	-1.837912438	ZNF285
FZD3	-1.839057805	frizzled homolog 3 (Drosophila)
MTAP	-1.840357947	methylthioadenosine phosphorylase
EIF4B	-1.840561801	eukaryotic translation initiation factor 4B
ZNF228	-1.840802595	zinc finger protein 228
TMEM68	-1.841397362	transmembrane protein 68
PIGM	-1.84344916	phosphatidylinositol glycan anchor biosynthesis, class M
RHBDD1	-1.845214156	rhomboid domain containing 1
MCM3APAS	-1.845748881	MCM3APAS
EIF1	-1.846753018	eukaryotic translation initiation factor 1
PABPC1	-1.846936223	poly(A) binding protein, cytoplasmic 1
NALP1	-1.848588717	NALP1
CLDN23	-1.849081868	claudin 23
ZMAT1	-1.850192413	zinc finger, matrin type 1
SKIL	-1.852971023	SKI-like oncogene
C6orf117	-1.853704076	chromosome 6 open reading frame 117
TMEM128	-1.857030587	transmembrane protein 128
TRPC1	-1.858467339	transient receptor potential cation channel, subfamily C, member 1
LOC648293	-1.859136277	LOC648293
C2orf12	-1.859136277	C2orf12
KIAA1377	-1.861174181	KIAA1377
CDON	-1.861522052	Cdon homolog (mouse)
YES1	-1.861536996	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
MPPE1	-1.862204677	metallophosphoesterase 1
KCNG1	-1.862639338	potassium voltage-gated channel, subfamily G, member 1
WHSC1	-1.862935621	Wolf-Hirschhorn syndrome candidate 1
ZMYND12	-1.863449425	zinc finger, MYND-type containing 12
ADCY1	-1.863995301	adenylate cyclase 1 (brain)
C22orf29	-1.865286242	chromosome 22 open reading frame 29
ST3GAL6	-1.866984755	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
MXD1	-1.86879368	MAX dimerization protein 1
CPT1B	-1.869465808	carnitine palmitoyltransferase 1B (muscle)
ARHGAP29	-1.869465808	Rho GTPase activating protein 29
CHKB	-1.869465808	choline kinase beta
BACE1	-1.870039512	beta-site APP-cleaving enzyme 1
LOC162073	-1.870091532	hypothetical protein LOC162073
IFT88	-1.872807402	intraflagellar transport 88 homolog (Chlamydomonas)
APH1B	-1.873065614	anterior pharynx defective 1 homolog B (C. elegans)
HS6ST1	-1.873723648	heparan sulfate 6-O-sulfotransferase 1
YY2	-1.874832962	YY2 transcription factor
CSPG5	-1.875751021	chondroitin sulfate proteoglycan 5 (neuroglycan C)
CAB39L	-1.876095596	calcium binding protein 39-like
LOC401397	-1.876957321	hypothetical LOC401397
SYNGR3	-1.877188474	synaptogyrin 3
BCL6	-1.878634079	B-cell CLL/lymphoma 6 (zinc finger protein 51)
LOC284323	-1.879460414	LOC284323
PCSK6	-1.87988275	proprotein convertase subtilisin/kexin type 6
LOC648768	-1.881413706	LOC648768
KLF15	-1.881789535	Kruppel-like factor 15
PTOV1	-1.882040816	prostate tumor overexpressed gene 1
LIMD1	-1.88318579	LIM domains containing 1
PCMTD1	-1.884155205	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain
RPS27A	-1.885202559	ribosomal protein S27a
LOC388720	-1.885202559	similar to ubiquitin and ribosomal protein S27a precursor
GPR177	-1.886163772	G protein-coupled receptor 177
HDDC3	-1.886794107	HD domain containing 3
LMO2	-1.887722587	LIM domain only 2 (rhombotin-like 1)
STX5	-1.888621644	syntaxin 5
C18orf17	-1.888957334	chromosome 18 open reading frame 17
SARM1	-1.893723404	sterile alpha and TIR motif containing 1
KIAA1840	-1.893971962	KIAA1840
GSN	-1.894203425	gelsolin (amyloidosis, Finnish type)
EFNA5	-1.894828588	ephrin-A5
INA	-1.895223073	internexin neuronal intermediate filament protein, alpha
IQCK	-1.895352831	IQ motif containing K
TMEM129	-1.896695735	transmembrane protein 129
SENP6	-1.898087002	SUMO1/sentrin specific peptidase 6
HERC6	-1.898266884	hect domain and RLD 6
KIAA0507	-1.899203325	KIAA0507
JOSD3	-1.900878559	Josephin domain containing 3
NGRN	-1.901317322	neugrin, neurite outgrowth associated
HTR7P	-1.901685825	HTR7P
ELP3	-1.903222257	elongation protein 3 homolog (S. cerevisiae)
C6orf166	-1.904248989	chromosome 6 open reading frame 166
WHSC2	-1.904747241	Wolf-Hirschhorn syndrome candidate 2
C10orf104	-1.905105554	chromosome 10 open reading frame 104
CAST	-1.905398734	calpastatin
VPS13C	-1.905453326	vacuolar protein sorting 13 homolog C (S. cerevisiae)
C20orf19	-1.90855875	chromosome 20 open reading frame 19
DNM3	-1.910354023	dynamin 3
C15orf27	-1.912746039	chromosome 15 open reading frame 27
KIAA1598	-1.912862379	KIAA1598
PCDH10	-1.914028614	protocadherin 10
MCC	-1.91438835	mutated in colorectal cancers
RGS2	-1.915048288	regulator of G-protein signalling 2, 24kDa
ADAMTS10	-1.917348353	ADAM metallopeptidase with thrombospondin type 1 motif, 10
CCNL1	-1.917945297	cyclin L1
HTRA1	-1.920135454	HtrA serine peptidase 1
CYP2E1	-1.922291565	cytochrome P450, family 2, subfamily E, polypeptide 1
SLC16A6	-1.922455574	solute carrier family 16, member 6 (monocarboxylic acid transporter
ZNF287	-1.924236951	zinc finger protein 287
LPXN	-1.924379606	leupaxin
C11orf32	-1.924454188	C11orf32
CREM	-1.92756682	cAMP responsive element modulator
SWS1	-1.928976341	SWS1
CKMT1A	-1.92965744	creatine kinase, mitochondrial 1A
TBC1D24	-1.930723571	TBC1 domain family, member 24
SLC29A3	-1.93077974	solute carrier family 29 (nucleoside transporters), member 3
HBEGF	-1.931409324	heparin-binding EGF-like growth factor
LYAR	-1.933049252	hypothetical protein FLJ20425
GPR19	-1.933057613	G protein-coupled receptor 19
FLJ35740	-1.93559322	FLJ35740
PBXIP1	-1.935852826	pre-B-cell leukemia homeobox interacting protein 1
C4orf15	-1.938027915	chromosome 4 open reading frame 15
LOC63920	-1.940822773	transposon-derived Buster3 transposase-like
FAM51A1	-1.941827162	FAM51A1
RPS23	-1.943170946	ribosomal protein S23
LOC440157	-1.944504286	hypothetical gene supported by BC066547
TDO2	-1.944767845	tryptophan 2,3-dioxygenase
CTBS	-1.947315492	chitobiase, di-N-acetyl-
FJX1	-1.949191334	four jointed box 1 (Drosophila)
KIAA1147	-1.950014789	KIAA1147
HEBP1	-1.95116518	heme binding protein 1
C1orf114	-1.951520398	chromosome 1 open reading frame 114
NUB1	-1.954050229	negative regulator of ubiquitin-like proteins 1
PTPDC1	-1.955035546	protein tyrosine phosphatase domain containing 1
ANKRD11	-1.956589449	ankyrin repeat domain 11
MXD4	-1.960918379	MAX dimerization protein 4
FLJ36031	-1.963111125	hypothetical protein FLJ36031
IL17RD	-1.964082886	interleukin 17 receptor D
WDSUB1	-1.96507667	WD repeat, sterile alpha motif and U-box domain containing 1
MED28	-1.965838409	mediator of RNA polymerase II transcription, subunit 28 homolog (S.
PRNP	-1.966393983	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
NPAL3	-1.967088197	NIPA-like domain containing 3
THRB	-1.968353551	thyroid hormone receptor, beta (erythroblastic leukemia viral
EXOSC6	-1.969664757	exosome component 6
LIPT1	-1.970478126	lipoyltransferase 1
SNHG7	-1.970682119	SNHG7
RPL22	-1.971341064	ribosomal protein L22
TMCC1	-1.972497148	transmembrane and coiled-coil domain family 1
C9orf122	-1.972611228	chromosome 9 open reading frame 122
PDIK1L	-1.973312402	PDLIM1 interacting kinase 1 like
LOC644424	-1.973629535	LOC644424
UBE2Q1	-1.974406991	ubiquitin-conjugating enzyme E2Q (putative) 1
SETD6	-1.974744103	SET domain containing 6
MGC61598	-1.979625027	similar to ankyrin-repeat protein Nrarp
MT1X	-1.983311321	metallothionein 1X
CENTG2	-1.984853305	centaurin, gamma 2
SERPINB1	-1.985810141	serpin peptidase inhibitor, clade B (ovalbumin), member 1
SLC16A9	-1.985991143	solute carrier family 16, member 9 (monocarboxylic acid transporter
HLCS	-1.987192656	holocarboxylase synthetase (biotin-(proprionyl-Coenzyme
LNX1	-1.989008511	ligand of numb-protein X 1
PDCD2	-1.990432257	programmed cell death 2
C1orf79	-1.990720835	C1orf79
RG9MTD2	-1.994864099	RNA (guanine-9-) methyltransferase domain containing 2
RAD51L1	-1.995770571	RAD51-like 1 (S. cerevisiae)
GDPD1	-1.995976557	glycerophosphodiester phosphodiesterase domain containing 1
TNIP2	-1.997247109	TNFAIP3 interacting protein 2
PCDHA9	-2.00122737	protocadherin alpha 9
ARTS-1	-2.004366595	type 1 tumor necrosis factor receptor shedding aminopeptidase
BBS10	-2.006882364	Bardet-Biedl syndrome 10
TRPS1	-2.009252506	trichorhinophalangeal syndrome I
KLHDC4	-2.010069063	kelch domain containing 4
C14orf139	-2.010406288	C14orf139
TRIB1	-2.012723484	tribbles homolog 1 (Drosophila)
MGC26744	-2.014305106	MGC26744
ZNF84	-2.015006458	zinc finger protein 84
KIAA1702	-2.015943921	KIAA1702
INADL	-2.016424867	InaD-like (Drosophila)
CDO1	-2.018544642	cysteine dioxygenase, type I
FOXA1	-2.018783784	forkhead box A1
FLJ33630	-2.022601235	FLJ33630
HIVEP3	-2.022754746	human immunodeficiency virus type I enhancer binding protein 3
TTC25	-2.023333333	tetratricopeptide repeat domain 25
LOC642821	-2.025804635	LOC642821
CRIPAK	-2.026316589	cysteine-rich PAK1 inhibitor
KIAA1411	-2.028243081	KIAA1411
IGSF3	-2.028314689	immunoglobulin superfamily, member 3
HOXB4	-2.029101955	homeobox B4
FLJ35776	-2.030780734	hypothetical protein LOC649446
PPP1R15A	-2.031237978	protein phosphatase 1, regulatory (inhibitor) subunit 15A
LOC439994	-2.032828238	hypothetical gene supported by AF064843; AK025716
LOC646509	-2.032828238	hypothetical LOC646509
LOC642361	-2.032828238	hypothetical LOC642361
FLJ90013	-2.032888882	FLJ90013
OACT5	-2.032963989	OACT5
ANKRD23	-2.03531873	ankyrin repeat domain 23
KLF11	-2.035852887	Kruppel-like factor 11
DFNB59	-2.036007453	deafness, autosomal recessive 59
RARA	-2.036996231	retinoic acid receptor, alpha
C6orf152	-2.039004487	chromosome 6 open reading frame 152
DLG1	-2.040360614	discs, large homolog 1 (Drosophila)
ZNF557	-2.042102902	zinc finger protein 557
C21orf119	-2.042873601	chromosome 21 open reading frame 119
C4orf9	-2.045818703	C4orf9
FYN	-2.046469029	FYN oncogene related to SRC, FGR, YES
RPL37	-2.048767298	ribosomal protein L37
HUWE1	-2.050820092	HECT, UBA and WWE domain containing 1
ADAM23	-2.050994227	ADAM metallopeptidase domain 23
WASPIP	-2.052698574	WASPIP
DDEF2	-2.05518018	development and differentiation enhancing factor 2
C4orf12	-2.056440109	C4orf12
SAMD13	-2.057266824	sterile alpha motif domain containing 13
DKFZp451M2119	-2.059757107	DKFZp451M2119
ERBB3	-2.060266433	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
EVC	-2.060948697	Ellis van Creveld syndrome
POLR3E	-2.061694126	polymerase (RNA) III (DNA directed) polypeptide E (80kD)
KIAA0953	-2.062409536	KIAA0953
	-2.064135459	RP11-114G1.1
EEF1E1	-2.06588215	eukaryotic translation elongation factor 1 epsilon 1
PCGF2	-2.067144761	polycomb group ring finger 2
FAM53A	-2.067406434	family with sequence similarity 53, member A
CCDC76	-2.067976698	coiled-coil domain containing 76
CREG1	-2.068469007	cellular repressor of E1A-stimulated genes 1
GM2A	-2.07482573	GM2 ganglioside activator
C9orf123	-2.074942463	chromosome 9 open reading frame 123
C6orf118	-2.075981005	chromosome 6 open reading frame 118
IDI2	-2.079711286	isopentenyl-diphosphate delta isomerase 2
USP53	-2.079920051	ubiquitin specific peptidase 53
ZNF585A	-2.084952335	zinc finger protein 585A
TAF4B	-2.087140551	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated
STAU2	-2.08879033	staufen, RNA binding protein, homolog 2 (Drosophila)
ZNF605	-2.092745705	zinc finger protein 605
KIAA1530	-2.098057632	KIAA1530 protein
RKHD2	-2.100675626	ring finger and KH domain containing 2
ACVR2A	-2.100894197	activin A receptor, type IIA
ZDHHC21	-2.101202722	zinc finger, DHHC-type containing 21
GKAP1	-2.102221243	G kinase anchoring protein 1
TPP2	-2.102370046	tripeptidyl peptidase II
H1F0	-2.103775263	H1 histone family, member 0
TRAM1L1	-2.104535822	translocation associated membrane protein 1-like 1
RHOB	-2.105408908	ras homolog gene family, member B
FGF13	-2.10578578	fibroblast growth factor 13
ARHGAP5	-2.105863631	Rho GTPase activating protein 5
SLC2A13	-2.106203216	solute carrier family 2 (facilitated glucose transporter), member 13
DNM1L	-2.10937055	dynamin 1-like
NPAS2	-2.11307888	neuronal PAS domain protein 2
RAP2B	-2.118165328	RAP2B, member of RAS oncogene family
RAP2A	-2.118165328	RAP2A, member of RAS oncogene family
HCG12	-2.12169734	HCG12
KIAA1211	-2.122124152	KIAA1211
CRISPLD1	-2.12325847	cysteine-rich secretory protein LCCL domain containing 1
HS6ST2	-2.125001725	heparan sulfate 6-O-sulfotransferase 2
DHFRL1	-2.127138783	dihydrofolate reductase-like 1
TMEM116	-2.133759153	transmembrane protein 116
MGC21874	-2.136544061	transcriptional adaptor 2 (ADA2 homolog, yeast)-beta
ITGA6	-2.138950046	integrin, alpha 6
RAB6B	-2.143680623	RAB6B, member RAS oncogene family
FAM60A	-2.144956153	family with sequence similarity 60, member A
ZNF239	-2.145649514	zinc finger protein 239
HARS2	-2.146045657	histidyl-tRNA synthetase 2, mitochondrial (putative)
C5AR1	-2.149323298	complement component 5a receptor 1
BST2	-2.153879738	bone marrow stromal cell antigen 2
TALDO1	-2.156948732	transaldolase 1
C20orf199	-2.156948732	C20orf199
FLJ32745	-2.158456565	FLJ32745
C17orf48	-2.159626293	chromosome 17 open reading frame 48
ZSWIM2	-2.159637046	zinc finger, SWIM-type containing 2
SERPINE2	-2.160003851	serpin peptidase inhibitor, clade E (nexin, plasminogen activator
PARD3	-2.161009212	par-3 partitioning defective 3 homolog (C. elegans)
C6orf111	-2.164091195	chromosome 6 open reading frame 111
FLJ27352	-2.164501999	FLJ27352
LOC374395	-2.166299254	similar to RIKEN cDNA 1810059G22
FLJ23172	-2.167180652	FLJ23172
KIAA1545	-2.16837394	KIAA1545 protein
HMGA2	-2.1706031	high mobility group AT-hook 2
DGKQ	-2.176642112	diacylglycerol kinase, theta 110kDa
NR1D2	-2.177623747	nuclear receptor subfamily 1, group D, member 2
C1orf155	-2.178548324	C1orf155
IL15	-2.179762578	interleukin 15
HHEX	-2.179931616	hematopoietically expressed homeobox
SEC14L1	-2.18089679	SEC14-like 1 (S. cerevisiae)
FLJ38717	-2.181393798	FLJ38717
UTRN	-2.184268131	utrophin
SSBP4	-2.184547955	single stranded DNA binding protein 4
FLJ37440	-2.191265977	hypothetical protein FLJ37440
TOM1L1	-2.192497515	target of myb1 (chicken)-like 1
GLIS2	-2.199162048	GLIS family zinc finger 2
TSC22D1	-2.199774316	TSC22 domain family, member 1
FBP2	-2.199833241	fructose-1,6-bisphosphatase 2
	-2.200005348	RP11-262H14.4
RSL1D1	-2.201991677	ribosomal L1 domain containing 1
IL17D	-2.204775413	interleukin 17D
C11orf70	-2.205844121	chromosome 11 open reading frame 70
RFX2	-2.206974359	regulatory factor X, 2 (influences HLA class II expression)
FAM89A	-2.210782254	family with sequence similarity 89, member A
BMP7	-2.213595919	bone morphogenetic protein 7 (osteogenic protein 1)
MAMDC1	-2.21542584	MAMDC1
FAM110C	-2.218020995	family with sequence similarity 110, member C
MCOLN2	-2.218445816	mucolipin 2
SORCS2	-2.220583588	sortilin-related VPS10 domain containing receptor 2
LGALS3BP	-2.223528361	lectin, galactoside-binding, soluble, 3 binding protein
CUL5	-2.225510354	cullin 5
RAB28	-2.227079953	RAB28, member RAS oncogene family
HOXB2	-2.227399122	homeobox B2
MT1G	-2.230455908	metallothionein 1G
CFD	-2.231835804	complement factor D (adipsin)
CCT6B	-2.233789169	chaperonin containing TCP1, subunit 6B (zeta 2)
HERC5	-2.236490212	hect domain and RLD 5
C6orf199	-2.24085091	chromosome 6 open reading frame 199
SLC1A1	-2.247461609	solute carrier family 1 (neuronal/epithelial high affinity glutamate
FLRT3	-2.251415589	fibronectin leucine rich transmembrane protein 3
LOC317671	-2.252206538	LOC317671
SOX4	-2.252217487	SRY (sex determining region Y)-box 4
SEMA3C	-2.253100313	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
EGFR	-2.260323255	epidermal growth factor receptor (erythroblastic leukemia viral
NEK11	-2.26172916	NIMA (never in mitosis gene a)- related kinase 11
LOC57228	-2.26300259	small trans-membrane and glycosylated protein
C14orf132	-2.267059121	C14orf132
MAP9	-2.2732095	microtubule-associated protein 9
HIST3H2A	-2.274645939	histone cluster 3, H2a
MT1H	-2.279644878	metallothionein 1H
LOC400657	-2.28082199	LOC400657
PRSS16	-2.281996855	protease, serine, 16 (thymus)
SGK	-2.284024839	serum/glucocorticoid regulated kinase
LOC92270	-2.297146725	hypothetical protein LOC92270
PDE4D	-2.301265998	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce
PTGER4	-2.30165692	prostaglandin E receptor 4 (subtype EP4)
POLR1D	-2.307255354	polymerase (RNA) I polypeptide D, 16kDa
TMEM99	-2.311389957	transmembrane protein 99
LIPL1	-2.312631857	LIPL1
MRFAP1L1	-2.314764969	Morf4 family associated protein 1-like 1
OCLN	-2.31671721	occludin
LOC653400	-2.31671721	LOC653400
LOC647859	-2.31671721	LOC647859
PDCD6IP	-2.317699532	programmed cell death 6 interacting protein
C5	-2.320732771	complement component 5
C4orf8	-2.326319669	chromosome 4 open reading frame 8
F2R	-2.326914708	coagulation factor II (thrombin) receptor
LOC257396	-2.329259936	LOC257396
LOC201477	-2.32962612	LOC201477
L3MBTL3	-2.335473851	l(3)mbt-like 3 (Drosophila)
CCDC98	-2.336374874	coiled-coil domain containing 98
RPL39L	-2.342518295	ribosomal protein L39-like
MTBP	-2.34490161	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein
FGFR3	-2.348664688	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric
LOC283070	-2.348701985	LOC283070
ITPR1	-2.360328424	inositol 1,4,5-triphosphate receptor, type 1
CABLES1	-2.360895326	Cdk5 and Abl enzyme substrate 1
FKBP7	-2.361084297	FK506 binding protein 7
TK2	-2.361415333	thymidine kinase 2, mitochondrial
ING3	-2.366346489	inhibitor of growth family, member 3
