ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
203063_at	PPM1F	0.030795	protein phosphatase 1F (PP2C domain containing)	protein amino acid dephosphorylation	magnesium ion binding	protein serine/threonine phosphatase complex			0.63	1.75	-1.15	-0.36	-1.14
203070_at	SEMA3B	0.002569							1.63	0.99	-0.99	-0.89	-0.99
203082_at	BMS1L	0.0041	BMS1-like, ribosome assembly protein (yeast)	ribosome biogenesis	ATP binding	nucleus			0.61	0.35	-0.35	-0.27	-0.35
203122_at	TTC15	0.042671	tetratricopeptide repeat domain 15						0.2	0.87	-0.52	-0.36	-0.25
203136_at	RABAC1	0.00059	Rab acceptor 1 (prenylated)						1.47	1.2	-1	-1.08	-0.8
203147_s_at	TRIM14	0.033092	tripartite motif-containing 14	compartment specification	protein binding	cytoplasm			1.06	0.49	-0.81	-0.11	-0.68
203148_s_at	TRIM14	0.020689	tripartite motif-containing 14	compartment specification	protein binding	cytoplasm			2.27	0.87	-1.77	-0.92	-1.02
203173_s_at	MGC16824	0.017501	esophageal cancer associated protein						0.37	0.93	-0.53	-0.29	-0.52
203183_s_at	SMARCD1	0.023608	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	chromatin remodeling		nucleus			0.3	0.29	-0.37	-0.16	-0.07
203263_s_at	ARHGEF9	0.043625	Cdc42 guanine nucleotide exchange factor (GEF) 9						0.22	0.77	-0.53	-0.14	-0.35
203290_at	HLA-DQA1	0.028124	major histocompatibility complex, class II, DQ alpha 1	immune response	MHC class II receptor activity	integral to membrane			2.68	0.62	-1.25	-1.54	-1.67
203363_s_at	KIAA0652	0.047831	KIAA0652 gene product						0.91	0.22	-0.24	-0.32	-0.62
203422_at	POLD1	0.027022	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	DNA replication	nucleotide binding	nucleus	Purine metabolism	GENMAPP/KEGG	0.96	0.46	-0.15	-0.56	-0.75
203425_s_at	IGFBP5	0.011304	insulin-like growth factor binding protein 5	regulation of cell growth	insulin-like growth factor binding	extracellular			0.54	1.14	-0.54	-0.45	-0.78
203446_s_at	OCRL	0.039709	oculocerebrorenal syndrome of Lowe	lipid metabolism	phosphoinositide 5-phosphatase activity	Golgi membrane	Phosphatidylinositol signaling system	GENMAPP/KEGG	0.45	0.77	-0.12	-0.3	-0.81
203453_at	SCNN1A	0.012405	sodium channel, nonvoltage-gated 1 alpha	ion transport	ion channel activity	membrane fraction			0.95	1.59	-1.23	-1.08	-0.41
203509_at	SORL1	0.00794							2.77	1.5	-2.22	-1.73	-1.2
203546_at	IPO13	0.04965	importin 13	protein-nucleus import, docking	protein transporter activity	nucleus			0.57	0.39	-0.58	0.04	-0.42
203556_at	ZHX2	0.022849	zinc fingers and homeoboxes 2	negative regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.49	0.63	-0.7	-0.17	-0.26
203563_at	AFAP	0.01239	actin filament associated protein						1.45	1.38	-1.28	-0.3	-1.36
203572_s_at	TAF6	0.023629	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	transcription initiation	DNA binding	nucleus			0.34	0.66	-0.34	-0.13	-0.54
203586_s_at	ARF4L	0.005173	ADP-ribosylation factor 4-like	small GTPase mediated signal transduction	GTPase activity	nucleus			0.8	0.63	-0.26	-0.54	-0.65
203627_at	IGF1R	0.035097	insulin-like growth factor 1 receptor	regulation of cell cycle	receptor activity	integral to membrane			1.66	0.36	-0.84	-0.68	-0.82
203628_at	IGF1R	0.037666	insulin-like growth factor 1 receptor	regulation of cell cycle	receptor activity	integral to membrane			0.78	1.55	-1.34	-0.1	-0.98
203631_s_at	GPRC5B	0.03835	G protein-coupled receptor, family C, group 5, member B				GPCRs_Class_C_Metabotropic_glutamate_pheromone	GENMAPP/KEGG	0.28	0.79	-0.46	-0.1	-0.53
203706_s_at	FZD7	0.044263	frizzled homolog 7 (Drosophila)	cell surface receptor linked signal transduction	non-G-protein coupled 7TM receptor activity	plasma membrane	Wnt_signaling	GENMAPP/KEGG	0.46	0.57	-0.12	-0.73	-0.16
203753_at	TCF4	0.015044	transcription factor 4	regulation of transcription from Pol II promoter	DNA binding	nucleus			1.39	0.53	-0.8	-0.59	-0.71
203762_s_at	D2LIC	0.007289	dynein 2 light intermediate chain						1.82	0.93	-0.83	-1.25	-1.01
203778_at	MANBA	0.034867					N-Glycan degradation	GENMAPP/KEGG	0.52	2.22	-1.51	-0.85	-1.04
203799_at	DCL-1	0.005274	type I transmembrane C-type lectin receptor DCL-1		receptor activity	integral to membrane			1.49	1.05	-1.23	-0.57	-0.9
203806_s_at	FANCA	0.031894	Fanconi anemia, complementation group A	DNA repair		nucleus			1.97	1.08	-1.58	-1.49	-0.15
203883_s_at	RAB11FIP2	0.024085	RAB11 family interacting protein 2 (class I)						0.63	1.23	-0.96	-0.2	-0.78
204028_s_at	RABGAP1	0.037195	RAB GTPase activating protein 1	cell cycle	GTPase activator activity	centrosome			0.86	1.64	-0.08	-1.15	-1.37
204057_at	ICSBP1	0.005801							1.89	1.56	-0.65	-1.4	-1.69
204157_s_at	KIAA0999	0.04162	KIAA0999 protein	protein amino acid phosphorylation	protein serine/threonine kinase activity				0.47	0.14	-0.24	-0.08	-0.3
204192_at	CD37	0.022592	CD37 antigen	N-linked glycosylation		integral to plasma membrane			0.84	1.36	-1.17	-0.18	-0.92
204214_s_at	RAB32	0.018088	RAB32, member RAS oncogene family	small GTPase mediated signal transduction	GTP binding	mitochondrion			1.08	1.04	-1.29	-0.45	-0.39
204225_at	HDAC4	0.001451	histone deacetylase 4	regulation of transcription, DNA-dependent	histone deacetylase activity	histone deacetylase complex	Cell_cycle	GENMAPP/KEGG	1.33	0.95	-0.93	-0.68	-0.82
204273_at	EDNRB	0.010803	endothelin receptor type B	negative regulation of adenylate cyclase activity	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1.23	1.81	-0.46	-1.46	-1.35
204301_at	KIAA0711	0.044347	KIAA0711 gene product		protein binding				0.7	2.27	-1.91	-0.98	-0.53
204308_s_at	KIAA0329	0.032531	KIAA0329						0.37	1.17	-0.75	-0.61	-0.27
204311_at	ATP1B2	0.004585	ATPase, Na+/K+ transporting, beta 2 polypeptide	transport	sodium:potassium-exchanging ATPase activity	integral to membrane			1.7	1.36	-1.3	-1.39	-0.61
204332_s_at	AGA	0.030717					N-Glycan degradation	GENMAPP/KEGG	0.44	1.59	-0.5	-0.86	-0.93
204343_at	ABCA3	0.049264	ATP-binding cassette, sub-family A (ABC1), member 3	transport	nucleotide binding	membrane fraction			0.24	1.1	-0.3	-0.7	-0.43
204346_s_at	RASSF1	0.006313	Ras association (RalGDS/AF-6) domain family 1	cell cycle	protein binding	nucleus			1.22	0.64	-0.54	-0.69	-0.74
204404_at	SLC12A2	0.006068	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	ion transport	transporter activity	membrane fraction			1.29	1.49	-1.09	-1.35	-0.49
204454_at	LDOC1	0.030934	leucine zipper, down-regulated in cancer 1	negative regulation of cell proliferation		nucleus			1.43	0.6	-0.8	-0.24	-1.11
204473_s_at	ZNF592	0.004636	zinc finger protein 592	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.56	0.35	-0.31	-0.39	-0.22
204556_s_at	DZIP1	0.046795	DAZ interacting protein 1	spermatogenesis	nucleic acid binding	nucleus			1.51	1.46	-1.55	-1.54	0.2
204578_at	KIAA0377	0.034763	KIAA0377 gene product		acid phosphatase activity				1.05	0.5	-0.92	-0.15	-0.52
204647_at	HOMER3	0.010176	homer homolog 3 (Drosophila)	protein targeting	protein binding				1.17	2.56	-1.52	-1.17	-1.87
204689_at	HHEX	0.03673	hematopoietically expressed homeobox	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.85	0.5	-0.73	-0.62	-0.02
204785_x_at	IFNAR2	0.009984	interferon (alpha, beta and omega) receptor 2	cell surface receptor linked signal transduction	receptor activity	extracellular			0.9	0.45	-0.52	-0.31	-0.56
204806_x_at	HLA-F	0.005088	major histocompatibility complex, class I, F	immune response	MHC class I receptor activity	integral to membrane	Proteasome_Degradation	GENMAPP/KEGG	1.34	2.18	-1.69	-0.95	-1.39
204834_at	FGL2	0.032408	fibrinogen-like 2			fibrinogen complex			1.25	1.06	-0.03	-0.92	-1.35
204888_s_at	NEURL	0.035391	neuralized-like (Drosophila)	neurogenesis	ubiquitin-protein ligase activity	ubiquitin ligase complex			1.07	1	0.04	-1.01	-1.09
204893_s_at	ZFYVE9	0.000128	zinc finger, FYVE domain containing 9	electron transport	receptor activity	cytoplasm	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	0.2	0.23	-0.14	-0.16	-0.13
205035_at	CTDP1	0.048412	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1		phosphoprotein phosphatase activity	nucleus			1.04	0.89	-0.86	-1.15	0.11
205054_at	NEB	0.01221	nebulin	somatic muscle development	actin binding	actin cytoskeleton			1.41	0.72	-1.08	-0.5	-0.7
205178_s_at	RBBP6	0.036424	retinoblastoma binding protein 6	regulation of cell cycle	nucleic acid binding	ubiquitin ligase complex			0.2	0.41	-0.05	-0.36	-0.2
205233_s_at	PAFAH2	0.012671	platelet-activating factor acetylhydrolase 2, 40kDa	lipid catabolism	1-alkyl-2-acetylglycerophosphocholine esterase activity	soluble fraction	Glycerolipid metabolism	GENMAPP/KEGG	1	1.49	-1.18	-1.11	-0.33
205235_s_at	MPHOSPH1	0.022642	M-phase phosphoprotein 1	cell cycle arrest	motor activity	nucleoplasm			0.29	0.8	-0.51	-0.35	-0.27
205248_at	C21orf5	0.031364	chromosome 21 open reading frame 5	development					0.78	1.08	-1.11	-0.07	-0.69
205304_s_at	KCNJ8	0.012861	potassium inwardly-rectifying channel, subfamily J, member 8	ion transport	voltage-gated ion channel activity	membrane fraction			1.31	1.53	-1.41	-1.23	-0.31
205319_at	PSCA	0.018695	prostate stem cell antigen			plasma membrane			1.93	0.86	-1.12	-0.56	-1.46
205358_at	GRIA2	0.048037	glutamate receptor, ionotropic, AMPA 2	ion transport	receptor activity	plasma membrane			0.11	0.29	-0.07	-0.07	-0.25
205377_s_at	ACHE	0.025968	acetylcholinesterase (YT blood group)	acetylcholine breakdown in synaptic cleft	beta-amyloid binding	extracellular	Glycerolipid metabolism	GENMAPP/KEGG	2.07	0.54	-1.02	-1.15	-1.03
205382_s_at	DF	0.013839	D component of complement (adipsin)	proteolysis and peptidolysis	complement factor D activity				1.2	3	-2.14	-1.29	-2.03
205418_at	FES	0.041736	feline sarcoma oncogene	protein amino acid phosphorylation	protein-tyrosine kinase activity				0.5	0.86	-0.67	0.01	-0.72
205434_s_at	AAK1	0.044409	AP2 associated kinase 1	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.19	0.53	-0.16	-1.1	-0.49
205471_s_at	DACH1	0.007885	dachshund homolog 1 (Drosophila)	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.76	1.04	-1.44	-0.84	-0.78
205491_s_at	GJB3	0.047837	gap junction protein, beta 3, 31kDa (connexin 31)	cell communication	connexon channel activity	connexon complex	Gap_Junction_Proteins-Connexins	GENMAPP/KEGG	1.39	1.14	-1.08	0.13	-1.52
205496_at	KIAA0408	0.002833	KIAA0408						1.21	0.97	-0.7	-1.03	-0.55
205516_x_at	CIZ1	0.045794	CDKN1A interacting zinc finger protein 1	regulation of cell cycle	nucleic acid binding	nucleus			0.3	1.26	-0.63	-0.27	-0.79
205518_s_at	CMAH	0.024205	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)						1.46	1.8	-1.32	-0.17	-1.82
205571_at	LIPT1	0.028123	lipoyltransferase 1	protein modification	ligase activity	mitochondrion			0.42	1.59	-0.84	-0.65	-0.79
205606_at	LRP6	0.008765	low density lipoprotein receptor-related protein 6	endocytosis	receptor activity	plasma membrane			0.56	1.19	-0.71	-0.54	-0.61
205657_at	HAAO	0.016662	3-hydroxyanthranilate 3,4-dioxygenase		3-hydroxyanthranilate 3,4-dioxygenase activity		Tryptophan metabolism	GENMAPP/KEGG	1	0.8	-0.27	-1.05	-0.5
205668_at	LY75	0.025517	lymphocyte antigen 75	endocytosis	receptor activity	integral to plasma membrane			1.01	0.91	-1.02	-0.06	-0.85
205685_at	CD86	0.01998	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	immune response	protein binding	plasma membrane	Inflammatory_Response_Pathway	GENMAPP/KEGG	0.6	1.91	-0.89	-1.05	-1.01
205726_at	DIAPH2	0.01168	diaphanous homolog 2 (Drosophila)	cytokinesis	actin binding	membrane	DNA_replication	GENMAPP/KEGG	0.76	1.19	-0.74	-0.31	-0.98
205728_at	SH2D1A	0.001833	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	cellular defense response	SH3/SH2 adaptor protein activity	cytoplasm			1.6	1.05	-0.94	-1.07	-0.88
205752_s_at	GSTM5	0.005022	glutathione S-transferase M5	metabolism	glutathione transferase activity		Glutathione metabolism	GENMAPP/KEGG	0.99	0.58	-0.5	-0.69	-0.44
205812_s_at	HSGP25L2G	0.023312	gp25L2 protein						0.44	0.74	-0.29	-0.2	-0.7
205818_at	DBC1	0.000149	deleted in bladder cancer 1	cell cycle	protein binding				1.45	1.41	-0.95	-0.97	-1.19
205819_at	MARCO	0.041958	macrophage receptor with collagenous structure	phosphate transport	receptor activity	cytoplasm			0.47	0.95	-0.94	-0.27	-0.22
205821_at	KLRK1	0.020005	killer cell lectin-like receptor subfamily K, member 1						1.67	0.56	-1.02	-0.74	-0.76
205827_at	CCK	0.00121	cholecystokinin	signal transduction	hormone activity	extracellular			1.08	1.37	-0.69	-1.05	-0.86
205829_at	HSD17B1	0.024986	hydroxysteroid (17-beta) dehydrogenase 1	estrogen biosynthesis	estradiol 17-beta-dehydrogenase activity	cytoplasm	Steroid_Biosynthesis	GENMAPP/KEGG	0.69	0.78	-0.76	-0.04	-0.67
205910_s_at	CEL	0.04418					Bile acid biosynthesis	GENMAPP/KEGG	0.52	0.13	-0.22	-0.32	-0.12
206036_s_at	REL	0.011221	v-rel reticuloendotheliosis viral oncogene homolog (avian)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.19	1.19	-1.25	-0.3	-0.89
206040_s_at	MAPK11	0.006574	mitogen-activated protein kinase 11	protein amino acid phosphorylation	protein serine/threonine kinase activity				0.27	0.17	-0.12	-0.21	-0.12
206212_at	CPA2	0.033617	carboxypeptidase A2 (pancreatic)	proteolysis and peptidolysis	carboxypeptidase activity				0.33	0.87	-0.42	-0.16	-0.65
206246_at	PFKFB4	0.000772	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	fructose 2,6-bisphosphate metabolism	6-phosphofructo-2-kinase activity				2.13	1.6	-1.28	-1.38	-1.61
206254_at	EGF	0.008079	epidermal growth factor (beta-urogastrone)	activation of MAPK	epidermal growth factor receptor activating ligand activity	extracellular	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	1.5	0.71	-0.7	-0.89	-0.83
206271_at	TLR3	0.012142	toll-like receptor 3	inflammatory response	double-stranded RNA binding	integral to plasma membrane			0.82	1.97	-1.31	-1	-0.93
206289_at	HOXA4	0.026941	homeo box A4	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.27	0.41	-0.71	-0.73	-0.37
206304_at	MYBPH	0.003922	myosin binding protein H	regulation of striated muscle contraction	protein binding	cytoskeleton	G13_Signaling_Pathway	GENMAPP/KEGG	1.6	1.17	-1.16	-1.2	-0.61
206324_s_at	DAPK2	0.019638	death-associated protein kinase 2	protein amino acid phosphorylation	protein serine/threonine kinase activity	cytoplasm			1.59	0.75	-0.37	-1.03	-1.14
206326_at	GRP	0.028325	gastrin-releasing peptide	signal transduction	growth factor activity	soluble fraction			1.57	0.51	-1.09	-0.68	-0.53
206351_s_at	PEX10	0.011468	peroxisome biogenesis factor 10	peroxisome organization and biogenesis	ubiquitin-protein ligase activity	ubiquitin ligase complex			1.58	0.98	-1.19	-0.41	-1.14
206430_at	CDX1	0.02681	caudal type homeo box transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.84	0.34	-0.21	-0.63	-0.37
206567_s_at	C20orf104	0.035641	chromosome 20 open reading frame 104	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.83	0.25	-0.2	-0.52	-0.39
206583_at	FLJ20344	0.04241	hypothetical protein FLJ20344	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular			1.13	0.85	-1.29	-0.62	-0.03
206589_at	GFI1	0.041018	growth factor independent 1	G1/S-specific transcription in mitotic cell cycle	DNA binding	nucleus			0.76	1	-1.03	0.04	-0.77
206604_at	OVOL1	0.032583	ovo-like 1(Drosophila)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.96	1.23	-1.13	0	-1.07
206657_s_at	MYOD1	0.01437	myogenic factor 3	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.83	1.64	-1.31	-0.79	-0.57
206674_at	FLT3	0.040792	fms-related tyrosine kinase 3	protein amino acid phosphorylation	receptor activity	integral to plasma membrane			2.58	0.39	-1.36	-1.22	-1.52
206694_at	PNLIPRP1	0.001413	pancreatic lipase-related protein 1	lipid metabolism	catalytic activity	extracellular	Glycerolipid metabolism	GENMAPP/KEGG	1.6	1.27	-1.31	-0.96	-0.86
206701_x_at	EDNRB	0.043881	endothelin receptor type B	negative regulation of adenylate cyclase activity	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.69	1.95	-0.23	-1.18	-1.51
206782_s_at	DNAJC4	0.028946	DnaJ (Hsp40) homolog, subfamily C, member 4	protein folding	unfolded protein binding	integral to membrane			1.26	0.5	-0.48	-0.37	-1
206801_at	NPPB	0.043458	natriuretic peptide precursor B	cell surface receptor linked signal transduction	diuretic hormone activity	extracellular space			0.68	0.35	-0.21	-0.69	-0.13
206803_at	PDYN	0.009479							1.12	0.76	-1	-0.42	-0.52
206817_x_at	TNRC4	0.031483	trinucleotide repeat containing 4	nuclear mRNA splicing, via spliceosome	transcription factor activity	nucleus			0.42	0.78	-0.37	-0.73	-0.12
206822_s_at	L3MBTL	0.003006	l(3)mbt-like (Drosophila)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.29	2.16	-1.17	-1.35	-1.49
206824_at	CES4	0.013402	carboxylesterase 4-like	xenobiotic metabolism	carboxylesterase activity	endoplasmic reticulum			1.03	1.03	-1.19	-0.34	-0.56
206844_at	FBP2	0.018191	fructose-1,6-bisphosphatase 2	carbohydrate metabolism	fructose-2,6-bisphosphate 2-phosphatase activity		Glycolysis / Gluconeogenesis	GENMAPP/KEGG	0.37	0.68	-0.58	-0.21	-0.27
206848_at	HOXA7	0.016247							0.45	0.26	-0.36	-0.09	-0.27
206860_s_at	FLJ20323	0.023093	hypothetical protein FLJ20323						0.36	0.91	-0.38	-0.28	-0.64
206869_at	CHAD	0.024301	chondroadherin	regulation of cell growth	extracellular matrix structural constituent	extracellular matrix (sensu Metazoa)			0.27	0.71	-0.33	-0.18	-0.48
206884_s_at	SCEL	0.03495	sciellin	epidermis development		cytoplasm			0.74	1.57	-1.3	-0.16	-0.96
206889_at	ARHGDIG	0.007458	Rho GDP dissociation inhibitor (GDI) gamma	negative regulation of cell adhesion	Rho GDP-dissociation inhibitor activity	cytoplasmic vesicle			0.63	0.76	-0.72	-0.41	-0.27
206896_s_at	GNG7	0.048052	guanine nucleotide binding protein (G protein), gamma 7	signal transduction	signal transducer activity	heterotrimeric G-protein complex			0.25	1.45	-0.75	-0.49	-0.67
206922_at	VCY1B	0.031533	variable charge, Y-linked 1B						0.87	1.54	-0.63	-1.52	-0.31
206953_s_at	LPHN2	0.015896	latrophilin 2	neuropeptide signaling pathway	G-protein coupled receptor activity	integral to membrane			0.74	2.12	-1.02	-1.22	-1.22
207000_s_at	PPP3CC	0.044352	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)		phosphoprotein phosphatase activity	calcineurin complex	G_Protein_Signaling	GENMAPP/KEGG	1.01	1.14	0.09	-1.29	-0.91
207019_s_at	AKAP4	0.021819	A kinase (PRKA) anchor protein 4	cell motility	protein kinase A binding	cytoskeleton			0.63	2.07	-1.28	-0.99	-0.99
207022_s_at	LDHC	0.040585	lactate dehydrogenase C	glycolysis	L-lactate dehydrogenase activity		Glycolysis / Gluconeogenesis	GENMAPP/KEGG	1.03	0.67	-0.18	-1.15	-0.36
207054_at	IMPG1	0.033186	interphotoreceptor matrix proteoglycan 1	visual perception	receptor activity	extracellular matrix (sensu Metazoa)			0.66	0.66	-0.76	-0.56	0
207105_s_at	PIK3R2	0.020103	phosphoinositide-3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	intracellular signaling cascade	phosphatidylinositol 3-kinase activity	phosphoinositide 3-kinase complex	G13_Signaling_Pathway	GENMAPP/KEGG	0.62	0.64	-0.78	-0.2	-0.28
207108_s_at	IDN3	0.009782	Nipped-B homolog (Drosophila)	cell cycle		nucleus			0.7	0.81	-0.7	-0.65	-0.19
207118_s_at	MMP23A	0.003954	matrix metalloproteinase 23A	reproduction	metalloendopeptidase activity	extracellular matrix (sensu Metazoa)			1.47	0.89	-0.68	-0.84	-1.03
207138_at	PHF2	0.002348	PHD finger protein 2	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.26	1.54	-1.22	-1.14	-0.66
207179_at	TLX1	0.039541							0.66	0.39	-0.03	-0.38	-0.65
207187_at	JAK3	0.006975	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	protein amino acid phosphorylation	protein serine/threonine kinase activity	cytoskeleton			0.23	0.37	-0.19	-0.28	-0.13
207195_at	CNTN6	0.030524	contactin 6	cell adhesion					1.29	0.86	-1.3	-0.75	-0.12
207232_s_at	DZIP3	0.001365	zinc finger DAZ interacting protein 3						1.34	0.93	-0.91	-0.74	-0.77
207299_s_at	GRM1	0.007606	glutamate receptor, metabotropic 1	G-protein coupled receptor protein signaling pathway	metabotropic glutamate, GABA-B-like receptor activity	integral to plasma membrane	GPCRs_Class_C_Metabotropic_glutamate_pheromone	GENMAPP/KEGG	1.91	0.88	-1.07	-1.07	-1.07
207361_at	HBP1	0.000622	HMG-box transcription factor 1	regulation of transcription, DNA-dependent	DNA binding				0.7	0.85	-0.53	-0.62	-0.45
207437_at	NOVA1	0.014443	neuro-oncological ventral antigen 1	synaptic transmission	RNA binding	nucleus			1.78	0.95	-1.28	-1.23	-0.47
207461_at	CHD3	0.041028							1.54	1.07	-1.33	0.07	-1.35
207523_at	C6orf10	0.034783	chromosome 6 open reading frame 10						1.16	1.68	0	-1.46	-1.41
207565_s_at	MR1	0.006004	major histocompatibility complex, class I-related	immune response	MHC class I receptor activity	membrane			1.06	1.22	-0.76	-0.44	-1.16
207586_at	SHH	0.006354	sonic hedgehog homolog (Drosophila)	proteolysis and peptidolysis	peptidase activity				1.14	1.3	-1.1	-0.39	-1.06
207638_at	PRSS7	0.035816	protease, serine, 7 (enterokinase)	proteolysis and peptidolysis	chymotrypsin activity	brush border			1.17	0.96	-1.4	-0.15	-0.53
207728_at	ATF7IP	0.001693	activating transcription factor 7 interacting protein	DNA methylation	protein binding	nucleus			1.69	1.34	-1.04	-0.86	-1.4
207756_at	---	0.018178							0.75	2.4	-1.28	-1.32	-1.38
207767_s_at	EGR4	0.017845							0.45	0.88	-0.3	-0.34	-0.72
207801_s_at	RNF10	0.030712	ring finger protein 10	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			0.95	0.38	-0.73	-0.46	-0.19
207838_x_at	PBXIP1	0.020979	pre-B-cell leukemia transcription factor interacting protein 1	negative regulation of transcription	transcription corepressor activity	nucleus			1.55	1.07	-0.63	-1.59	-0.45
207849_at	IL2	0.001343	interleukin 2						1.04	1.41	-0.71	-1.02	-0.9
207913_at	CYP2F1	0.026211	cytochrome P450, family 2, subfamily F, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	0.59	2.04	-0.78	-1.32	-1.05
207915_at	MYCL2	0.015288	v-myc myelocytomatosis viral oncogene homolog 2 (avian)						0.77	1.34	-1.11	-0.77	-0.34
207955_at	CCL27	0.013256	chemokine (C-C motif) ligand 27	chemotaxis	chemokine activity	extracellular			0.85	1.7	-1.32	-0.85	-0.6
207966_s_at	GLG1	0.029911	golgi apparatus protein 1		receptor binding	Golgi membrane			0.82	0.98	-0.18	-0.45	-1.15
207979_s_at	CD8B1	0.024196	CD8 antigen, beta polypeptide 1 (p37)	immune response	protein binding	integral to plasma membrane			1.4	1.19	-0.28	-0.69	-1.6
208045_at	SPAR	0.033644	surfactant protein A binding protein	respiratory gaseous exchange	receptor activity	plasma membrane			1.64	0.77	-1.42	-0.9	-0.23
208104_s_at	THG-1	0.049415	TSC-22-like	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.13	0.6	-0.23	-0.15	-0.36
208158_s_at	OSBPL1A	0.003817	oxysterol binding protein-like 1A	lipid transport	phospholipid binding	intracellular			0.74	1.07	-0.7	-0.77	-0.41
208192_at	---	0.011157							0.91	2.02	-0.81	-1.29	-1.29
208198_x_at	KIR3DL1	0.049985	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	immune response	receptor activity	integral to plasma membrane			1.09	1.83	-1.42	-1.64	0.12
208373_s_at	P2RY6	0.015106	pyrimidinergic receptor P2Y, G-protein coupled, 6	G-protein signaling, coupled to IP3 second messenger (phospholipase C activating)	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1.24	1.43	-0.82	-0.37	-1.54
208407_s_at	CTNND1	0.028925	catenin (cadherin-associated protein), delta 1	cell-cell adhesion	structural molecule activity	nucleus			1.25	1.48	-0.09	-1.59	-1.04
208415_x_at	ING1	0.016731	inhibitor of growth family, member 1	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.78	0.38	-0.3	-0.6	-0.28
208492_at	RFXAP	0.042156	regulatory factor X-associated protein	transcription from Pol II promoter	transcription factor activity	nucleus			0.4	0.53	0.02	-0.57	-0.37
208522_s_at	PTCH	0.031447	patched homolog (Drosophila)	signal transduction	receptor activity	integral to plasma membrane			1.73	0.49	-1.13	-0.87	-0.54
208620_at	PCBP1	0.007495	poly(rC) binding protein 1	mRNA metabolism	single-stranded DNA binding	nucleus			0.94	1.07	-0.95	-0.82	-0.3
208634_s_at	MACF1	0.020882	microtubule-actin crosslinking factor 1	cell cycle arrest	actin binding	cytoskeleton			0.92	1.12	-1.23	-0.57	-0.24
208686_s_at	BRD2	0.015432	bromodomain containing 2	spermatogenesis	protein serine/threonine kinase activity	nucleus			0.62	1.55	-0.67	-1.03	-0.69
208702_x_at	APLP2	0.019497	amyloid beta (A4) precursor-like protein 2	G-protein coupled receptor protein signaling pathway	DNA binding	nucleus			1.6	1.49	-1.14	-1.75	-0.25
208704_x_at	APLP2	0.026229	amyloid beta (A4) precursor-like protein 2	G-protein coupled receptor protein signaling pathway	DNA binding	nucleus			2.37	0.71	-1.47	-1.53	-0.81
208741_at	SAP18	0.046382	sin3-associated polypeptide, 18kDa	regulation of transcription from Pol II promoter	transcription corepressor activity	histone deacetylase complex			0.19	0.99	-0.41	-0.32	-0.53
