Probe set	GeneSymbol	Gene Title	Geom mean  tissue-LAI	Geom mean  tissue-PTCL unsp	Fold difference of geom means	Parametric p-value	Geom mean cell-LAI	FC LAI cell/tissue	rank
213016_at	BBX	Bobby sox homolog (Drosophila)	55	98	0.56	2.29E-05			97
225041_at	HSMPP8	M-phase phosphoprotein, mpp8	43	76	0.56	6.54E-05			172
227049_at	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	23	41	0.56	2.40E-06			31
235152_at		CDNA FLJ42484 fis, clone BRACE2032182	20	36	0.56	2.68E-05			110
242916_at	CEP1	centrosomal protein 1	12	22	0.56	3.81E-05			131
201940_at	CPD	carboxypeptidase D	29	52	0.55	1.05E-03			682
212446_s_at	LASS6	LAG1 longevity assurance homolog 6 (S. cerevisiae)	19	35	0.55	2.95E-04			368
217985_s_at	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	38	69	0.55	7.41E-04			578
222306_at	MGC61571	Hypothetical protein MGC61571	9	17	0.55	2.55E-05			106
225619_at	FLJ30046	hypothetical protein FLJ30046	8	14	0.55	1.02E-03			676
225640_at	LOC401504	hypothetical gene supported by AK091718	77	138	0.55	1.03E-03			679
230285_at	DKFZp313A2432	hypothetical protein DKFZp313A2432	22	40	0.55	1.93E-04			299
206848_at	HOXA7	homeo box A7	20	36	0.54	1.44E-04			265
227978_s_at	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	17	32	0.54	1.49E-05			75
60471_at	RIN3	Ras and Rab interactor 3	39	71	0.54	1.46E-03			815
212989_at	TMEM23	transmembrane protein 23	10	19	0.53	1.63E-03			854
214467_at	GPR65	G protein-coupled receptor 65	70	132	0.53	1.09E-03			701
219352_at	HERC6	hect domain and RLD 6	20	37	0.53	3.41E-05			125
219691_at	SAMD9	sterile alpha motif domain containing 9	59	111	0.53	3.46E-05			127
227740_at	UHMK1	U2AF homology motif (UHM) kinase 1	43	81	0.53	3.12E-04			376
228654_at	LOC139886	hypothetical protein LOC139886	9	17	0.53	1.44E-03			811
1560503_a_at	TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	8	16	0.52	8.91E-04			638
201730_s_at	TPR	translocated promoter region (to activated MET oncogene)	106	201	0.52	1.16E-05			66
218986_s_at	FLJ20035	hypothetical protein FLJ20035	52	100	0.52	1.09E-03			698
228531_at	SAMD9	sterile alpha motif domain containing 9	85	161	0.52	9.80E-06			63
235457_at	MAML2	mastermind-like 2 (Drosophila)	31	60	0.52	3.43E-04			392
218025_s_at	PECI	peroxisomal D3,D2-enoyl-CoA isomerase	65	126	0.51	3.00E-04			370
232489_at	FLJ10287	hypothetical protein FLJ10287	7	14	0.5	1.13E-03			708
201565_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	184	369	0.49	1.33E-03			781
215175_at	PCNX	pecanex homolog (Drosophila)	19	40	0.48	1.77E-03			900
219863_at	HERC5	hect domain and RLD 5	54	111	0.48	5.32E-05			157
235048_at	KIAA0888	KIAA0888 protein	6	13	0.48	6.05E-04			511
206337_at	CCR7	chemokine (C-C motif) receptor 7 /// chemokine (C-C motif) receptor 7	162	347	0.46	1.21E-04			242
226757_at	IFIT2	interferon-induced protein with tetratricopeptide repeats 2	28	59	0.46	1.35E-03			791
201943_s_at	CPD	carboxypeptidase D	23	49	0.45	7.74E-05			191
217966_s_at	C1orf24	chromosome 1 open reading frame 24	35	76	0.45	1.91E-03			932
230000_at	C17orf27	chromosome 17 open reading frame 27	60	137	0.43	9.27E-04			651
238520_at	TRERF1	Transcriptional regulating factor 1	26	62	0.42	7.47E-04			579
226702_at	LOC129607	hypothetical protein LOC129607	50	123	0.4	8.15E-04			606
204747_at	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	40	105	0.38	3.84E-04			409
214453_s_at	IFI44	interferon-induced protein 44	39	109	0.36	9.60E-06			62
213797_at	RSAD2	radical S-adenosyl methionine domain containing 2	14	40	0.35	2.23E-04			320
242625_at	RSAD2	radical S-adenosyl methionine domain containing 2	11	30	0.35	3.30E-05			121
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	9	42	0.21	2.94E-05			116
204439_at	IFI44L	interferon-induced protein 44-like	29	163	0.17	7.10E-06			53
