Parametric p-value	Permutation p-value	Geom mean of ratios in class 1 : N	Geom mean of ratios in class 2 : R	Geom mean of ratios in class 3 : T	Unique id	Description	Clone	UG cluster	Gene symbol	Map
0.0008839	0.0025	0.86	1.24	1.009	161805	spindlin-like protein 2	2522604	Hs.82577	SPIN2	Xp11.23-p11.21
0.0008881	5.00E-04	1.548	3.749	3.777	166420	tubulin, beta, 5	1486358	Hs.110837	TUBB5	19p13.3
0.0008888	5.00E-04	0.776	1.144	1.153	163837	death associated transcription factor 1	1655225	Hs.155313	DATF1	20q13.33
0.0008932	0	0.759	0.503	1.206	160113	coagulation factor II (thrombin) receptor-like 1	1801553	Hs.154299	F2RL1	5q13
0.0009014	5.00E-04	0.688	0.414	0.371	165607	ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	1852849	Hs.13980	UTX	Xp11.2
0.0009014	0.001	1.603	0.774	0.946	165094	mitogen-activated protein kinase kinase kinase 10	2155126	Hs.30223	MAP3K10	19q13.2
0.0009054	0.0025	0.23	0.472	0.575	165420	insulin receptor tyrosine kinase substrate	1843971	Hs.23449	LOC55971	7q21.3
0.0009136	0	1.735	0.572	0.929	161357	interleukin 11	3138407	Hs.1721	IL11	19q13.3-q13.4
0.0009169	5.00E-04	0.749	0.933	1.104	160045	platelet-activating factor acetylhydrolase 2, 40kDa	3292380	Hs.234392	PAFAH2	1p34.3
0.0009265	0	1.124	0.633	0.769	161349	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	2640749	Hs.406	SLC6A3	5p15.3
0.0009334	5.00E-04	1.62	1.485	1.173	166921	peptide-histidine transporter 4	380220	Hs.355660	PTR4	12q24.32
0.0009351	0.001	1.787	2.386	2.633	165547	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1830335	NA	NA	NA
0.0009394	0	0.373	0.601	0.837	165644	KIAA0014 gene product	1952480	Hs.155650	KIAA0014	8q24.3
0.0009395	0	0.854	1.177	1.136	164257	hypothetical protein FLJ20699	1655377	Hs.15125	FLJ20699	22q13
0.0009532	0.0015	0.492	0.598	1.135	167120	stomatin	1853229	Hs.160483	STOM	9q34.1
0.0009536	0	0.768	1.853	2.045	162899	K562 cell-derived leucine-zipper-like protein 1	1405352	Hs.31854	KLP1	19q13.42
0.000956	5.00E-04	1.871	0.857	1.272	168437	KIAA0843 protein	958330	Hs.26777	KIAA0843	5q32
0.0009736	0	0.446	1.133	0.851	161406	Incyte EST	2720976	NA	NA	NA
0.0009854	0.0015	0.879	0.368	0.534	161553	basic leucine zipper nuclear factor 1 (JEM-1)	2459178	Hs.158205	BLZF1	1q24
0.0009868	0.002	0.824	0.409	0.627	168103	Homo sapiens cDNA FLJ23705 fis, clone HEP11066.	2105590	Hs.49136	NA	8
0.0009899	0	1.732	0.732	0.985	168651	inositol hexaphosphate kinase 1	546517	Hs.74579	IHPK1	3p21.31
0.0009938	0	0.675	0.369	0.21	160235	aryl-hydrocarbon receptor nuclear translocator 2	2113238	Hs.6111	ARNT2	15q24
0.0009962	0.001	0.828	1.178	1.089	162554	aquaporin 7	2304391	Hs.25475	AQP7	9p13
0.0009964	0.002	0.576	0.356	0.779	162736	Ste20-related serine/threonine kinase	1968259	Hs.105751	SLK	10q24.32
0.0009971	0.001	0.116	0.311	0.324	167045	chemokine (C-X3-C motif) ligand 1	1728607	Hs.80420	CX3CL1	16q13
