Gene	Clone	UG cluster	Fold-diff L/AT	t-value
meningioma expressed antigen 6 (coiled-coil proline-rich)	2378482	Hs.117242	0.71	-5.225
transmembrane protein 1	2285180	Hs.94479	0.71	-5.764
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1695917	Hs.831	0.71	-5.869
zinc finger protein 217	1926657	Hs.155040	0.71	-4.414
phospholipase D1, phophatidylcholine-specific	1330492	Hs.82587	0.71	-6.563
solute carrier family 39 (zinc transporter), member 4	630458	Hs.352415	0.7	-4.18
myosin, light polypeptide 5, regulatory	2118695	Hs.170482	0.7	-7.09
ESTs, Moderately similar to hypothetical protein FLJ13241 [Homo sapiens] [H.sapiens]	1220258	Hs.25661	0.7	-4.227
pre-B-cell colony-enhancing factor	1641590	Hs.239138	0.7	-6.953
egl nine homolog 1 (C. elegans)	3409394	Hs.6523	0.7	-5.341
aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	2070554	Hs.306098	0.7	-8.248
cathepsin L2	2935790	Hs.87417	0.7	-6.436
glutamate dehydrogenase 1	3136857	Hs.77508	0.7	-5.645
transmembrane receptor Unc5H2	2954801	Hs.183918	0.7	-4.76
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	743595	Hs.333303	0.7	-5.728
HIV-1 Tat interactive protein 2, 30kDa	975034	Hs.90753	0.7	-6.463
AU RNA binding protein/enoyl-Coenzyme A hydratase	1967178	Hs.81886	0.7	-4.034
nucleoporin 50kDa	1597207	Hs.367697	0.7	-3.838
interferon gamma receptor 2 (interferon gamma transducer 1)	1959740	Hs.177559	0.7	-3.917
ADP-ribosylation-like factor 8	3367716	Hs.220929	0.7	-4.841
diacylglycerol kinase, theta 110kDa	4776291	Hs.99932	0.69	-4.186
protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	3248342	Hs.57764	0.69	-8.203
UDP glycosyltransferase 2 family, polypeptide B4	2514328	Hs.89691	0.69	-3.786
REMOVED_FROM_DATABASE	90731		0.69	-4.938
cyclin D binding myb-like transcription factor 1	1637517	Hs.322404	0.69	-5.164
activin A receptor, type II	3742428	Hs.26014	0.69	-7.745
HUS1 checkpoint homolog (S. pombe)	2308302	Hs.152983	0.69	-3.647
absent in melanoma 1	2075425	Hs.161002	0.69	-3.659
microtubule associated testis specific serine/threonine protein kinase	942423	Hs.101474	0.69	-7.382
killer cell lectin-like receptor subfamily C, member 1	758924	Hs.74082	0.69	-8.251
sorting nexin 13	2191752	Hs.283881	0.69	-7.994
mitogen-activated protein kinase kinase kinase 13	4173045	Hs.377067	0.69	-5.89
procollagen (type III) N-endopeptidase	1925222	Hs.183138	0.68	-6.036
Link guanine nucleotide exchange factor II	1857048	Hs.118562	0.68	-7.359
serine/threonine kinase 17a (apoptosis-inducing)	2416415	Hs.9075	0.68	-6.041
cytoplasmic FMR1 interacting protein 1	1813281	Hs.77257	0.68	-3.958
EST, Highly similar to MPK2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK2) [H.sapiens]	2916879	Hs.400970	0.68	-6.292
microsomal glutathione S-transferase 3	2680410	Hs.111811	0.68	-7.431
interleukin 13 receptor, alpha 1	1476267	Hs.285115	0.68	-4.778
peroxiredoxin 1	3942594	Hs.180909	0.68	-6.997
cathepsin C	1822716	Hs.10029	0.68	-5.951
annexin A4	30291	Hs.77840	0.67	-4.204
baculoviral IAP repeat-containing 3	1513214	Hs.127799	0.67	-6.864
novel putative protein similar to YIL091C yeast hypothetical 84 kD protein from SGA1-KTR7	2844869	Hs.194754	0.67	-7.005
Down syndrome critical region gene 1	1650238	Hs.184222	0.67	-3.895
hypothetical protein MGC12904	2954586	Hs.7739	0.67	-5.506
ESTs	1453577	Hs.408829	0.67	-5.913
quinone oxidoreductase homolog	2395269	Hs.125910	0.67	-6.133
prostatic binding protein	2964940	Hs.80423	0.67	-5.037
ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	2922560	Hs.24359	0.66	-7.564
flavin containing monooxygenase 4	2462342	Hs.2664	0.66	-4.009
mercaptopyruvate sulfurtransferase	1755122	Hs.248267	0.66	-8.065
ephrin-A1	1845046	Hs.1624	0.66	-5.606
aldehyde dehydrogenase 3 family, member A2	2009053	Hs.159608	0.66	-5.654
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	1832973	Hs.333303	0.66	-8.106
heat shock 70kDa protein 1A	1696224	Hs.8997	0.66	-7.696
EST, Highly similar to JC5286 thiosulfate sulfurtransferase (EC 2.8.1.1) - human [H.sapiens]	1988239	Hs.397174	0.66	-4.6
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	1405940	Hs.41270	0.66	-7.452
ESTs	2957644	Hs.296031	0.66	-7.155
KIAA0528 gene product	1485355	Hs.30656	0.66	-6.476
voltage-dependent anion channel 1	2185405	Hs.149155	0.66	-7.731
EST	2802675	Hs.21415	0.66	-6.139
gene with multiple splice variants near HD locus on 4p16.3	1996601	Hs.325987	0.65	-4.805
putative L-type neutral amino acid transporter	2880132	Hs.110	0.65	-5.262
ESTs	64451	Hs.408932	0.65	-8.912
dystroglycan 1 (dystrophin-associated glycoprotein 1)	1461210	Hs.76111	0.65	-5.23
KIAA0063 gene product	3227603	Hs.3094	0.65	-4.18
filamin B, beta (actin binding protein 278)	1871362	Hs.81008	0.65	-8.812
propionyl Coenzyme A carboxylase, alpha polypeptide	196975	Hs.80741	0.65	-9.763
RecQ protein-like 5	1486257	Hs.33818	0.65	-7.06
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	2364159	Hs.13845	0.64	-5.422
protein phosphatase 1, catalytic subunit, gamma isoform	1697577	Hs.79081	0.64	-7.396
biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	2373443	Hs.351334	0.64	-5.176
hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	1997828	Hs.146812	0.64	-8.639
calpain 2, (m/II) large subunit	1889060	Hs.76288	0.64	-8.327
hypothetical protein FLJ20425	2233551	Hs.408794	0.64	-6.376
2-5-oligoadenylate synthetase 2, 69/71kDa	3214930	Hs.264981	0.64	-6.581
electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	702860	Hs.169919	0.64	-5.183
myosin XVB, pseudogene	1877949	Hs.286035	0.64	-3.839
glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2509789	Hs.93201	0.64	-3.939
small EDRK-rich factor 1A (telomeric)	1486513	Hs.32567	0.64	-4.979
3-phosphoadenosine 5-phosphosulfate synthase 2	1603408	Hs.274230	0.64	-6.308
monoglyceride lipase	2174920	Hs.6721	0.64	-7.743
glutaredoxin (thioltransferase)	1238577	Hs.28988	0.64	-8.455
kinesin family member 1B	1781525	Hs.375193	0.64	-7.584
hypothetical protein FLJ10462	3592281	Hs.100895	0.63	-8.089
cyclin-dependent kinase 3	1698903	Hs.100009	0.63	-5.474
ketohexokinase (fructokinase)	2516508	Hs.81454	0.63	-4.121
alcohol dehydrogenase 1C (class I), gamma polypeptide	1583076	Hs.2523	0.63	-5.236
mannose phosphate isomerase	2058250	Hs.75694	0.63	-4.883
serine/threonine kinase 38	3318571	Hs.8724	0.63	-5.686
interleukin 6 receptor	873406	Hs.193400	0.63	-6.878
baculoviral IAP repeat-containing 4	2912879	Hs.172777	0.63	-3.979
phosphatidylinositol transfer protein, membrane-associated	2018218	Hs.93837	0.63	-6.175
BCL2-antagonist/killer 1	2055687	Hs.93213	0.63	-4.808
plectin 1, intermediate filament binding protein 500kDa	187276	Hs.79706	0.63	-4.162
hook2 protein	1394835	Hs.30792	0.63	-4.854
aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	5033671	Hs.177687	0.63	-6.823
keratin 1 (epidermolytic hyperkeratosis)	1871440	Hs.80828	0.62	-6.912
interferon, alpha-inducible protein 27	2900277	Hs.278613	0.62	-4.06
hexokinase 2	2769888	Hs.198427	0.62	-4.505
voltage-dependent anion channel 1	2477073	Hs.149155	0.62	-8.996
calpastatin	1453748	Hs.9347	0.62	-3.703
solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	1939036	Hs.184276	0.62	-4.243
hypothetical protein MGC5178	1694591	Hs.274614	0.62	-7.429
ESTs	2416850	Hs.380683	0.62	-7.552
hypothetical protein MGC5178	2823937	Hs.274614	0.62	-4.334
solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	1509840	Hs.180408	0.62	-7.454
N-acetyltransferase 2 (arylamine N-acetyltransferase)	86365	Hs.2	0.62	-8.932
acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1988940	Hs.79158	0.62	-3.842
chromosome 6 open reading frame 4	3172982	Hs.7446	0.62	-4.972
myoglobin	2639181	Hs.118836	0.62	-6.034
serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	1904994	Hs.41072	0.61	-4.795
glioma tumor suppressor candidate region gene 1	1849419	Hs.97244	0.61	-12.001
peptidase D	978483	Hs.73947	0.61	-8.339
hypothetical protein FLJ10824	1457726	Hs.13273	0.61	-9.974
myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	1450849	Hs.76391	0.61	-6.617
KIAA0143 protein	517085	Hs.84087	0.61	-4.028
ectonucleotide pyrophosphatase/phosphodiesterase 1	1568123	Hs.11951	0.61	-6.176
Incyte EST	3441835		0.61	-7.652
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	1857756	Hs.13845	0.6	-5.691
carnitine O-octanoyltransferase	2317638	Hs.12743	0.6	-5.351
KIAA0222 gene product	2918541	Hs.48450	0.6	-4.688
DKFZP586A0522 protein	1965049	Hs.288771	0.6	-10.039
G-protein gamma-12 subunit	1640161	Hs.408936	0.6	-5.412
carbonyl reductase 1	1633249	Hs.88778	0.6	-5.166
MAX interacting protein 1	875567	Hs.118630	0.6	-3.684
arginase, type II	1683944	Hs.172851	0.6	-8.245
ESTs	1661184	Hs.89986	0.6	-7.498
aminolevulinate, delta-, synthase 1	943569	Hs.78712	0.59	-6.243
chromosome 22 open reading frame 19	1712347	Hs.75361	0.59	-12.363
phosphodiesterase 6A, cGMP-specific, rod, alpha	4544094	Hs.182240	0.59	-5.273
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	1921393	Hs.381003	0.58	-5.375
cystatin B (stefin B)	566886	Hs.695	0.58	-3.758
KIAA0914 gene product	1458366	Hs.177664	0.58	-3.855
enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	2235870	Hs.76394	0.58	-8.928
CCAAT/enhancer binding protein (C/EBP), alpha	1831207	Hs.76171	0.58	-10.096
pyruvate dehydrogenase kinase, isoenzyme 3	941077	Hs.193124	0.58	-4.719
Kallmann syndrome 1 sequence	1448093	Hs.89591	0.58	-7.115
malic enzyme 2, NAD(+)-dependent, mitochondrial	3485929	Hs.75342	0.57	-8.95
IQ motif containing GTPase activating protein 2	1877913	Hs.78993	0.57	-10.35
glutaminase	1832644	Hs.239189	0.57	-8.74
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1920756	Hs.80612	0.57	-4.025
N-acetyltransferase 8 (camello like)	2675427	Hs.14637	0.57	-7.828
Sec23 homolog A (S. cerevisiae)	974896	Hs.272927	0.56	-4.98
carnitine acetyltransferase	1506256	Hs.12068	0.56	-11.494
solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	2098990	Hs.91139	0.56	-10.993
ESTs	2751837	Hs.112607	0.56	-4.868
caspase 7, apoptosis-related cysteine protease	1421493	Hs.9216	0.56	-9.036
interferon stimulated gene 20kDa	2238363	Hs.183487	0.56	-5.794
L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	1550727		0.56	-3.718
EST, Weakly similar to PC1_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I ; Nucleotide pyrophosphatase (NPPASE)] [H.sapiens]	1807264	Hs.264750	0.56	-6.974
chromosome 20 open reading frame 3	1967339	Hs.22391	0.56	-8.23
KIAA0528 gene product	2918605	Hs.30656	0.56	-9.847
thyroid hormone receptor interactor 10	1655192	Hs.73999	0.55	-4.207
kinesin-associated protein 3	1633816	Hs.171374	0.55	-6.67
EST	1740542	Hs.49476	0.55	-4.453
natural killer cell transcript 4	395086	Hs.943	0.55	-5.444
homeo box A9	459651	Hs.127428	0.55	-11.108
glycerol kinase	4328766	Hs.1466	0.55	-9.017
chromosome 9 open reading frame 10	2808775	Hs.76666	0.55	-5.398
nuclear receptor subfamily 1, group H, member 3	1512213	Hs.347353	0.55	-11.854
UDP glycosyltransferase 1 family, polypeptide A4	86450	Hs.2056	0.55	-5.785
microsomal glutathione S-transferase 1	1995380	Hs.355733	0.55	-5.919
potassium voltage-gated channel, Shaw-related subfamily, member 1	5015259	Hs.181768	0.55	-5.431
electron-transferring-flavoprotein dehydrogenase	1833352	Hs.323468	0.54	-9.805
defensin, beta 1	2912830	Hs.32949	0.54	-3.664
peroxisomal biogenesis factor 11A	3114289	Hs.31034	0.54	-14.327
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1814378	Hs.80612	0.53	-8.74
UDP-glucose dehydrogenase	3070110	Hs.28309	0.53	-5.047
ESTs	2689747	Hs.164005	0.53	-4.509
steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	2189593	Hs.1989	0.52	-3.964
Human calcium-binding protein chp mRNA, complete cds	1869139	Hs.401014	0.52	-6.573
KIAA0677 gene product	876860	Hs.155983	0.52	-5.474
coronin, actin binding protein, 2A	2210264	Hs.44396	0.52	-8.342
enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	755574	Hs.1531	0.52	-6.328
acyl-Coenzyme A oxidase 3, pristanoyl	1626675	Hs.12773	0.52	-4.283
guanine nucleotide binding protein 10	1853229	Hs.160483	0.51	-5.164
phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	1602986	Hs.21492	0.51	-4.749
peroxisome proliferative activated receptor, gamma	1668572	Hs.100724	0.51	-7.029
death-associated protein kinase 2	1538118	Hs.129208	0.5	-5.138
RAB30, member RAS oncogene family	3232045	Hs.159505	0.5	-4.666
EST	633326	Hs.401129	0.5	-6.856
adipose differentiation-related protein	1985104	Hs.3416	0.49	-6.561
hydroxysteroid (17-beta) dehydrogenase 2	2768542	Hs.155109	0.49	-4.03
eyes absent homolog 2 (Drosophila)	2187925	Hs.29279	0.49	-8.593
hydroxyprostaglandin dehydrogenase 15-(NAD)	1578941	Hs.77348	0.49	-5.926
angiotensin II receptor, type 1	630995	Hs.89472	0.48	-8.1
heme oxygenase (decycling) 1	1879811	Hs.202833	0.48	-3.923
hypothetical protein FLJ11196	2286466	Hs.6166	0.47	-5.242
neuro-oncological ventral antigen 1	3732858	Hs.214	0.47	-3.718
tyrosine kinase, non-receptor, 1	1602069	Hs.203420	0.47	-3.693
hypothetical protein IR1899308	1444895	Hs.142846	0.46	-6.118
solute carrier family 27 (fatty acid transporter), member 2	2658782	Hs.11729	0.46	-5.717
Incyte EST	2255234		0.46	-6.17
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	963211	Hs.388080	0.45	-4.544
solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	4073012	Hs.239106	0.45	-9.821
v-ets erythroblastosis virus E26 oncogene like (avian)	2134363	Hs.45514	0.45	-6.642
uridine phosphorylase	1806435	Hs.77573	0.44	-3.741
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	212573	Hs.226307	0.44	-9.086
deafness, autosomal dominant 5	1491445	Hs.13530	0.44	-7.567
hypothetical protein MGC11034	1998510	Hs.103378	0.43	-12.147
glutamic-pyruvate transaminase (alanine aminotransferase)	1630709	Hs.103502	0.43	-5.309
basigin (OK blood group)	2182907	Hs.74631	0.43	-6.414
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	887868	Hs.388080	0.42	-6.728
SH3-domain GRB2-like 2	2157981	Hs.75149	0.41	-3.723
2,5-oligoadenylate synthetase 1, 40/46kDa	1701725	Hs.82396	0.41	-6.89
solute carrier family 23 (nucleobase transporters), member 2	2895047	Hs.136529	0.4	-11.571
EST	1813156	Hs.401106	0.4	-6.531
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1807407	Hs.59889	0.39	-7.884
adenosine A2b receptor	2479664	Hs.45743	0.38	-8.657
prominin-like 1 (mouse)	2070568	Hs.112360	0.38	-3.9
coagulation factor C homolog, cochlin (Limulus polyphemus)	2844026	Hs.21016	0.38	-4.745
carnitine deficiency-associated gene expressed in ventricle 1	1494531	Hs.333120	0.37	-4.12
ATP-binding cassette, sub-family G (WHITE), member 2	1501080	Hs.194720	0.36	-6.238
solute carrier family 38, member 4	778212	Hs.165655	0.36	-8.538
acyl-Coenzyme A oxidase 1, palmitoyl	1798585	Hs.379991	0.36	-6.408
homeo box B6	606814	Hs.98428	0.36	-14.919
glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	1966455	Hs.934	0.35	-6.454
glypican 3	645584	Hs.119651	0.35	-6.314
neuropilin (NRP) and tolloid (TLL)-like 2	2159146	Hs.6823	0.35	-5.951
MAWD binding protein	1812030	Hs.16341	0.34	-5.632
NAD(P)H dehydrogenase, quinone 1	2637222	Hs.80706	0.34	-6.63
solute carrier family 16 (monocarboxylic acid transporters), member 1	1981569	Hs.75231	0.31	-15.124
apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	1634063	Hs.560	0.3	-5.185
differentially expressed in hematopoietic lineages	1903267	Hs.273321	0.29	-6.639
solute carrier family 16 (monocarboxylic acid transporters), member 1	733668	Hs.75231	0.28	-14.069
cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 18	2595728		0.27	-5.487
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	182802	Hs.38586	0.23	-7.439
solute carrier family 20 (phosphate transporter), member 1	1846463	Hs.78452	0.22	-6.371
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	942100	Hs.825	0.22	-15.311
nuclear receptor subfamily 1, group H, member 4	214180	Hs.171683	0.18	-10.991
paired-like homeodomain transcription factor 2	2794019	Hs.92282	0.17	-8.714
regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	2923150	Hs.1032	0.17	-6.185
alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	2771046	Hs.1239	0.17	-9.181
meprin A, beta	2234609	Hs.194777	0.1	-13.044
ethanolamine kinase	2718565	Hs.120439	0.08	-19.763
