Gene	Clone	UG cluster	Fold-diff L/AT	t-value
KIAA0143 protein	1739863	Hs.84087	0.72	-6.525
interleukin 13 receptor, alpha 1	1476267	Hs.285115	0.72	-5.14
syndecan binding protein (syntenin) 2	1943485	Hs.64179	0.72	-5.498
Hermansky-Pudlak syndrome 1	2203196	Hs.83951	0.72	-5.52
EST, Highly similar to AT9B_HUMAN Potential phospholipid-transporting ATPase IIB (HUSSY-20) [H.sapiens]	1454703	Hs.396879	0.72	-5.026
Down syndrome critical region gene 3	1494184	Hs.26146	0.72	-5.934
nucleoporin 50kDa	1597207	Hs.367697	0.72	-6.931
hypothetical protein BC017169	31521	Hs.75639	0.72	-5.362
H2A histone family, member L	2514926	Hs.28777	0.72	-5.707
target of myb1 (chicken)	3119252	Hs.9482	0.71	-4.381
protein kinase C, delta	613603	Hs.155342	0.71	-5.026
protease, serine, 12 (neurotrypsin, motopsin)	2500511	Hs.22404	0.71	-5.108
aryl hydrocarbon receptor nuclear translocator-like	2345343	Hs.74515	0.71	-4.615
CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2060621	Hs.42346	0.71	-4.208
ADP-ribosyltransferase 3	2011270	Hs.24976	0.71	-9.385
REMOVED_FROM_DATABASE	90731		0.71	-7.21
sperm associated antigen 9	2004896	Hs.129872	0.71	-7.466
dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	2253906	Hs.173135	0.71	-3.845
sudD suppressor of bimD6 homolog (A. nidulans)	1730689	Hs.209061	0.71	-5.691
hypothetical protein DKFZp434M0331	2921913	Hs.48219	0.7	-6.908
dimethylarginine dimethylaminohydrolase 2	1911142	Hs.247362	0.7	-4.249
NCK adaptor protein 1	1833038	Hs.54589	0.7	-7.401
pyruvate dehydrogenase kinase, isoenzyme 2	1268470	Hs.92261	0.7	-3.979
cytoplasmic FMR1 interacting protein 1	1920037	Hs.77257	0.7	-5.408
PDZ-LIM protein mystique	1878490	Hs.389920	0.7	-4.14
Human casein kinase I delta mRNA, complete cds	1995389	Hs.401052	0.7	-5.757
ketohexokinase (fructokinase)	2516508	Hs.81454	0.69	-6.974
hypothetical protein FLJ22301	1963819	Hs.181406	0.69	-5.094
sequestosome 1	1943110	Hs.182248	0.69	-5.191
microsomal glutathione S-transferase 3	2680410	Hs.111811	0.69	-4.972
ESTs	1668733	Hs.408829	0.69	-4.098
protein tyrosine phosphatase, receptor type, F	2626971	Hs.75216	0.69	-4.817
cytochrome c	1926255	Hs.169248	0.69	-4.698
transmembrane protein 1	2285180	Hs.94479	0.69	-5.659
KIAA0410 gene product	3387976	Hs.408856	0.69	-5.74
protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	3248342	Hs.57764	0.69	-6.024
meningioma expressed antigen 6 (coiled-coil proline-rich)	2378482	Hs.117242	0.69	-5.413
phospholipase A2, group IB (pancreas)	2383830	Hs.992	0.69	-4.76
peroxiredoxin 1	3942594	Hs.180909	0.69	-6.086
Rho-specific guanine nucleotide exchange factor p114	1734113	Hs.6150	0.69	-5.461
HIV-1 Tat interactive protein 2, 30kDa	975034	Hs.90753	0.69	-5.591
phospholipase D1, phophatidylcholine-specific	1330492	Hs.82587	0.69	-5.678
glutamate dehydrogenase 1	3136857	Hs.77508	0.69	-4.836
EST, Highly similar to GSH1_HUMAN Glutamate--cysteine ligase catalytic subunit (Gamma-glutamylcysteine synthetase) (Gamma-ECS) (GCS heavy chain) [H.sapiens]	818192	Hs.151393	0.68	-6.423
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1695917	Hs.831	0.68	-4.874
nucleotide-sugar transporter similar to C. elegans sqv-7	1634141	Hs.90078	0.68	-6.811
baculoviral IAP repeat-containing 4	2912879	Hs.172777	0.68	-6.522
serine/threonine kinase 17a (apoptosis-inducing)	2416415	Hs.9075	0.68	-6.746
absent in melanoma 1	2075425	Hs.161002	0.68	-4.507
interferon gamma receptor 2 (interferon gamma transducer 1)	1959740	Hs.177559	0.68	-6.25
transmembrane receptor Unc5H2	2954801	Hs.183918	0.68	-6.806
AU RNA binding protein/enoyl-Coenzyme A hydratase	1967178	Hs.81886	0.68	-9.48
sorting nexin 13	2191752	Hs.283881	0.68	-6.786
annexin A4	30291	Hs.77840	0.68	-4.881
procollagen (type III) N-endopeptidase	1925222	Hs.183138	0.68	-4.22
BCL2-antagonist/killer 1	2055687	Hs.93213	0.67	-4.925
cathepsin C	1822716	Hs.10029	0.67	-4.933
small EDRK-rich factor 1A (telomeric)	1486513	Hs.32567	0.67	-5.262
branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1759220	Hs.1265	0.67	-8.117
baculoviral IAP repeat-containing 3	1513214	Hs.127799	0.67	-5.352
diacylglycerol kinase, theta 110kDa	4776291	Hs.99932	0.67	-7.891
flavin containing monooxygenase 4	2462342	Hs.2664	0.67	-6.144
activin A receptor, type II	3742428	Hs.26014	0.67	-6.02
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	743595	Hs.333303	0.67	-5.59
ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	2922560	Hs.24359	0.67	-8.409
Link guanine nucleotide exchange factor II	1857048	Hs.118562	0.67	-6.416
ephrin-A1	1845046	Hs.1624	0.66	-5.187
ESTs	2957644	Hs.296031	0.66	-7.009
solute carrier family 39 (zinc transporter), member 4	630458	Hs.352415	0.66	-5.453
cytoplasmic FMR1 interacting protein 1	1813281	Hs.77257	0.66	-5.818
hypothetical protein DKFZp564D0462	1803721	Hs.389078	0.66	-4.258
transgelin 2	3199352	Hs.75725	0.66	-5.236
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	1832973	Hs.333303	0.66	-5.628
zinc finger protein 217	1926657	Hs.155040	0.66	-6.934
dystroglycan 1 (dystrophin-associated glycoprotein 1)	1461210	Hs.76111	0.66	-6.598
hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	1600442	Hs.75860	0.66	-3.866
novel putative protein similar to YIL091C yeast hypothetical 84 kD protein from SGA1-KTR7	2844869	Hs.194754	0.66	-5.679
glutaredoxin (thioltransferase)	1238577	Hs.28988	0.65	-6.291
EST	2802675	Hs.21415	0.65	-8.064
HUS1 checkpoint homolog (S. pombe)	2308302	Hs.152983	0.65	-7.6
interferon, alpha-inducible protein 27	2900277	Hs.278613	0.65	-3.887
protein phosphatase 1, catalytic subunit, gamma isoform	1697577	Hs.79081	0.65	-7.334
phosphodiesterase 6A, cGMP-specific, rod, alpha	4544094	Hs.182240	0.65	-4.538
mannose phosphate isomerase	2058250	Hs.75694	0.65	-4.817
egl nine homolog 1 (C. elegans)	3409394	Hs.6523	0.65	-7.442
quinone oxidoreductase homolog	2395269	Hs.125910	0.65	-6.543
hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	1997828	Hs.146812	0.65	-4.997
prostatic binding protein	2964940	Hs.80423	0.64	-5.872
EST, Highly similar to MPK2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK2) [H.sapiens]	2916879	Hs.400970	0.64	-6.606
putative L-type neutral amino acid transporter	2880132	Hs.110	0.64	-7.556
mercaptopyruvate sulfurtransferase	1755122	Hs.248267	0.64	-7.04
keratin 1 (epidermolytic hyperkeratosis)	1871440	Hs.80828	0.64	-4.124
aldehyde dehydrogenase 3 family, member A2	2009053	Hs.159608	0.64	-6.66
glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2509789	Hs.93201	0.64	-5.768
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	1405940	Hs.41270	0.64	-5.418
EST, Highly similar to JC5286 thiosulfate sulfurtransferase (EC 2.8.1.1) - human [H.sapiens]	1988239	Hs.397174	0.64	-6.477
voltage-dependent anion channel 1	2185405	Hs.149155	0.64	-7.05
biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	2373443	Hs.351334	0.64	-8.909
electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	702860	Hs.169919	0.64	-6.242
G-protein gamma-12 subunit	1640161	Hs.408936	0.64	-7.383
KIAA0222 gene product	2918541	Hs.48450	0.64	-6.004
gene with multiple splice variants near HD locus on 4p16.3	1996601	Hs.325987	0.63	-9.557
myosin XVB, pseudogene	1877949	Hs.286035	0.63	-5.279
mitogen-activated protein kinase kinase kinase 13	4173045	Hs.377067	0.63	-9.084
KIAA0528 gene product	1485355	Hs.30656	0.63	-4.812
ectonucleotide pyrophosphatase/phosphodiesterase 1	1568123	Hs.11951	0.63	-10.41
ESTs	1453577	Hs.408829	0.63	-4.843
ESTs	64451	Hs.408932	0.63	-4.461
calpain 2, (m/II) large subunit	1889060	Hs.76288	0.62	-4.293
hypothetical protein FLJ10824	1457726	Hs.13273	0.62	-6.765
phosphatidylinositol transfer protein, membrane-associated	2018218	Hs.93837	0.62	-4.801
DKFZP586A0522 protein	1965049	Hs.288771	0.62	-4.254
hypothetical protein MGC12904	2954586	Hs.7739	0.62	-7.724
microtubule associated testis specific serine/threonine protein kinase	942423	Hs.101474	0.62	-6.416
monoglyceride lipase	2174920	Hs.6721	0.62	-6.906
filamin B, beta (actin binding protein 278)	1871362	Hs.81008	0.62	-6.67
acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1988940	Hs.79158	0.61	-8.127
hypothetical protein FLJ20699	1655377	Hs.15125	0.61	-6.747
propionyl Coenzyme A carboxylase, alpha polypeptide	196975	Hs.80741	0.61	-8.435
calpastatin	1453748	Hs.9347	0.61	-5.471
Down syndrome critical region gene 1	1650238	Hs.184222	0.61	-4.299
chromosome 22 open reading frame 19	1712347	Hs.75361	0.61	-9.731
serine/threonine kinase 38	3318571	Hs.8724	0.61	-9.41
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	2364159	Hs.13845	0.61	-7.012
kinesin family member 1B	1781525	Hs.375193	0.61	-7.741
3-phosphoadenosine 5-phosphosulfate synthase 2	1603408	Hs.274230	0.61	-5.71
serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	1904994	Hs.41072	0.6	-4.42
peptidase D	978483	Hs.73947	0.6	-6.199
myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	1450849	Hs.76391	0.6	-5.471
glioma tumor suppressor candidate region gene 1	1849419	Hs.97244	0.6	-7.605
EST	1740542	Hs.49476	0.59	-4.362
solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	1509840	Hs.180408	0.59	-4.187
solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	1939036	Hs.184276	0.59	-7.267
hook2 protein	1394835	Hs.30792	0.59	-7.914
arginase, type II	1683944	Hs.172851	0.59	-5.727
itchy homolog E3 ubiquitin protein ligase (mouse)	2383269	Hs.98074	0.59	-7.222
ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1275854	Hs.1526	0.59	-4.479
KIAA0143 protein	517085	Hs.84087	0.59	-9.459
ESTs	2416850	Hs.380683	0.59	-7.298
hypothetical protein MGC5178	2823937	Hs.274614	0.59	-6.753
interleukin 6 receptor	873406	Hs.193400	0.59	-7.98
aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	5033671	Hs.177687	0.59	-5.042
KIAA0063 gene product	3227603	Hs.3094	0.58	-6.66
ESTs	1661184	Hs.89986	0.58	-4.397
voltage-dependent anion channel 1	2477073	Hs.149155	0.58	-10.622
hypothetical protein MGC5178	1694591	Hs.274614	0.58	-5.833
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1920756	Hs.80612	0.58	-9.327
cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 8	168865	Hs.174220	0.58	-4.906
alcohol dehydrogenase 1C (class I), gamma polypeptide	1583076	Hs.2523	0.58	-6.634
carbonyl reductase 1	1633249	Hs.88778	0.57	-8.862
KIAA0914 gene product	1458366	Hs.177664	0.57	-7.186
RecQ protein-like 5	1486257	Hs.33818	0.57	-7.019
L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	1550727		0.57	-7.217
ATP-binding cassette, sub-family C (CFTR/MRP), member 1	1725675	Hs.89433	0.57	-5.643
malic enzyme 2, NAD(+)-dependent, mitochondrial	3485929	Hs.75342	0.56	-6.331
Incyte EST	3441835		0.56	-8.424
cystatin B (stefin B)	566886	Hs.695	0.56	-10.244
protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	1426049	Hs.109299	0.56	-3.806
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	1857756	Hs.13845	0.56	-8.339
MAX interacting protein 1	875567	Hs.118630	0.56	-8.096
serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	2595929	Hs.183583	0.55	-4.083
kinesin-associated protein 3	1633816	Hs.171374	0.55	-9.617
IQ motif containing GTPase activating protein 2	1877913	Hs.78993	0.55	-7.806
glutaminase	1832644	Hs.239189	0.55	-13.527
aminolevulinate, delta-, synthase 1	943569	Hs.78712	0.55	-6.324
Human calcium-binding protein chp mRNA, complete cds	1869139	Hs.401014	0.55	-7.807
interferon stimulated gene 20kDa	2238363	Hs.183487	0.55	-5.673
KIAA0677 gene product	876860	Hs.155983	0.54	-5.42
homeo box A9	459651	Hs.127428	0.54	-4.518
natural killer cell transcript 4	395086	Hs.943	0.54	-4.485
carnitine acetyltransferase	1506256	Hs.12068	0.54	-6.678
nuclear receptor subfamily 1, group H, member 3	1512213	Hs.347353	0.54	-9.477
EST, Weakly similar to PC1_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I ; Nucleotide pyrophosphatase (NPPASE)] [H.sapiens]	1807264	Hs.264750	0.54	-4.554
chromosome 20 open reading frame 3	1967339	Hs.22391	0.54	-9.501
solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	2098990	Hs.91139	0.53	-5.495
microsomal glutathione S-transferase 1	1995380	Hs.355733	0.53	-5.703
Sec23 homolog A (S. cerevisiae)	974896	Hs.272927	0.53	-7.807
ESTs	2689747	Hs.164005	0.53	-3.778
peroxisomal biogenesis factor 11A	3114289	Hs.31034	0.53	-12.491
KIAA0528 gene product	2918605	Hs.30656	0.53	-10.202
enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	2235870	Hs.76394	0.53	-7.876
caspase 7, apoptosis-related cysteine protease	1421493	Hs.9216	0.52	-9.029
pyruvate dehydrogenase kinase, isoenzyme 3	941077	Hs.193124	0.52	-6.599
electron-transferring-flavoprotein dehydrogenase	1833352	Hs.323468	0.52	-8.186
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1814378	Hs.80612	0.51	-7.785
eyes absent homolog 2 (Drosophila)	2187925	Hs.29279	0.51	-6.189
glycerol kinase	4328766	Hs.1466	0.51	-6.146
thyroid hormone receptor interactor 10	1655192	Hs.73999	0.5	-5.419
UDP-glucose dehydrogenase	3070110	Hs.28309	0.5	-4.823
chromosome 9 open reading frame 10	2808775	Hs.76666	0.5	-4.813
guanine nucleotide binding protein 10	1853229	Hs.160483	0.5	-6.947
potassium voltage-gated channel, Shaw-related subfamily, member 1	5015259	Hs.181768	0.49	-9.116
death-associated protein kinase 2	1538118	Hs.129208	0.49	-6.265
enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	755574	Hs.1531	0.49	-8.769
coronin, actin binding protein, 2A	2210264	Hs.44396	0.49	-7.593
tyrosine kinase, non-receptor, 1	1602069	Hs.203420	0.49	-4.543
Homo sapiens unknown mRNA	4299057	Hs.20707	0.49	-5.35
phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	1602986	Hs.21492	0.48	-4.46
peroxisome proliferative activated receptor, gamma	1668572	Hs.100724	0.48	-4.861
hypothetical protein IR1899308	1444895	Hs.142846	0.47	-5.786
cytochrome P450, subfamily IVF, polypeptide 12	1985566	Hs.180570	0.47	-3.851
RAB30, member RAS oncogene family	3232045	Hs.159505	0.45	-4.585
v-ets erythroblastosis virus E26 oncogene like (avian)	2134363	Hs.45514	0.44	-4.063
hydroxyprostaglandin dehydrogenase 15-(NAD)	1578941	Hs.77348	0.44	-6.242
solute carrier family 23 (nucleobase transporters), member 2	2895047	Hs.136529	0.43	-9.539
EST	633326	Hs.401129	0.43	-5.014
glutamic-pyruvate transaminase (alanine aminotransferase)	1630709	Hs.103502	0.43	-4.666
basigin (OK blood group)	2182907	Hs.74631	0.43	-5.252
solute carrier family 27 (fatty acid transporter), member 2	2658782	Hs.11729	0.43	-7.763
adipose differentiation-related protein	1985104	Hs.3416	0.42	-8.428
hypothetical protein MGC11034	1998510	Hs.103378	0.42	-10.962
uridine phosphorylase	1806435	Hs.77573	0.42	-8.802
hydroxysteroid (17-beta) dehydrogenase 2	2768542	Hs.155109	0.42	-4.718
heme oxygenase (decycling) 1	1879811	Hs.202833	0.42	-9.63
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	963211	Hs.388080	0.41	-8.909
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	212573	Hs.226307	0.41	-7.022
Incyte EST	2255234		0.41	-6.014
solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	4073012	Hs.239106	0.39	-7.392
PTK6 protein tyrosine kinase 6	3255437	Hs.51133	0.39	-4.226
prominin-like 1 (mouse)	2070568	Hs.112360	0.38	-8.242
2,5-oligoadenylate synthetase 1, 40/46kDa	1701725	Hs.82396	0.36	-6.276
NAD(P)H dehydrogenase, quinone 1	2637222	Hs.80706	0.36	-5.471
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	887868	Hs.388080	0.36	-7.522
EST	1813156	Hs.401106	0.36	-11.067
adenosine A2b receptor	2479664	Hs.45743	0.35	-4.454
neuropilin (NRP) and tolloid (TLL)-like 2	2159146	Hs.6823	0.35	-5.587
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1807407	Hs.59889	0.33	-8.154
acyl-Coenzyme A oxidase 1, palmitoyl	1798585	Hs.379991	0.33	-13.088
carnitine deficiency-associated gene expressed in ventricle 1	1494531	Hs.333120	0.33	-3.798
glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	1966455	Hs.934	0.32	-7.262
MAWD binding protein	1812030	Hs.16341	0.32	-4.875
glypican 3	645584	Hs.119651	0.32	-6.347
ATP-binding cassette, sub-family G (WHITE), member 2	1501080	Hs.194720	0.32	-8.077
solute carrier family 38, member 4	778212	Hs.165655	0.3	-6.679
homeo box B6	606814	Hs.98428	0.3	-6.918
solute carrier family 16 (monocarboxylic acid transporters), member 1	1981569	Hs.75231	0.29	-13.71
differentially expressed in hematopoietic lineages	1903267	Hs.273321	0.28	-5.393
solute carrier family 16 (monocarboxylic acid transporters), member 1	733668	Hs.75231	0.26	-12.558
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	182802	Hs.38586	0.24	-6.071
apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	1634063	Hs.560	0.24	-5.824
cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 18	2595728		0.22	-7.491
solute carrier family 20 (phosphate transporter), member 1	1846463	Hs.78452	0.2	-16.061
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	942100	Hs.825	0.2	-5.632
nuclear receptor subfamily 1, group H, member 4	214180	Hs.171683	0.16	-9.444
alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	2771046	Hs.1239	0.15	-7.824
paired-like homeodomain transcription factor 2	2794019	Hs.92282	0.13	-8.926
regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	2923150	Hs.1032	0.11	-8.678
meprin A, beta	2234609	Hs.194777	0.08	-15.037
ethanolamine kinase	2718565	Hs.120439	0.07	-19.742
