Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
TNFSF12	8742	NM_003809	205611_at	-0.149793927	0.027826862	-0.177620789	tumor necrosis factor (ligand) superfamily, member 12	---	---	angiogenesis /// positive regulation of endothelial cell proliferation /// apoptosis /// induction of apoptosis /// immune response /// signal transduction /// multicellular organismal development /// cell differentiation /// endothelial cell migration /// positive regulation of angiogenesis	receptor binding /// cytokine activity /// tumor necrosis factor receptor binding /// protein binding	extracellular space /// integral to plasma membrane /// membrane /// integral to membrane /// perinuclear region of cytoplasm
TNFSF12-TNFSF13 /// TNFSF13	8741	NM_003808	209499_x_at	-0.200952144	0.03725975	-0.238211894	tumor necrosis factor (ligand) superfamily, member 13 /// tumor necrosis factor (ligand) superfamily, member 12-member 13	---	---	angiogenesis /// positive regulation of endothelial cell proliferation /// apoptosis /// induction of apoptosis /// immune response /// signal transduction /// multicellular organismal development /// cell death /// positive regulation of cell proliferation /// cell differentiation /// endothelial cell migration /// positive regulation of angiogenesis /// positive regulation of isotype switching to IgA isotypes	receptor binding /// cytokine activity /// tumor necrosis factor receptor binding /// protein binding	extracellular region /// extracellular space /// integral to plasma membrane /// membrane /// integral to membrane /// perinuclear region of cytoplasm
TOB2	10766	NM_016272	221496_s_at	-0.029700947	0.040898748	-0.070599695	transducer of ERBB2, 2	---	---	regulation of progression through cell cycle /// female gamete generation /// negative regulation of cell proliferation	---	nucleus
	6955		213830_at	-0.048895215	0.049398111	-0.098293326	T cell receptor alpha locus	---	---	immune response /// cellular defense response	receptor activity /// protein binding /// MHC protein binding /// peptide antigen binding	plasma membrane /// integral to plasma membrane /// membrane
TRIM22	10346	NM_006074	213293_s_at	-0.174243137	0.070860769	-0.245103906	tripartite motif-containing 22	---	---	regulation of transcription, DNA-dependent /// immune response /// response to virus	transcription factor activity /// transcription corepressor activity /// protein binding /// zinc ion binding /// metal ion binding	intracellular /// nucleus
UBE2C	5063	NM_002578	202954_at	0.409424257	-0.177629519	0.587053776	ubiquitin-conjugating enzyme E2C	---	---	protein modification process /// ubiquitin-dependent protein catabolic process /// ubiquitin cycle /// cell cycle /// cell cycle /// spindle organization and biogenesis /// mitosis /// cyclin catabolic process /// protein ubiquitination /// positive regulation of exit from mitosis /// phosphoinositide-mediated signaling /// cell division	ubiquitin-protein ligase activity /// ubiquitin-protein ligase activity /// ligase activity /// small conjugating protein ligase activity	---
XBP1	7494	NM_005080	200670_at	-0.192825241	-0.040777318	-0.152047923	X-box binding protein 1	---	---	transcription /// regulation of transcription, DNA-dependent /// immune response	DNA binding /// DNA binding /// transcription factor activity /// transcription factor activity /// sequence-specific DNA binding /// protein dimerization activity	nucleus /// nucleus
XCL1	6375	NM_002995	206365_at	0.01146981	0.051469336	-0.039999526	chemokine (C motif) ligand 1	---	---	calcium ion homeostasis /// chemotaxis /// chemotaxis /// immune response /// signal transduction /// cell-cell signaling /// cell-cell signaling /// circulation	cytokine activity /// cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space /// soluble fraction
XCL2	6846	NM_003175	206366_x_at	-0.107196754	0.137824065	-0.245020819	chemokine (C motif) ligand 2	---	---	calcium ion homeostasis /// chemotaxis /// chemotaxis /// immune response /// signal transduction /// cell-cell signaling /// cell-cell signaling /// circulation	cytokine activity /// cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space /// soluble fraction
ZNF395	55893	NM_018660	218149_s_at	-0.282912728	0.101317558	-0.384230286	zinc finger protein 395	---	---	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent	nucleic acid binding /// DNA binding /// DNA binding /// zinc ion binding /// metal ion binding	intracellular /// nucleus /// nucleus /// cytoplasm
