Genesymbol	Sequence description	Fold change	P-value
RAVER2	hypothetical protein FLJ10770	-2.38	0.00009
T3JAM	Homo sapiens TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator (T3JAM), mRNA [NM_025228]	-2.38	4.45E-10
C5R1	Complement component 5a receptor 1	-2.38	0.00001
IGJ	Homo sapiens immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides (IGJ), mRNA [NM_144646]	-2.39	1.15E-42
A_24_P916228	Unknown	-2.39	4.39E-08
G30702	sWSS3420 Eric D. Green Homo sapiens STS cDNA clone 7B04E04, sequence tagged site.	-2.39	?E-46
COL23A1	Homo sapiens collagen, type XXIII, alpha 1 (COL23A1), mRNA [NM_173465]	-2.4	0.00037
LOC283767	FLJ40198 protein	-2.4	0.00166
ZNF438	Zinc finger protein 438	-2.41	0.00002
BANK1	Homo sapiens B-cell scaffold protein with ankyrin repeats 1 (BANK1), mRNA [NM_017935]	-2.41	0.0006
TEAD4	TEA domain family member 4	-2.42	1.11E-12
THC2673977	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (14%) [THC2673977]	-2.43	2.61E-08
CX3CR1	Homo sapiens chemokine (C-X3-C motif) receptor 1 (CX3CR1), mRNA [NM_001337]	-2.43	1.42E-08
LOC387683	PREDICTED: Homo sapiens hypothetical LOC387683 (LOC387683), mRNA [XM_373461]	-2.44	3.54E-12
TUBB3	tubulin, beta, 4	-2.44	2.48E-22
THC2678919	Unknown	-2.44	2.35E-35
PTCRA	Homo sapiens pre T-cell antigen receptor alpha (PTCRA), mRNA [NM_138296]	-2.44	4.27E-17
TM4SF2	Homo sapiens transmembrane 4 superfamily member 2 (TM4SF2), mRNA [NM_004615]	-2.47	0.00052
BC043411	Homo sapiens, clone IMAGE:6155889, mRNA	-2.47	0.00238
ADAMTS6	Homo sapiens similar to ADAMTS-10 precursor (A disintegrin and metalloproteinase with thrombospondin motifs 10) (ADAM-TS 10) (ADAM-TS10) (LOC345667), mRNA [NM_197941]	-2.47	4.26E-07
THC2766102	Q74MT0_NANEQ (Q74MT0) NEQ259, partial (3%) [THC2766102]	-2.47	6.52E-12
THC2691405	Q6AXP3_RAT (Q6AXP3) LOC296118 protein (Fragment), partial (6%) [THC2691405]	-2.48	0.00001
LOC440338	Q5BLC7_BRARE (Q5BLC7) Zgc:113574, partial (21%) [THC2660007]	-2.48	0.00001
FSD2	fibronectin type III and SPRY domain containing 2 [Source:RefSeq_peptide;Acc:NP_001007123] [ENST00000334574]	-2.48	8.47E-19
FLJ23259	Homo sapiens hypothetical protein FLJ23259 (FLJ23259), mRNA [NM_024727]	-2.5	0.00369
SAFB2	Homo sapiens scaffold attachment factor B2 (SAFB2), mRNA [NM_014649]	-2.5	3.91E-08
LMLN	Homo sapiens mRNA; cDNA DKFZp686O177 (from clone DKFZp686O177). [AL832783]	-2.5	5.40E-07
MYH8	Homo sapiens myosin, heavy polypeptide 8, skeletal muscle, perinatal (MYH8), mRNA [NM_002472]	-2.5	0.00032
ACTG2	Actin, gamma 2, smooth muscle, enteric	-2.51	1.69E-33
PRKCE	Homo sapiens protein kinase C, epsilon (PRKCE), mRNA [NM_005400]	-2.51	0.00027
MAGI3	membrane-associated guanylate kinase-related 3 isoform 2 [Source:RefSeq_peptide;Acc:NP_690864] [ENST00000369615]	-2.52	2.16E-32
THC2746571	Q5I0G3_HUMAN (Q5I0G3) MDH1B protein, partial (43%) [THC2746571]	-2.52	7.29E-32
FAM46C	Homo sapiens family with sequence similarity 46, member C (FAM46C), mRNA [NM_017709]	-2.52	6.57E-10
GPC4	Homo sapiens glypican 4 (GPC4), mRNA [NM_001448]	-2.52	1.16E-08
MEIS4	Homo sapiens Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse) (MEIS4) on chromosome 17.	-2.53	3.41E-11
DNAPTP6	Homo sapiens DNA polymerase-transactivated protein 6 (DNAPTP6), mRNA [NM_015535]	-2.53	8.33E-12
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	-2.54	1.14E-06
ABHD7	Homo sapiens abhydrolase domain containing 7 (ABHD7), mRNA [NM_173567]	-2.55	0.00039
IGHV169	Immunoglobulin heavy variable 1-69	-2.55	3.31E-26
CDC42EP3	Cdc42 effector protein 3	-2.55	9.41E-09
PGDS	Homo sapiens prostaglandin D2 synthase, hematopoietic (PGDS), mRNA [NM_014485]	-2.56	5.49E-09
DQ926472	Homo sapiens clone IM2 3u45 immunoglobulin heavy chain variable region mRNA, partial cds. [DQ926472]	-2.57	0.00007
CCL25	Homo sapiens chemokine (C-C motif) ligand 25 (CCL25), transcript variant 1, mRNA [NM_005624]	-2.57	0.00061
STEERIN2	Homo sapiens partial mRNA for steerin2 protein (STEERIN2 gene), alternative exon 1b.	-2.58	0.00051
NELL2	Homo sapiens NEL-like 2 (chicken) (NELL2), mRNA [NM_006159]	-2.58	1.19E-09
BC047326	Homo sapiens, clone IMAGE:4861097, mRNA	-2.59	5.78E-07
LOC130576	Homo sapiens hypothetical protein LOC130576 (LOC130576), mRNA [NM_177964]	-2.6	5.16E-15
RGC32	Homo sapiens response gene to complement 32 (RGC32), mRNA [NM_014059]	-2.62	7.75E-31
C6orf105	Homo sapiens chromosome 6 open reading frame 105 (C6orf105), mRNA [NM_032744]	-2.63	5.56E-13
	OK/SW-CL.92	-2.64	0.00144
MAP6	Microtubule-associated protein 6	-2.64	1.07E-10
MYADM	Myeloid-associated differentiation marker	-2.64	7.27E-21
ADAM28	ADAM metallopeptidase domain 28	-2.65	5.45E-41
BCAR3	Homo sapiens breast cancer anti-estrogen resistance 3 (BCAR3), mRNA [NM_003567]	-2.65	0
RBM11	Homo sapiens RNA binding motif protein 11 (RBM11), mRNA [NM_144770]	-2.65	1.18E-23
BRD1	Bromodomain containing 1	-2.66	2.07E-07
SCHIP1	Homo sapiens schwannomin interacting protein 1 (SCHIP1), mRNA [NM_014575]	-2.66	1.60E-09
ENST00000299826	Cytoplasmic dynein 2 heavy chain (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q92815] [ENST00000299826]	-2.66	1.48E-06
ITGB7	Homo sapiens integrin, beta 7 (ITGB7), mRNA [NM_000889]	-2.67	6.99E-07
VCX	Variable charge, X-linked	-2.68	6.62E-16
THC2648739	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (9%) [THC2648739]	-2.7	0.00105
MAGI3	Homo sapiens membrane-associated guanylate kinase-related (MAGI-3) (MAGI-3), mRNA [NM_020965]	-2.7	1.12E-14
VCX3A	variable charge protein on X with eight repeats	-2.71	8.14E-14
WDR17	WD repeat domain 17	-2.71	0.00027
TMED6	Homo sapiens transmembrane emp24 protein transport domain containing 6 (TMED6), mRNA [NM_144676]	-2.71	2.93E-13
DENND2D	hypothetical protein FLJ22457	-2.71	4.83E-14
CCDC58	Coiled-coil domain containing 58	-2.72	2.27E-11
PDE4D	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-2.72	2.64E-06
C8orf75	Chromosome 8 open reading frame 75	-2.73	9.77E-07
STAT4	Homo sapiens signal transducer and activator of transcription 4 (STAT4), mRNA [NM_003151]	-2.74	0.00014
THC2674306	Q9F8M7_CARHY (Q9F8M7) DTDP-glucose 4,6-dehydratase (Fragment), partial (11%) [THC2674306]	-2.74	7.59E-16
DYNC2H1	hypothetical protein FLJ11756	-2.74	6.78E-41
THC2623354	Unknown	-2.75	4.35E-10
LOC647393	PREDICTED: Homo sapiens hypothetical protein LOC647393 (LOC647393), mRNA.	-2.75	2.00E-19
KLHL1	Homo sapiens kelch-like 1 (Drosophila) (KLHL1), mRNA [NM_020866]	-2.77	3.14E-11
A_32_P218707	Unknown	-2.77	0.00002
GUCY1A3	Guanylate cyclase 1, soluble, alpha 3	-2.78	?E-46
AK055214	CDNA FLJ30652 fis, clone DFNES2000011	-2.78	2.07E-35
ENST00000260972	malate dehydrogenase 1B, NAD (soluble) [Source:RefSeq_peptide;Acc:NP_001034934] [ENST00000260972]	-2.79	1.31E-18
SYT13	Homo sapiens synaptotagmin XIII (SYT13), mRNA [NM_020826]	-2.79	4.96E-19
NPR1	Homo sapiens natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A) (NPR1), mRNA [NM_000906]	-2.8	9.78E-12
A_24_P919044	Unknown	-2.8	4.28E-08
CCDC7	Homo sapiens coiled-coil domain containing 7 (CCDC7), mRNA [NM_145023]	-2.8	1.91E-31
ENST00000262637	PREDICTED: Homo sapiens similar to Transcription factor Ovo-like 2 (hOvo2) (Zinc finger protein 339) (LOC728361), mRNA [XM_001130167]	-2.8	7.68E-08
SELL	Homo sapiens selectin L (lymphocyte adhesion molecule 1) (SELL), mRNA [NM_000655]	-2.82	0.00129
PACE4	Proprotein convertase subtilisin/kexin type 6	-2.82	6.34E-06
A_23_P21907	Unknown	-2.82	4.27E-11
PLEKHA5	phosphoinositol 3-phosphate-binding protein-2	-2.82	2.37E-08
ENST00000381298	Interleukin-6 receptor subunit beta precursor (IL-6R-beta) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor alpha subunit) (CD130 antigen) (CDw130). [Source:Uniprot/SWISSPROT;Acc:P40189] [ENST00000381298]	-2.83	3.67E-31
A_23_P113056	Unknown	-2.83	4.34E-17
CA2	Homo sapiens carbonic anhydrase II (CA2), mRNA [NM_000067]	-2.83	0.00004
THC2731042	Q4SSA7_TETNG (Q4SSA7) Chromosome 11 SCAF14479, whole genome shotgun sequence. (Fragment), partial (5%) [THC2731042]	-2.84	1.83E-09
PI15	Homo sapiens protease inhibitor 15 (PI15), mRNA [NM_015886]	-2.85	2.08E-08
PLEKHA6	Homo sapiens pleckstrin homology domain containing, family A member 6 (PLEKHA6), mRNA [NM_014935]	-2.85	0.00003
MGC33607	Homo sapiens hypothetical protein MGC33607 (MGC33607), mRNA [NM_152775]	-2.87	1.78E-31
MAP2K6	Homo sapiens mitogen-activated protein kinase kinase 6 (MAP2K6), transcript variant 1, mRNA [NM_002758]	-2.87	2.89E-36
LOC149351	Hypothetical protein LOC149351	-2.87	1.14E-09
AF332145	(clone TR1.6VL) anti-thyroid peroxidase monoclonal autoantibody IgK chain, V region	-2.88	9.93E-08
MANSC1	Homo sapiens MANSC domain containing 1 (MANSC1), mRNA [NM_018050]	-2.88	0.0006
CBS	Homo sapiens cystathionine-beta-synthase (CBS), mRNA [NM_000071]	-2.9	5.02E-19
THC2551927	ALU7_HUMAN (P39194) Alu subfamily SQ sequence contamination warning entry, partial (6%) [THC2551927]	-2.9	8.33E-22
IL18	Homo sapiens interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]	-2.91	7.58E-20
	Hypothetical gene supported by BC042812	-2.92	0.00121
CDH9	Homo sapiens cadherin 9, type 2 (T1-cadherin) (CDH9), mRNA [NM_016279]	-2.93	1.35E-42
HIST1H3G	Homo sapiens histone 1, H3g, mRNA (cDNA clone MGC:20474 IMAGE:4563941), complete cds. [BC012185]	-2.93	0.00499
THC2667726	Unknown	-2.94	3.80E-26
AX721288	Sequence 248 from Patent WO0220754.	-2.95	1.64E-30
ABP1	Amiloride binding protein 1 (amine oxidase (copper-containing))	-2.95	0.00106
THC2634713	Unknown	-2.96	0.00012
DB534761	DB534761 RIKEN full-length enriched human cDNA library, hippocampus Homo sapiens cDNA clone H023029H14 3, mRNA sequence [DB534761]	-2.96	0.00152
GUCY1B3	Homo sapiens guanylate cyclase 1, soluble, beta 3 (GUCY1B3), mRNA [NM_000857]	-2.98	0.00457
THC2708710	Unknown	-2.98	9.35E-08
CHI3L2	Chitinase 3-like 2	-2.98	2.12E-28
PPFIA2	Homo sapiens protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 (PPFIA2), mRNA [NM_003625]	-2.98	0.00134
IGKC	Immunoglobulin kappa constant	-3.01	6.90E-21
MCC	Homo sapiens mutated in colorectal cancers (MCC), mRNA [NM_002387]	-3.01	0.00309
BC055421	CDNA clone IMAGE:5269522	-3.02	8.25E-09
HEY1	Homo sapiens hairy/enhancer-of-split related with YRPW motif 1 (HEY1), transcript variant 2, mRNA [NM_001040708]	-3.02	7.01E-45
THC2736113	E41LA_HUMAN (Q9HCS5) Band 4.1-like protein 4A (NBL4 protein), partial (31%) [THC2736113]	-3.02	2.11E-15
ENST00000283694	Homo sapiens Immunoglobulin variable region germ-line transcripts (RF.BM, YF.PB2 cell line). [AJ004954]	-3.03	0.0004
KIAA0882	Homo sapiens KIAA0882 protein (KIAA0882), mRNA [NM_015130]	-3.04	1.89E-10
KLF7	Homo sapiens Kruppel-like factor 7 (ubiquitous) (KLF7), mRNA [NM_003709]	-3.07	8.58E-07
A_32_P179646	Unknown	-3.08	?E-46
ZPBP2	Zona pellucida binding protein 2	-3.08	?E-46
BF207040	Transcribed locus	-3.08	4.03E-06
CD1C	Homo sapiens CD1C antigen, c polypeptide (CD1C), mRNA [NM_001765]	-3.08	6.46E-10
BC033184	Homo sapiens cDNA clone MGC:45823 IMAGE:4589035, complete cds.	-3.09	0.00213
LOC129881	Homo sapiens hypothetical LOC129881, mRNA (cDNA clone MGC:151054 IMAGE:40125996), complete cds. [BC117445]	-3.1	4.23E-11
C18orf11	Homo sapiens chromosome 18 open reading frame 11 (C18orf11), mRNA [NM_022751]	-3.11	2.16E-19
CD237413	Transcribed locus	-3.11	9.79E-25
CLECSF12	C-type lectin domain family 7, member A	-3.13	7.26E-07
PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	-3.14	1.58E-22
GJB7	Gap junction protein, beta 7	-3.14	0.00024
Vregion,jregion,Cregion	T-cell receptor active alpha-chain V-region (V-J-C) mRNA, partial cds, clone AG212	-3.16	0.0011
DNM3	Homo sapiens dynamin 3 (DNM3), mRNA [NM_015569]	-3.17	4.10E-07
KIAA0711	Homo sapiens KIAA0711 gene product (KIAA0711), mRNA [NM_014867]	-3.18	2.93E-19
LAMA4	Homo sapiens laminin, alpha 4 (LAMA4), mRNA [NM_002290]	-3.18	1.56E-24
AK055302	MRNA; cDNA DKFZp564E143 (from clone DKFZp564E143)	-3.2	3.40E-39
AY062331	Homo sapiens clone 105/707 immunoglobulin light chain kappa variable region mRNA, partial cds.	-3.21	2.44E-26
TTID	Homo sapiens titin immunoglobulin domain protein (myotilin) (TTID), mRNA [NM_006790]	-3.22	0.00058
PDGFD	spinal cord-derived growth factor-B	-3.23	4.99E-17
FMN1	Formin 1	-3.25	1.06E-07
SPAG16	Homo sapiens sperm associated antigen 16 (SPAG16), mRNA [NM_024532]	-3.27	1.26E-10
ID4	Homo sapiens inhibitor of DNA binding 4, dominant negative helix-loop-helix protein (ID4), mRNA [NM_001546]	-3.27	2.05E-10
CXCL13	Homo sapiens chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant) (CXCL13), mRNA [NM_006419]	-3.27	0.00028
THC2612626	Unknown	-3.31	1.47E-08
NPAS3	Homo sapiens neuronal PAS domain protein 3 (NPAS3), mRNA [NM_022123]	-3.31	0.00058
PDE11A	Homo sapiens phosphodiesterase 11A (PDE11A), mRNA [NM_016953]	-3.34	0.00079
BM984396	Transcribed locus	-3.36	3.32E-08
DKFZp762A217	Homo sapiens hypothetical protein DKFZp762A217 (DKFZp762A217), mRNA [NM_152588]	-3.36	4.35E-25
ENST00000299308	Homo sapiens mRNA for KIAA1786 protein, partial cds. [AB058689]	-3.37	0.00076
ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	-3.37	1.45E-06
FBXL7	F-box and leucine-rich repeat protein 7	-3.38	1.69E-14
AK023647	Homo sapiens, clone IMAGE:4393354, mRNA	-3.42	0.0029
LOC389634	Hypothetical LOC389634	-3.42	4.27E-40
RDH12	Homo sapiens retinol dehydrogenase 12 (all-trans and 9-cis) (RDH12), mRNA [NM_152443]	-3.42	3.28E-06
CYP2C9	Homo sapiens cytochrome P450, family 2, subfamily C, polypeptide 9 (CYP2C9), mRNA [NM_000771]	-3.46	0.00056
PNOC	Homo sapiens prepronociceptin (PNOC), mRNA [NM_006228]	-3.48	6.71E-21
FLJ25056	Homo sapiens hypothetical protein FLJ25056 (FLJ25056), mRNA [NM_182530]	-3.5	?E-46
THC2651722	Unknown	-3.51	?E-46
MGP	Homo sapiens matrix Gla protein (MGP), mRNA [NM_000900]	-3.51	0.00002
AK074678	CDNA FLJ90197 fis, clone MAMMA1001418	-3.52	0.00274
CCDC85A	Homo sapiens mRNA for KIAA1912 protein, partial cds. [AB067499]	-3.53	?E-46
RAPGEF2	PREDICTED: Homo sapiens Rap guanine nucleotide exchange factor (GEF) 2, transcript variant 18 (RAPGEF2), mRNA.	-3.53	2.58E-06
LOC649061	PREDICTED: Homo sapiens similar to a disintegrin and metalloprotease domain 4 (LOC649061), mRNA [XR_019089]	-3.53	0.00002
CHL1	Homo sapiens cell adhesion molecule with homology to L1CAM (close homolog of L1) (CHL1), mRNA [NM_006614]	-3.53	0.00025
THC2766709	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (13%) [THC2766709]	-3.54	0.00004
SIGLECP3	Homo sapiens sialic acid binding Ig-like lectin, pseudogene 3 (SIGLECP3) on chromosome 19.	-3.55	7.55E-30
AGR2	Homo sapiens anterior gradient 2 homolog (Xenopus laevis) (AGR2), mRNA [NM_006408]	-3.56	8.28E-07
NAV2	Homo sapiens neuron navigator 2 (NAV2), transcript variant 1, mRNA [NM_182964]	-3.56	0.00003
EPB41L4A	erythrocyte protein band 4.1-like 4	-3.61	5.27E-11
A_24_P297302	Unknown	-3.62	5.25E-06
KLHL3	Homo sapiens kelch-like 3 (Drosophila) (KLHL3), mRNA [NM_017415]	-3.62	?E-46
PTPN14	Homo sapiens protein tyrosine phosphatase, non-receptor type 14 (PTPN14), mRNA [NM_005401]	-3.63	1.80E-06
LOC728783	PREDICTED: Homo sapiens hypothetical protein LOC728783 (LOC728783), mRNA [XR_015377]	-3.67	0.00001
C2orf32	Homo sapiens chromosome 2 open reading frame 32 (C2orf32), mRNA [NM_015463]	-3.67	9.37E-07
MGC15730	Homo sapiens hypothetical protein MGC15730 (MGC15730), mRNA [NM_032880]	-3.7	2.84E-10
DKFZp586C0721	Hypothetical protein DKFZp586C0721	-3.71	0.0034
FLJ38159	Homo sapiens hypothetical protein FLJ38159 (FLJ38159), mRNA [NM_152723]	-3.71	0.00032
DPYD	Homo sapiens dihydropyrimidine dehydrogenase (DPYD), mRNA [NM_000110]	-3.71	2.06E-08
COL4A4	Homo sapiens collagen, type IV, alpha 4 (COL4A4), mRNA [NM_000092]	-3.72	1.14E-43
NLGN1	Homo sapiens neuroligin 1 (NLGN1), mRNA [NM_014932]	-3.74	3.49E-11
DOCK3	Homo sapiens dedicator of cytokinesis 3 (DOCK3), mRNA [NM_004947]	-3.75	1.10E-06
A_24_P233560	Unknown	-3.77	7.55E-17
TES	Testis derived transcript (3 LIM domains)	-3.79	0.0035
THC2693923	AY175578 antibody variable domain {Oryctolagus cuniculus} (exp=-1; wgp=0; cg=0), partial (11%) [THC2693923]	-3.82	5.53E-41
THC2679323	Q2XYY2_9SAUR (Q2XYY2) HOXA13 (Fragment), partial (14%) [THC2679323]	-3.83	2.84E-27
CYP19	Cytochrome P450, family 19, subfamily A, polypeptide 1	-3.84	2.48E-08
DKFZP564D166	Homo sapiens mRNA for KIAA1636 protein, partial cds. [AB046856]	-3.87	0.00031
SSBP2	Single-stranded DNA-binding protein 2 (Sequence-specific single- stranded-DNA-binding protein 2). [Source:Uniprot/SWISSPROT;Acc:P81877] [ENST00000380186]	-3.87	1.23E-42
MOCOS	Homo sapiens molybdenum cofactor sulfurase (MOCOS), mRNA [NM_017947]	-3.89	9.83E-13
PLCE	Phospholipase C-like 1	-3.9	1.09E-16
THC2526509	Unknown	-3.92	1.58E-15
ALDH1A1	Homo sapiens aldehyde dehydrogenase 1 family, member A1 (ALDH1A1), mRNA [NM_000689]	-3.92	0.00004
PIP5K1B	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	-3.94	?E-46
THC2723388	Unknown	-3.95	1.83E-07
A_24_P556049	Unknown	-3.97	2.74E-37
AK123506	CDNA FLJ30652 fis, clone DFNES2000011	-3.98	?E-46
UEVLD	Homo sapiens UEV and lactate/malate dehyrogenase domains (UEVLD), transcript variant 1, mRNA [NM_001040697]	-3.99	3.57E-09
ENST00000295339	Ig kappa chain V-III region VH precursor (Fragment). [Source:Uniprot/SWISSPROT;Acc:P04434] [ENST00000295339]	-4.02	1.38E-34
DHRS9	Homo sapiens dehydrogenase/reductase (SDR family) member 9 (DHRS9), transcript variant 1, mRNA [NM_005771]	-4.03	4.73E-09
MGC13057	Homo sapiens hypothetical protein MGC13057 (MGC13057), transcript variant 1, mRNA [NM_001042519]	-4.04	5.80E-07
UBXD3	Homo sapiens UBX domain containing 3 (UBXD3), mRNA [NM_152376]	-4.05	4.21E-07
PROX1	Homo sapiens prospero-related homeobox 1 (PROX1), mRNA [NM_002763]	-4.06	9.09E-07
TAIP2	Homo sapiens TGF-beta induced apotosis protein 2 (TAIP-2), mRNA [NM_024969]	-4.09	1.19E-19
MYO1B	Homo sapiens cDNA FLJ12427 fis, clone MAMMA1003127, highly similar to MYOSIN I ALPHA.	-4.1	9.48E-12
A_32_P176790	Unknown	-4.12	6.25E-09
AMICA1	Homo sapiens adhesion molecule, interacts with CXADR antigen 1 (AMICA1), mRNA [NM_153206]	-4.14	3.76E-07
DP58	Cytosolic phosphoprotein DP58	-4.14	5.66E-07
NOX3	Homo sapiens NADPH oxidase 3 (NOX3), mRNA [NM_015718]	-4.16	0.00012
PRRG4	transmembrane gamma-carboxyglutamic acid protein 4	-4.22	2.64E-06
MGC14161	Homo sapiens hypothetical protein MGC14161 (MGC14161), mRNA [NM_032892]	-4.26	0.00061
THC2645298	Q4ABV4_BRARP (Q4ABV4) 52O08_3, partial (5%) [THC2645298]	-4.26	0.00001
LOC83690	Homo sapiens CocoaCrisp (LOC83690), mRNA [NM_031461]	-4.27	0.00196
BC037328	CDNA clone IMAGE:5263455	-4.27	8.48E-37
KIAA0672	KIAA0672 gene product	-4.29	1.85E-24
KIAA0555	Homo sapiens Jak and microtubule interacting protein 2 (KIAA0555), mRNA [NM_014790]	-4.32	8.17E-13
BMX	BMX non-receptor tyrosine kinase	-4.32	1.15E-06
CAPS2	calcyphosine	-4.36	0.00004
TFEC	Homo sapiens transcription factor EC (TFEC), mRNA [NM_012252]	-4.38	1.39E-06
SORCS3	Homo sapiens sortilin-related VPS10 domain containing receptor 3 (SORCS3), mRNA [NM_014978]	-4.4	0.00013
TMEM132B	KIAA1906 protein	-4.4	?E-46
RNF150	KIAA1214 protein	-4.4	3.81E-09
DKFZp586O1422	PDZ domain containing guanine nucleotide exchange factor(GEF)1	-4.4	2.58E-09
ENST00000379884	Ig heavy chain V-I region HG3 precursor. [Source:Uniprot/SWISSPROT;Acc:P01743] [ENST00000379884]	-4.4	?E-46
IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	-4.41	1.51E-08
EPB41L1	Erythrocyte membrane protein band 4.1-like 1	-4.43	3.38E-08
PPARG	Peroxisome proliferative activated receptor, gamma	-4.43	7.04E-39
THC2544885	Q6P0K6_RAT (Q6P0K6) Pgam1 protein, partial (24%) [THC2586285]	-4.44	3.68E-17
FYB	FYN binding protein (FYB-120/130)	-4.44	0.00001
TLR4	Toll-like receptor 4	-4.54	6.16E-33
TAL2	Homo sapiens T-cell acute lymphocytic leukemia 2 (TAL2), mRNA [NM_005421]	-4.54	0.00001
ROBO1	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	-4.55	0.00009
THC2705799	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (4%) [THC2705799]	-4.56	2.77E-18
HPX2	H.sapiens HPX-2 mRNA.	-4.56	1.20E-09
FLJ34870	Homo sapiens FLJ34870 protein (FLJ34870), mRNA [NM_207481]	-4.56	4.55E-14
FLJ31952	Homo sapiens hypothetical protein FLJ31952 (FLJ31952), mRNA [NM_144682]	-4.57	0.0039
SLC4A4	Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 4 (SLC4A4), mRNA [NM_003759]	-4.6	6.60E-13
MFAP5	Homo sapiens microfibrillar associated protein 5 (MFAP5), mRNA [NM_003480]	-4.6	2.18E-08
LSAMP	Homo sapiens limbic system-associated membrane protein (LSAMP), mRNA [NM_002338]	-4.63	7.60E-11
THC2708301	Unknown	-4.64	4.43E-41
LAX	Homo sapiens hypothetical protein FLJ20340 (LAX), mRNA [NM_017773]	-4.67	0.002
GPD2	Homo sapiens glycerol-3-phosphate dehydrogenase 2 (mitochondrial) (GPD2), mRNA [NM_000408]	-4.69	0.00031
NAV3	Homo sapiens neuron navigator 3 (NAV3), mRNA [NM_014903]	-4.7	6.35E-10
CTNND2	Homo sapiens catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein) (CTNND2), mRNA [NM_001332]	-4.71	?E-46
WT1	Homo sapiens Wilms tumor 1 (WT1), transcript variant D, mRNA [NM_024426]	-4.72	0.00009
ARHGEF4	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 4 (ARHGEF4), transcript variant 2, mRNA [NM_032995]	-4.74	0.00052
CTNNA3	alpha-catenin-like protein	-4.77	3.59E-07
LOC440607	Fc-gamma receptor I B2	-4.81	6.33E-08
IMPG1	Homo sapiens interphotoreceptor matrix proteoglycan 1 (IMPG1), mRNA [NM_001563]	-4.83	5.13E-07
SUCNR1	Homo sapiens succinate receptor 1 (SUCNR1), mRNA [NM_033050]	-4.85	1.58E-07
HGNTIVH	Homo sapiens UDP-N-acetylglucosamine:a-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IV (HGNT-IV-H), mRNA [NM_013244]	-4.88	0.00028
AK057233	CDNA clone IMAGE:4829423	-4.95	3.19E-13
IF	Homo sapiens I factor (complement) (IF), mRNA [NM_000204]	-4.96	5.20E-16
PTCHD1	Homo sapiens patched domain containing 1 (PTCHD1), mRNA [NM_173495]	-5.04	0.00002
AK092715	CDNA clone IMAGE:5284125	-5.1	2.46E-11
C10orf87	Homo sapiens chromosome 10 open reading frame 87 (C10orf87), mRNA [NM_144587]	-5.11	4.91E-40
PROCR	Homo sapiens protein C receptor, endothelial (EPCR) (PROCR), mRNA [NM_006404]	-5.13	6.84E-31
LRRIQ1	Homo sapiens leucine-rich repeats and IQ motif containing 1 (LRRIQ1), mRNA [NM_032165]	-5.15	4.21E-10
THC2735960	Unknown	-5.16	4.68E-07
SNAI2	Homo sapiens snail homolog 2 (Drosophila) (SNAI2), mRNA [NM_003068]	-5.26	1.29E-19
PIP	Homo sapiens prolactin-induced protein (PIP), mRNA [NM_002652]	-5.27	2.50E-30
IGSF11	Homo sapiens immunoglobulin superfamily, member 11 (IGSF11), mRNA [NM_152538]	-5.28	2.67E-09
NALP7	NACHT, leucine rich repeat and PYD containing 7	-5.29	?E-46
ANTXR2	Homo sapiens anthrax toxin receptor 2 (ANTXR2), mRNA [NM_058172]	-5.38	2.52E-06
MC4R	Homo sapiens melanocortin 4 receptor (MC4R), mRNA [NM_005912]	-5.38	1.76E-22
PPARGC1A	Homo sapiens peroxisome proliferative activated receptor, gamma, coactivator 1, alpha (PPARGC1A), mRNA [NM_013261]	-5.5	0.00042
GPR141	Homo sapiens G protein-coupled receptor 141 (GPR141), mRNA [NM_181791]	-5.52	1.28E-09
SMAD1	Homo sapiens SMAD, mothers against DPP homolog 1 (Drosophila) (SMAD1), transcript variant 1, mRNA [NM_005900]	-5.56	0.00047
SGCE	Homo sapiens sarcoglycan, epsilon (SGCE), mRNA [NM_003919]	-5.59	1.00E-11
