Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_51_P273667	-2.54	9.49E-04	Sox17	NM_011441	SRY-box containing gene 17 (Sox17), mRNA [NM_011441]
A_51_P451458	-2.54	1.77E-03	Mamdc2	NM_174857	MAM domain containing 2 (Mamdc2), mRNA [NM_174857]
A_52_P385229	-2.54	1.03E-04	Rai14	NM_030690	retinoic acid induced 14 (Rai14), mRNA [NM_030690]
A_51_P340668	-2.55	9.52E-04	Bcl9l	NM_030256	B-cell CLL/lymphoma 9-like (Bcl9l), mRNA [NM_030256]
A_51_P415607	-2.55	3.48E-04	Fkbp7	NM_010222	FK506 binding protein 7 (Fkbp7), mRNA [NM_010222]
A_51_P247184	-2.55	2.11E-06	Npr3	NM_008728	natriuretic peptide receptor 3 (Npr3), transcript variant 1, mRNA [NM_008728]
A_52_P211737	-2.55	3.76E-03	Myo1d	NM_177390	myosin ID (Myo1d), mRNA [NM_177390]
A_52_P686218	-2.55	1.13E-04	Plb1	NM_001081407	phospholipase B1 (Plb1), mRNA [NM_001081407]
A_52_P132165	-2.55	6.96E-06	Hsd17b11	NM_053262	hydroxysteroid (17-beta) dehydrogenase 11 (Hsd17b11), mRNA [NM_053262]
A_52_P218440	-2.55	3.29E-03	4930486L24Rik	NM_178098	RIKEN cDNA 4930486L24 gene (4930486L24Rik), mRNA [NM_178098]
A_51_P448627	-2.55	2.09E-02	Tmem116	AK015791	adult male testis cDNA, RIKEN full-length enriched library, clone:4930513P12 product:RIKEN cDNA 4930513P12 gene, full insert sequence. [AK015791]
A_52_P560996	-2.55	1.68E-02	AK033525	AK033525	adult male colon cDNA, RIKEN full-length enriched library, clone:9030601G04 product:telomerase associated protein 1, full insert sequence. [AK033525]
A_52_P579519	-2.55	2.06E-04	Tmem144	NM_027495	transmembrane protein 144 (Tmem144), mRNA [NM_027495]
A_52_P488666	-2.55	6.18E-04	Susd2	NM_027890	sushi domain containing 2 (Susd2), mRNA [NM_027890]
A_52_P963820	-2.55	1.76E-03	AK051040	AK051040	9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030059F14 product:unclassifiable, full insert sequence. [AK051040]
A_52_P195809	-2.55	2.68E-03	Bdh2	NM_027208	3-hydroxybutyrate dehydrogenase, type 2 (Bdh2), mRNA [NM_027208]
A_52_P257071	-2.55	4.89E-05	Utrn	NM_011682	utrophin (Utrn), mRNA [NM_011682]
A_51_P496720	-2.55	5.35E-04	Dnmt3l	NM_019448	DNA (cytosine-5-)-methyltransferase 3-like (Dnmt3l), transcript variant 1, mRNA [NM_019448]
A_52_P359958	-2.56	5.59E-04	Osbpl6	NM_145525	oxysterol binding protein-like 6 (Osbpl6), mRNA [NM_145525]
A_51_P383991	-2.56	8.08E-04	4-Sep	NM_011129	septin 4 (Sept4), mRNA [NM_011129]
A_52_P370031	-2.56	2.44E-04	AK043317	AK043317	7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730084J16 product:unclassifiable, full insert sequence. [AK043317]
A_52_P658911	-2.56	2.58E-04	Itga8	NM_001001309	integrin alpha 8 (Itga8), mRNA [NM_001001309]
A_51_P163146	-2.56	3.23E-04	Sema3a	NM_009152	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A (Sema3a), mRNA [NM_009152]
A_52_P198435	-2.56	2.23E-03	Rasgrp3	NM_207246	RAS, guanyl releasing protein 3 (Rasgrp3), mRNA [NM_207246]
A_52_P483746	-2.56	8.49E-04	Kdelc2	NM_212445	KDEL (Lys-Asp-Glu-Leu) containing 2 (Kdelc2), mRNA [NM_212445]
A_51_P501757	-2.56	3.85E-04	Rgmb	BC096024	RGM domain family, member B, mRNA (cDNA clone MGC:106503 IMAGE:6821755), complete cds [BC096024]
A_52_P584874	-2.56	1.31E-04	Jarid1b	NM_152895	jumonji, AT rich interactive domain 1B (Rbp2 like) (Jarid1b), mRNA [NM_152895]
A_52_P339422	-2.56	1.21E-03	NAP046281-1
A_52_P38228	-2.56	2.71E-02	Arl5b	NM_029466	ADP-ribosylation factor-like 5B (Arl5b), mRNA [NM_029466]
A_51_P350472	-2.56	3.26E-03	Cdkl5	NM_001024624	cyclin-dependent kinase-like 5 (Cdkl5), mRNA [NM_001024624]
A_51_P414396	-2.56	4.62E-05	Mmrn2	NM_153127	multimerin 2 (Mmrn2), mRNA [NM_153127]
A_52_P279651	-2.56	2.69E-03	Zbtb20	NM_019778	zinc finger and BTB domain containing 20 (Zbtb20), mRNA [NM_019778]
A_52_P339996	-2.56	2.65E-03	Slc6a6	NM_009320	solute carrier family 6 (neurotransmitter transporter, taurine), member 6 (Slc6a6), mRNA [NM_009320]
A_52_P600518	-2.56	2.93E-04	Tsc22d3	NM_010286	TSC22 domain family 3 (Tsc22d3), transcript variant 2, mRNA [NM_010286]
A_52_P552194	-2.56	8.21E-05	Il13ra1	NM_133990	interleukin 13 receptor, alpha 1 (Il13ra1), mRNA [NM_133990]
A_52_P385536	-2.56	1.65E-02	Ddx58	AK049305	ES cells cDNA, RIKEN full-length enriched library, clone:C330021E21 product:similar to hypothetical protein DKFZp434J1111.1 (fragment) [Homo sapiens], full insert sequence. [AK049305]
A_51_P235798	-2.56	3.26E-04	Zfp36l1	M58566	Mouse TIS11 primary response gene, complete cds. [M58566]
A_51_P372853	-2.56	1.66E-04	Rarg	NM_011244	retinoic acid receptor, gamma (Rarg), transcript variant 1, mRNA [NM_011244]
A_52_P344424	-2.56	7.05E-04	Lipg	NM_010720	lipase, endothelial (Lipg), mRNA [NM_010720]
A_51_P249989	-2.57	1.69E-04	T2bp	NM_145133	Traf2 binding protein (T2bp), mRNA [NM_145133]
A_52_P400436	-2.57	7.40E-05	Sphk1	NM_025367	sphingosine kinase 1 (Sphk1), transcript variant 2, mRNA [NM_025367]
A_52_P676819	-2.57	2.31E-04	Bnc1	NM_007562	basonuclin 1 (Bnc1), mRNA [NM_007562]
A_51_P341487	-2.57	6.13E-05	1700028P14Rik	NM_026188	RIKEN cDNA 1700028P14 gene (1700028P14Rik), mRNA [NM_026188]
A_52_P431116	-2.57	2.42E-05	Col23a1	NM_153393	procollagen, type XXIII, alpha 1 (Col23a1), mRNA [NM_153393]
A_52_P167125	-2.57	7.58E-03	AK046651	AK046651	4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430220G02 product:unclassifiable, full insert sequence. [AK046651]
A_51_P324690	-2.57	4.66E-06	Clec2d	NM_053109	C-type lectin domain family 2, member d (Clec2d), mRNA [NM_053109]
A_52_P553408	-2.57	1.16E-03	D130060J10Rik	AK051620	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130060J10 product:unclassifiable, full insert sequence. [AK051620]
A_51_P266683	-2.57	2.21E-05	Efna1	NM_010107	ephrin A1 (Efna1), mRNA [NM_010107]
A_51_P467268	-2.57	3.51E-04	Mak	NM_008547	male germ cell-associated kinase (Mak), mRNA [NM_008547]
A_51_P307741	-2.57	1.50E-04	Cckar	NM_009827	cholecystokinin A receptor (Cckar), mRNA [NM_009827]
A_52_P306845	-2.57	6.41E-05	Cav1	NM_007616	caveolin, caveolae protein 1 (Cav1), mRNA [NM_007616]
A_51_P370438	-2.57	5.96E-05	Lpin2	NM_022882	lipin 2 (Lpin2), mRNA [NM_022882]
A_52_P725041	-2.57	3.97E-03	Dnahc7c	BC048766	dynein, axonemal, heavy chain 7c, mRNA (cDNA clone IMAGE:6773387) [BC048766]
A_51_P161890	-2.57	7.39E-05	Fcgrt	NM_010189	Fc receptor, IgG, alpha chain transporter (Fcgrt), mRNA [NM_010189]
A_52_P247424	-2.58	6.10E-04	Sh2b3	AK156499	activated spleen cDNA, RIKEN full-length enriched library, clone:F830027H19 product:linker of T-cell receptor pathways, full insert sequence [AK156499]
A_51_P483829	-2.58	1.08E-02	C030040K24Rik	AK043980	10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830062H15 product:unclassifiable, full insert sequence. [AK043980]
A_52_P376169	-2.58	9.38E-04	Lypd6	NM_177139	LY6/PLAUR domain containing 6 (Lypd6), mRNA [NM_177139]
A_51_P208240	-2.58	2.45E-04	Tnfsf14	NM_019418	tumor necrosis factor (ligand) superfamily, member 14 (Tnfsf14), mRNA [NM_019418]
A_51_P440210	-2.58	2.67E-06	Prkg1	NM_011160	protein kinase, cGMP-dependent, type I (Prkg1), transcript variant 2, mRNA [NM_011160]
A_51_P399305	-2.58	1.08E-04	Tnfrsf19	NM_013869	tumor necrosis factor receptor superfamily, member 19 (Tnfrsf19), mRNA [NM_013869]
A_51_P401683	-2.58	9.18E-04	Tm6sf1	NM_145375	transmembrane 6 superfamily member 1 (Tm6sf1), mRNA [NM_145375]
A_51_P309917	-2.58	3.70E-04	Itga8	NM_001001309	integrin alpha 8 (Itga8), mRNA [NM_001001309]
A_52_P671700	-2.58	9.72E-05	9330129D05Rik	AK033963	adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330129D05 product:hypothetical Acyl-CoA dehydrogenase containing protein, full insert sequence. [AK033963]
A_51_P407227	-2.58	6.14E-03	Gimap6	NM_153175	GTPase, IMAP family member 6 (Gimap6), mRNA [NM_153175]
A_52_P120680	-2.58	5.02E-04	Nfia	AK173173	mRNA for mKIAA1439 protein [AK173173]
A_51_P150710	-2.58	4.28E-04	Igj	NM_152839	immunoglobulin joining chain (Igj), mRNA [NM_152839]
A_51_P382912	-2.58	3.89E-04	Slc2a10	NM_130451	solute carrier family 2 (facilitated glucose transporter), member 10 (Slc2a10), mRNA [NM_130451]
A_51_P431894	-2.58	1.17E-02	D930005D10Rik	NM_178702	RIKEN cDNA D930005D10 gene (D930005D10Rik), mRNA [NM_178702]
A_52_P1083765	-2.58	7.33E-04	Cul5	AK041861	3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630042J09 product:unclassifiable, full insert sequence [AK041861]
A_51_P245789	-2.58	3.62E-05	Pcolce2	NM_029620	procollagen C-endopeptidase enhancer 2 (Pcolce2), mRNA [NM_029620]
A_52_P630429	-2.58	5.47E-06	EG434026		Immunoglobulin Kappa light chain V gene segment [Source:IMGT/GENE_DB;Acc:IGKV2-109] [ENSMUST00000103318]
A_51_P227077	-2.58	7.59E-04	Mdh1b	NM_029696	malate dehydrogenase 1B, NAD (soluble) (Mdh1b), mRNA [NM_029696]
A_52_P1139792	-2.58	8.11E-05	AK042676	AK042676	7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730014M21 product:unclassifiable, full insert sequence [AK042676]
A_51_P479311	-2.58	2.76E-04	Gstm1	NM_010358	glutathione S-transferase, mu 1 (Gstm1), mRNA [NM_010358]
A_52_P544043	-2.58	1.53E-04	Pcsk5	BC013068	proprotein convertase subtilisin/kexin type 5, mRNA (cDNA clone IMAGE:4036159), complete cds. [BC013068]
A_51_P109933	-2.59	6.19E-06	Tekt2	NM_011902	tektin 2 (Tekt2), mRNA [NM_011902]
A_51_P472726	-2.59	1.37E-03	Pdlim2	NM_145978	PDZ and LIM domain 2 (Pdlim2), mRNA [NM_145978]
A_51_P283766	-2.59	1.15E-05	Plxdc1	NM_028199	plexin domain containing 1 (Plxdc1), mRNA [NM_028199]
A_52_P55846	-2.59	6.88E-05	Cav2	AB049605	mRNA for caveolin-2 isoform, complete cds. [AB049605]
A_51_P306731	-2.59	5.74E-05	A230097K15Rik	NM_172715	RIKEN cDNA A230097K15 gene (A230097K15Rik), transcript variant 1, mRNA [NM_172715]
A_51_P105927	-2.59	2.02E-04	Rasl12	NM_001033158	RAS-like, family 12 (Rasl12), mRNA [NM_001033158]
A_51_P204252	-2.59	3.20E-04	Efhb	NM_172497	EF hand domain family, member B (Efhb), mRNA [NM_172497]
A_52_P269158	-2.59	3.78E-04	5033414K04Rik	NM_001003948	RIKEN cDNA 5033414K04 gene (5033414K04Rik), mRNA [NM_001003948]
A_52_P418515	-2.59	2.01E-04	1700007G11Rik	NM_001024614	RIKEN cDNA 1700007G11 gene (1700007G11Rik), mRNA [NM_001024614]
A_52_P330359	-2.59	1.77E-05	Agbl2	AK029932	adult male testis cDNA, RIKEN full-length enriched library, clone:4932408C11 product:similar to CDNA: FLJ23598 FIS, CLONE LNG15381 [Homo sapiens], full insert sequence. [AK029932]
A_51_P130079	-2.59	3.14E-04	Lrmp	NM_008511	lymphoid-restricted membrane protein (Lrmp), mRNA [NM_008511]
A_51_P338878	-2.59	1.16E-03	P2ry12	NM_027571	purinergic receptor P2Y, G-protein coupled 12 (P2ry12), mRNA [NM_027571]
A_51_P455866	-2.59	1.44E-03	Elf5	NM_010125	E74-like factor 5 (Elf5), mRNA [NM_010125]
A_51_P159980	-2.59	7.66E-04	AK084370	AK084370	12 days embryo eyeball cDNA, RIKEN full-length enriched library, clone:D230033F14 product:unclassifiable, full insert sequence. [AK084370]
A_52_P120037	-2.59	8.37E-04	Emp1	NM_010128	epithelial membrane protein 1 (Emp1), mRNA [NM_010128]
A_52_P627177	-2.6	2.64E-03	Msn	NM_010833	moesin (Msn), mRNA [NM_010833]
A_51_P150480	-2.6	2.89E-04	2900073G15Rik	NM_026064	RIKEN cDNA 2900073G15 gene (2900073G15Rik), mRNA [NM_026064]
A_51_P339943	-2.6	3.63E-05	Nid1	NM_010917	nidogen 1 (Nid1), mRNA [NM_010917]
A_51_P465758	-2.6	8.38E-05	LOC100049166	BC006619	RIKEN cDNA 1200009O22 gene, mRNA (cDNA clone IMAGE:3967858), partial cds [BC006619]
A_51_P392740	-2.6	6.68E-04	Spata18	BC050799	spermatogenesis associated 18, mRNA (cDNA clone IMAGE:6743872), partial cds [BC050799]
A_51_P507509	-2.6	1.08E-04	Gimap1	NM_008376	GTPase, IMAP family member 1 (Gimap1), transcript variant 1, mRNA [NM_008376]
A_52_P357962	-2.6	1.51E-03	4930546H06Rik	NM_029205	RIKEN cDNA 4930546H06 gene (4930546H06Rik), mRNA [NM_029205]
A_52_P400999	-2.6	5.83E-07	Cdgap	NM_020260	Cdc42 GTPase-activating protein (Cdgap), mRNA [NM_020260]
A_51_P204898	-2.6	1.49E-03	1700008A04Rik	AK005748	adult male testis cDNA, RIKEN full-length enriched library, clone:1700008A04 product:hypothetical protein, full insert sequence. [AK005748]
A_51_P179664	-2.6	1.11E-04	Gstt1	NM_008185	glutathione S-transferase, theta 1 (Gstt1), mRNA [NM_008185]
A_52_P371237	-2.6	2.35E-04	Nrp1	NM_008737	neuropilin 1 (Nrp1), mRNA [NM_008737]
A_51_P240760	-2.6	1.74E-04	B3gnt3	NM_028189	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 (B3gnt3), mRNA [NM_028189]
A_51_P498031	-2.6	4.79E-04	Gria1	NM_008165	glutamate receptor, ionotropic, AMPA1 (alpha 1) (Gria1), mRNA [NM_008165]
A_51_P218091	-2.6	1.35E-03	Lgr5	NM_010195	leucine rich repeat containing G protein coupled receptor 5 (Lgr5), mRNA [NM_010195]
A_51_P180492	-2.6	4.70E-06	Dbp	NM_016974	D site albumin promoter binding protein (Dbp), mRNA [NM_016974]
A_51_P328890	-2.61	1.41E-03	Tekt1	NM_011569	tektin 1 (Tekt1), mRNA [NM_011569]
A_52_P97164	-2.61	4.87E-03	AK042082	AK042082	3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630056J11 product:unclassifiable, full insert sequence. [AK042082]
A_52_P162486	-2.61	6.84E-04	Bgn	NM_007542	biglycan (Bgn), mRNA [NM_007542]
A_51_P128491	-2.61	1.78E-05	Tcn2	NM_015749	transcobalamin 2 (Tcn2), mRNA [NM_015749]
A_52_P677036	-2.61	1.10E-03	D430007A19Rik	XM_923365	PREDICTED:  RIKEN cDNA D430007A19 gene, transcript variant 4 (D430007A19Rik), mRNA [XM_923365]
A_51_P289429	-2.61	4.90E-03	C230086A09Rik	AK048961	0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230086A09 product:KPL2 homolog [Rattus norvegicus], full insert sequence [AK048961]
A_52_P739714	-2.61	3.14E-03	AK079806	AK079806	0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430073B10 product:unclassifiable, full insert sequence. [AK079806]
A_52_P267824	-2.61	2.79E-04	2210023G05Rik	NM_197999	RIKEN cDNA 2210023G05 gene (2210023G05Rik), mRNA [NM_197999]
A_51_P280928	-2.61	5.66E-03	Pon2	NM_183308	paraoxonase 2 (Pon2), mRNA [NM_183308]
A_52_P302147	-2.61	3.60E-04	TC1631415
A_52_P365615	-2.61	3.16E-04	Ces5	NM_172759	carboxylesterase 5 (Ces5), mRNA [NM_172759]
A_51_P153614	-2.61	1.14E-04	Fsip1	NM_027759	fibrous sheath-interacting protein 1 (Fsip1), mRNA [NM_027759]
A_51_P501248	-2.61	1.90E-04	Sphk1	NM_025367	sphingosine kinase 1 (Sphk1), transcript variant 2, mRNA [NM_025367]
A_52_P244974	-2.61	2.51E-02	AK082074	AK082074	0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230001J04 product:unclassifiable, full insert sequence. [AK082074]
A_51_P403234	-2.61	1.49E-04	Hdac7a	NM_019572	histone deacetylase 7A (Hdac7a), mRNA [NM_019572]
A_52_P110541	-2.61	5.02E-03	E030018N11Rik	NM_001033380	RIKEN cDNA E030018N11 gene (E030018N11Rik), mRNA [NM_001033380]
A_51_P134228	-2.61	4.76E-04	Hlf	NM_172563	hepatic leukemia factor (Hlf), mRNA [NM_172563]
A_51_P181286	-2.61	1.12E-04	Cd69	NM_001033122	CD69 antigen (Cd69), mRNA [NM_001033122]
A_51_P236836	-2.61	2.00E-03	Layn	BC139816	layilin, mRNA (cDNA clone MGC:161835 IMAGE:40140447), complete cds [BC139816]
A_52_P366842	-2.61	5.19E-06	Dok1	NM_010070	docking protein 1 (Dok1), mRNA [NM_010070]
A_51_P194853	-2.61	1.23E-05	Sec14l4	NM_146013	SEC14-like 4 (S. cerevisiae) (Sec14l4), mRNA [NM_146013]
A_52_P463373	-2.61	9.16E-05	Cd37	NM_007645	CD37 antigen (Cd37), mRNA [NM_007645]
A_52_P167249	-2.61	1.14E-05	Add3	NM_013758	adducin 3 (gamma) (Add3), mRNA [NM_013758]
A_52_P65077	-2.62	3.58E-03	2610036F08Rik	NM_029281	RIKEN cDNA 2610036F08 gene (2610036F08Rik), mRNA [NM_029281]
A_52_P613808	-2.62	2.06E-04	Zbtb7a	NM_010731	zinc finger and BTB domain containing 7a (Zbtb7a), mRNA [NM_010731]
A_52_P432715	-2.62	1.24E-03	BB054706	BB054706	BB054706 RIKEN full-length enriched, 12 days embryo male wolffian duct  cDNA clone 6720473D18 3. [BB054706]
A_52_P450183	-2.62	2.95E-05	Rapgef5	AK122234	mRNA for mKIAA0277 protein [AK122234]
A_51_P515965	-2.62	4.43E-05	Nfe2	NM_008685	nuclear factor, erythroid derived 2 (Nfe2), mRNA [NM_008685]
A_51_P143190	-2.62	2.82E-05	Lyl1	NM_008535	lymphoblastomic leukemia (Lyl1), mRNA [NM_008535]
A_51_P345549	-2.62	1.24E-06	Nkd2	NM_028186	naked cuticle 2 homolog (Drosophila) (Nkd2), mRNA [NM_028186]
A_52_P113085	-2.62	7.41E-06	Pdzd2	AK021207	ES cells cDNA, RIKEN full-length enriched library, clone:C330017M16 product:unclassifiable, full insert sequence. [AK021207]
A_51_P420276	-2.62	2.96E-05	Plxdc2	NM_026162	plexin domain containing 2 (Plxdc2), mRNA [NM_026162]
A_51_P120137	-2.62	7.60E-04	AW061290	NM_201361	expressed sequence AW061290 (AW061290), mRNA [NM_201361]
A_52_P601333	-2.62	6.12E-05	6230424C14Rik	AK078961	adult male cecum cDNA, RIKEN full-length enriched library, clone:9130410H17 product:unclassifiable, full insert sequence [AK078961]
A_51_P194181	-2.62	2.40E-04	Dock5	AK053909	0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130320D18 product:hypothetical Src homology 3 (SH3) domain profile  and Repeat in HS1/Cortactin containing protein, full insert sequence. [AK053909]
A_52_P637988	-2.62	4.21E-04	Slc1a1	NM_009199	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 (Slc1a1), mRNA [NM_009199]
A_51_P328622	-2.62	1.06E-04	2010305C02Rik	NM_027249	RIKEN cDNA 2010305C02 gene (2010305C02Rik), mRNA [NM_027249]
A_51_P419111	-2.62	2.91E-03	Ngly1	NM_021504	N-glycanase 1 (Ngly1), mRNA [NM_021504]
A_52_P335064	-2.63	6.48E-05	Mustn1	NM_181390	musculoskeletal, embryonic nuclear protein 1 (Mustn1), mRNA [NM_181390]
A_51_P191199	-2.63	1.34E-06	Gypc	NM_001048207	glycophorin C (Gypc), mRNA [NM_001048207]
A_51_P165087	-2.63	9.50E-05	Snai1	NM_011427	snail homolog 1 (Drosophila) (Snai1), mRNA [NM_011427]
A_52_P891818	-2.63	4.25E-05	AK047526	AK047526	10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930083E23 product:weakly similar to H-2 class I histocompatibility antigen T15 (fragment) [], full insert sequence. [AK047526]
A_52_P117892	-2.63	2.50E-03	Pde7a	NM_008802	phosphodiesterase 7A (Pde7a), mRNA [NM_008802]
A_52_P672850	-2.63	1.64E-03	Plcg1	NM_021280	phospholipase C, gamma 1 (Plcg1), mRNA [NM_021280]
A_51_P421680	-2.63	2.92E-04	Zfp383	BC064456	zinc finger protein 383, mRNA (cDNA clone IMAGE:6813023) [BC064456]
A_51_P371091	-2.63	6.75E-04	Rcsd1	NM_178593	RCSD domain containing 1 (Rcsd1), transcript variant 1, mRNA [NM_178593]
A_51_P233583	-2.63	5.48E-05	Clec1b	NM_019985	C-type lectin domain family 1, member b (Clec1b), mRNA [NM_019985]
A_52_P631613	-2.63	2.10E-03	NAP014312-001
A_51_P301367	-2.63	4.28E-04	P2ry10	NM_172435	purinergic receptor P2Y, G-protein coupled 10 (P2ry10), mRNA [NM_172435]
A_51_P121031	-2.63	5.80E-05	1-Mar	NM_175188	membrane-associated ring finger (C3HC4) 1 (March1), mRNA [NM_175188]
A_51_P424338	-2.63	3.84E-04	Nqo1	NM_008706	NAD(P)H dehydrogenase, quinone 1 (Nqo1), mRNA [NM_008706]
A_52_P424970	-2.64	1.29E-04	Itgal	AK156251	activated spleen cDNA, RIKEN full-length enriched library, clone:F830013L17 product:integrin alpha L, full insert sequence. [AK156251]
A_51_P275729	-2.64	2.23E-03	Dnahc7c	BC048766	dynein, axonemal, heavy chain 7c, mRNA (cDNA clone IMAGE:6773387) [BC048766]
A_51_P424954	-2.64	1.47E-04	B230114P17Rik	AK045415	adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230114P17 product:unclassifiable, full insert sequence [AK045415]
A_51_P502608	-2.64	1.30E-03	Wwtr1	NM_133784	WW domain containing transcription regulator 1 (Wwtr1), mRNA [NM_133784]
A_51_P136337	-2.64	1.82E-03	Galm	NM_176963	galactose mutarotase (Galm), mRNA [NM_176963]
A_51_P215242	-2.64	3.02E-06	H2-Ab1	NM_207105	histocompatibility 2, class II antigen A, beta 1 (H2-Ab1), mRNA [NM_207105]
A_51_P216005	-2.64	4.91E-05	Col4a5	NM_007736	procollagen, type IV, alpha 5 (Col4a5), mRNA [NM_007736]
A_51_P227718	-2.64	7.68E-04	Rasgrp4	NM_145149	RAS guanyl releasing protein 4 (Rasgrp4), mRNA [NM_145149]
A_51_P136288	-2.64	4.82E-04	Ms4a4b	NM_021718	membrane-spanning 4-domains, subfamily A, member 4B (Ms4a4b), mRNA [NM_021718]
A_52_P922893	-2.64	1.41E-02	9530013L04Rik	AK020555	adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530013L04 product:unclassifiable, full insert sequence. [AK020555]
A_52_P323914	-2.64	2.91E-04	Gprk2l	NM_019497	G protein-coupled receptor kinase 2, groucho gene related (Drosophila) (Gprk2l), transcript variant 1, mRNA [NM_019497]
A_51_P185882	-2.64	3.02E-05	Ccdc68	NM_201362	coiled-coil domain containing 68 (Ccdc68), mRNA [NM_201362]
A_52_P115950	-2.64	1.42E-03	AK036853	AK036853	adult female vagina cDNA, RIKEN full-length enriched library, clone:9930018I23 product:hypothetical protein, full insert sequence. [AK036853]
A_52_P453814	-2.64	1.80E-04	Rasgrp2	NM_011242	RAS, guanyl releasing protein 2 (Rasgrp2), mRNA [NM_011242]
A_52_P438036	-2.64	6.14E-03	Gpr23	NM_175271	G protein-coupled receptor 23 (Gpr23), mRNA [NM_175271]
A_52_P814677	-2.64	1.60E-03	Spag17		sperm associated antigen 17 [Source:MarkerSymbol;Acc:MGI:1921612] [ENSMUST00000098815]
A_52_P432969	-2.64	2.25E-03	Pcdh19	XM_205287	PREDICTED:  protocadherin 19 (Pcdh19), mRNA [XM_205287]
A_51_P182311	-2.64	5.07E-03	Clec2i	NM_020257	C-type lectin domain family 2, member i (Clec2i), mRNA [NM_020257]
A_52_P605266	-2.64	2.40E-03	Ptprd	NM_001014288	protein tyrosine phosphatase, receptor type, D (Ptprd), transcript variant a, mRNA [NM_001014288]
A_51_P374468	-2.65	6.91E-04	Hbb-b1	NM_008220	hemoglobin, beta adult major chain (Hbb-b1), mRNA [NM_008220]
A_51_P499838	-2.65	9.23E-05	Bst1	NM_009763	bone marrow stromal cell antigen 1 (Bst1), mRNA [NM_009763]
A_52_P231697	-2.65	2.72E-03	AK078537	AK078537	12 days embryo female mullerian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6820439G08 product:syntaxin 3, full insert sequence. [AK078537]
A_52_P469782	-2.65	3.34E-04	Als2cl	NM_146228	ALS2 C-terminal like (Als2cl), mRNA [NM_146228]
A_51_P410576	-2.65	1.66E-03	Ccdc113	NM_172914	coiled-coil domain containing 113 (Ccdc113), mRNA [NM_172914]
A_52_P546175	-2.65	3.39E-03	LOC434166	BC080727	similar to hypothetical protein MGC37588, mRNA (cDNA clone IMAGE:6493658), complete cds. [BC080727]
A_51_P173678	-2.65	5.78E-04	Slc10a6	NM_029415	solute carrier family 10 (sodium/bile acid cotransporter family), member 6 (Slc10a6), mRNA [NM_029415]
A_51_P311459	-2.65	6.83E-04	4930485B16Rik	XM_989129	PREDICTED:  RIKEN cDNA 4930485B16 gene (4930485B16Rik), mRNA [XM_989129]
A_52_P494168	-2.65	4.41E-04	9630019K15Rik	NM_178774	RIKEN cDNA 9630019K15 gene (9630019K15Rik), mRNA [NM_178774]
A_51_P477682	-2.65	4.92E-06	Prss12	NM_008939	protease, serine, 12 neurotrypsin (motopsin) (Prss12), mRNA [NM_008939]
A_52_P155713	-2.65	3.70E-04	Nr2f2	AK012573	11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700086D17 product:hypothetical protein, full insert sequence. [AK012573]
A_52_P542612	-2.65	6.10E-05	Ephb4	NM_010144	Eph receptor B4 (Ephb4), mRNA [NM_010144]
A_52_P481988	-2.65	8.37E-04	Ddr2	NM_022563	discoidin domain receptor family, member 2 (Ddr2), mRNA [NM_022563]
A_51_P285669	-2.65	2.95E-03	Pigz	NM_172822	phosphatidylinositol glycan anchor biosynthesis, class Z (Pigz), mRNA [NM_172822]
A_52_P877015	-2.65	5.42E-03	Thrb	BC089035	thyroid hormone receptor beta, mRNA (cDNA clone MGC:115768 IMAGE:30695885), complete cds [BC089035]
A_51_P471791	-2.65	1.01E-03	St8sia6	NM_145838	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 (St8sia6), mRNA [NM_145838]
A_51_P183581	-2.65	8.11E-06	Pou2af1	NM_011136	POU domain, class 2, associating factor 1 (Pou2af1), mRNA [NM_011136]
A_52_P392598	-2.65	1.56E-03	Ramp2	EF177380	nuclear enriched abundant transcript 2 (Neat2) mRNA, complete sequence [EF177380]
