Parametric P value	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Unique ID
0.0382381	0.804	0.568	1.415	LOC653930
0.0382465	0.805	0.528	1.525	PHGDHL1
0.0382501	0.911	0.523	1.742	VPS13B
0.0383097	2.203	1.435	1.535	DCN
0.0383196	1.333	0.825	1.616	BAT3
0.0383283	1.189	0.674	1.764	LY96
0.0383787	0.688	0.448	1.536	AOC2
0.038404	1.147	0.749	1.531	C20orf117
0.0384091	0.601	0.288	2.087	TCEAL4
0.0384456	0.933	0.579	1.611	CASKIN2
0.038503	1.362	0.912	1.493	VAMP2
0.0385333	1.544	1.011	1.527	RPS27
0.0385565	1.139	0.698	1.632	SERPINF1
0.0385611	2.462	1.748	1.408	C1R
0.0386051	1.577	1.078	1.463	CPEB4
0.0386752	1.127	0.614	1.836	MGC39821
0.0387656	1.133	0.742	1.527	PILRA
0.0387796	1.802	1.21	1.489	ADAMTS2
0.038836	1.685	1.022	1.649	WBSCR27
0.0388515	0.979	0.652	1.502	TEPP
0.0390651	1.758	1.068	1.646	HOM-TES-103
0.0390823	0.73	0.456	1.601	EIF2C1
0.039092	0.865	0.557	1.553	ANKRD13B
0.0391361	1.202	0.79	1.522	CCDC106
0.0391706	1.864	1.273	1.464	DAB2
0.0392014	0.645	0.417	1.547	ADC
0.0392129	0.9	0.557	1.616	CASP9
0.0392164	1.574	0.947	1.662	DCTN6
0.039218	0.713	0.397	1.796	ADAMTS16
0.0392657	1.089	0.622	1.751	OR2A9P
0.0392949	1.059	0.715	1.481	LRE1
0.0393397	0.649	0.407	1.595	GNGT1
0.0393531	1.051	0.653	1.609	LOC653110
0.0393942	1.165	0.805	1.447	NAP1L5
0.039418	1.402	0.923	1.519	BMP2K
0.0394536	1.458	1.026	1.421	FSTL4
0.0396626	1.432	0.876	1.635	CD151
0.0397167	1.34	0.917	1.461	CEP170L
0.0397948	1.264	0.756	1.672	DNAJC17
0.0398224	1.727	1.21	1.427	SOCS5
0.0398434	1.532	1.032	1.484	CRSP3
0.0398772	0.617	0.343	1.799	C14orf79
0.0399644	1.1	0.636	1.73	ATP5C1
0.0399725	1.14	0.819	1.392	TMSL3
0.0400885	1.336	0.935	1.429	FMNL3
0.0401276	1.22	0.82	1.488	ETF1
0.0401594	1.3	0.855	1.52	NFKB2
0.0401726	1.058	0.619	1.709	IFT172
0.040174	1.1	0.438	2.511	GDPD5
0.0402776	1.307	0.915	1.428	DPH5
0.0403483	1.395	0.891	1.566	PHC1
0.0403987	1.63	1.133	1.439	NEU1
0.0404097	1.158	0.589	1.966	ZNF619
0.0404453	0.835	0.356	2.346	ZNF692
0.0405468	1.07	0.68	1.574	FAM118A
0.0405483	1.677	1.141	1.47	ACO1
0.0405949	1.181	0.843	1.401	C5orf14
0.040603	0.899	0.488	1.842	WDR35
0.0406176	1.162	0.719	1.616	RPL24
0.0406583	2.514	1.176	2.138	HMCN1
0.0406986	0.732	0.398	1.839	PCCB
0.0407372	0.694	0.441	1.574	LOC169834
0.0409228	0.941	0.6	1.568	IPO11
0.0409573	1.327	0.707	1.877	FLJ33065
0.0409583	0.911	0.557	1.636	LOC729272
0.0409812	1.509	1.075	1.404	SCIN
0.040982	2.742	1.568	1.749	LRRC15
0.041047	1.872	1.076	1.74	PCBP4
0.0410771	1.769	1.1	1.608	ISG20L1
0.0410783	0.851	0.528	1.612	SMUG1
0.0410965	1.246	0.79	1.577	RNF32
0.0411437	1.487	0.773	1.924	C7orf10
0.041216	0.676	0.37	1.827	C10orf118
0.041246	1.613	1.067	1.512	PTPMT1
0.0412525	1.123	0.692	1.623	MAMDC4
0.0412657	0.719	0.427	1.684	FLJ33996
0.0413479	1.043	0.684	1.525	LOC646214
0.0413489	0.614	0.372	1.651	SLC25A45
0.0413701	1.623	1.115	1.456	SLC9A7
0.0414022	1.43	0.827	1.729	RASAL2
0.0414445	1.861	1.181	1.576	APLP1
0.0416145	0.892	0.603	1.479	LOC729915
0.041811	1.108	0.729	1.52	COQ5
0.0419105	1.213	0.737	1.646	SLC30A9
0.0419403	1.319	0.716	1.842	GYPE
0.0419795	1.236	0.85	1.454	PCDH1
0.0419904	1.403	0.981	1.43	IBRDC2
0.0420026	0.987	0.604	1.634	SUHW3
0.0420288	1.209	0.555	2.178	PQLC3
0.0420791	0.974	0.666	1.462	LOC729348
0.0420841	2.132	1.523	1.4	RAB7A
0.0420909	0.957	0.452	2.117	AMY2B
0.0421519	1.269	0.896	1.416	THEM2
0.0421622	0.994	0.659	1.508	COP1
0.0422257	1.483	1.059	1.4	RBM18
0.042254	1.043	0.647	1.612	ATP10B
0.0422922	1.175	0.692	1.698	ZNF611
0.0423368	1.157	0.789	1.466	ZNF253
0.0425491	1.757	1.261	1.393	DNASE1L1
0.0425622	1.282	0.909	1.41	SCML2
0.0426994	1.238	0.572	2.164	C16orf58
0.042703	1.126	0.782	1.44	NRD1
0.0430214	1.022	0.727	1.406	ASB16
0.0431289	1.508	1.047	1.44	CTSC
0.0431654	1.107	0.703	1.575	IL27
0.043186	1.364	0.917	1.487	ZNF780B
0.0431869	0.72	0.46	1.565	UBE4B
0.0432373	1.498	0.969	1.546	SLC16A4
0.0433263	0.677	0.437	1.549	FLJ14213
0.0433931	0.747	0.265	2.819	CRISP3
0.0434257	1.707	1.047	1.63	MEGF8
0.0435037	1.329	0.764	1.74	CRSP3
0.0435355	1.195	0.829	1.441	SLC43A1
0.0435393	1.648	0.93	1.772	BMP1
0.043607	0.869	0.446	1.948	FRAS1
0.0437011	1.121	0.77	1.456	GRTP1
0.0437038	1.462	0.948	1.542	SBNO1
0.0438645	0.604	0.368	1.641	CNKSR2
0.0438757	1.718	1.033	1.663	OSMR
0.0438964	1.299	0.73	1.779	DTWD1
0.0439116	1.292	0.717	1.802	TGFBRAP1
0.0439201	1.315	0.938	1.402	PNCK
0.0439273	1.349	0.802	1.682	ZNF251
0.0440082	1.072	0.662	1.619	ROM1
0.0440503	1.954	1.014	1.927	PIP5K1A
0.0440825	0.875	0.557	1.571	WDR55
0.0440865	1.475	1.03	1.432	FLJ14186
0.0441372	1.121	0.758	1.479	ZBTB7C
0.0441905	1.088	0.736	1.478	ARRB1
0.0442012	0.981	0.673	1.458	OR5T3
0.0442437	1.119	0.795	1.408	KRIT1
0.0442859	2.077	1.22	1.702	NID1
0.0443489	0.676	0.426	1.587	SCEL
0.0443927	1.026	0.73	1.405	C16orf58
0.0443975	1.424	0.903	1.577	ZNF746
0.0445366	1.003	0.658	1.524	L2HGDH
0.0445527	1.222	0.836	1.462	POMT1
0.0446116	2.134	1.373	1.554	CENTD2
0.0446384	1.363	0.964	1.414	TRDMT1
0.0447094	1.029	0.683	1.507	LOC440716
0.0447123	1.845	1.246	1.481	FBS1
0.0447261	0.698	0.419	1.666	WDR75
0.0447664	0.656	0.454	1.445	SERGEF
0.0447684	0.811	0.461	1.759	CMTM6
0.0447809	1.302	0.897	1.452	MAPK6
0.0448124	2.313	1.547	1.495	DCN
0.0448298	0.586	0.288	2.035	CMKLR1
0.0448404	1.598	1.115	1.433	RCBTB1
0.0448863	1.912	1.097	1.743	KITLG
0.0449164	1.592	0.934	1.704	TRUB1
0.0449468	0.883	0.629	1.404	PTGER3
0.0450117	0.809	0.437	1.851	MGC11082
0.0451354	0.949	0.688	1.379	RETNLB
0.0451727	1.155	0.801	1.442	GANC
0.0452097	0.922	0.43	2.144	C1orf121
0.0452861	0.861	0.55	1.565	C4orf33
0.0452915	1.417	0.987	1.436	GLIS2
0.0453252	1.495	1.046	1.429	C11orf46
0.0453432	1.255	0.852	1.473	RNF44
0.0454538	1.215	0.872	1.393	ST7
0.0454804	1.364	0.798	1.709	DMPK
0.0454805	2.004	1.319	1.519	FAM62B
0.0455118	0.934	0.542	1.723	ZNF658B
0.0456165	1.757	1.225	1.434	DCTN1
0.0456393	1.013	0.547	1.852	ANAPC4
0.0456875	0.831	0.516	1.61	HBS1L
0.045728	1.158	0.787	1.471	ZNF10
0.0457372	0.965	0.658	1.467	LOC729348
0.0457412	1.159	0.819	1.415	FRG1
0.045765	1.348	0.85	1.586	NICN1
0.0458423	1.142	0.737	1.55	SON
0.0459829	1.366	0.97	1.408	C4orf12
0.0460347	1.059	0.649	1.632	ANKHD1
0.0460742	1.834	1.12	1.637	SIDT2
0.0461201	1.639	1.02	1.607	LOC652260
0.0461843	1.07	0.736	1.454	DNAJB14
0.0461847	1.141	0.818	1.395	FSIP2
0.0462131	1.168	0.71	1.645	KIAA0776
0.0462223	2.026	1.455	1.392	DAB2
0.0462971	1.189	0.761	1.562	NT5DC1
0.0463596	1.138	0.752	1.513	LRSAM1
0.0463601	1.423	0.895	1.59	MAPBPIP
0.046365	1.22	0.812	1.502	LOC388948
0.0464236	0.92	0.566	1.625	MLLT6
0.0465584	1.398	0.928	1.506	PPP1R12B
0.0466288	0.763	0.442	1.726	SERF1A
0.0466415	0.982	0.667	1.472	IKZF4
0.046682	1.417	0.996	1.423	GTF2H5
0.0466937	1.451	1.031	1.407	SFRS5
0.0467145	1.018	0.437	2.33	KIAA0430
0.0467258	1.718	1.229	1.398	SH2D4A
0.0467539	0.996	0.68	1.465	FLJ10292
0.0467809	1.461	0.983	1.486	DNASE2
0.0468224	1.314	0.935	1.405	CYBASC3
0.0469369	1.24	0.843	1.471	ATP5L
0.0470513	0.781	0.451	1.732	PDE4DIP
0.0470835	1.233	0.566	2.178	HACL1
0.0471066	1.092	0.649	1.683	ZC3H12A
0.0471068	1.02	0.592	1.723	MGC45491
0.0471406	1.043	0.648	1.61	KLHL29
0.0473118	1.377	0.575	2.395	DENND4C
0.0473793	1.953	1.381	1.414	LRPAP1
0.0473831	0.866	0.629	1.377	ABHD13
0.0474445	0.942	0.591	1.594	LOC729348
0.047446	0.766	0.442	1.733	SLC16A10
0.0474668	0.871	0.533	1.634	GNPAT
0.0474863	1.223	0.832	1.47	KIAA1618
0.0474961	1.288	0.929	1.386	LOC162073
0.0475655	1.189	0.814	1.461	KRIT1
0.0475935	0.983	0.563	1.746	ALS2CR8
0.0477271	0.97	0.529	1.834	CITED4
0.0477452	1.109	0.648	1.711	WBSCR19
0.0477618	1.095	0.578	1.894	C14orf173
0.0478365	0.717	0.309	2.32	CSH2
0.0478378	1.394	1.006	1.386	ZNF14
0.0478762	0.908	0.451	2.013	CSMD2
0.0478776	0.87	0.497	1.751	LOC442326
0.0479214	1.196	0.86	1.391	KCNK1
0.0479267	1.134	0.71	1.597	PITRM1
0.0479289	1.437	1.007	1.427	IL17RA
0.0479888	1.242	0.871	1.426	PTHR2
0.0479907	1.478	1.058	1.397	KIAA0802
0.0480086	1.728	1.044	1.655	CHP
0.0480318	1.158	0.799	1.449	LOC644524
0.0480435	0.879	0.507	1.734	SIPA1L2
0.0480546	1.255	0.826	1.519	CRYZL1
0.0481829	1.092	0.703	1.553	LOC401252
0.0482614	1.356	0.836	1.622	HUWE1
0.0482702	1.596	1.158	1.378	DUSP11
0.0482852	1.571	1.005	1.563	C16orf44
0.0483186	0.876	0.554	1.581	GHR
0.048326	1.328	0.803	1.654	DPPA4
0.0484077	1.033	0.721	1.433	HPS4
0.0484264	1.472	1.042	1.413	LOC643377
0.0484874	1.071	0.635	1.687	C7orf25
0.0485678	0.532	0.314	1.694	C6orf134
0.0485957	1.255	0.86	1.459	TBC1D8B
0.0486116	1.26	0.798	1.579	SUV420H1
0.0486126	1.547	1.129	1.37	FVT1
0.0486991	0.682	0.393	1.735	NEDD9
0.0487037	1.842	1.199	1.536	TM7SF3
0.0487942	1.033	0.737	1.402	SP2
0.0489697	0.697	0.327	2.131	UGT8
0.0490382	0.838	0.489	1.714	RPN2
0.0490758	1.075	0.746	1.441	C16orf52
0.0492608	2.052	1.494	1.373	FBLN5
0.049267	0.996	0.521	1.912	BZRPL1
0.0492935	1.198	0.754	1.589	MAP1D
0.0493304	1.751	1.146	1.528	SMG6
0.0494105	0.948	0.671	1.413	OTUB2
0.0494323	2.07	1.289	1.606	SSTR1
0.0494707	0.895	0.57	1.57	CHCHD6
0.0495151	1.619	1.174	1.379	9-Sep
0.049536	1.037	0.597	1.737	RB1
0.0496821	1.165	0.815	1.429	EFCBP2
0.0498259	0.914	0.585	1.562	LOC643905
0.0499098	1.033	0.626	1.65	OR52M1
0.0499934	0.987	0.605	1.631	PFTK1
