Symbol	Gene Name	combined p value	Expression
Sulf2	Sulfatase 2	1.67E-10	Down-regulated transcripts
Crtap	Cartilage associated protein	2.61E-10	Down-regulated transcripts
Idb3	Inhibitor of DNA binding 3	2.76E-10	Down-regulated transcripts
Usp1	Ubiquitin specific protease 1	2.98E-10	Down-regulated transcripts
Bcar1	Breast cancer anti-estrogen resistance 1	3.14E-10	Down-regulated transcripts
Kpna2	Karyopherin (importin) alpha 2	3.26E-10	Down-regulated transcripts
Suclg2	Succinate-Coenzyme A ligase, GDP-forming, beta subunit	3.43E-10	Down-regulated transcripts
Zfp36l1	Zinc finger protein 36, C3H type-like 1	1.02E-09	Down-regulated transcripts
Rpl41	Ribosomal protein L41	1.38E-09	Down-regulated transcripts
Rbmxrt	RNA binding motif protein, X chromosome retrogene	1.51E-09	Down-regulated transcripts
Mcm3	Minichromosome maintenance deficient 3 (S. cerevisiae)	1.96E-09	Down-regulated transcripts
Smc1l1	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	2.02E-09	Down-regulated transcripts
Rbmx	RNA binding motif protein, X chromosome	3.10E-09	Down-regulated transcripts
Pvrl3	Poliovirus receptor-related 3	3.30E-09	Down-regulated transcripts
Pla2g7	Phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	3.31E-09	Down-regulated transcripts
Ccnb1	Cyclin B1, related sequence 1	3.32E-09	Down-regulated transcripts
Cav1	Caveolin, caveolae protein 1	3.79E-09	Down-regulated transcripts
St5	Suppression of tumorigenicity 5	4.20E-09	Down-regulated transcripts
Nasp	Nuclear autoantigenic sperm protein (histone-binding)	5.18E-09	Down-regulated transcripts
Psip1	Small nuclear RNA activating complex, polypeptide 3	5.21E-09	Down-regulated transcripts
Rps4x	Ribosomal protein S4, X-linked	5.34E-09	Down-regulated transcripts
Hmgb3	High mobility group box 3	5.34E-09	Down-regulated transcripts
Parva	Parvin, alpha	6.05E-09	Down-regulated transcripts
Mcm6	Minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	6.25E-09	Down-regulated transcripts
Marcks	Myristoylated alanine rich protein kinase C substrate	6.25E-09	Down-regulated transcripts
Pcbp2	Poly(rC) binding protein 2	6.50E-09	Down-regulated transcripts
Timp3	Tissue inhibitor of metalloproteinase 3	7.26E-09	Down-regulated transcripts
Lamr1	Laminin receptor 1 (ribosomal protein SA)	7.40E-09	Down-regulated transcripts
Racgap1	Rac GTPase-activating protein 1	8.40E-09	Down-regulated transcripts
Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	1.11E-08	Down-regulated transcripts
Ubtf	Upstream binding transcription factor, RNA polymerase I	1.34E-08	Down-regulated transcripts
Hnrpa0	Similar to heterogeneous nuclear ribonucleoprotein A0	1.52E-08	Down-regulated transcripts
Lmcd1	LIM and cysteine-rich domains 1	1.61E-08	Down-regulated transcripts
Crot	Carnitine O-octanoyltransferase	1.94E-08	Down-regulated transcripts
Sesn1	Sestrin 1	1.95E-08	Down-regulated transcripts
Stk6	Serine/threonine kinase 6	2.17E-08	Down-regulated transcripts
Mat2a	Methionine adenosyltransferase II, alpha	2.30E-08	Down-regulated transcripts
Chaf1b	Chromatin assembly factor 1, subunit B (p60)	2.55E-08	Down-regulated transcripts
Pcolce	Procollagen C-proteinase enhancer protein	2.65E-08	Down-regulated transcripts
Lmna	Lamin A	2.99E-08	Down-regulated transcripts
Gtf2i	GTF2I repeat domain containing 2	3.61E-08	Down-regulated transcripts
Ampd3	AMP deaminase 3	3.63E-08	Down-regulated transcripts
Anln	Anillin, actin binding protein (scraps homolog, Drosophila)	4.60E-08	Down-regulated transcripts
Olfm1	Olfactomedin 1	4.65E-08	Down-regulated transcripts
Bzw2	Basic leucine zipper and W2 domains 2	4.79E-08	Down-regulated transcripts
Orc6l	Origin recognition complex, subunit 6-like (S. cerevisiae)	4.83E-08	Down-regulated transcripts
Incenp	Inner centromere protein	5.00E-08	Down-regulated transcripts
Tfdp1	Transcription factor Dp 1	7.47E-08	Down-regulated transcripts
Sgk	Serum/glucocorticoid regulated kinase	7.50E-08	Down-regulated transcripts
Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	8.08E-08	Down-regulated transcripts
Ddost	Dolichyl-di-phosphooligosaccharide-protein glycotransferase	8.96E-08	Down-regulated transcripts
Rpl29	Ribosomal protein L29	9.53E-08	Down-regulated transcripts
Fath	Fat tumor suppressor homolog (Drosophila)	9.86E-08	Down-regulated transcripts
Ccnf	Cyclin F	1.09E-07	Down-regulated transcripts
Shcbp1	Shc SH2-domain binding protein 1	1.15E-07	Down-regulated transcripts
Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	1.28E-07	Down-regulated transcripts
Cd164	CD164 antigen	1.38E-07	Down-regulated transcripts
Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	1.50E-07	Down-regulated transcripts
Prkcn	Protein kinase C, nu	1.57E-07	Down-regulated transcripts
Sf3b2	Splicing factor 3b, subunit 2	1.67E-07	Down-regulated transcripts
Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	1.81E-07	Down-regulated transcripts
Itga6	Integrin alpha 6	1.95E-07	Down-regulated transcripts
Cdk2	Cyclin-dependent kinase 2	1.97E-07	Down-regulated transcripts
Rpa2	Replication protein A2	1.98E-07	Down-regulated transcripts
Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	2.42E-07	Down-regulated transcripts
Bub1b	Budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	2.53E-07	Down-regulated transcripts
Gpx1	Glutathione peroxidase 1	2.59E-07	Down-regulated transcripts
Pdgfa	Platelet derived growth factor, alpha	2.95E-07	Down-regulated transcripts
Fkbp3	FK506 binding protein 3	2.96E-07	Down-regulated transcripts
Cdc20	Cell division cycle 20 homolog (S. cerevisiae)	2.98E-07	Down-regulated transcripts
Wnt2	Wingless-related MMTV integration site 2	2.99E-07	Down-regulated transcripts
Eef1a1	Eukaryotic translation elongation factor 1 alpha 1	3.54E-07	Down-regulated transcripts
Prdx4	Peroxiredoxin 4	3.63E-07	Down-regulated transcripts
Acad9	Acyl-Coenzyme A dehydrogenase family, member 9	3.87E-07	Down-regulated transcripts
Tnc	Tenascin C	4.38E-07	Down-regulated transcripts
Arhgap6	Rho GTPase activating protein 6	4.61E-07	Down-regulated transcripts
Sdha	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	4.64E-07	Down-regulated transcripts
Lgals1	Lectin, galactose binding, soluble 1	4.73E-07	Down-regulated transcripts
Col4a5	Procollagen, type IV, alpha 5	5.24E-07	Down-regulated transcripts
Zfp503	Zinc finger protein 503	6.16E-07	Down-regulated transcripts
Anxa2	Annexin A2	6.83E-07	Down-regulated transcripts
Gstm7	Glutathione S-transferase, mu 7	6.88E-07	Down-regulated transcripts
Tmpo	Thymopoietin	7.21E-07	Down-regulated transcripts
Npm1	Nucleophosmin 1	7.27E-07	Down-regulated transcripts
Kpnb1	Karyopherin (importin) beta 1	7.41E-07	Down-regulated transcripts
Chaf1a	Chromatin assembly factor 1, subunit A (p150)	7.42E-07	Down-regulated transcripts
Dnajb4	DnaJ (Hsp40) homolog, subfamily B, member 4	7.51E-07	Down-regulated transcripts
Acpl2	Acid phosphatase-like 2	7.95E-07	Down-regulated transcripts
Rbl1	Retinoblastoma-like 1 (p107)	8.31E-07	Down-regulated transcripts
Neto2	Neuropilin (NRP) and tolloid (TLL)-like 2	9.29E-07	Down-regulated transcripts
Zfp367	Zinc finger protein 367	1.23E-06	Down-regulated transcripts
Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	1.29E-06	Down-regulated transcripts
Cdkn2c	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1.31E-06	Down-regulated transcripts
Nubp2	Nucleotide binding protein 2	1.37E-06	Down-regulated transcripts
Rnpep	Arginyl aminopeptidase (aminopeptidase B)	1.49E-06	Down-regulated transcripts
Foxm1	Forkhead box M1	1.62E-06	Down-regulated transcripts
Ube2c	Ubiquitin-conjugating enzyme E2C	1.63E-06	Down-regulated transcripts
Tpst1	Protein-tyrosine sulfotransferase 1	1.77E-06	Down-regulated transcripts
Lamc1	Laminin, gamma 1	1.92E-06	Down-regulated transcripts
Mapk3	Mitogen activated protein kinase 3	2.23E-06	Down-regulated transcripts
Map2k7	Mitogen activated protein kinase kinase 7	2.25E-06	Down-regulated transcripts
Pkp4	Plakophilin 4	2.30E-06	Down-regulated transcripts
Mta3	Metastasis associated 3	2.34E-06	Down-regulated transcripts
Slc9a9	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 9	2.45E-06	Down-regulated transcripts
Nfkb1	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	2.60E-06	Down-regulated transcripts
Cul1	Cullin 1	2.60E-06	Down-regulated transcripts
Snrp116	U5 small nuclear ribonucleoprotein	2.73E-06	Down-regulated transcripts
Hnrpab	Heterogeneous nuclear ribonucleoprotein A/B	2.74E-06	Down-regulated transcripts
Egln1	EGL nine homolog 1 (C. elegans)	2.81E-06	Down-regulated transcripts
Acin1	Apoptotic chromatin condensation inducer 1	2.94E-06	Down-regulated transcripts
Mylpf	Myosin light chain, phosphorylatable, fast skeletal muscle	2.95E-06	Down-regulated transcripts
Ipo9	Importin 9	2.98E-06	Down-regulated transcripts
Sparc	Secreted acidic cysteine rich glycoprotein	2.99E-06	Down-regulated transcripts
Rere	Arginine glutamic acid dipeptide (RE) repeats	3.04E-06	Down-regulated transcripts
Mylc2b	Myosin light chain, regulatory B	3.05E-06	Down-regulated transcripts
Hdac1	Histone deacetylase 1	3.18E-06	Down-regulated transcripts
Pspc1	Paraspeckle protein 1	3.21E-06	Down-regulated transcripts
Etv5	Ets variant gene 5	3.27E-06	Down-regulated transcripts
Lrrc1	Leucine rich repeat containing 1	3.30E-06	Down-regulated transcripts
Rpa3	Replication protein A3	3.44E-06	Down-regulated transcripts
Dek	DEK oncogene (DNA binding)	3.55E-06	Down-regulated transcripts
Nisch	Nischarin	3.70E-06	Down-regulated transcripts
Prim1	DNA primase, p49 subunit	3.81E-06	Down-regulated transcripts
Hdhd3	Haloacid dehalogenase-like hydrolase domain containing 3	3.83E-06	Down-regulated transcripts
Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	3.90E-06	Down-regulated transcripts
Sept2	Septin 2	4.05E-06	Down-regulated transcripts
Cdca5	Cell division cycle associated 5	4.07E-06	Down-regulated transcripts
Guk1	Guanylate kinase 1	4.51E-06	Down-regulated transcripts
Pfkl	Phosphofructokinase, liver, B-type	4.56E-06	Down-regulated transcripts
Ptgfrn	Prostaglandin F2 receptor negative regulator	5.14E-06	Down-regulated transcripts
Ncl	Nucleolin	5.14E-06	Down-regulated transcripts
Wdr6	WD repeat domain 6	5.18E-06	Down-regulated transcripts
Gemin6	Gem (nuclear organelle) associated protein 6	5.27E-06	Down-regulated transcripts
Lig1	Ligase I, DNA, ATP-dependent	5.64E-06	Down-regulated transcripts
Tcf19	Transcription factor 19	5.75E-06	Down-regulated transcripts
Magoh	Mago-nashi homolog, proliferation-associated (Drosophila)	6.30E-06	Down-regulated transcripts
Nit2	Nitrilase family, member 2	6.32E-06	Down-regulated transcripts
Tst	Thiosulfate sulfurtransferase, mitochondrial	7.39E-06	Down-regulated transcripts
Msrb3	Methionine sulfoxide reductase B3	7.87E-06	Down-regulated transcripts
Oxct1	3-oxoacid CoA transferase 1	7.90E-06	Down-regulated transcripts
Mrpl3	Mitochondrial ribosomal protein L3	7.98E-06	Down-regulated transcripts
Rps8	Ribosomal protein S8	8.05E-06	Down-regulated transcripts
Ilf3	Interleukin enhancer binding factor 3	8.63E-06	Down-regulated transcripts
Rpl32	Ribosomal protein L32	8.78E-06	Down-regulated transcripts
Ranbp1	RAN binding protein 1	8.98E-06	Down-regulated transcripts
Nup37	Nucleoporin 37	9.12E-06	Down-regulated transcripts
Mtus1	Mitochondrial tumor suppressor 1	9.30E-06	Down-regulated transcripts
Kit	Kit oncogene	9.89E-06	Down-regulated transcripts
Cdca1	Cell division cycle associated 1	1.03E-05	Down-regulated transcripts
Ehd4	EH-domain containing 4	1.05E-05	Down-regulated transcripts
Fh1	Fumarate hydratase 1	1.06E-05	Down-regulated transcripts
Bbs7	Bardet-Biedl syndrome 7	1.07E-05	Down-regulated transcripts
Anxa6	Annexin A6	1.12E-05	Down-regulated transcripts
Espl1	Extra spindle poles-like 1 (S. cerevisiae)	1.18E-05	Down-regulated transcripts
Rnaset2	Ribonuclease T2	1.30E-05	Down-regulated transcripts
Fnbp1l	Formin binding protein 1-like	1.32E-05	Down-regulated transcripts
Usp33	Ubiquitin specific protease 33	1.33E-05	Down-regulated transcripts
Hnrpm	Heterogeneous nuclear ribonucleoprotein M	1.36E-05	Down-regulated transcripts
Rad21	RAD21 homolog (S. pombe)	1.37E-05	Down-regulated transcripts
Exosc8	Exosome component 8	1.39E-05	Down-regulated transcripts
Rps27l	Ribosomal protein S27-like	1.44E-05	Down-regulated transcripts
Sh3bgrl3	SH3 domain binding glutamic acid-rich protein-like 3	1.45E-05	Down-regulated transcripts
Ppp2r4	Protein phosphatase 2A, regulatory subunit B (PR 53)	1.50E-05	Down-regulated transcripts
Ncbp2	Nuclear cap binding protein subunit 2	1.62E-05	Down-regulated transcripts
Acad8	Acyl-Coenzyme A dehydrogenase family, member 8	1.77E-05	Down-regulated transcripts
Fech	Ferrochelatase	1.91E-05	Down-regulated transcripts
Jmjd1b	Jumonji domain containing 1B	1.99E-05	Down-regulated transcripts
Gstm4	Glutathione S-transferase, mu 4	2.02E-05	Down-regulated transcripts
Cdca7	Cell division cycle associated 7	2.04E-05	Down-regulated transcripts
Nfix	Nuclear factor I/X	2.04E-05	Down-regulated transcripts
Sdhc	Succinate dehydrogenase complex, subunit C, integral membrane protein	2.05E-05	Down-regulated transcripts
Fzr1	Fizzy/cell division cycle 20 related 1 (Drosophila)	2.07E-05	Down-regulated transcripts
Raly	HnRNP-associated with lethal yellow	2.42E-05	Down-regulated transcripts
Cdca8	Cell division cycle associated 8	2.50E-05	Down-regulated transcripts
Ssrp1	Structure specific recognition protein 1	2.51E-05	Down-regulated transcripts
Arpc1a	Actin related protein 2/3 complex, subunit 1A	2.65E-05	Down-regulated transcripts
Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	2.65E-05	Down-regulated transcripts
Sfrs4	Splicing factor, arginine/serine-rich 4 (SRp75)	2.68E-05	Down-regulated transcripts
Pold3	Polymerase (DNA-directed), delta 3, accessory subunit	2.71E-05	Down-regulated transcripts
Tmem2	Transmembrane protein 2	2.72E-05	Down-regulated transcripts
Anapc1	Anaphase promoting complex subunit 1	2.73E-05	Down-regulated transcripts
Srm	Spermidine synthase	3.17E-05	Down-regulated transcripts
Ssr2	Signal sequence receptor, beta	3.21E-05	Down-regulated transcripts
Gsn	Gelsolin	3.26E-05	Down-regulated transcripts
Capza1	Capping protein (actin filament) muscle Z-line, alpha 1	3.49E-05	Down-regulated transcripts
Txln	Taxilin	3.63E-05	Down-regulated transcripts
Fchsd2	FCH and double SH3 domains 2 (human)	3.83E-05	Down-regulated transcripts
Idh2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	3.84E-05	Down-regulated transcripts
Snrpe	Small nuclear ribonucleoprotein E	4.01E-05	Down-regulated transcripts
Troap	Trophinin associated protein	4.29E-05	Down-regulated transcripts
Cetn3	Centrin 3	4.37E-05	Down-regulated transcripts
Msh6	MutS homolog 6 (E. coli)	4.47E-05	Down-regulated transcripts
Uxs1	UDP-glucuronate decarboxylase 1	4.58E-05	Down-regulated transcripts
Rqcd1	Rcd1 (required for cell differentiation) homolog 1 (S. pombe)	4.59E-05	Down-regulated transcripts
Bpgm	2,3-bisphosphoglycerate mutase	4.66E-05	Down-regulated transcripts
Ppib	Peptidylprolyl isomerase B	4.86E-05	Down-regulated transcripts
G3bp	Ras-GTPase-activating protein SH3-domain binding protein	4.89E-05	Down-regulated transcripts
Xbp1	X-box binding protein 1	5.07E-05	Down-regulated transcripts
Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	5.39E-05	Down-regulated transcripts
Ewsr1	Ewing sarcoma breakpoint region 1	5.45E-05	Down-regulated transcripts
Tera	Teratocarcinoma expressed, serine rich	5.50E-05	Down-regulated transcripts
Cdk2ap1	CDK2 (cyclin-dependent kinase 2)-associated protein 1	5.53E-05	Down-regulated transcripts
Sucla2	Succinate-Coenzyme A ligase, ADP-forming, beta subunit	5.56E-05	Down-regulated transcripts
Gpiap1	GPI-anchored membrane protein 1	5.59E-05	Down-regulated transcripts
Cxxc5	CXXC finger 5	5.70E-05	Down-regulated transcripts
Lmnb1	Lamin B1	6.18E-05	Down-regulated transcripts
Safb	Scaffold attachment factor B	6.19E-05	Down-regulated transcripts
Ifitm2	Interferon induced transmembrane protein 2	6.50E-05	Down-regulated transcripts
Tle6	Transducin-like enhancer of split 6, homolog of Drosophila E(spl)	6.69E-05	Down-regulated transcripts
Foxj2	Forkhead box J2	7.04E-05	Down-regulated transcripts
Ldb1	LIM domain binding 1	7.34E-05	Down-regulated transcripts
Zbtb20	Zinc finger and BTB domain containing 20	7.43E-05	Down-regulated transcripts
Tomm22	Translocase of outer mitochondrial membrane 22 homolog (yeast)	7.43E-05	Down-regulated transcripts
Gyg1	Glycogenin 1	7.44E-05	Down-regulated transcripts
Slc24a3	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	7.50E-05	Down-regulated transcripts
Slbp	Stem-loop binding protein	7.64E-05	Down-regulated transcripts
Sf3b3	Splicing factor 3b, subunit 3	8.08E-05	Down-regulated transcripts
Sema6a	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	8.13E-05	Down-regulated transcripts
Rufy1	RUN and FYVE domain containing 1	8.57E-05	Down-regulated transcripts
Rad51	RAD51 homolog (S. cerevisiae)	8.61E-05	Down-regulated transcripts
Cd81	CD 81 antigen	8.94E-05	Down-regulated transcripts
Ddah2	Dimethylarginine dimethylaminohydrolase 2	9.23E-05	Down-regulated transcripts
Il6st	Interleukin 6 signal transducer	9.66E-05	Down-regulated transcripts
Timm50	Translocase of inner mitochondrial membrane 50 homolog (yeast)	9.93E-05	Down-regulated transcripts
Nfat5	Nuclear factor of activated T-cells 5	1.03E-04	Down-regulated transcripts
Rangap1	RAN GTPase activating protein 1	1.06E-04	Down-regulated transcripts
Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2	1.09E-04	Down-regulated transcripts
Gmnn	Geminin	1.15E-04	Down-regulated transcripts
Pik3r1	Phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	1.15E-04	Down-regulated transcripts
Mtap7	Microtubule-associated protein 7	1.16E-04	Down-regulated transcripts
Isyna1	Myo-inositol 1-phosphate synthase A1	1.20E-04	Down-regulated transcripts
Drpla	Dentatorubral pallidoluysian atrophy	1.20E-04	Down-regulated transcripts
Flrt2	Fibronectin leucine rich transmembrane protein 2	1.26E-04	Down-regulated transcripts
Nde1	Nuclear distribution gene E homolog 1 (A nidulans)	1.26E-04	Down-regulated transcripts
Ccnh	Cyclin H	1.32E-04	Down-regulated transcripts
Melk	Maternal embryonic leucine zipper kinase	1.32E-04	Down-regulated transcripts
Fkbp9	FK506 binding protein 9	1.33E-04	Down-regulated transcripts
Thy28	Thymocyte protein thy28	1.35E-04	Down-regulated transcripts
Lrpap1	Low density lipoprotein receptor-related protein associated protein 1	1.39E-04	Down-regulated transcripts
Ccng1	Cyclin G1	1.44E-04	Down-regulated transcripts
Ezh2	Enhancer of zeste homolog 2 (Drosophila)	1.47E-04	Down-regulated transcripts
Ppat	Phosphoribosyl pyrophosphate amidotransferase	1.49E-04	Down-regulated transcripts
Kitl	Kit ligand	1.53E-04	Down-regulated transcripts
Pole	Polymerase (DNA directed), epsilon	1.58E-04	Down-regulated transcripts
Ptk2	PTK2 protein tyrosine kinase 2	1.73E-04	Down-regulated transcripts
Nicn1	Nicolin 1	1.76E-04	Down-regulated transcripts
Ccnd1	Cyclin D1	1.77E-04	Down-regulated transcripts
Hnrpd	Heterogeneous nuclear ribonucleoprotein D	1.78E-04	Down-regulated transcripts
Grp58	Glucose regulated protein	1.83E-04	Down-regulated transcripts
Dnclc1	Dynein, cytoplasmic, light chain 1	1.88E-04	Down-regulated transcripts
Ywhah	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	1.91E-04	Down-regulated transcripts
Pold1	Polymerase (DNA directed), delta 1, catalytic subunit	1.92E-04	Down-regulated transcripts
Smo	Smoothened homolog (Drosophila)	1.95E-04	Down-regulated transcripts
Rac1	RAS-related C3 botulinum substrate 1	1.95E-04	Down-regulated transcripts
Armcx1	Armadillo repeat containing, X-linked 1	1.96E-04	Down-regulated transcripts
Dlg7	Discs, large homolog 7 (Drosophila)	1.97E-04	Down-regulated transcripts
Snrpb	Small nuclear ribonucleoprotein B	1.97E-04	Down-regulated transcripts
Rps19	Ribosomal protein S19	2.10E-04	Down-regulated transcripts
Stk39	Serine/threonine kinase 39, STE20/SPS1 homolog (yeast)	2.18E-04	Down-regulated transcripts
Rbbp4	Retinoblastoma binding protein 4	2.21E-04	Down-regulated transcripts
Ruvbl1	RuvB-like protein 1	2.32E-04	Down-regulated transcripts
Mdh1	Malate dehydrogenase 1, NAD (soluble)	2.38E-04	Down-regulated transcripts
Tubb3	Tubulin, beta 3	2.43E-04	Down-regulated transcripts
Nap1l4	Nucleosome assembly protein 1-like 4	2.45E-04	Down-regulated transcripts
Tcfe2a	Transcription factor E2a	2.66E-04	Down-regulated transcripts
Nfic	Nuclear factor I/C	2.70E-04	Down-regulated transcripts
Mical3	Flavoprotein oxidoreductase MICAL3	2.78E-04	Down-regulated transcripts
Pbx1	Pre B-cell leukemia transcription factor 1	2.80E-04	Down-regulated transcripts
Zfpm2	Zinc finger protein, multitype 2	2.80E-04	Down-regulated transcripts
Anapc5	Anaphase-promoting complex subunit 5	2.81E-04	Down-regulated transcripts
Dnmt3a	DNA methyltransferase 3A	2.85E-04	Down-regulated transcripts
Men1	Multiple endocrine neoplasia 1	2.97E-04	Down-regulated transcripts
Tm4sf9	Transmembrane 4 superfamily member 9	2.97E-04	Down-regulated transcripts
Col5a1	Procollagen, type V, alpha 1	3.14E-04	Down-regulated transcripts
Mxd4	Max dimerization protein 4	3.16E-04	Down-regulated transcripts
Tcof1	Treacher Collins Franceschetti syndrome 1, homolog	3.36E-04	Down-regulated transcripts
Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2	3.41E-04	Down-regulated transcripts
Chc1	Chromosome condensation 1	3.66E-04	Down-regulated transcripts
Mrpl18	Mitochondrial ribosomal protein L18	3.68E-04	Down-regulated transcripts
Flna	Filamin, alpha	3.68E-04	Down-regulated transcripts
Surb7	SRB7 (supressor of RNA polymerase B) homolog (S. cerevisiae)	3.68E-04	Down-regulated transcripts
Cpsf6	Cleavage and polyadenylation specific factor 6	3.69E-04	Down-regulated transcripts
Bat8	HLA-B associated transcript 8	3.70E-04	Down-regulated transcripts
Pnrc2	Proline-rich nuclear receptor coactivator 2	3.98E-04	Down-regulated transcripts
Mcm7	Minichromosome maintenance deficient 7 (S. cerevisiae)	4.03E-04	Down-regulated transcripts
Sgol1	Shugoshin-like 1 (S. pombe)	4.08E-04	Down-regulated transcripts
Mrps25	Mitochondrial ribosomal protein S25	4.13E-04	Down-regulated transcripts
Ard1	N-acetyltransferase ARD1 homolog (S. cerevisiae)	4.14E-04	Down-regulated transcripts
Ercc4	Excision repair cross-complementing rodent repair deficiency, complementation group 4	4.17E-04	Down-regulated transcripts
Ckap4	Cytoskeleton-associated protein 4	4.18E-04	Down-regulated transcripts
Map17	Membrane-associated protein 17	4.28E-04	Down-regulated transcripts
Ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	4.33E-04	Down-regulated transcripts
Ppp2r5c	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform	4.47E-04	Down-regulated transcripts
Dncic2	Dynein, cytoplasmic, intermediate chain 2	4.54E-04	Down-regulated transcripts
Trappc1	Trafficking protein particle complex 1	4.82E-04	Down-regulated transcripts
Ppm1d	Protein phosphatase 1D magnesium-dependent, delta isoform	4.86E-04	Down-regulated transcripts
Pfas	Phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	4.88E-04	Down-regulated transcripts
Cpd	Carboxypeptidase D	4.92E-04	Down-regulated transcripts
Pcm1	Pericentriolar material 1	5.07E-04	Down-regulated transcripts
Uble1b	Ubiquitin-like 1 (sentrin) activating enzyme E1B	5.12E-04	Down-regulated transcripts
Mat2b	Methionine adenosyltransferase II, beta	5.29E-04	Down-regulated transcripts
Rad18	RAD18 homolog (S. cerevisiae)	5.29E-04	Down-regulated transcripts
Tagln2	Transgelin 2	5.31E-04	Down-regulated transcripts
Pkia	Protein kinase inhibitor, alpha	5.52E-04	Down-regulated transcripts
Hspb1	Heat shock protein 1	5.56E-04	Down-regulated transcripts
Ccnd3	Cyclin D3	5.63E-04	Down-regulated transcripts
Cdk5rap2	CDK5 regulatory subunit associated protein 2	5.65E-04	Down-regulated transcripts
Tm7sf3	Transmembrane 7 superfamily member 3	5.80E-04	Down-regulated transcripts
Agt	Angiotensinogen	5.82E-04	Down-regulated transcripts
Rbm14	RNA binding motif protein 14	5.95E-04	Down-regulated transcripts
Tex14	Testis expressed gene 14	5.99E-04	Down-regulated transcripts
Cenph	Centromere autoantigen H	6.00E-04	Down-regulated transcripts
Suv39h1	Suppressor of variegation 3-9 homolog 1 (Drosophila)	6.32E-04	Down-regulated transcripts
Bckdha	Branched chain ketoacid dehydrogenase E1, alpha polypeptide	6.37E-04	Down-regulated transcripts
Asxl1	Additional sex combs like 1 (Drosophila)	6.41E-04	Down-regulated transcripts
Ap2s1	Adaptor-related protein complex 2, sigma 1 subunit	6.66E-04	Down-regulated transcripts
Uchl5	Ubiquitin carboxyl-terminal esterase L5	6.74E-04	Down-regulated transcripts
Cdc5l	Cell division cycle 5-like (S. pombe)	6.87E-04	Down-regulated transcripts
Aurkb	Aurora kinase B	6.90E-04	Down-regulated transcripts
Add3	Adducin 3 (gamma)	6.91E-04	Down-regulated transcripts
Brrn1	Barren homolog (Drosophila)	6.98E-04	Down-regulated transcripts
Bub3	Budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	7.01E-04	Down-regulated transcripts
Trim59	Tripartite motif-containing 59	7.11E-04	Down-regulated transcripts
Fubp3	Far upstream element (FUSE) binding protein 3	7.13E-04	Down-regulated transcripts
Rab3b	RAB3B, member RAS oncogene family	7.17E-04	Down-regulated transcripts
Rnf103	Ring finger protein 103	7.18E-04	Down-regulated transcripts
Ppp4c	Protein phosphatase 4, catalytic subunit	7.20E-04	Down-regulated transcripts
Fmr1	Fragile X mental retardation syndrome 1 homolog	7.44E-04	Down-regulated transcripts
Cse1l	Chromosome segregation 1-like (S. cerevisiae)	7.46E-04	Down-regulated transcripts
Maz	MYC-associated zinc finger protein (purine-binding transcription factor)	7.67E-04	Down-regulated transcripts
Peci	Peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	7.73E-04	Down-regulated transcripts
Zc3hdc1	Zinc finger CCCH type domain containing 1	7.80E-04	Down-regulated transcripts
Atp5j2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	8.01E-04	Down-regulated transcripts
Nono	Non-POU-domain-containing, octamer binding protein	8.09E-04	Down-regulated transcripts
Mrpl12	Mitochondrial ribosomal protein L12	8.36E-04	Down-regulated transcripts
