probe set	gene	fold change
213432_at	mucin 5, subtype B, tracheobronchial	-4.28
202948_at	interleukin 1 receptor, type I	-4.6
203921_at	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	-4.64
206391_at	retinoic acid receptor responder (tazarotene induced) 1	-5.26
221872_at	retinoic acid receptor responder (tazarotene induced) 1	-5.34
209821_at	chromosome 9 open reading frame 26 (NF-HEV)	-5.53
205476_at	chemokine (C-C motif) ligand 20	-5.61
217109_at	mucin 4, tracheobronchial	-5.74
218960_at	transmembrane protease, serine 4	-5.75
206697_s_at	haptoglobin	-5.83
223278_at	gap junction protein, beta 2, 26kDa (connexin 26)	-5.98
202917_s_at	S100 calcium binding protein A8 (calgranulin A)	-6.08
212143_s_at	insulin-like growth factor binding protein 3	-6.84
206392_s_at	retinoic acid receptor responder (tazarotene induced) 1	-7.86
209396_s_at	chitinase 3-like 1 (cartilage glycoprotein-39)	-8.14
209395_at	chitinase 3-like 1 (cartilage glycoprotein-39)	-9.75
212977_at	chemokine orphan receptor 1	-13.7
