UniGene #	Gene	Description	Fold Change (log 2)
Hs.110675	APOC1	Apolipoprotein C-I	-1.0142
Hs.372616	ARL1	ADP-ribosylation factor-like 1	-1.1584
Hs.495897	ASTN	Astrotactin	-1.0611
Hs.440961	CAST	Calpastatin	-1.3867
Hs.460988	CBFB	Core-binding factor, beta subunit	-1.031
Hs.442378	CDO1	Cysteine dioxygenase, type I	-1.0682
Hs.512682	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	-1.0026
Hs.374378	CKS1B	ckshs1=homolog of Cks1=CDC28 protein kinase 1	-1.0205
Hs.311346	CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase	-1.1808
Hs.2042	CRISP2	Cysteine-rich secretory protein 2	-1.0304
Hs.382370	CSTF2	Cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa	-1.0184
Hs.19904	CTH	Cystathionase (cystathionine gamma-lyase)	-1.4189
Hs.445981	CTNNA1	Catenin (cadherin-associated protein), alpha 1, 102kDa	-1.1445
Hs.180628	DNM1L	Dynamin 1-like	-1.0172
Hs.429180	EIF2S2	Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	-1.2146
Hs.224008	FEZ1	Fasciculation and elongation protein zeta 1 (zygin I)	-1.2325
Hs.525017	FLJ11848	Hypothetical protein FLJ11848	-1.0092
Hs.99855	FPRL1	Lipoxin A4 receptor=FPRL1=HM63=G protein-coupled receptor regulated by IL-13 and IFN gamma and inhibits TNF alpha induced IL-8 release	-1.1015
Hs.398348	GTF2H2	General transcription factor IIH, polypeptide 2, 44kDa	-1.0769
Hs.3352	HDAC2	Histone deacetylase 2	-1.1278
Hs.534125	HLA-C	MHC Class I=HLA-C4	-1.0049
Hs.1802	HLA-DOB	Major histocompatibility complex, class II, DO beta	-1.0694
Hs.356285	HMGN1	High-mobility group nucleosome binding domain 1	-1.0137
Hs.98428	HOXB6	Homeo box B6	-1.4462
Hs.525646	IGHG3	Immunoglobulin gamma 3 heavy chain constant region	-1.0056
Hs.421245	IK	IK=IFN-gamma antagonist cytokine	-1.3978
Hs.133534	KSR	Kinase suppressor of ras	-1.1415
Hs.509414	KTN1	Kinectin 1 (kinesin receptor)	-1.1047
Hs.446149	LDHB	Lactate dehydrogenase B	-1.0032
Hs.159142	LFNG	Lunatic fringe homolog (Drosophila)	-1.1174
Hs.527007	MEOX2	Mesenchyme homeo box 2 (growth arrest-specific homeo box)	-1.0701
Hs.6917	MTCP1	Mature T-cell proliferation 1	-1.205
Hs.518424	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	-1.2938
Hs.471207	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	-1.0021
Hs.528222	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	-1.1313
Hs.463456	NME2	Non-metastatic cells 2, protein (NM23B) expressed in	-1.1053
Hs.172108	NUP88	Nucleoporin 88kDa	-1.1162
Hs.467701	ODC1	Ornithine decarboxylase 1	-1.0125
Hs.464336	P4HB	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	-1.1196
Hs.356501	PHF6	PHD finger protein 6	-1.143
Hs.2164	PPBP	CTAP-III=NAP2=connective tissue activation peptide III=pro-platelet basic protein (includes platelet basic protein, beta-thromboglobulin, connective tissue-activating peptide III, neutrophil-activating peptide-2)=chemokine	-1.0811
Hs.368121	PSMA3	Proteasome (prosome, macropain) subunit, alpha type, 3	-1.0621
Hs.292579	PTDSS1	Phosphatidylserine synthase I	-1.1099
Hs.500466	PTEN	MMAC1=PTEN=Tumor suppressor gene at 10q23.3 that is Mutated in Multiple Advanced Cancers=Phosphatase and tensin homolog	-1.0863
Hs.287714	RAB32	RAB32, member RAS oncogene family	-1.4325
Hs.436538	RARB	RAR-beta=retinoic acid receptor, beta	-1.0647
Hs.13640	ROBO1	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	-1.0031
Hs.513083	RPL9	Ribosomal protein L9	-1.0309
Hs.371372	SDCCAG10	Serologically defined colon cancer antigen 10	-1.1745
Hs.241579	SERPINH1	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	-1.8214
Hs.12102	SNX3	Sorting nexin 3	-1.0123
Hs.444488	SPP2	Secreted phosphoprotein 2, 24kDa	-1.0245
Hs.132864	STAT5B	STAT5B	-1.1907
Hs.434951	USP15	Ubiquitin specific protease 15	-1.1495
Hs.198308	WRB	Tryptophan rich basic protein	-1.0113
Hs.499145	YME1L1	YME1-like 1 (S. cerevisiae)	-1.035
Hs.534365	ZNF43	Zinc finger protein 43 (HTF6)	-1.0636
