Gene symbol	Parametric p-value	FDR	Geometric mean of intensities (class empty/class miR-26a )	Probe set	Description
SEPW1	0.0076836	0.1029734	0.7751206	1555851_s_at	selenoprotein W, 1
NUS1	0.0076838	0.1029734	1.3804381	225070_at	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)
PCYOX1	0.0077264	0.1032529	0.7329654	203803_at	prenylcysteine oxidase 1
	0.0077292	0.1032529	0.7294698	240636_at	Transcribed locus
EIF4A2	0.0077379	0.1032529	0.6953149	1555996_s_at	eukaryotic translation initiation factor 4A, isoform 2
LRRCC1	0.0077396	0.1032529	1.2859644	231872_at	leucine rich repeat and coiled-coil domain containing 1
USP53	0.0077533	0.1033191	0.7747385	231817_at	ubiquitin specific peptidase 53
L3MBTL	0.0077881	0.1035368	1.4697529	206822_s_at	l(3)mbt-like (Drosophila)
CHAC1	0.0077986	0.1035368	1.4278644	219270_at	ChaC, cation transport regulator homolog 1 (E. coli)
AFF3	0.0078069	0.1035368	0.7788388	205734_s_at	AF4/FMR2 family, member 3
FLJ40330	0.0078083	0.1035368	1.2937472	1569040_s_at	similar to protein immuno-reactive with anti-PTH polyclonal antibodies
TRA2A	0.0078196	0.1035368	0.7478855	213593_s_at	transformer-2 alpha
CCDC50	0.0078222	0.1035368	1.2941819	228693_at	coiled-coil domain containing 50
HSPA8	0.0078798	0.1040648	1.284255	224187_x_at	heat shock 70kDa protein 8
SCYE1	0.0078816	0.1040648	0.7645818	235594_at	Small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)
TMEM156	0.0078961	0.1040648	0.6922188	241844_x_at	transmembrane protein 156
RBM39 /// LOC643167	0.0078973	0.1040648	0.7607689	227223_at	RNA binding motif protein 39 /// similar to RNA-binding region-containing protein 2 (Hepatocellular carcinoma protein 1) (Splicing factor HCC1)
USP1	0.0079108	0.1041266	1.2812807	202413_s_at	ubiquitin specific peptidase 1
USP9Y	0.0079455	0.104467	0.7050557	228492_at	ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)
SGSH	0.0079786	0.1047856	0.7641248	35626_at	N-sulfoglucosamine sulfohydrolase (sulfamidase)
FKBP15	0.0079981	0.1048079	0.6211405	76897_s_at	FK506 binding protein 15, 133kDa
LOC153546	0.0079999	0.1048079	0.7567512	236124_at	hypothetical protein LOC153546
TTC17	0.0080069	0.1048079	0.777016	232323_s_at	tetratricopeptide repeat domain 17
GPR109B	0.0080682	0.1053861	1.4492225	205220_at	G protein-coupled receptor 109B /// G protein-coupled receptor 109B
C17orf45	0.0080689	0.1053861	0.7085738	225065_x_at	chromosome 17 open reading frame 45
AKAP13	0.0080879	0.1055176	0.7794068	208325_s_at	A kinase (PRKA) anchor protein 13
MCM4	0.0081104	0.1056945	1.2871303	222037_at	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
HP1BP3	0.0081236	0.1057499	1.4900907	229204_at	Heterochromatin protein 1, binding protein 3
LOC153222	0.0081862	0.1064476	0.7212499	225956_at	adult retina protein
VAPA	0.0081956	0.1064527	0.7643882	228480_at	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa
NDUFB1	0.008215	0.1065876	0.7571278	243630_at	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
RANBP9	0.0082457	0.1068686	0.7516613	243739_at	RAN binding protein 9
C10orf58	0.0082654	0.1069908	1.290725	224435_at	chromosome 10 open reading frame 58 /// chromosome 10 open reading frame 58
TMEM59	0.0082818	0.1069908	0.6893022	241018_at	transmembrane protein 59
ZNF567	0.0082853	0.1069908	0.7613857	238315_s_at	zinc finger protein 567
SLC16A7	0.0083136	0.1069908	0.7817278	210807_s_at	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
CDCA7	0.008324	0.1069908	1.3009655	224428_s_at	cell division cycle associated 7 /// cell division cycle associated 7
PLK3	0.0083334	0.1069908	1.3115547	215462_at	polo-like kinase 3 (Drosophila)
	0.0083363	0.1069908	0.7643001	238898_at
	0.0083413	0.1069908	0.7212057	232161_x_at	CDNA clone IMAGE:4813920
	0.0083435	0.1069908	1.3842581	243043_at	Transcribed locus
PDE4DIP	0.0083483	0.1069908	0.7658641	232615_at	Phosphodiesterase 4D interacting protein (myomegalin)
	0.0083547	0.1069908	1.3216712	225710_at	CDNA FLJ34013 fis, clone FCBBF2002111
HSPA8	0.0083959	0.1074021	1.2775842	208687_x_at	heat shock 70kDa protein 8
RGS8	0.008411	0.1074789	0.7585075	244675_at	regulator of G-protein signalling 8
CASP1	0.0084227	0.1075122	0.763809	211368_s_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
C10orf46	0.00846	0.1078718	0.7757004	240248_at	Chromosome 10 open reading frame 46
LOC339745	0.0084749	0.1078785	0.7622036	225659_at	hypothetical protein LOC339745
HSD17B6	0.0084869	0.1078785	1.452785	37512_at	hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)
AUTS2	0.0084879	0.1078785	0.7829874	1556650_at	Autism susceptibility candidate 2
MFAP3	0.0085921	0.1090268	0.7517717	1552312_a_at	microfibrillar-associated protein 3
FAM80B	0.0085967	0.1090268	0.7434297	236911_at	Family with sequence similarity 80, member B
SFRS6	0.0086335	0.109244	0.6628386	206108_s_at	splicing factor, arginine/serine-rich 6
ARSB	0.0086397	0.109244	1.3035231	1554030_at	arylsulfatase B
KCNK12	0.0086607	0.109244	0.7470256	220448_at	potassium channel, subfamily K, member 12
ATG7	0.0086697	0.109244	1.3190906	1556240_at	ATG7 autophagy related 7 homolog (S. cerevisiae)
FCHO2	0.0086714	0.109244	0.7605862	228220_at	FCH domain only 2
EGR1	0.0086812	0.109244	0.772616	201694_s_at	early growth response 1
ANXA7	0.0086954	0.109244	0.7830625	242027_at	Annexin A7
GRIN2B	0.0087153	0.109244	1.3680016	210411_s_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
TMEM64	0.0087224	0.109244	0.7462651	225974_at	transmembrane protein 64
	0.0087232	0.109244	1.3886961	239329_at	Transcribed locus, weakly similar to NP_608540.1 [Drosophila melanogaster]
SEC61A2	0.0087291	0.109244	1.3498441	222824_at	Sec61 alpha 2 subunit (S. cerevisiae)
KIF22 /// LOC728037	0.0087374	0.109244	1.3070246	202183_s_at	kinesin family member 22 /// similar to Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)
IKZF2	0.0087424	0.109244	0.7157656	220567_at	IKAROS family zinc finger 2 (Helios)
LINS1	0.0087442	0.109244	0.7591994	231976_at	lines homolog 1 (Drosophila)
PRICKLE1	0.0087582	0.109244	0.7499138	226065_at	prickle homolog 1 (Drosophila)
CENPQ	0.0087617	0.109244	1.3433422	219294_at	centromere protein Q
TMEM165	0.0087851	0.1093965	0.7779956	225856_at	Transmembrane protein 165
CDC37L1	0.0087956	0.1093965	0.7735346	219343_at	cell division cycle 37 homolog (S. cerevisiae)-like 1
ZNF254	0.0088017	0.1093965	0.7804495	1559449_a_at	Zinc finger protein 254
CACNA1A	0.0088184	0.109489	0.7799001	210770_s_at	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
C1orf163	0.0088289	0.1095043	1.3030985	222883_at	chromosome 1 open reading frame 163
LATS1	0.0088697	0.1096669	0.7539689	1570425_s_at	LATS, large tumor suppressor, homolog 1 (Drosophila)
LOC162993	0.0088747	0.1096669	0.7496218	231414_at	Hypothetical protein LOC162993
	0.0088777	0.1096669	0.7468794	227082_at	MRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)
C5orf24	0.0088872	0.1096669	0.7504121	1553108_at	chromosome 5 open reading frame 24
APBB2	0.0088884	0.1096669	1.3629005	216750_at	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
TOR1AIP1	0.0089217	0.1099359	0.7036147	212409_s_at	torsin A interacting protein 1
NSMAF	0.0089288	0.1099359	0.7819461	232148_at	Neutral sphingomyelinase (N-SMase) activation associated factor
ATF2	0.0090051	0.1107599	0.6536598	205446_s_at	activating transcription factor 2
SPATA5L1	0.0090342	0.1110023	1.3824043	215694_at	spermatogenesis associated 5-like 1
MGC33212	0.0090472	0.1110466	1.358261	228606_at	hypothetical protein MGC33212
ZNF711	0.0091173	0.111791	0.7789508	207781_s_at	zinc finger protein 711
GABPB2	0.0091415	0.111927	0.7476948	1568983_a_at	GA binding protein transcription factor, beta subunit 2
DSCR2	0.0091523	0.111927	1.270105	203405_at	Down syndrome critical region gene 2
TRIM38	0.0091568	0.111927	0.7648394	203568_s_at	tripartite motif-containing 38
BMP2K	0.0092172	0.1120226	1.2888329	59644_at	BMP2 inducible kinase
HLA-DQB1	0.0092275	0.1120226	0.759294	212999_x_at	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1
39513	0.0092288	0.1120226	0.6623162	215512_at	membrane-associated ring finger (C3HC4) 6
C5orf34	0.0092395	0.1120226	1.2950799	229886_at	chromosome 5 open reading frame 34
CD59	0.0092479	0.1120226	0.6826793	200983_x_at	CD59 molecule, complement regulatory protein
SLC31A1	0.0092485	0.1120226	1.3152153	203971_at	solute carrier family 31 (copper transporters), member 1
C11orf51	0.0092486	0.1120226	1.2723061	204218_at	chromosome 11 open reading frame 51
MR1	0.0092498	0.1120226	0.7533173	210224_at	major histocompatibility complex, class I-related
FLJ41484	0.0092508	0.1120226	0.7357053	238127_at	hypothetical protein LOC650669
SLC35F5	0.0092594	0.1120226	0.7873079	225872_at	solute carrier family 35, member F5
CCDC132	0.0093056	0.1124436	0.7589036	1554217_a_at	coiled-coil domain containing 132
	0.0093342	0.1124436	0.7512497	1564154_at
PGAP1	0.009336	0.1124436	0.7822391	213469_at	GPI deacylase
GNAQ	0.0093608	0.1124436	0.7762826	202615_at	Guanine nucleotide binding protein (G protein), q polypeptide
ASH1L	0.0093628	0.1124436	0.7803362	222667_s_at	ash1 (absent, small, or homeotic)-like (Drosophila)
TTN	0.0093639	0.1124436	0.6858807	241791_at	titin
SFRS4	0.0093674	0.1124436	0.7439746	239512_at	splicing factor, arginine/serine-rich 4
FAM91A2 /// FLJ39739 /// LOC727820	0.0093703	0.1124436	0.7284091	1568609_s_at	family with sequence similarity 91, member A2 /// FLJ39739 protein /// hypothetical protein LOC727820
TNFRSF17	0.0093895	0.1125597	1.2893154	206641_at	tumor necrosis factor receptor superfamily, member 17
CEP27	0.0094065	0.1126493	1.3145495	229208_at	centrosomal protein 27kDa
MYST4	0.0094317	0.1128367	0.7502841	211874_s_at	MYST histone acetyltransferase (monocytic leukemia) 4
	0.0094437	0.1128595	0.7792441	228623_at	Transcribed locus
TP53I3	0.0094527	0.1128595	0.75732	210609_s_at	tumor protein p53 inducible protein 3
SLC17A5	0.0094791	0.1129692	0.7774443	221041_s_at	solute carrier family 17 (anion/sugar transporter), member 5
SLC38A1	0.009481	0.1129692	1.3135378	218237_s_at	solute carrier family 38, member 1
TMEM30A	0.0094959	0.1130328	0.7830218	217743_s_at	transmembrane protein 30A
FLJ35767	0.00951	0.1130867	1.3150392	241367_at	FLJ35767 protein
TncRNA	0.0095296	0.1132059	0.7618606	234989_at	trophoblast-derived noncoding RNA
	0.0095448	0.1132726	0.7774201	225971_at	CDNA FLJ34209 fis, clone FCBBF3020599
TBC1D15	0.0095605	0.1133451	1.392288	218268_at	TBC1 domain family, member 15
C18orf17	0.0095941	0.1136295	1.3016151	1555194_at	Chromosome 18 open reading frame 17
ZBTB20	0.0096257	0.1138684	0.730119	235308_at	zinc finger and BTB domain containing 20
PRPS2	0.0096353	0.1138684	1.3068312	203401_at	phosphoribosyl pyrophosphate synthetase 2
	0.0096466	0.1138684	0.741655	228110_x_at
CUL3	0.0096528	0.1138684	0.7871024	242362_at	Cullin 3
SGOL2	0.0096649	0.1138974	1.2915717	230165_at	shugoshin-like 2 (S. pombe)
PCAF	0.0096867	0.1140177	0.756313	203845_at	p300/CBP-associated factor
ZNF650	0.0096944	0.1140177	0.7688184	1566166_at	Zinc finger protein 650
AKAP8L	0.0097147	0.114029	0.7399366	1559259_at	A kinase (PRKA) anchor protein 8-like
STX6	0.0097238	0.114029	0.7337252	212800_at	syntaxin 6
HIST1H3D	0.0097243	0.114029	0.7637499	214472_at	histone cluster 1, H3d
ATF7IP2	0.0097426	0.1141304	0.7829857	228381_at	Activating transcription factor 7 interacting protein 2
KPNB1	0.009759	0.1142093	1.3793265	213803_at	Karyopherin (importin) beta 1
	0.0098051	0.114529	1.3430354	235428_at	Transcribed locus, strongly similar to NP_037170.1 binding protein 1 [Rattus norvegicus]
COMMD10	0.0098057	0.114529	0.7765458	1569167_at	COMM domain containing 10
PAQR8	0.0098205	0.1145887	1.2727615	226423_at	progestin and adipoQ receptor family member VIII
DNAJC9	0.0098423	0.1147298	1.2880239	213092_x_at	DnaJ (Hsp40) homolog, subfamily C, member 9
KIAA1794	0.0098852	0.1151163	1.3042657	213008_at	KIAA1794
C17orf39	0.0099113	0.1153067	1.3268459	220058_at	chromosome 17 open reading frame 39
TTC7A	0.0099237	0.1153374	1.5494075	240369_at	Tetratricopeptide repeat domain 7A
ARF6	0.0099391	0.1154029	1.3397384	224788_at	ADP-ribosylation factor 6
FANCA	0.0099528	0.1154486	1.3272664	236976_at	Fanconi anemia, complementation group A
PDLIM5	0.0099666	0.1154953	0.7769287	211681_s_at	PDZ and LIM domain 5 /// PDZ and LIM domain 5
ZNF780B /// ZNF780A	0.0099883	0.1155754	0.7251523	215570_s_at	zinc finger protein 780B /// zinc finger protein 780A
