Probe set	Symbol	Name	Fold-difference
212886_at	CCDC69	coiled-coil domain containing 69	0.2358999
223423_at	GPR160	G protein-coupled receptor 160	0.2356749
209160_at	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	0.2350352
210347_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.2349621
201015_s_at	JUP	junction plakoglobin	0.2337259
209473_at	---	---	0.2332377
231951_at	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	0.2329652
223204_at	C4orf18	chromosome 4 open reading frame 18	0.2329635
217967_s_at	C1orf24	chromosome 1 open reading frame 24	0.232665
229492_at	VANGL1	vang-like 1 (van gogh, Drosophila)	0.2323293
226925_at	ACPL2	acid phosphatase-like 2	0.232255
243626_at	LOC389634	Hypothetical LOC389634	0.2320072
236220_at	---	Transcribed locus	0.2318955
47560_at	LPHN1	latrophilin 1	0.2318787
231663_s_at	ARG1	Arginase, liver	0.2314757
210843_s_at	MFAP3L	microfibrillar-associated protein 3-like	0.2313193
202796_at	SYNPO	synaptopodin	0.2311337
200897_s_at	PALLD	palladin, cytoskeletal associated protein	0.2308757
202023_at	EFNA1	ephrin-A1	0.2306606
218284_at	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	0.2300679
203788_s_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	0.2295535
207017_at	RAB27B /// SH3BGR	RAB27B, member RAS oncogene family /// SH3 domain binding glutamic acid-rich protein	0.2294459
206132_at	MCC	mutated in colorectal cancers	0.2292699
219944_at	RSNL2	restin-like 2	0.2287735
208539_x_at	SPRR2B	small proline-rich protein 2B	0.228741
203716_s_at	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	0.2286156
218002_s_at	CXCL14	chemokine (C-X-C motif) ligand 14	0.2283411
1553982_a_at	RAB7B	RAB7B, member RAS oncogene family	0.2281452
210544_s_at	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	0.2278306
238066_at	RBP7	retinol binding protein 7, cellular	0.2277485
206157_at	PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	0.2277024
208156_x_at	EPPK1	epiplakin 1 /// epiplakin 1	0.2276187
233493_at	OR2A4	olfactory receptor, family 2, subfamily A, member 4	0.2272966
218312_s_at	ZNF447	zinc finger protein 447	0.2266332
221610_s_at	STAP2	signal-transducing adaptor protein-2	0.2265017
200998_s_at	CKAP4	cytoskeleton-associated protein 4	0.2264394
231451_s_at	PET112L	PET112-like (yeast)	0.2260857
206561_s_at	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	0.2254809
1555989_at	GPR135	G protein-coupled receptor 135	0.2252141
205769_at	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	0.2251507
214889_at	DKFZP564J102	DKFZP564J102 protein	0.2246368
222719_s_at	PDGFC	platelet derived growth factor C	0.2245231
223544_at	TMEM79	transmembrane protein 79	0.2241889
229648_at	---	Transcribed locus	0.223436
203747_at	AQP3	aquaporin 3 (Gill blood group)	0.2226647
207455_at	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	0.222014
221523_s_at	RRAGD	Ras-related GTP binding D	0.2211412
210105_s_at	FYN	FYN oncogene related to SRC, FGR, YES	0.2211286
218326_s_at	LGR4	leucine-rich repeat-containing G protein-coupled receptor 4	0.2210017
213139_at	SNAI2	snail homolog 2 (Drosophila)	0.2208067
230958_s_at	---	Transcribed locus	0.2206202
1552478_a_at	IRF6	interferon regulatory factor 6	0.2200429
212236_x_at	KRT17	keratin 17	0.2200428
224999_at	EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.2199495
228360_at	LOC130576	hypothetical protein LOC130576	0.2197248
236673_at	---	---	0.2195936
225627_s_at	CACHD1	cache domain containing 1	0.2193628
238613_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	0.219239
235683_at	SESN3	sestrin 3	0.2191159
219836_at	ZBED2	zinc finger, BED-type containing 2	0.2185268
231183_s_at	JAG1	Jagged 1 (Alagille syndrome)	0.2184445
233514_x_at	TEX11	testis expressed sequence 11	0.2182303
1007_s_at	DDR1	discoidin domain receptor family, member 1	0.2181961
235405_at	GSTA4	glutathione S-transferase A4	0.2179402
215243_s_at	GJB3	gap junction protein, beta 3, 31kDa (connexin 31)	0.2168019
209502_s_at	BAIAP2	BAI1-associated protein 2	0.2165664
241738_at	ZNF250	Zinc finger protein 250	0.216439
226177_at	GLTP	glycolipid transfer protein	0.2156937
203431_s_at	RICS	Rho GTPase-activating protein	0.2156389
232158_x_at	---	---	0.2155659
200648_s_at	GLUL	glutamate-ammonia ligase (glutamine synthetase)	0.2153827
207109_at	POU2F3	POU domain, class 2, transcription factor 3	0.2151854
205065_at	---	---	0.2151632
205651_x_at	RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4	0.2150922
209590_at	BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)	0.2149166
216060_s_at	DAAM1	dishevelled associated activator of morphogenesis 1	0.2146927
205463_s_at	PDGFA	platelet-derived growth factor alpha polypeptide	0.2143722
227036_at	---	---	0.2143646
241359_at	---	CDNA FLJ20031 fis, clone ADSU02180	0.2141866
224657_at	ERRFI1	ERBB receptor feedback inhibitor 1	0.214125
207114_at	LY6G6C	lymphocyte antigen 6 complex, locus G6C	0.2140962
214580_x_at	KRT6A /// KRT6B /// KRT6C /// KRT6E	keratin 6A /// keratin 6B /// keratin 6C /// keratin 6C	0.2138615
237885_at	LOC387941	Hypothetical LOC387941	0.2138248
220414_at	CALML5	calmodulin-like 5	0.2135925
218394_at	ROGDI	rogdi homolog (Drosophila)	0.2135828
218744_s_at	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	0.2132907
227204_at	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans)	0.2129782
204984_at	GPC4	glypican 4	0.2122008
226018_at	C7orf41	chromosome 7 open reading frame 41	0.2120151
241289_at	LOC90826	Hypothetical protein BC004337	0.2118912
1555829_at	FAM62B	family with sequence similarity 62 (C2 domain containing) member B	0.2117846
231227_at	---	Transcribed locus, strongly similar to NP_003383.2 wingless-type MMTV integration site family, member 5A precursor; WNT-5A protein precursor [Homo sapiens]	0.211487
1554003_at	RGNEF /// LOC643607	Rho-guanine nucleotide exchange factor /// similar to Rho-guanine nucleotide exchange factor (Rho-interacting protein 2) (RhoGEF) (RIP2)	0.2112024
202724_s_at	FOXO1A	forkhead box O1A (rhabdomyosarcoma)	0.2109375
201348_at	GPX3	glutathione peroxidase 3 (plasma)	0.2096697
1555240_s_at	GNG12	guanine nucleotide binding protein (G protein), gamma 12	0.209512
223631_s_at	C19orf33	chromosome 19 open reading frame 33	0.2093321
228988_at	ZNF711	zinc finger protein 711	0.2092506
202932_at	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	0.2092212
205807_s_at	TUFT1	tuftelin 1	0.2091539
209109_s_at	TSPAN6 /// ZNF444	tetraspanin 6 /// zinc finger protein 444	0.2083165
223062_s_at	PSAT1	phosphoserine aminotransferase 1	0.2077972
227461_at	STON2	stonin 2	0.2076089
213644_at	CCDC46	coiled-coil domain containing 46	0.2073066
225778_at	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	0.2070138
210984_x_at	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.2069998
220145_at	MAP9	microtubule-associated protein 9	0.2069494
225123_at	---	MRNA; cDNA DKFZp313B1017 (from clone DKFZp313B1017)	0.206271
1555929_s_at	---	Transcribed locus	0.2061189
209099_x_at	JAG1	jagged 1 (Alagille syndrome)	0.2059256
239433_at	LRRC8E	leucine rich repeat containing 8 family, member E	0.2055393
205554_s_at	DNASE1L3	deoxyribonuclease I-like 3	0.2052248
231387_at	C6orf145	Chromosome 6 open reading frame 145	0.2048338
225342_at	AK3L1	adenylate kinase 3-like 1	0.2046404
212741_at	MAOA	monoamine oxidase A	0.2039422
220016_at	AHNAK	AHNAK nucleoprotein (desmoyokin)	0.2037784
209772_s_at	CD24	CD24 molecule	0.20348
223798_at	SLC41A2	solute carrier family 41, member 2	0.2030831
226542_at	---	Full-length cDNA clone CS0DJ002YF02 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)	0.2030278
203021_at	SLPI	secretory leukocyte peptidase inhibitor	0.2026869
207781_s_at	ZNF711	zinc finger protein 711	0.2024644
212099_at	RHOB	ras homolog gene family, member B	0.2023901
211596_s_at	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1 /// leucine-rich repeats and immunoglobulin-like domains 1	0.2023773
206114_at	EPHA4	EPH receptor A4	0.2020509
211607_x_at	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian) /// epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.2014025
208949_s_at	LGALS3 /// GALIG	lectin, galactoside-binding, soluble, 3 (galectin 3) /// galectin-3 internal gene	0.2004144
223822_at	SUSD4	sushi domain containing 4	0.2003543
203638_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	0.2002156
219132_at	PELI2	pellino homolog 2 (Drosophila)	0.1995622
213183_s_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	0.1995052
1552502_s_at	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	0.1992037
218829_s_at	CHD7	chromodomain helicase DNA binding protein 7	0.1987357
204942_s_at	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	0.1986899
220263_at	DAMS	SMAD in the antisense orientation	0.1981856
229518_at	FAM46B	family with sequence similarity 46, member B	0.1981585
232676_x_at	MYEF2	myelin expression factor 2	0.1981081
240242_at	---	Transcribed locus	0.1975983
39729_at	PRDX2	peroxiredoxin 2	0.1975257
201313_at	ENO2	enolase 2 (gamma, neuronal)	0.1975054
218657_at	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	0.1974714
232082_x_at	SPRR3	small proline-rich protein 3	0.1972589
203787_at	SSBP2	single-stranded DNA binding protein 2	0.1971522
244584_at	---	Transcribed locus	0.1970913
212989_at	TMEM23	transmembrane protein 23	0.1967557
215184_at	DAPK2	death-associated protein kinase 2	0.1965463
211401_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	0.1960814
219657_s_at	KLF3	Kruppel-like factor 3 (basic)	0.196032
1553989_a_at	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2	0.1957375
220120_s_at	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	0.1953514
208789_at	PTRF	polymerase I and transcript release factor	0.1952407
219461_at	PAK6	p21(CDKN1A)-activated kinase 6	0.1946423
236297_at	---	CDNA FLJ45742 fis, clone KIDNE2016327	0.1945807
214247_s_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	0.1945501
213865_at	DCBLD2	discoidin, CUB and LCCL domain containing 2	0.1942616
204341_at	TRIM16 /// TRIM16L /// LOC653524	tripartite motif-containing 16 /// tripartite motif-containing 16-like /// similar to tripartite motif-containing 16	0.1939105
210461_s_at	ABLIM1	actin binding LIM protein 1	0.1934555
1553114_a_at	PTK6	PTK6 protein tyrosine kinase 6	0.1933366
223540_at	PVRL4	poliovirus receptor-related 4	0.1932035
221127_s_at	RIG	regulated in glioma	0.1929203
203453_at	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	0.1927631
204469_at	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	0.1926899
210736_x_at	DTNA	dystrobrevin, alpha	0.1925081
204614_at	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	0.1922129
212775_at	OBSL1	obscurin-like 1	0.191701
231662_at	ARG1	Arginase, liver	0.1912726
241417_at	KLF8	Kruppel-like factor 8	0.1912191
213506_at	F2RL1	coagulation factor II (thrombin) receptor-like 1	0.1905861
226638_at	ARHGAP23	Rho GTPase activating protein 23	0.1905456
222731_at	ZDHHC2	zinc finger, DHHC-type containing 2	0.1905074
222932_at	EHF	ets homologous factor	0.1903476
229553_at	PGM2L1	phosphoglucomutase 2-like 1	0.1902777
226600_at	TMTC3	transmembrane and tetratricopeptide repeat containing 3	0.1898568
206363_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.1895483
206385_s_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	0.1890284
204321_at	NEO1	neogenin homolog 1 (chicken)	0.1886723
231557_at	---	Transcribed locus	0.1884182
202672_s_at	ATF3	activating transcription factor 3	0.1877196
225998_at	GAB1	GRB2-associated binding protein 1	0.1876753
207732_s_at	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	0.1876303
230518_at	EVA1	epithelial V-like antigen 1	0.187118
203560_at	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	0.1868283
210375_at	PTGER3	prostaglandin E receptor 3 (subtype EP3)	0.1858795
226485_at	---	CDNA FLJ37658 fis, clone BRHIP2010593	0.1852347
213285_at	TMEM30B	transmembrane protein 30B	0.1850911
228297_at	CNN3	Calponin 3, acidic	0.1836713
35666_at	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	0.1835473
212850_s_at	LRP4	low density lipoprotein receptor-related protein 4	0.1834277
210833_at	PTGER3	prostaglandin E receptor 3 (subtype EP3)	0.183401
205857_at	---	---	0.1833047
225544_at	TBX3	T-box 3 (ulnar mammary syndrome)	0.1832984
211597_s_at	HOP	homeodomain-only protein /// homeodomain-only protein	0.1824395
204589_at	NUAK1	NUAK family, SNF1-like kinase, 1	0.1821924
229764_at	FAM79B	family with sequence similarity 79, member B	0.1814202
215001_s_at	GLUL	glutamate-ammonia ligase (glutamine synthetase)	0.181134
205157_s_at	KRT17	keratin 17	0.1810813
226865_at	---	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)	0.1807346
227197_at	SGEF	Src homology 3 domain-containing guanine nucleotide exchange factor	0.1807111
202761_s_at	SYNE2	spectrin repeat containing, nuclear envelope 2	0.1803186
229088_at	---	---	0.1800121
215867_x_at	CA12	carbonic anhydrase XII	0.1792135
214807_at	---	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)	0.1788518
226197_at	---	---	0.1785899
228372_at	C10orf128	chromosome 10 open reading frame 128	0.1769569
207651_at	GPR171	G protein-coupled receptor 171	0.1768792
235247_at	---	Full-length cDNA clone CS0DI029YM01 of Placenta Cot 25-normalized of Homo sapiens (human)	0.1768123
216268_s_at	JAG1	jagged 1 (Alagille syndrome)	0.1766154
36499_at	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	0.1765792
218963_s_at	KRT23	keratin 23 (histone deacetylase inducible)	0.1764081
204455_at	DST	dystonin	0.1763775
216033_s_at	FYN	FYN oncogene related to SRC, FGR, YES	0.1763744
219554_at	RHCG	Rh family, C glycoprotein	0.1761715
213135_at	TIAM1	T-cell lymphoma invasion and metastasis 1	0.1760841
214091_s_at	GPX3	glutathione peroxidase 3 (plasma)	0.1756827
226192_at	---	---	0.1754354
213094_at	GPR126	G protein-coupled receptor 126	0.1753647
242906_at	---	MRNA; cDNA DKFZp313B1017 (from clone DKFZp313B1017)	0.1748818
217465_at	NCKAP1	NCK-associated protein 1	0.1747402
239529_at	C5orf20	chromosome 5 open reading frame 20	0.1741039
1554385_a_at	PADI2	peptidyl arginine deiminase, type II	0.173871
227812_at	TNFRSF19	tumor necrosis factor receptor superfamily, member 19	0.1733688
225611_at	---	---	0.1733515
206023_at	NMU	neuromedin U	0.1716884
216836_s_at	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	0.1715361
241015_at	---	Transcribed locus	0.1714417
204866_at	PHF16	PHD finger protein 16	0.1714074
227868_at	LOC154761	hypothetical protein LOC154761	0.1710606
218849_s_at	PPP1R13L	protein phosphatase 1, regulatory (inhibitor) subunit 13 like	0.1710333
209108_at	TSPAN6	tetraspanin 6	0.1707348
219872_at	C4orf18	chromosome 4 open reading frame 18	0.1702217
210119_at	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	0.1701116
229114_at	---	CDNA clone IMAGE:4801326	0.1697677
1555773_at	BPIL2	bactericidal/permeability-increasing protein-like 2	0.169615
212698_s_at	39335	septin 10	0.1695048
230291_s_at	NFIB	Nuclear factor I/B	0.1693438
201505_at	LAMB1	laminin, beta 1	0.1691485
206277_at	P2RY2	purinergic receptor P2Y, G-protein coupled, 2	0.1688489
225270_at	NEO1	neogenin homolog 1 (chicken)	0.1681442
229199_at	---	Transcribed locus	0.1679084
202454_s_at	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	0.1673956
209550_at	NDN	necdin homolog (mouse)	0.1672318
216918_s_at	DST	dystonin	0.167225
211382_s_at	TACC2	transforming, acidic coiled-coil containing protein 2	0.1671243
222891_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.1668474
228840_at	AMOTL1	angiomotin like 1	0.1667455
226625_at	---	---	0.1663951
231270_at	CA13	carbonic anhydrase XIII	0.1663115
242899_at	---	MRNA; cDNA DKFZp313B1017 (from clone DKFZp313B1017)	0.1662381
220987_s_at	C11orf17 /// NUAK2	chromosome 11 open reading frame 17 /// chromosome 11 open reading frame 17 /// NUAK family, SNF1-like kinase, 2 /// NUAK family, SNF1-like kinase, 2	0.1658744
219010_at	C1orf106	chromosome 1 open reading frame 106	0.1655403
230464_at	EDG8	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8	0.1655118
211653_x_at	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III) /// aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	0.1649697
201893_x_at	DCN	decorin	0.1646579
218898_at	FAM57A	family with sequence similarity 57, member A	0.1643258
218718_at	PDGFC	platelet derived growth factor C	0.1641772
204508_s_at	CA12	carbonic anhydrase XII	0.1638487
242458_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.1628168
219756_s_at	POF1B	premature ovarian failure, 1B	0.1626388
204141_at	TUBB2A	tubulin, beta 2A	0.1620019
201617_x_at	CALD1	caldesmon 1	0.161873
216594_x_at	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	0.1616102
234335_s_at	FAM84A	Family with sequence similarity 84, member A	0.1614959
220112_at	ANKRD55	ankyrin repeat domain 55	0.1608395
238967_at	CLDN1	Claudin 1	0.1599341
1556834_at	---	CDNA clone IMAGE:5296106	0.1595758
234296_s_at	TEX11	testis expressed sequence 11	0.1594169
238455_at	---	CDNA FLJ45742 fis, clone KIDNE2016327	0.1593601
225763_at	RCSD1	RCSD domain containing 1	0.159222
1562528_at	RORA	RAR-related orphan receptor A	0.1590477
226388_at	TCEA3	transcription elongation factor A (SII), 3	0.1588807
209159_s_at	NDRG4	NDRG family member 4	0.1583974
238575_at	OSBPL6	oxysterol binding protein-like 6	0.1582988
211906_s_at	SERPINB4	serpin peptidase inhibitor, clade B (ovalbumin), member 4 /// serpin peptidase inhibitor, clade B (ovalbumin), member 4	0.1582937
1554062_at	XG	Xg blood group	0.1580706
212923_s_at	C6orf145	chromosome 6 open reading frame 145	0.1578647
241507_x_at	---	---	0.1575482
221526_x_at	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	0.1569126
205990_s_at	WNT5A	wingless-type MMTV integration site family, member 5A	0.1566253
201141_at	GPNMB	glycoprotein (transmembrane) nmb	0.1557795
214399_s_at	KRT8	Keratin 8	0.1556489
213029_at	NFIB	nuclear factor I/B	0.1555829
212242_at	TUBA1	tubulin, alpha 1	0.1555471
205229_s_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	0.1548373
231929_at	---	Transcribed locus	0.1547161
218816_at	LRRC1	leucine rich repeat containing 1	0.153594
222102_at	GSTA3	glutathione S-transferase A3	0.15337
218454_at	FLJ22662	hypothetical protein FLJ22662	0.1533487
224970_at	NFIA	nuclear factor I/A	0.1533149
235150_at	---	MRNA; cDNA DKFZp313B1017 (from clone DKFZp313B1017)	0.1531801
226245_at	KCTD1	potassium channel tetramerisation domain containing 1	0.1525266
223821_s_at	SUSD4	sushi domain containing 4	0.152517
1552482_at	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	0.152388
206400_at	LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7)	0.1522277
235075_at	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	0.1512473
229327_s_at	---	Transcribed locus, strongly similar to NP_005351.2 v-maf musculoaponeurotic fibrosarcoma oncogene homolog; Avian musculoaponeurotic fibrosarcoma (MAF) protooncogene; v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog [Homo sapiens]	0.1512157
201615_x_at	CALD1	caldesmon 1	0.1511234
204044_at	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	0.150587
214199_at	SFTPD	surfactant, pulmonary-associated protein D	0.1504534
203779_s_at	EVA1	epithelial V-like antigen 1	0.1504286
229530_at	GUCY1A3	Guanylate cyclase 1, soluble, alpha 3	0.1499485
226029_at	VANGL2	vang-like 2 (van gogh, Drosophila)	0.149837
238029_s_at	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	0.1495209
221004_s_at	ITM2C	integral membrane protein 2C /// integral membrane protein 2C	0.1494196
209603_at	GATA3	GATA binding protein 3	0.149418
206149_at	LOC63928	hepatocellular carcinoma antigen gene 520	0.1493937
225150_s_at	RTKN	rhotekin	0.1485562
235684_s_at	SESN3	sestrin 3	0.1479654
209555_s_at	CD36	CD36 molecule (thrombospondin receptor)	0.1478736
1562529_s_at	RORA	RAR-related orphan receptor A	0.147708
229290_at	LOC92196	similar to death-associated protein	0.1472289
230986_at	KLF8	Kruppel-like factor 8	0.1471325
205363_at	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	0.1462041
202179_at	BLMH	bleomycin hydrolase	0.1457959
203395_s_at	HES1	hairy and enhancer of split 1, (Drosophila)	0.1457151
209604_s_at	GATA3	GATA binding protein 3	0.1454621
218736_s_at	PALMD	palmdelphin	0.1454506
225147_at	PSCD3	pleckstrin homology, Sec7 and coiled-coil domains 3	0.1454116
230266_at	RAB7B	RAB7B, member RAS oncogene family	0.1453201
205778_at	KLK7	kallikrein 7 (chymotryptic, stratum corneum)	0.1451384
229396_at	OVOL1	ovo-like 1(Drosophila)	0.1450712
1558846_at	PNLIPRP3	pancreatic lipase-related protein 3	0.1450061
239381_at	KLK7	kallikrein 7 (chymotryptic, stratum corneum)	0.1448767
205287_s_at	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	0.1447058
224646_x_at	H19	H19, imprinted maternally expressed untranslated mRNA	0.1446579
1562921_at	LOC646927	Hypothetical protein LOC646927	0.1445744
244107_at	---	---	0.1445427
216264_s_at	LAMB2	laminin, beta 2 (laminin S)	0.1444511
232056_at	SCEL	sciellin	0.1443497
203535_at	S100A9	S100 calcium binding protein A9 (calgranulin B)	0.1441734
238513_at	PRRG4	Proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	0.1438174
1553764_a_at	JUB	jub, ajuba homolog (Xenopus laevis)	0.1437427
210094_s_at	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	0.1434258
204532_x_at	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4	0.1430279
227533_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.1429786
205029_s_at	FABP7	fatty acid binding protein 7, brain	0.142707
213792_s_at	---	---	0.1420057
227034_at	ANKRD57	ankyrin repeat domain 57	0.1418153
212328_at	DKFZP686A01247	hypothetical protein	0.1413824
219998_at	HSPC159	HSPC159 protein	0.141152
201621_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	0.1410858
204971_at	CSTA	cystatin A (stefin A)	0.1398553
219630_at	PDZK1IP1	PDZK1 interacting protein 1	0.1391898
207126_x_at	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4	0.1391593
213479_at	NPTX2	neuronal pentraxin II	0.1386242
223467_at	RASD1	RAS, dexamethasone-induced 1	0.1385043
209569_x_at	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	0.1382468
212151_at	PBX1	Pre-B-cell leukemia transcription factor 1	0.1382071
207030_s_at	CSRP2	cysteine and glycine-rich protein 2	0.1379337
203607_at	INPP5F	inositol polyphosphate-5-phosphatase F	0.1372413
210397_at	DEFB1	defensin, beta 1	0.1371129
226560_at	---	Transcribed locus, strongly similar to NP_689599.2 sphingosine 1-phosphate phosphohydrolase 2 [Homo sapiens]	0.1371064
235384_at	---	Transcribed locus, strongly similar to XP_372723.2 PREDICTED: similar to RP2 protein, testosterone-regulated - ricefield mouse (Mus caroli) [Homo sapiens]	0.1369443
238451_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	0.1362933
202085_at	TJP2	tight junction protein 2 (zona occludens 2)	0.1361791
211361_s_at	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13	0.135489
228055_at	NAPSB	napsin B aspartic peptidase pseudogene	0.1352777
205718_at	ITGB7	integrin, beta 7	0.1346783
202345_s_at	FABP5 /// LOC653327	fatty acid binding protein 5 (psoriasis-associated) /// similar to Fatty acid-binding protein, epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	0.133942
242204_at	WFDC5	WAP four-disulfide core domain 5	0.1338839
221524_s_at	RRAGD	Ras-related GTP binding D	0.1336681
218330_s_at	NAV2	neuron navigator 2	0.1336364
204755_x_at	HLF	hepatic leukemia factor	0.1324848
205066_s_at	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	0.1323382
219159_s_at	SLAMF7	SLAM family member 7	0.1320129
1564308_a_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	0.1319946
212148_at	PBX1	Pre-B-cell leukemia transcription factor 1	0.1298928
219389_at	SUSD4	sushi domain containing 4	0.1294195
213780_at	TCHH	trichohyalin	0.1285335
208096_s_at	COL21A1	collagen, type XXI, alpha 1 /// collagen, type XXI, alpha 1	0.128212
236534_at	BNIPL	BCL2/adenovirus E1B 19kD interacting protein like	0.1280842
230416_at	---	Transcribed locus	0.127903
222830_at	GRHL1	grainyhead-like 1 (Drosophila)	0.1278607
209348_s_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.1276635
219395_at	RBM35B	RNA binding motif protein 35B	0.1273771
219497_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.1267888
209230_s_at	NUPR1	nuclear protein 1	0.1258647
205113_at	NEF3	neurofilament 3 (150kDa medium)	0.125855
218858_at	DEPDC6	DEP domain containing 6	0.1258114
211493_x_at	DTNA	dystrobrevin, alpha	0.1256249
219498_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.1255416
